,Abbreviation,Type,InChI Key,InChI,CanonicalSMILES,IUPACName,CAS,CID,MolecularFormula,MolecularWeight,Density,DN,De,Viscosity,Refraction,FlashPoint,MeltingPoint,BoilingPoint,DensityT,ViscosityT,DeT,Diffusion,DiffusionT,BE_Salt,BE_PS,Li - O (DOL),Li - X (Solvent),Li - O (TFSI),Li - S (PS),Li - Li,Dissociation,Bridging,P (s = 1.0),P (s = 2.0),P (s = 3.0),P (s = 4.0),Diffusion_DOL,Diffusion_Solvent,Diffusion_TFSI,Diffusion_Li,Diffusion_PS,Diffusion_Ratio,Corr_Solvent,Corr_PS,DensityElec,DensityElec_STD,Conductivity,Conductivity_STD,Visc,Visc_STD,Group
0,DPS,Sulfone,JEXYCADTAFPULN-UHFFFAOYSA-N,"InChI=1S/C6H14O2S/c1-3-5-9(7,8)6-4-2/h3-6H2,1-2H3",CCCS(=O)(=O)CCC,1-propylsulfonylpropane,598-03-8,11709,C6H14O2S,150.24,1.112,,32.62,5432.0,1.413,31.0,29.5,270.0,25.0,,,,,-29.67281336,-31.74096887,0.5889068498686606,2.678419882804606,0.2890482925843602,0.392958173368357,1.3966457870276816,0.6717013538088503,0.0220751667003435,0.8208820882088209,0.1716171617161716,0.0075007500750075,0.0,2.744691974966115e-10,2.9896734594920856e-11,5.6872891281783336e-11,2.2585841910804388e-11,1.724599338286707e-11,1.3236936091640292,0.7998100153476781,0.7863015193214232,1.2259483004997502,0.0083479572501289,0.3615327241530521,0.094688305508808,0.0060931605484214,0.0004268679813348,A
1,TMP,Phosphate,WVLBCYQITXONBZ-UHFFFAOYSA-N,"InChI=1S/C3H9O4P/c1-5-8(4,6-2)7-3/h1-3H3",COP(=O)(OC)OC,trimethyl phosphate,512-56-1,10541,C3H9O4P,140.07,1.2144,,21.26,1.8905,1.379,83.7,-46.16111111,197.1722222,20.0,30.0,20.0,,,-25.3274459,-25.32943515,0.908062234794908,2.13189533239038,0.4082642958173366,0.4252879369569606,0.1931703374419073,0.7529298848252172,0.0058092543948272,0.8331833183318332,0.1572157215721572,0.0093009300930093,0.0003000300030003,3.1530995300915657e-10,7.406745617082252e-11,1.1375819807031866e-10,6.800295103884509e-11,5.008108094636088e-11,1.0891800287977682,0.5431752308951119,0.5036651509047367,1.3072808938530736,0.0084301401185506,0.4041510003468431,0.0909570556199336,0.0045307073123202,0.0008778360245107,A
2,EMS,Sulfone,YBJCDTIWNDBNTM-UHFFFAOYSA-N,"InChI=1S/C3H8O2S/c1-3-6(2,4)5/h3H2,1-2H3",CCS(=O)(=O)C,1-methylsulfonylethane,594-43-4,79059,C3H8O2S,108.16,1.1638,,57.5,4750000.0,1.414,120.8,34.44444444,239.0,35.0,35.0,,,,-31.15865821,-26.88348202,0.2547484340270761,3.369114972721764,0.0878965447565162,0.2911194180642555,1.4077591432612648,0.7636391190139422,0.0034350373812891,0.9051905190519052,0.0948094809480948,0.0,0.0,2.7803741440740007e-10,5.6237542297756994e-11,8.199392029524985e-11,3.4730756894660943e-11,2.3812447055454964e-11,1.6192432105158705,0.6016653842826181,0.6455189053124366,1.2742827819590206,0.0083946843152711,0.4733571736794982,0.1543670897233798,0.0054406003462172,0.0002709375837349,A
3,IPMS,Sulfone,VTWYQAQIXXAXOR-UHFFFAOYSA-N,"InChI=1S/C4H10O2S/c1-4(2)7(3,5)6/h4H,1-3H3",CC(C)S(=O)(=O)C,2-methylsulfonylpropane,4853-74-1,138372,C4H10O2S,122.19,1.053,,,,1.42,95.1,16.0,224.8,,,,,,-30.95003852,-30.06721017,0.4293796726611432,3.0798141038593654,0.1561426550818345,0.3182966255809255,1.5627399474641346,0.7632855122246919,0.0062133764396847,0.9675967596759676,0.0324032403240324,0.0,0.0,2.2862511548239001e-10,3.059271148463713e-11,5.2659075398921827e-11,2.055890442423425e-11,1.5381439759396324e-11,1.4880516419238428,0.7339363843023576,0.7513437840717683,1.2651540562718642,0.0090002970295614,0.5164813573178093,0.0638656437442158,0.0068258827227685,0.0005150414762727,A
4,DMI,Azole,CYSGHNMQYZDMIA-UHFFFAOYSA-N,"InChI=1S/C5H10N2O/c1-6-3-4-7(2)5(6)8/h3-4H2,1-2H3",CN1CCN(C1=O)C,"1,3-dimethylimidazolidin-2-one",80-73-9,6661,C5H10N2O,114.15,1.05161,29.0,37.6,2.07,1.48,93.0,8.2,221.0,25.0,,,,,-35.21213959,-34.38893246,0.966811477066074,2.2460092948070325,0.2570721357850068,0.4358456253788643,0.2370175793089512,0.6817538896746818,0.0118710850676904,0.873987398739874,0.126012601260126,0.0,0.0,2.9654414485669344e-10,7.383568250269382e-11,8.396770255973421e-11,5.954337794398719e-11,3.14442749792398e-11,1.2400318062598243,0.5377470149108465,0.5266182799851402,1.2376425481259372,0.0074360121992064,0.4380888682332597,0.0879961773791461,0.0046286631832192,0.0003626011773979,A
5,TTFP,Phosphite,CBIQXUBDNNXYJM-UHFFFAOYSA-N,"InChI=1S/C6H6F9O3P/c7-4(8,9)1-16-19(17-2-5(10,11)12)18-3-6(13,14)15/h1-3H2",C(C(F)(F)F)OP(OCC(F)(F)F)OCC(F)(F)F,"tris(2,2,2-trifluoroethyl) phosphite",370-69-4,136203,C6H6F9O3P,328.07,1.4866,,,,1.324,31.7,,130.5,25.0,,,,,-27.67372961,-29.86378828,1.011264902000404,2.546726611436654,0.8943220852697511,0.5237926853909881,0.3858355223277427,0.555920387957163,0.065568801778137,0.6612661266126613,0.3039303930393039,0.0348034803480348,0.0,1.7708644200708995e-10,3.6669504572622906e-11,3.9717497782761294e-11,3.173789074034194e-11,2.5765032835277583e-11,1.155385683082348,0.9044483057668627,0.5321706535605978,1.4842783188405797,0.0137507833884368,1.3655740096416151,0.3357643644440753,0.0027515493604416,0.0001176696523708,A
6,TEP,Phosphate,DQWPFSLDHJDLRL-UHFFFAOYSA-N,"InChI=1S/C6H15O4P/c1-4-8-11(7,9-5-2)10-6-3/h4-6H2,1-3H3",CCOP(=O)(OCC)OCC,triethyl phosphate,78-40-0,6535,C6H15O4P,182.15,1.068,,12.94,1.46,1.406,115.6,-56.43888889,214.95,,25.0,25.0,,,-29.02638902,-28.83391432,1.2929884825217215,1.4419074560517284,0.6549808042028693,0.4904526166902404,0.3153162255001012,0.7029702970297029,0.0087391392200444,0.9411941194119412,0.0588058805880588,0.0,0.0,2.65673781788209e-10,6.140545916924443e-11,9.510602087051768e-11,5.601398520265079e-11,3.3908795011419815e-11,1.096252283194778,0.6556023728196407,0.5211031922078054,1.257997407046477,0.0089568490070652,0.4024658350824474,0.1737742076424996,0.0062579771951823,0.0005830633214723,A
7,DTFEG,Fluorinated,KURIPTHAZOPONO-UHFFFAOYSA-N,"InChI=1S/C6H8F6O2/c7-5(8,9)3-13-1-2-14-4-6(10,11)12/h1-4H2",C(COCC(F)(F)F)OCC(F)(F)F,"1,1,1-trifluoro-2-[2-(2,2,2-trifluoroethoxy)ethoxy]ethane",80054-75-7,86011935,C6H8F6O2,226.12,1.34,,,1.4,1.337,,,,,25.0,,,,-32.73967299,-26.35165518,1.4262477268134983,1.1874115983026878,0.8699232168114768,0.5567791473024855,0.45140432410588,0.4975247524752475,0.0358658314811072,0.8016801680168016,0.1971197119711971,0.0012001200120012,0.0,3.1041067697706664e-10,1.5083661201290922e-10,8.411924393651158e-11,6.582351516848041e-11,4.310236823763473e-11,2.291530794531881,0.4946536685242984,0.544856520840519,1.3882117860069965,0.0107125207161579,0.3841766162618859,0.0457463477441007,0.0037239137567841,0.0001470370312608,A
8,SL,Sulfone,HXJUTPCZVOIRIF-UHFFFAOYSA-N,InChI=1S/C4H8O2S/c5-7(6)3-1-2-4-7/h1-4H2,C1CCS(=O)(=O)C1,"thiolane 1,1-dioxide",126-33-0,31347,C4H8O2S,120.17,1.26,14.8,44.0,10.34,1.486,165.6,26.06111111,284.95,30.0,30.0,24.99,,,-30.43562553,-29.44900441,0.2905132349969691,3.325873913922006,0.0999696908466355,0.3013234996969084,1.5952717720751663,0.7433319862598505,0.0048999797938977,0.9726972697269728,0.0273027302730273,0.0,0.0,2.3108542141355966e-10,5.021447703546644e-11,6.253332004680902e-11,3.128729762611275e-11,1.9673985753621507e-11,1.604947721453477,0.7733044054032479,0.5911647737660759,1.3157082646676663,0.0085513640208463,0.3823029912944611,0.1416245561934121,0.0065631722672562,0.0014195160034341,A
9,DPT,Sulfonamide,CYJYNSKNVRRNIL-UHFFFAOYSA-N,"InChI=1S/C7H14F3NO2S/c1-3-5-11(6-4-2)14(12,13)7(8,9)10/h3-6H2,1-2H3",CCCN(CCC)S(=O)(=O)C(F)(F)F,"1,1,1-trifluoro-N,N-dipropylmethanesulfonamide",1242695-00-6,125497703,C7H14F3NO2S,233.25,1.2,,,,1.417,80.6,,209.6,,,,,,-25.69080465,-23.99396242,0.9004344311982218,1.8973530006061827,0.7789452414629215,0.4766619519094766,1.3395635481915538,0.6369973732067085,0.0186906445746615,0.7845784578457846,0.2139213921392139,0.0015001500150015,0.0,2.2917229620832136e-10,2.2940686958694377e-11,3.521982208681788e-11,1.927665882896745e-11,1.4220531207208218e-11,1.1900758924166317,0.8761196990126969,0.699964045495344,1.3235658044977514,0.0115385957335249,0.187329800577385,0.0926996707843408,0.0068416931196313,0.002198655278207,A
