,num_dol,num_acn,num_tfsi,num_ps,num_li,atoms_dol,atoms_acn,atoms_tfsi,atoms_ps,atoms_li,count,%
0,3,4,0,1,1,::1O,::1N:1N,,,1L,88,2.64026402640264
1,2,5,0,1,1,:,::1N:1N:1N,,,1L,79,2.37023702370237
2,4,3,0,1,1,:::1O,:1N:1N,,,1L,72,2.16021602160216
3,3,3,0,1,1,::1O,:1N:1N,,,1L,71,2.13021302130213
4,2,4,0,1,1,:1O,::1N:1N,,,1L,66,1.98019801980198
5,2,5,0,1,1,:1O,:::1N:1N,,,1L,63,1.8901890189018904
6,1,5,0,1,1,,::1N:1N:1N,,,1L,58,1.7401740174017402
7,2,6,0,1,1,:,:::1N:1N:1N,,,1L,54,1.62016201620162
8,2,5,0,1,1,:1O,::1N:1N:1N,,,1L,51,1.53015301530153
9,1,6,0,1,1,,:::1N:1N:1N,,,1L,47,1.41014101410141
10,3,5,0,1,1,::,::1N:1N:1N,,,1L,45,1.35013501350135
11,2,4,0,1,1,:,:1N:1N:1N,,,1L,42,1.26012601260126
12,3,4,0,1,1,::,:1N:1N:1N,,,1L,36,1.08010801080108
13,2,4,0,1,1,:1O,:1N:1N:1N,,,1L,34,1.02010201020102
14,4,4,0,1,1,:::1O,::1N:1N,,,1L,33,0.99009900990099
15,3,5,0,1,1,::1O,:::1N:1N,,,1L,31,0.93009300930093
16,5,3,0,1,1,::::1O,:1N:1N,,,1L,29,0.8700870087008701
17,1,6,0,1,1,,::1N:1N:1N:1N,,,1L,28,0.8400840084008401
18,2,3,0,1,1,:1O,:1N:1N,,,1L,28,0.8400840084008401
19,3,4,0,1,1,::1O,:1N:1N:1N,,,1L,27,0.8100810081008101
20,4,4,0,1,1,:::,:1N:1N:1N,,,1L,26,0.7800780078007801
21,3,4,0,1,1,:1O:1O,::1N:1N,,,1L,26,0.7800780078007801
22,4,3,0,1,1,::1O:1O,:1N:1N,,,1L,25,0.7500750075007501
23,2,4,0,1,1,:,::1N:1N,,,1L,24,0.7200720072007201
24,2,5,0,1,1,:,:1N:1N:1N:1N,,,1L,24,0.7200720072007201
25,3,3,0,1,0,::,::,,,,21,0.6300630063006301
26,1,7,0,1,1,,::::1N:1N:1N,,,1L,21,0.6300630063006301
27,3,5,0,1,1,::1O,::1N:1N:1N,,,1L,20,0.6000600060006
28,2,5,0,1,0,:,::::,,,,19,0.57005700570057
29,1,5,0,1,1,1O,::1N:1N:1N,,,1L,18,0.54005400540054
30,1,6,0,1,1,1O,::::1N:1N,,,1L,18,0.54005400540054
31,0,7,0,1,1,,::::1N:1N:1N,,,1L,18,0.54005400540054
32,3,4,0,1,0,::,:::,,,,18,0.54005400540054
33,4,2,0,1,0,:::,:,,,,17,0.51005100510051
34,3,3,0,1,1,:1O:1O,:1N:1N,,,1L,17,0.51005100510051
35,2,4,0,1,0,:,:::,,,,17,0.51005100510051
36,2,5,0,1,1,:,:::1N:1N,,,1L,16,0.48004800480048
37,2,4,0,1,0,:,:::1N,,,,16,0.48004800480048
38,4,4,0,1,1,:::1O,:1N:1N:1N,,,1L,15,0.45004500450045
39,3,6,0,1,1,::,:::1N:1N:1N,,,1L,15,0.45004500450045
40,2,6,0,1,1,:1O,:::1N:1N:1N,,,1L,15,0.45004500450045
41,0,6,0,1,1,,:::1N:1N:1N,,,1L,15,0.45004500450045
42,1,5,0,1,1,1O,:::1N:1N,,,1L,15,0.45004500450045
43,2,3,0,1,1,:1O,::1N,,,1L,14,0.42004200420042
44,1,5,0,1,1,,:::1N:1N,,,1L,14,0.42004200420042
45,1,4,0,1,1,,:1N:1N:1N,,,1L,13,0.39003900390039
46,5,3,0,1,1,:::1O:1O,:1N:1N,,,1L,13,0.39003900390039
47,2,4,1,1,1,:,::1N:1N,1O,,1L,13,0.39003900390039
48,2,3,0,1,0,:,::,,,,13,0.39003900390039
49,2,5,0,1,1,1O:1O,:::1N:1N,,,1L,13,0.39003900390039
50,2,6,0,1,2,:1O,:1N:1N:1N:1N:1N,,,1L:1L,13,0.39003900390039
51,1,5,0,1,0,,::::,,,,13,0.39003900390039
52,1,4,0,1,1,1O,::1N:1N,,,1L,12,0.36003600360036
53,3,3,0,1,1,::,1N:1N:1N,,,1L,12,0.36003600360036
54,1,4,0,1,1,1O,:1N:1N:1N,,,1L,12,0.36003600360036
55,3,3,0,1,1,::,:1N:1N,,,1L,12,0.36003600360036
56,3,2,0,1,0,::,:,,,,12,0.36003600360036
57,1,5,1,1,1,,:::1N:1N,1O,,1L,12,0.36003600360036
58,3,4,1,1,1,::,::1N:1N,1O,,1L,12,0.36003600360036
59,1,5,0,1,1,,:1N:1N:1N:1N,,,1L,12,0.36003600360036
60,3,3,0,1,1,::1O,1N:1N:1N,,,1L,12,0.36003600360036
61,0,5,0,1,1,,::1N:1N:1N,,,1L,11,0.33003300330033
62,2,3,0,1,1,:,:1N:1N,,,1L,11,0.33003300330033
63,3,4,0,1,1,:1O:1O,:1N:1N:1N,,,1L,11,0.33003300330033
64,1,4,1,1,1,,::1N:1N,1O,,1L,11,0.33003300330033
65,3,3,0,1,1,:1O:1O,::1N,,,1L,11,0.33003300330033
66,1,6,0,1,1,1O,:::1N:1N:1N,,,1L,11,0.33003300330033
67,2,4,0,1,1,:1O,:::1N,,,1L,10,0.3000300030003
68,3,3,0,1,0,::,::1N,,,,10,0.3000300030003
69,2,6,0,1,1,:1O,::::1N:1N,,,1L,10,0.3000300030003
70,3,4,0,1,1,::,::1N:1N,,,1L,10,0.3000300030003
71,4,3,0,1,0,:::,::,,,,10,0.3000300030003
72,4,2,0,1,1,:::1O,1N:1N,,,1L,10,0.3000300030003
73,3,5,0,1,1,:1O:1O,:::1N:1N,,,1L,10,0.3000300030003
74,1,7,0,1,1,,:::1N:1N:1N:1N,,,1L,9,0.27002700270027
75,5,2,0,1,0,::::,:,,,,9,0.27002700270027
76,4,3,0,1,1,:::,1N:1N:1N,,,1L,9,0.27002700270027
77,2,6,0,1,1,:,::1N:1N:1N:1N,,,1L,9,0.27002700270027
78,3,5,0,1,1,::,:1N:1N:1N:1N,,,1L,9,0.27002700270027
79,4,2,0,1,1,::1O:1O,:1N,,,1L,9,0.27002700270027
80,2,5,1,1,1,:,:::1N:1N,1O,,1L,9,0.27002700270027
81,3,3,0,1,0,::1O,::,,,,8,0.24002400240024
82,4,4,0,1,1,::1O:1O,::1N:1N,,,1L,8,0.24002400240024
83,3,3,0,1,1,::1O,::1N,,,1L,8,0.24002400240024
84,4,5,0,1,1,:::1O,:::1N:1N,,,1L,8,0.24002400240024
85,2,4,0,1,1,1O:1O,::1N:1N,,,1L,8,0.24002400240024
86,4,5,0,1,1,:::,::1N:1N:1N,,,1L,8,0.24002400240024
87,3,5,0,1,2,::1O,1N:1N:1N:1N:1N,,,1L:1L,8,0.24002400240024
88,0,8,0,1,1,,:::::1N:1N:1N,,,1L,8,0.24002400240024
89,2,4,1,1,1,:,:1N:1N:1N,,,1L,8,0.24002400240024
90,2,4,1,1,1,:1O,::1N:1N,1O,,1L,8,0.24002400240024
91,1,4,0,1,1,,::1N:1N,,,1L,8,0.24002400240024
92,2,3,0,1,1,:1O,1N:1N:1N,,,1L,7,0.21002100210021
93,1,5,1,1,1,,::1N:1N:1N,,,1L,7,0.21002100210021
94,2,3,0,1,1,:,1N:1N:1N,,,1L,7,0.21002100210021
95,4,2,0,1,1,::1O:1O,1N:1N,,,1L,7,0.21002100210021
96,1,6,1,1,1,,:::1N:1N:1N,,,1L,7,0.21002100210021
97,1,6,0,1,1,,::::1N:1N,,,1L,7,0.21002100210021
98,4,3,0,1,1,:::1O,1N:1N:1N,,,1L,7,0.21002100210021
99,1,4,0,1,1,,1N:1N:1N:1N,,,1L,7,0.21002100210021
