,num_dol,num_btfe,num_tfsi,num_ps,num_li,atoms_dol,atoms_btfe,atoms_tfsi,atoms_ps,atoms_li,count,%
0,5,0,1,1,2,1O:1O:1O:1O:1O,,1O,,1L:1L,23,0.6900690069006901
1,4,0,2,1,2,1O:1O:1O:1O,,1O:1O1S,,1L:1L,23,0.6900690069006901
2,4,0,2,1,2,1O:1O:1O:1O,,1O:2O1S,,1L:1L,19,0.57005700570057
3,5,0,2,1,2,1O:1O:1O:1O:1O,,1O:1O,,1L:1L,19,0.57005700570057
4,5,1,1,1,2,1O:1O:1O:1O:2O,,1O,,1L:1L,18,0.54005400540054
5,5,0,1,1,2,1O:1O:1O:1O:2O,,1O,,1L:1L,17,0.51005100510051
6,6,0,1,1,2,1O:1O:1O:1O:1O:1O,,1O,,1L:1L,17,0.51005100510051
7,5,0,2,1,2,:1O:1O:1O:1O,,1O:2O1S,,1L:1L,16,0.48004800480048
8,5,1,1,1,2,1O:1O:1O:1O:1O,,1O,,1L:1L,15,0.45004500450045
9,6,0,1,1,2,1O:1O:1O:1O:1O:2O,,1O,,1L:1L,14,0.42004200420042
10,4,1,2,1,2,1O:1O:1O:1O,,1O:1O1S,,1L:1L,13,0.39003900390039
11,5,0,2,1,2,:1O:1O:1O:1O,,1O:1O,,1L:1L,12,0.36003600360036
12,4,0,2,1,2,1O:1O:1O:1O,,1O:2O,,1L:1L,12,0.36003600360036
13,5,0,1,1,2,1O:1O:1O:1O:1O,,2O1S,,1L:1L,12,0.36003600360036
14,4,1,2,1,2,1O:1O:1O:1O,,1O:1O,,1L:1L,11,0.33003300330033
15,6,0,1,1,2,:1O:1O:1O:1O:1O,,1O,,1L:1L,11,0.33003300330033
16,4,0,2,1,2,1O:1O:1O:2O,,1O:2O1S,,1L:1L,11,0.33003300330033
17,5,0,2,1,2,1O:1O:1O:1O:1O,,:1O,,1L:1L,10,0.3000300030003
18,5,0,2,1,2,:1O:1O:1O:1O,,1O:1O1S,,1L:1L,10,0.3000300030003
19,5,0,1,1,2,1O:1O:1O:1O:2O,,1N1O1S,,1L:1L,10,0.3000300030003
20,5,0,2,1,2,1O:1O:1O:1O:2O,,1O:2O1S,,1L:1L,9,0.27002700270027
21,5,0,2,1,2,1O:1O:1O:1O:1O,,1O:1O1S,,1L:1L,9,0.27002700270027
22,5,0,2,1,2,1O:1O:1O:1O:1O,,1O:2O1S,,1L:1L,9,0.27002700270027
23,4,0,2,1,2,1O:1O:1O:1O,,1O1S:1O1S,,1L:1L,9,0.27002700270027
24,4,1,2,1,2,1O:1O:1O:1O,,1O:2O,,1L:1L,9,0.27002700270027
25,5,0,1,1,2,1O:1O:1O:1O:1O,,1O1S,,1L:1L,9,0.27002700270027
26,5,1,2,1,2,:1O:1O:1O:1O,,1O:1O,,1L:1L,9,0.27002700270027
27,4,0,2,1,2,1O:1O:1O:1O,,1O:1O,,1L:1L,9,0.27002700270027
28,5,1,1,1,2,1O:1O:1O:1O:1O,,2O1S,,1L:1L,9,0.27002700270027
29,4,1,2,1,2,1O:1O:1O:2O,,1O:1O,,1L:1L,8,0.24002400240024
