,num_dol,num_cyclohexane,num_tfsi,num_ps,num_li,atoms_dol,atoms_cyclohexane,atoms_tfsi,atoms_ps,atoms_li,count,%
0,7,0,1,1,2,:1O:1O:1O:1O:1O:2O,,1O1S,,1L:1L,7,0.21002100210021
1,6,0,1,1,2,:1O:1O:1O:2O:2O,,2O1S,,1L:1L,6,0.18001800180018
2,5,1,1,1,2,1O:1O:1O:2O:2O,,2O1S,,1L:1L,6,0.18001800180018
3,5,1,1,1,2,1O:1O:1O:1O:2O,,2O1S,,1L:1L,5,0.15001500150015
4,6,0,1,1,2,:1O:1O:1O:2O:2O,,1O1S,,1L:1L,5,0.15001500150015
5,6,0,1,1,2,1O:1O:1O:1O:1O:2O,,2O1S,,1L:1L,5,0.15001500150015
6,7,0,1,1,2,:1O:1O:1O:1O:1O:2O,,2O1S,,1L:1L,5,0.15001500150015
7,5,0,1,1,2,1O:1O:1O:2O:2O,,1O1S,,1L:1L,5,0.15001500150015
8,8,0,0,1,2,::1O:1O:1O:1O:2O:2O,,,,1L:1L,5,0.15001500150015
9,8,0,0,1,1,:::1O:1O:1O:2O:2O,,,,1L,5,0.15001500150015
10,6,1,1,1,2,:1O:1O:1O:1O:2O,,1N3O2S,,1L:1L,5,0.15001500150015
11,5,1,1,1,2,1O:1O:1O:2O:2O,,1O1S,,1L:1L,5,0.15001500150015
12,5,0,2,1,2,1O:1O:1O:1O:2O,,1O1S:2O1S,,1L:1L,4,0.12001200120012
13,5,1,1,1,2,1O:1O:1O:2O:2O,,1O,,1L:1L,4,0.12001200120012
14,6,0,1,1,2,1O:1O:1O:2O:2O:2O,,1O,,1L:1L,4,0.12001200120012
15,7,0,1,1,2,:1O:1O:1O:1O:2O:2O,,2O1S,,1L:1L,4,0.12001200120012
16,5,1,2,1,2,:1O:1O:1O:2O,,1O:2O1S,,1L:1L,4,0.12001200120012
17,6,1,1,1,2,:1O:1O:1O:2O:2O,,1O1S,,1L:1L,4,0.12001200120012
18,5,2,1,1,2,1O:1O:1O:1O:2O,:,2O1S,,1L:1L,4,0.12001200120012
19,4,0,2,1,2,1O:1O:1O:2O,,1N1O1S:1O1S,,1L:1L,4,0.12001200120012
20,7,1,1,1,2,::1O:1O:1O:1O:2O,,2O1S,,1L:1L,4,0.12001200120012
21,6,0,2,1,2,:1O:1O:1O:1O:2O,,:1N1O1S,,1L:1L,4,0.12001200120012
22,6,0,2,1,2,:1O:1O:1O:1O:2O,,1O:1O1S,,1L:1L,4,0.12001200120012
23,5,0,2,1,2,1O:1O:1O:1O:2O,,:1O1S,,1L:1L,4,0.12001200120012
24,4,0,3,1,2,1O:1O:1O:2O,,1O:1O1S:2O1S,,1L:1L,4,0.12001200120012
25,8,0,1,1,2,::1O:1O:1O:1O:1O:2O,,2O1S,,1L:1L,4,0.12001200120012
26,5,0,2,1,2,1O:1O:1O:2O:2O,,:1O1S,,1L:1L,3,0.09000900090009
27,6,1,1,1,2,1O:1O:1O:1O:1O:2O,,1O,,1L:1L,3,0.09000900090009
28,7,1,0,1,1,:1O:1O:1O:1O:1O:2O,,,,1L,3,0.09000900090009
29,6,0,1,1,2,1O:1O:1O:1O:1O:2O,,1O,,1L:1L,3,0.09000900090009
30,5,0,2,1,2,1O:1O:2O:2O:2O,,1O1S:1O1S,,1L:1L,3,0.09000900090009
31,6,1,1,1,2,1O:1O:1O:1O:1O:2O,,2O1S,,1L:1L,3,0.09000900090009
32,7,0,1,1,2,::1O:1O:1O:1O:2O,,2O1S,,1L:1L,3,0.09000900090009
33,5,1,1,1,2,:1O:1O:2O:2O,,1N3O2S,,1L:1L,3,0.09000900090009
34,5,0,1,1,2,:1O:1O:1O:2O,,1N3O2S,,1L:1L,3,0.09000900090009
35,6,0,2,1,2,:1O:1O:1O:1O:2O,,:2O1S,,1L:1L,3,0.09000900090009
36,8,0,1,1,2,:1O:1O:1O:1O:1O:1O:2O,,2O1S,,1L:1L,3,0.09000900090009
37,8,1,0,1,2,:1O:1O:1O:1O:1O:1O:2O,,,,1L:1L,3,0.09000900090009
38,5,0,1,1,2,1O:1O:2O:2O:2O,,1N1O1S,,1L:1L,3,0.09000900090009
39,4,1,3,1,2,:1O:1O:2O,,1O:1O1S:2O1S,,1L:1L,3,0.09000900090009
40,5,1,1,1,2,1O:1O:1O:1O:2O,,1N1O1S,,1L:1L,3,0.09000900090009
41,5,0,2,1,2,1O:1O:1O:2O:2O,,1O:1O,,1L:1L,3,0.09000900090009
42,5,1,2,1,2,:1O:1O:1O:2O,,2O1S:2O1S,,1L:1L,3,0.09000900090009
43,4,1,1,1,2,:1O:1O:1O,,1N2O1S,,1L:1L,3,0.09000900090009
44,5,0,3,1,2,1O:1O:1O:1O:2O,,:1O:1O1S,,1L:1L,3,0.09000900090009
45,6,0,1,1,2,1O:1O:1O:1O:2O:2O,,1O1S,,1L:1L,3,0.09000900090009
46,5,0,1,1,2,1O:1O:1O:2O:2O,,2O1S,,1L:1L,3,0.09000900090009
47,5,1,1,1,2,:1O:1O:1O:2O,,1N4O2S,,1L:1L,3,0.09000900090009
48,5,0,1,1,2,1O:1O:1O:1O:2O,,1N3O2S,,1L:1L,3,0.09000900090009
49,4,1,3,2,2,1O:1O:1O:1O,,::1O1S,1S:1S:1S:1S:2S:3S:3S:3S,1L:1L,3,0.09000900090009
50,4,0,3,1,2,1O:1O:1O:2O,,1N1O1S:1O:1O1S,,1L:1L,3,0.09000900090009
51,8,0,1,1,2,:::1O:1O:1O:1O:2O,,2O1S,,1L:1L,3,0.09000900090009
52,8,0,0,1,2,:1O:1O:1O:1O:2O:2O:2O,,,,1L:1L,3,0.09000900090009
