,num_dol,num_dbe,num_tfsi,num_ps,num_li,atoms_dol,atoms_dbe,atoms_tfsi,atoms_ps,atoms_li,count,%
0,5,0,1,1,2,1O:1O:1O:1O:1O,,1O,,1L:1L,32,0.96009600960096
1,6,0,1,1,2,:1O:1O:1O:1O:1O,,1O,,1L:1L,22,0.6600660066006601
2,5,0,2,1,2,1O:1O:1O:1O:1O,,:1O,,1L:1L,19,0.57005700570057
3,5,0,2,1,2,1O:1O:1O:1O:1O,,1O:1O,,1L:1L,19,0.57005700570057
4,5,0,1,1,2,1O:1O:1O:1O:2O,,1O,,1L:1L,18,0.54005400540054
5,5,0,2,1,2,:1O:1O:1O:1O,,1O:1O,,1L:1L,16,0.48004800480048
6,6,0,1,1,2,1O:1O:1O:1O:1O:1O,,1O,,1L:1L,16,0.48004800480048
7,6,0,1,1,2,:1O:1O:1O:1O:2O,,1O,,1L:1L,15,0.45004500450045
8,5,0,1,2,2,:1O:1O:1O:1O,,1O,:::1S:1S:2S:2S:2S,1L:1L,14,0.42004200420042
9,5,0,1,1,2,1O:1O:1O:1O:1O,,2O,,1L:1L,14,0.42004200420042
10,4,1,2,1,2,1O:1O:1O:1O,,1O:1O,,1L:1L,13,0.39003900390039
11,4,1,2,1,2,1O:1O:1O:1O,,1O:2O,,1L:1L,13,0.39003900390039
12,4,0,2,1,2,1O:1O:1O:1O,,1O:2O1S,,1L:1L,13,0.39003900390039
13,5,0,1,1,2,1O:1O:1O:1O:1O,,1N1O1S,,1L:1L,13,0.39003900390039
14,4,1,1,1,2,1O:1O:1O:1O,1O,1O,,1L:1L,12,0.36003600360036
15,5,1,1,1,2,1O:1O:1O:1O:1O,,1O,,1L:1L,12,0.36003600360036
16,5,0,1,1,2,1O:1O:1O:1O:1O,,2O1S,,1L:1L,12,0.36003600360036
17,5,0,2,1,2,:1O:1O:1O:1O,,1O:2O1S,,1L:1L,12,0.36003600360036
18,4,0,2,1,2,1O:1O:1O:2O,,1O:1O,,1L:1L,12,0.36003600360036
19,5,1,1,1,2,1O:1O:1O:1O:2O,,1O,,1L:1L,11,0.33003300330033
20,4,0,3,1,2,:1O:1O:1O,,1O:1O:2O1S,,1L:1L,10,0.3000300030003
21,4,0,2,1,2,1O:1O:1O:1O,,1O:2O,,1L:1L,10,0.3000300030003
22,6,0,2,1,2,:1O:1O:1O:1O:1O,,1O:1O,,1L:1L,10,0.3000300030003
23,5,0,2,1,2,1O:1O:1O:1O:1O,,:1N1O1S,,1L:1L,10,0.3000300030003
24,6,0,0,1,1,:::1O:1O:1O,,,,1L,9,0.27002700270027
25,6,0,1,1,2,:1O:1O:1O:1O:1O,,1O1S,,1L:1L,9,0.27002700270027
26,4,1,1,1,2,1O:1O:1O:1O,1O,2O,,1L:1L,8,0.24002400240024
27,7,0,0,1,1,:::1O:1O:1O:1O,,,,1L,8,0.24002400240024
28,6,0,1,1,2,:1O:1O:1O:1O:1O,,2O,,1L:1L,8,0.24002400240024
29,5,0,2,1,2,:1O:1O:1O:1O,,1O:1O1S,,1L:1L,8,0.24002400240024
30,4,0,2,1,2,:1O:1O:1O,,1N1O1S:2O,,1L:1L,8,0.24002400240024
31,5,0,1,2,2,1O:1O:1O:1O:1O,,1O,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,7,0.21002100210021
32,5,0,2,1,2,1O:1O:1O:1O:1O,,:2O1S,,1L:1L,7,0.21002100210021
33,5,0,2,1,2,1O:1O:1O:1O:1O,,1O:1O1S,,1L:1L,7,0.21002100210021
34,4,1,1,1,2,:1O:1O:1O,1O,1O,,1L:1L,7,0.21002100210021
35,4,1,1,1,2,1O:1O:1O:2O,1O,1O,,1L:1L,7,0.21002100210021
36,3,0,3,1,2,1O:1O:1O,,1O:1O:1O,,1L:1L,7,0.21002100210021
37,3,0,3,1,2,1O:1O:1O,,1O:1O:1O1S,,1L:1L,7,0.21002100210021
38,4,2,1,1,2,1O:1O:1O:1O,:1O,1O,,1L:1L,7,0.21002100210021
39,6,1,0,1,1,::1O:1O:1O:1O,,,,1L,7,0.21002100210021
40,5,0,2,1,2,1O:1O:1O:1O:1O,,1O:2O,,1L:1L,7,0.21002100210021
41,7,0,0,1,2,:1O:1O:1O:1O:1O:2O,,,,1L:1L,7,0.21002100210021
42,4,0,2,2,2,:1O:1O:1O,,1O:1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,7,0.21002100210021
43,5,0,1,1,2,1O:1O:1O:1O:1O,,1O1S,,1L:1L,7,0.21002100210021
44,5,0,1,1,2,1O:1O:1O:1O:2O,,2O,,1L:1L,7,0.21002100210021
45,6,0,0,1,1,::1O:1O:1O:2O,,,,1L,7,0.21002100210021
46,4,2,2,1,2,1O:1O:1O:1O,:,1O:1O,,1L:1L,7,0.21002100210021
47,6,0,0,1,2,1O:1O:1O:1O:1O:2O,,,,1L:1L,7,0.21002100210021
48,4,0,0,2,2,:1O:1O:1O,,,1S:1S:2S:2S:2S:3S:3S:3S,1L:1L,6,0.18001800180018
49,3,0,4,1,2,1O:1O:1O,,1O:1O:1O:2O1S,,1L:1L,6,0.18001800180018
50,4,1,1,1,2,1O:1O:1O:1O,1O,2O1S,,1L:1L,6,0.18001800180018
51,5,0,2,1,2,1O:1O:1O:1O:1O,,1O:2O1S,,1L:1L,6,0.18001800180018
52,3,1,3,1,2,1O:1O:1O,,1O:1O:1O,,1L:1L,6,0.18001800180018
53,4,0,2,1,2,1O:1O:1O:2O,,1O:2O1S,,1L:1L,6,0.18001800180018
54,7,0,1,1,1,:::::1O:1O,,1O,,1L,6,0.18001800180018
55,6,0,1,1,2,1O:1O:1O:1O:1O:1O,,2O1S,,1L:1L,6,0.18001800180018
56,5,0,1,2,2,1O:1O:1O:1O:1O,,2O,1S:1S:1S:1S:1S:2S:2S:2S,1L:1L,6,0.18001800180018
57,4,1,2,1,2,1O:1O:1O:1O,,1O:1O1S,,1L:1L,6,0.18001800180018
58,3,1,1,1,2,1O:1O:2O,1O,1O,,1L:1L,6,0.18001800180018
59,6,0,1,1,2,:1O:1O:1O:1O:2O,,2O1S,,1L:1L,6,0.18001800180018
60,5,1,1,1,2,1O:1O:1O:1O:1O,,2O1S,,1L:1L,6,0.18001800180018
61,5,0,2,1,2,1O:1O:1O:1O:2O,,:1O,,1L:1L,6,0.18001800180018
62,5,0,1,1,2,1O:1O:1O:1O:2O,,2O1S,,1L:1L,6,0.18001800180018
63,4,0,3,1,2,:1O:1O:1O,,1O:1O:2O,,1L:1L,6,0.18001800180018
64,5,0,2,1,2,:1O:1O:1O:1O,,1O:2O,,1L:1L,6,0.18001800180018
65,4,0,3,1,2,:1O:1O:1O,,1O:1O:1O,,1L:1L,6,0.18001800180018
66,6,0,1,1,2,::1O:1O:1O:1O,,1O,,1L:1L,6,0.18001800180018
67,4,0,2,2,2,1O:1O:1O:1O,,1O:2O1S,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,5,0.15001500150015
68,5,0,1,2,2,:1O:1O:1O:1O,,1O,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,5,0.15001500150015
69,4,1,2,1,2,1O:1O:1O:1O,1O,1O:1O,,1L:1L,5,0.15001500150015
70,4,1,2,1,2,1O:1O:1O:1O,,1O:2O1S,,1L:1L,5,0.15001500150015
71,4,0,2,2,2,:1O:1O:1O,,1O:1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,5,0.15001500150015
72,5,0,2,1,2,:1O:1O:1O:2O,,1O:1O,,1L:1L,5,0.15001500150015
73,4,0,2,2,2,:1O:1O:1O,,1O:1O,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,5,0.15001500150015
74,6,0,1,1,2,1O:1O:1O:1O:1O:1O,,1O1S,,1L:1L,5,0.15001500150015
75,3,1,2,1,2,1O:1O:1O,1O,1O:1O,,1L:1L,5,0.15001500150015
76,6,0,1,1,2,:1O:1O:1O:1O:1O,,2O1S,,1L:1L,5,0.15001500150015
77,6,0,1,1,2,1O:1O:1O:1O:1O:2O,,1O,,1L:1L,5,0.15001500150015
78,4,0,2,1,2,:1O:1O:1O,,1O:1O,,1L:1L,5,0.15001500150015
79,3,0,3,1,2,1O:1O:1O,,1O:1O:2O,,1L:1L,5,0.15001500150015
80,4,0,2,1,2,1O:1O:1O:2O,,1O:1O1S,,1L:1L,5,0.15001500150015
81,6,0,2,1,2,::1O:1O:1O:1O,,1O:2O1S,,1L:1L,5,0.15001500150015
82,4,0,2,1,2,1O:1O:1O:1O,,1O:1O,,1L:1L,5,0.15001500150015
83,4,0,3,1,2,:1O:1O:1O,,1O:1O:1O1S,,1L:1L,5,0.15001500150015
84,6,0,2,1,2,:1O:1O:1O:1O:1O,,:1O,,1L:1L,5,0.15001500150015
85,4,0,3,1,2,:1O:1O:1O,,1N1O1S:1O:1O,,1L:1L,5,0.15001500150015
86,5,0,0,2,2,::1O:1O:1O,,,1S:1S:1S:1S:2S:3S:3S:3S,1L:1L,5,0.15001500150015
