,num_dol,num_degdme,num_tfsi,num_ps,num_li,atoms_dol,atoms_degdme,atoms_tfsi,atoms_ps,atoms_li,count,%
0,2,3,0,1,1,:1O,::3O,,,1L,152,4.56045604560456
1,3,2,0,1,1,::1O,:3O,,,1L,137,4.11041104110411
2,3,3,0,1,1,::1O,::3O,,,1L,109,3.2703270327032703
3,4,2,0,1,1,:::1O,:3O,,,1L,91,2.7302730273027302
4,2,2,0,1,1,:1O,:3O,,,1L,60,1.8001800180018002
5,3,2,0,1,1,:1O:1O,:3O,,,1L,54,1.62016201620162
6,1,3,0,1,1,1O,::3O,,,1L,52,1.56015601560156
7,2,3,0,1,1,:1O,::2O,,,1L,50,1.5001500150015
8,2,4,0,1,1,:1O,:::3O,,,1L,48,1.44014401440144
9,3,3,0,1,1,::1O,::2O,,,1L,45,1.35013501350135
10,4,1,0,1,1,:::1O,3O,,,1L,45,1.35013501350135
11,2,2,0,1,2,1O:1O,3O:3O,,,1L:1L,44,1.32013201320132
12,2,4,0,1,1,:1O,:::2O,,,1L,36,1.08010801080108
13,3,3,0,1,1,:1O:1O,::3O,,,1L,35,1.05010501050105
14,1,4,0,1,1,1O,:::3O,,,1L,34,1.02010201020102
15,4,2,0,1,1,::1O:1O,:3O,,,1L,33,0.99009900990099
16,4,2,0,1,1,:::1O,:2O,,,1L,31,0.93009300930093
17,3,2,0,1,1,::1O,:2O,,,1L,27,0.8100810081008101
18,2,3,0,1,1,1O:1O,::3O,,,1L,26,0.7800780078007801
19,2,2,0,1,2,1O:1O,2O:3O,,,1L:1L,23,0.6900690069006901
20,4,1,0,1,1,::1O:1O,3O,,,1L,23,0.6900690069006901
21,2,3,0,1,1,:,::3O,,,1L,22,0.6600660066006601
22,3,1,0,1,1,::1O,3O,,,1L,22,0.6600660066006601
23,5,1,0,1,1,::::1O,3O,,,1L,22,0.6600660066006601
24,4,2,0,1,1,::1O:1O,:2O,,,1L,20,0.6000600060006
25,3,3,0,1,1,:1O:1O,::2O,,,1L,19,0.57005700570057
26,3,3,0,1,1,::1O,:1O:3O,,,1L,18,0.54005400540054
27,2,2,0,1,1,1O:1O,:3O,,,1L,18,0.54005400540054
28,3,4,0,1,1,::1O,:::3O,,,1L,18,0.54005400540054
29,4,3,0,1,1,:::1O,::3O,,,1L,18,0.54005400540054
30,3,2,0,1,1,:1O:1O,:2O,,,1L,18,0.54005400540054
31,2,3,1,1,1,:1O,::3O,,,1L,17,0.51005100510051
32,2,2,1,1,1,:1O,:3O,,,1L,16,0.48004800480048
33,5,1,0,1,1,::1O:1O:1O,,,,1L,16,0.48004800480048
34,2,3,0,1,1,:1O,:1O:3O,,,1L,16,0.48004800480048
35,3,2,0,1,2,:1O:1O,3O:3O,,,1L:1L,15,0.45004500450045
36,2,2,0,1,1,:1O,1O:3O,,,1L,15,0.45004500450045
37,5,2,0,1,1,::::1O,:3O,,,1L,14,0.42004200420042
38,2,4,0,1,1,:1O,::1O:3O,,,1L,13,0.39003900390039
39,1,4,0,1,1,,:::3O,,,1L,13,0.39003900390039
40,4,3,0,1,0,:::,::,,,,13,0.39003900390039
41,3,3,0,1,1,::,::3O,,,1L,13,0.39003900390039
42,5,2,0,1,1,:::1O:1O,:2O,,,1L,13,0.39003900390039
43,2,2,0,1,1,:1O,:2O,,,1L,13,0.39003900390039
44,3,2,1,1,1,::1O,:3O,,,1L,13,0.39003900390039
45,2,4,0,1,1,1O:1O,:::3O,,,1L,12,0.36003600360036
46,2,3,0,1,1,:,:1O:3O,,,1L,12,0.36003600360036
47,2,3,0,1,1,1O:1O,::2O,,,1L,12,0.36003600360036
48,3,1,0,1,1,:1O:1O,3O,,,1L,12,0.36003600360036
49,4,3,0,1,1,:::1O,::2O,,,1L,11,0.33003300330033
50,3,2,0,1,1,::1O,1O:3O,,,1L,11,0.33003300330033
51,2,2,1,1,1,:1O,:2O,,,1L,11,0.33003300330033
52,1,2,1,1,2,1O,3O:3O,1O,,1L:1L,11,0.33003300330033
53,4,2,0,1,1,:::,:3O,,,1L,10,0.3000300030003
54,3,2,0,1,2,:1O:1O,2O:3O,,,1L:1L,10,0.3000300030003
55,4,3,0,1,1,::1O:1O,::3O,,,1L,10,0.3000300030003
56,1,2,0,1,1,1O,:3O,,,1L,10,0.3000300030003
57,2,3,0,1,1,:1O,:1O:2O,,,1L,10,0.3000300030003
58,6,1,0,1,1,:::1O:1O:1O,,,,1L,9,0.27002700270027
59,1,3,0,1,1,,::3O,,,1L,9,0.27002700270027
60,2,5,0,1,1,:1O,::::3O,,,1L,9,0.27002700270027
61,4,3,0,1,1,::1O:1O,::2O,,,1L,9,0.27002700270027
62,5,1,0,1,1,:::1O:1O,3O,,,1L,9,0.27002700270027
63,4,3,0,2,1,::1O:1O,::,,:::1S:1S:2S:2S:2S,1L,9,0.27002700270027
64,3,4,0,1,1,::1O,:::2O,,,1L,9,0.27002700270027
65,1,4,0,1,1,1O,:::2O,,,1L,9,0.27002700270027
66,3,2,0,1,1,::,:3O,,,1L,9,0.27002700270027
67,3,3,0,1,1,::1O,:1O:2O,,,1L,9,0.27002700270027
68,5,2,0,1,1,:::1O:1O,:3O,,,1L,9,0.27002700270027
69,1,5,0,1,1,1O,::::3O,,,1L,8,0.24002400240024
70,4,1,0,1,1,::1O:1O,2O,,,1L,8,0.24002400240024
71,3,4,0,1,0,::,:::,,,,8,0.24002400240024
