,num_dol,num_dipe,num_tfsi,num_ps,num_li,atoms_dol,atoms_dipe,atoms_tfsi,atoms_ps,atoms_li,count,%
0,5,0,2,1,2,:1O:1O:1O:1O,,1O:2O,,1L:1L,24,0.7200720072007201
1,5,0,2,1,2,1O:1O:1O:1O:1O,,1O:1O,,1L:1L,23,0.6900690069006901
2,5,0,2,1,2,:1O:1O:1O:1O,,1O:1O,,1L:1L,19,0.57005700570057
3,4,1,2,1,2,1O:1O:1O:1O,,1O:1O,,1L:1L,14,0.42004200420042
4,6,0,1,1,2,1O:1O:1O:1O:1O:1O,,1O,,1L:1L,13,0.39003900390039
5,4,1,1,1,2,1O:1O:1O:1O,1O,1O,,1L:1L,13,0.39003900390039
6,6,0,2,1,2,:1O:1O:1O:1O:1O,,1O:1O,,1L:1L,13,0.39003900390039
7,5,1,1,1,2,1O:1O:1O:1O:1O,,1O,,1L:1L,12,0.36003600360036
8,4,0,2,1,2,1O:1O:1O:1O,,1O:2O1S,,1L:1L,12,0.36003600360036
9,4,1,2,1,2,1O:1O:1O:1O,,1O:2O1S,,1L:1L,12,0.36003600360036
10,4,0,2,1,2,1O:1O:1O:1O,,1O:2O,,1L:1L,11,0.33003300330033
11,4,1,2,1,2,1O:1O:1O:1O,,1O:2O,,1L:1L,11,0.33003300330033
12,4,0,2,1,2,1O:1O:1O:1O,,1O:1O,,1L:1L,11,0.33003300330033
13,4,1,1,1,2,1O:1O:1O:2O,1O,1O,,1L:1L,10,0.3000300030003
14,5,0,2,1,2,1O:1O:1O:1O:1O,,1O:2O,,1L:1L,10,0.3000300030003
15,5,0,2,1,2,:1O:1O:1O:1O,,1O:2O1S,,1L:1L,10,0.3000300030003
16,3,2,1,1,2,1O:1O:1O,:1O,1O,,1L:1L,10,0.3000300030003
17,5,0,1,1,2,1O:1O:1O:1O:2O,,1O,,1L:1L,10,0.3000300030003
18,5,0,2,1,2,1O:1O:1O:1O:1O,,1O:2O1S,,1L:1L,10,0.3000300030003
19,4,1,2,1,2,1O:1O:1O:2O,,1O:1O,,1L:1L,10,0.3000300030003
20,6,0,1,1,2,:1O:1O:1O:1O:1O,,2O1S,,1L:1L,9,0.27002700270027
21,5,0,2,1,2,:1O:1O:1O:2O,,1O:2O1S,,1L:1L,9,0.27002700270027
22,5,0,1,1,2,1O:1O:1O:1O:1O,,2O1S,,1L:1L,8,0.24002400240024
23,5,1,1,1,2,1O:1O:1O:1O:1O,,2O1S,,1L:1L,8,0.24002400240024
24,3,1,1,1,2,1O:1O:1O,1O,1O1S,,1L:1L,8,0.24002400240024
25,5,0,3,1,2,1O:1O:1O:1O:1O,,1O:1O:1O,,1L:1L,7,0.21002100210021
26,5,1,1,1,2,:1O:1O:1O:1O,1O,1O,,1L:1L,7,0.21002100210021
27,4,0,3,1,2,1O:1O:1O:1O,,:1O:1O,,1L:1L,7,0.21002100210021
28,5,1,1,1,2,1O:1O:1O:1O:1O,,2O,,1L:1L,7,0.21002100210021
29,5,0,1,1,2,1O:1O:1O:1O:1O,,2O,,1L:1L,7,0.21002100210021
30,5,0,1,1,2,1O:1O:1O:1O:1O,,1O1S,,1L:1L,7,0.21002100210021
31,4,0,2,1,2,1O:1O:1O:1O,,2O:2O1S,,1L:1L,7,0.21002100210021
32,5,0,3,1,2,:1O:1O:1O:1O,,1O:1O:1O,,1L:1L,7,0.21002100210021
33,4,0,2,1,2,1O:1O:1O:1O,,1O:1O1S,,1L:1L,7,0.21002100210021
34,5,1,1,1,2,:1O:1O:1O:1O,1O,2O1S,,1L:1L,7,0.21002100210021
35,4,0,2,1,2,1O:1O:1O:1O,,1N1O1S:1O,,1L:1L,7,0.21002100210021
36,4,1,1,1,2,:1O:1O:1O,1O,1O,,1L:1L,7,0.21002100210021
37,3,1,1,1,2,1O:1O:1O,1O,2O1S,,1L:1L,6,0.18001800180018
38,4,1,1,1,2,:1O:1O:1O,1O,2O,,1L:1L,6,0.18001800180018
39,4,0,3,1,2,1O:1O:1O:1O,,1O:1O:1O,,1L:1L,6,0.18001800180018
40,4,0,3,1,2,1O:1O:1O:1O,,1O:1O:1O1S,,1L:1L,6,0.18001800180018
41,5,1,1,1,2,1O:1O:1O:1O:2O,,1O,,1L:1L,6,0.18001800180018
42,5,1,1,1,2,1O:1O:1O:1O:1O,,3O1S,,1L:1L,6,0.18001800180018
43,5,0,1,2,2,1O:1O:1O:1O:1O,,1O,::1S:1S:2S:2S:2S:2S,1L:1L,6,0.18001800180018
44,4,1,1,1,2,1O:1O:1O:1O,1O,2O1S,,1L:1L,6,0.18001800180018
45,6,0,2,1,2,:1O:1O:1O:1O:2O,,1O:1O,,1L:1L,6,0.18001800180018
46,4,0,3,1,2,1O:1O:1O:1O,,:1O:2O,,1L:1L,6,0.18001800180018
47,5,1,2,1,2,:1O:1O:1O:1O,,1O:2O1S,,1L:1L,6,0.18001800180018
48,4,0,2,1,2,1O:1O:1O:1O,,1N3O2S:1O,,1L:1L,6,0.18001800180018
49,4,1,2,1,2,1O:1O:1O:1O,,1O:1O1S,,1L:1L,6,0.18001800180018
50,3,1,1,1,2,1O:1O:1O,1O,1O,,1L:1L,6,0.18001800180018
51,4,2,1,1,2,1O:1O:1O:1O,:1O,1O,,1L:1L,6,0.18001800180018
52,5,0,2,1,2,:1O:1O:1O:2O,,1O:2O,,1L:1L,6,0.18001800180018
53,6,0,0,1,1,:::1O:1O:1O,,,,1L,6,0.18001800180018
54,5,0,1,1,2,1O:1O:1O:1O:1O,,1O,,1L:1L,6,0.18001800180018
55,5,0,2,1,2,:1O:1O:1O:2O,,1O:1O,,1L:1L,6,0.18001800180018
56,7,0,0,1,1,:::1O:1O:1O:2O,,,,1L,6,0.18001800180018
57,5,0,2,1,2,:1O:1O:1O:1O,,1O:1O1S,,1L:1L,5,0.15001500150015
58,5,0,3,1,2,:1O:1O:1O:1O,,1O:1O:1O1S,,1L:1L,5,0.15001500150015
59,5,0,1,2,2,:1O:1O:1O:1O,,1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,5,0.15001500150015
60,5,0,1,2,2,:1O:1O:1O:1O,,1O,:::1S:1S:2S:2S:2S,1L:1L,5,0.15001500150015
61,3,1,2,1,2,:1O:1O,1O,1O:2O,,1L:1L,5,0.15001500150015
62,3,2,1,1,2,1O:1O:2O,:1O,1O,,1L:1L,5,0.15001500150015
63,4,0,2,1,2,1O:1O:1O:2O,,1O:1O,,1L:1L,5,0.15001500150015
64,3,2,1,1,2,1O:1O:1O,:1O,2O,,1L:1L,5,0.15001500150015
65,5,0,1,2,2,:1O:1O:1O:1O,,2O1S,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,5,0.15001500150015
66,4,0,2,1,2,1O:1O:1O:2O,,1O:2O1S,,1L:1L,5,0.15001500150015
67,5,0,3,1,2,1O:1O:1O:1O:1O,,:1O:1O,,1L:1L,5,0.15001500150015
68,3,1,2,1,2,1O:1O:1O,1O,1O:1O,,1L:1L,5,0.15001500150015
69,6,0,0,1,2,1O:1O:1O:1O:1O:2O,,,,1L:1L,5,0.15001500150015
70,6,1,0,1,1,:::1O:1O:1O,,,,1L,5,0.15001500150015
71,3,1,1,1,2,1O:1O:1O,1O,1N3O2S,,1L:1L,5,0.15001500150015
