,num_dol,num_dma,num_tfsi,num_ps,num_li,atoms_dol,atoms_dma,atoms_tfsi,atoms_ps,atoms_li,count,%
0,2,3,0,1,1,:1O,:1O:1O,,,1L,63,1.8901890189018904
1,2,3,0,1,1,:1O,::1O,,,1L,57,1.7101710171017102
2,3,3,0,1,1,::1O,:1O:1O,,,1L,54,1.62016201620162
3,2,2,0,1,1,:1O,:1O,,,1L,53,1.59015901590159
4,2,3,0,1,1,:,:1O:1O,,,1L,52,1.56015601560156
5,3,2,0,1,1,::1O,:1O,,,1L,48,1.44014401440144
6,3,2,0,1,1,:1O:1O,:1O,,,1L,47,1.41014101410141
7,2,4,0,1,1,:1O,::1O:1O,,,1L,46,1.38013801380138
8,4,2,0,1,1,::1O:1O,:1O,,,1L,46,1.38013801380138
9,1,4,0,1,1,,::1O:1O,,,1L,44,1.32013201320132
10,1,4,0,1,1,,:1O:1O:1O,,,1L,44,1.32013201320132
11,1,5,0,1,1,,::1O:1O:1O,,,1L,43,1.29012901290129
12,2,4,0,1,1,:,:1O:1O:1O,,,1L,42,1.26012601260126
13,4,2,0,1,1,:::1O,:1O,,,1L,39,1.17011701170117
14,1,3,0,1,1,,:1O:1O,,,1L,37,1.11011101110111
15,2,4,0,1,1,:,::1O:1O,,,1L,35,1.05010501050105
16,0,5,0,1,1,,::1O:1O:1O,,,1L,33,0.99009900990099
17,2,2,0,1,1,:,:1O,,,1L,27,0.8100810081008101
18,1,5,0,1,2,,1O:1O:1O:1O:1O,,,1L:1L,27,0.8100810081008101
19,3,3,0,1,1,::1O,::1O,,,1L,27,0.8100810081008101
20,3,3,0,1,1,::,:1O:1O,,,1L,26,0.7800780078007801
21,1,4,0,1,1,1O,::1O:1O,,,1L,26,0.7800780078007801
22,2,3,0,1,2,:1O,1O:1O:1O,,,1L:1L,25,0.7500750075007501
23,1,3,0,1,1,1O,::1O,,,1L,24,0.7200720072007201
24,2,3,0,1,2,1O:1O,1O:1O:1O,,,1L:1L,22,0.6600660066006601
25,4,1,0,1,1,::1O:1O,,,,1L,22,0.6600660066006601
26,5,1,0,1,1,:::1O:1O,1O,,,1L,22,0.6600660066006601
27,3,3,0,1,1,:1O:1O,::1O,,,1L,21,0.6300630063006301
28,2,4,0,1,2,1O:1O,1O:1O:1O:1O,,,1L:1L,20,0.6000600060006
29,1,4,0,1,2,1O,1O:1O:1O:1O,,,1L:1L,20,0.6000600060006
30,3,3,0,1,2,:1O:1O,1O:1O:1O,,,1L:1L,19,0.57005700570057
31,3,2,0,1,1,::1O,1O:1O,,,1L,19,0.57005700570057
32,0,5,0,1,2,,1O:1O:1O:1O:1O,,,1L:1L,19,0.57005700570057
33,2,3,0,1,1,:,::1O,,,1L,18,0.54005400540054
34,2,4,0,1,2,:1O,1O:1O:1O:1O,,,1L:1L,18,0.54005400540054
35,1,4,0,1,2,,1O:1O:1O:1O,,,1L:1L,18,0.54005400540054
36,3,4,0,1,1,::1O,::1O:1O,,,1L,18,0.54005400540054
37,2,4,0,1,1,:1O,:::1O,,,1L,18,0.54005400540054
38,0,4,0,1,1,,::1O:1O,,,1L,18,0.54005400540054
39,4,2,0,1,1,:::1O,1O:1O,,,1L,18,0.54005400540054
40,4,1,0,1,1,::1O:1O,1O,,,1L,18,0.54005400540054
41,3,1,0,1,1,::1O,1O,,,1L,18,0.54005400540054
42,1,4,0,1,2,1O,:1O:1O:1O,,,1L:1L,17,0.51005100510051
43,2,2,0,1,1,:1O,:,,,1L,17,0.51005100510051
44,2,4,0,1,2,1O:1O,:1O:1O:1O,,,1L:1L,17,0.51005100510051
45,2,3,0,1,1,:,1O:1O:1O,,,1L,16,0.48004800480048
46,3,1,0,1,1,::1O,,,,1L,16,0.48004800480048
47,2,2,0,1,2,1O:1O,1O:1O,,,1L:1L,16,0.48004800480048
48,3,2,0,1,1,::1O,:,,,1L,16,0.48004800480048
49,1,5,0,1,1,,:::1O:1O,,,1L,16,0.48004800480048
50,2,3,0,1,2,1O:1O,:1O:1O,,,1L:1L,16,0.48004800480048
51,4,1,0,1,1,:::1O,1O,,,1L,16,0.48004800480048
52,3,2,0,1,1,::,:1O,,,1L,15,0.45004500450045
53,1,4,0,1,1,1O,:::1O,,,1L,15,0.45004500450045
54,4,3,0,1,1,:::1O,:1O:1O,,,1L,15,0.45004500450045
55,1,5,0,1,2,1O,:1O:1O:1O:1O,,,1L:1L,14,0.42004200420042
56,3,2,0,1,1,:1O:1O,:,,,1L,14,0.42004200420042
57,1,3,0,1,2,1O,1O:1O:1O,,,1L:1L,14,0.42004200420042
58,0,5,0,1,1,,:::1O:1O,,,1L,14,0.42004200420042
59,2,5,0,1,1,:,::1O:1O:1O,,,1L,14,0.42004200420042
60,1,4,0,1,1,,:::1O,,,1L,13,0.39003900390039
61,3,2,0,1,1,::,1O:1O,,,1L,13,0.39003900390039
62,3,2,0,1,2,:1O:1O,1O:1O,,,1L:1L,13,0.39003900390039
63,1,3,0,1,1,1O,:1O:1O,,,1L,13,0.39003900390039
64,3,2,1,1,1,::1O,:1O,1O,,1L,13,0.39003900390039
65,1,2,0,1,1,,:1O,,,1L,12,0.36003600360036
66,1,3,0,1,1,,::1O,,,1L,12,0.36003600360036
67,2,2,0,1,1,:1O,1O:1O,,,1L,12,0.36003600360036
68,4,3,0,1,1,::1O:1O,::1O,,,1L,12,0.36003600360036
69,1,5,0,1,2,,:1O:1O:1O:1O,,,1L:1L,12,0.36003600360036
70,1,6,0,1,1,,:::1O:1O:1O,,,1L,12,0.36003600360036
71,2,1,0,1,1,:1O,,,,1L,11,0.33003300330033
72,1,5,0,1,1,1O,:::1O:1O,,,1L,11,0.33003300330033
73,3,1,0,1,1,:1O:1O,,,,1L,11,0.33003300330033
74,2,2,0,1,1,:,1O:1O,,,1L,11,0.33003300330033
75,4,1,0,1,1,:::1O,,,,1L,11,0.33003300330033
76,3,4,0,1,2,:1O:1O,1O:1O:1O:1O,,,1L:1L,11,0.33003300330033
77,3,1,1,1,1,::1O,1O,1O,,1L,11,0.33003300330033
78,1,2,0,1,1,1O,:1O,,,1L,11,0.33003300330033
79,5,2,0,1,1,:::1O:1O,:1O,,,1L,11,0.33003300330033
80,2,3,1,1,1,:1O,::1O,1O,,1L,11,0.33003300330033
81,2,2,1,1,2,1O:1O,1O:1O,1O,,1L:1L,10,0.3000300030003
82,3,1,1,1,1,:1O:1O,,1O,,1L,10,0.3000300030003
83,1,3,0,1,2,,1O:1O:1O,,,1L:1L,10,0.3000300030003
84,4,1,0,1,1,:1O:1O:1O,,,,1L,10,0.3000300030003
85,1,4,1,1,2,1O,:1O:1O:1O,1O,,1L:1L,10,0.3000300030003
86,3,3,0,1,1,::,1O:1O:1O,,,1L,10,0.3000300030003
87,1,5,0,1,2,1O,::1O:1O:1O,,,1L:1L,10,0.3000300030003
88,2,1,0,1,1,:1O,1O,,,1L,10,0.3000300030003
89,4,2,0,1,1,::1O:1O,:,,,1L,10,0.3000300030003
90,5,1,0,1,1,:::1O:1O,,,,1L,10,0.3000300030003
91,3,1,0,1,1,:1O:1O,1O,,,1L,9,0.27002700270027
92,1,3,1,1,1,,::1O,1O,,1L,9,0.27002700270027
93,2,3,0,1,2,:1O,:1O:1O,,,1L:1L,9,0.27002700270027
94,2,2,1,1,1,:1O,:,1O,,1L,9,0.27002700270027
95,3,3,0,1,1,:1O:1O,::,,,1L,9,0.27002700270027
96,1,5,0,1,2,1O,1O:1O:1O:1O:1O,,,1L:1L,9,0.27002700270027
97,3,2,0,1,0,::,:,,,,9,0.27002700270027
98,0,6,0,1,2,,1O:1O:1O:1O:1O:1O,,,1L:1L,9,0.27002700270027
99,2,2,1,1,1,:1O,:1O,1O,,1L,9,0.27002700270027
100,3,3,0,1,2,::1O,1O:1O:1O,,,1L:1L,8,0.24002400240024
101,2,3,0,1,1,1O:1O,::1O,,,1L,8,0.24002400240024
102,2,5,0,1,1,:1O,:::1O:1O,,,1L,8,0.24002400240024
103,4,1,1,1,1,:::1O,,1O,,1L,8,0.24002400240024
104,1,3,1,1,1,1O,::1O,1O,,1L,8,0.24002400240024
105,0,4,0,1,1,,:::1O,,,1L,8,0.24002400240024
106,0,4,0,1,2,,1O:1O:1O:1O,,,1L:1L,8,0.24002400240024
107,0,4,0,1,2,,:1O:1O:1O,,,1L:1L,8,0.24002400240024
108,1,3,1,1,2,1O,:1O:1O,1O,,1L:1L,8,0.24002400240024
109,2,3,1,1,2,1O:1O,1O:1O:1O,1O,,1L:1L,8,0.24002400240024
110,5,0,0,1,1,:::1O:1O,,,,1L,8,0.24002400240024
111,3,1,1,1,1,::1O,,1O,,1L,8,0.24002400240024
112,2,2,0,1,2,:1O,1O:1O,,,1L:1L,8,0.24002400240024
113,2,2,1,1,1,:,:1O,1O,,1L,8,0.24002400240024
