,num_dol,num_dmds,num_tfsi,num_ps,num_li,atoms_dol,atoms_dmds,atoms_tfsi,atoms_ps,atoms_li,count,%
0,5,0,1,1,2,1O:1O:1O:1O:1O,,1O,,1L:1L,26,0.7800780078007801
1,6,0,0,1,2,1O:1O:1O:1O:1O:2O,,,,1L:1L,20,0.6000600060006
2,6,0,1,1,2,1O:1O:1O:1O:1O:1O,,1O,,1L:1L,20,0.6000600060006
3,5,1,1,1,2,1O:1O:1O:1O:1O,1S,1O,,1L:1L,17,0.51005100510051
4,6,0,1,1,2,:1O:1O:1O:1O:1O,,1O,,1L:1L,16,0.48004800480048
5,5,0,1,1,2,1O:1O:1O:1O:2O,,1O,,1L:1L,13,0.39003900390039
6,5,0,2,1,2,1O:1O:1O:1O:1O,,1O:1O,,1L:1L,13,0.39003900390039
7,5,1,1,1,2,1O:1O:1O:1O:1O,,1O,,1L:1L,13,0.39003900390039
8,4,0,2,1,2,1O:1O:1O:1O,,1O:2O,,1L:1L,12,0.36003600360036
9,6,1,0,1,1,:::1O:1O:1O,,,,1L,12,0.36003600360036
10,5,1,1,1,2,1O:1O:1O:1O:2O,,1O,,1L:1L,12,0.36003600360036
11,4,3,0,1,1,:1O:1O:1O,::1S,,,1L,12,0.36003600360036
12,5,2,0,1,1,::1O:1O:1O,:,,,1L,11,0.33003300330033
13,4,2,0,1,1,:1O:1O:1O,:1S,,,1L,10,0.3000300030003
14,6,0,1,1,2,:1O:1O:1O:1O:2O,,1O,,1L:1L,10,0.3000300030003
15,4,3,0,1,1,:1O:1O:1O,::,,,1L,10,0.3000300030003
16,6,0,0,1,1,:::1O:1O:1O,,,,1L,10,0.3000300030003
17,6,0,0,1,2,1O:1O:1O:1O:1O:1O,,,,1L:1L,10,0.3000300030003
18,6,1,0,1,1,::1O:1O:1O:1O,,,,1L,9,0.27002700270027
19,5,0,1,1,2,1O:1O:1O:1O:1O,,2O,,1L:1L,9,0.27002700270027
20,7,0,0,1,2,:1O:1O:1O:1O:1O:2O,,,,1L:1L,9,0.27002700270027
21,3,3,0,1,1,1O:1O:1O,::1S,,,1L,9,0.27002700270027
22,5,1,1,1,2,:1O:1O:1O:1O,1S,1O,,1L:1L,9,0.27002700270027
23,5,1,0,1,1,::1O:1O:1O,,,,1L,9,0.27002700270027
24,3,4,0,1,1,1O:1O:1O,:::1S,,,1L,9,0.27002700270027
25,4,0,1,1,2,1O:1O:1O:1O,,1O,,1L:1L,8,0.24002400240024
26,5,0,1,1,2,:1O:1O:1O:1O,,1O,,1L:1L,8,0.24002400240024
27,5,0,2,1,2,:1O:1O:1O:1O,,1O:1O,,1L:1L,8,0.24002400240024
