,num_dol,num_dmf,num_tfsi,num_ps,num_li,atoms_dol,atoms_dmf,atoms_tfsi,atoms_ps,atoms_li,count,%
0,3,4,0,1,1,::1O,::1O:1O,,,1L,42,1.26012601260126
1,4,4,0,1,1,:::1O,::1O:1O,,,1L,31,0.93009300930093
2,4,3,0,1,1,:::1O,:1O:1O,,,1L,24,0.7200720072007201
3,3,4,0,1,1,:1O:1O,::1O:1O,,,1L,23,0.6900690069006901
4,4,4,0,1,1,::1O:1O,::1O:1O,,,1L,22,0.6600660066006601
5,2,6,0,1,1,:,:::1O:1O:1O,,,1L,19,0.57005700570057
6,2,5,0,1,1,:,::1O:1O:1O,,,1L,19,0.57005700570057
7,4,3,0,1,1,::1O:1O,:1O:1O,,,1L,18,0.54005400540054
8,5,3,0,1,1,::::1O,:1O:1O,,,1L,17,0.51005100510051
9,2,5,0,1,1,:1O,::1O:1O:1O,,,1L,16,0.48004800480048
10,3,5,0,1,1,:1O:1O,:::1O:1O,,,1L,15,0.45004500450045
11,3,3,0,1,1,::1O,:1O:1O,,,1L,15,0.45004500450045
12,2,5,0,1,1,:1O,:::1O:1O,,,1L,15,0.45004500450045
13,3,4,0,1,1,::1O,:1N:1O:1O,,,1L,15,0.45004500450045
14,3,5,0,1,1,::1O,::1O:1O:1O,,,1L,14,0.42004200420042
15,3,4,0,1,1,::1O,::1N1O:1O,,,1L,14,0.42004200420042
16,3,5,0,1,1,::1O,:::1O:1O,,,1L,13,0.39003900390039
17,3,5,0,1,1,::,::1O:1O:1O,,,1L,13,0.39003900390039
18,3,4,0,1,1,::1O,:1O:1O:1O,,,1L,13,0.39003900390039
19,5,4,0,1,1,:::1O:1O,::1O:1O,,,1L,13,0.39003900390039
20,3,4,0,1,1,:1O:1O,:1N:1O:1O,,,1L,13,0.39003900390039
21,2,5,0,1,1,:1O,::1N:1O:1O,,,1L,13,0.39003900390039
22,2,4,0,1,1,:1O,:1N:1O:1O,,,1L,12,0.36003600360036
23,1,6,0,1,1,,::1N:1O:1O:1O,,,1L,12,0.36003600360036
24,3,4,0,1,1,::,:1O:1O:1O,,,1L,12,0.36003600360036
25,4,3,0,1,1,::1O:1O,::1O,,,1L,11,0.33003300330033
26,3,5,0,1,1,::1O,::1N:1O:1O,,,1L,11,0.33003300330033
27,2,6,0,1,2,:1O,:1O:1O:1O:1O:1O,,,1L:1L,11,0.33003300330033
28,2,5,0,1,1,:,:1N:1O:1O:1O,,,1L,11,0.33003300330033
29,5,3,0,1,1,:::1O:1O,:1O:1O,,,1L,11,0.33003300330033
30,4,3,0,1,1,:1O:1O:1O,::1O,,,1L,11,0.33003300330033
31,5,2,0,1,1,:::1O:1O,1O:1O,,,1L,11,0.33003300330033
32,4,4,0,1,1,::1O:1O,:::1O,,,1L,10,0.3000300030003
33,4,3,0,1,1,:::1O,1N:1O:1O,,,1L,10,0.3000300030003
34,2,5,0,1,2,:1O,1N1O:1O:1O:1O:1O,,,1L:1L,10,0.3000300030003
35,2,6,0,1,1,:,::1N:1O:1O:1O,,,1L,10,0.3000300030003
36,2,5,0,1,1,:1O,::1N1O:1O:1O,,,1L,9,0.27002700270027
37,4,3,0,1,1,::1O:1O,:1N1O:1O,,,1L,9,0.27002700270027
38,3,5,0,1,1,::1O,::1N1O:1O:1O,,,1L,9,0.27002700270027
39,5,4,0,1,1,::::1O,::1O:1O,,,1L,9,0.27002700270027
40,3,3,0,1,1,:1O:1O,:1O:1O,,,1L,9,0.27002700270027
41,2,4,0,1,1,:1O,:1N1O:1O:1O,,,1L,9,0.27002700270027
42,2,5,0,1,2,:1O,1O:1O:1O:1O:1O,,,1L:1L,9,0.27002700270027
43,3,4,0,1,1,::,:1N1O:1O:1O,,,1L,9,0.27002700270027
44,4,4,0,1,1,::1O:1O,::1N1O:1O,,,1L,9,0.27002700270027
45,4,5,0,1,1,:::,::1O:1O:1O,,,1L,9,0.27002700270027
46,4,4,0,1,1,:::1O,:1O:1O:1O,,,1L,9,0.27002700270027
47,3,4,0,1,2,:1O:1O,1O:1O:1O:1O,,,1L:1L,9,0.27002700270027
48,2,5,0,1,1,:1O,:1N:1O:1O:1O,,,1L,8,0.24002400240024
49,2,6,0,1,2,:1O,:1N1O:1O:1O:1O:1O,,,1L:1L,8,0.24002400240024
50,4,4,0,1,1,:::,:1O:1O:1O,,,1L,8,0.24002400240024
51,3,5,0,1,2,::1O,1O:1O:1O:1O:1O,,,1L:1L,8,0.24002400240024
52,2,4,0,1,1,:1O,::1O:1O,,,1L,8,0.24002400240024
53,3,5,0,1,1,::,::1N1O:1O:1O,,,1L,8,0.24002400240024
54,3,5,0,1,2,:1O:1O,:1O:1O:1O:1O,,,1L:1L,8,0.24002400240024
55,1,6,0,1,1,,:::1O:1O:1O,,,1L,8,0.24002400240024
56,3,5,0,1,1,:1O:1O,::1N:1O:1O,,,1L,8,0.24002400240024
57,4,4,0,1,1,:1O:1O:1O,::1O:1O,,,1L,7,0.21002100210021
58,3,3,0,1,1,:1O:1O,:1N1O:1O,,,1L,7,0.21002100210021
59,4,3,0,1,1,::1O:1O,1N:1O:1O,,,1L,7,0.21002100210021
60,1,6,0,1,1,,:::1N1O:1O:1O,,,1L,7,0.21002100210021
61,3,4,0,1,1,::1O,:1N1O:1O:1O,,,1L,7,0.21002100210021
62,2,5,0,1,1,:1O,:1N1O:1O:1O:1O,,,1L,7,0.21002100210021
63,4,5,0,1,1,:::1O,:::1O:1O,,,1L,7,0.21002100210021
64,3,5,0,1,1,::,:1N:1O:1O:1O,,,1L,7,0.21002100210021
65,2,5,0,1,1,1O:1O,:::1O:1O,,,1L,6,0.18001800180018
66,3,6,0,1,1,::1O,::::1O:1O,,,1L,6,0.18001800180018
67,3,6,0,1,1,::1O,:::1O:1O:1O,,,1L,6,0.18001800180018
68,5,3,0,1,1,::1O:1O:1O,::1O,,,1L,6,0.18001800180018
69,6,2,0,1,1,::::1O:1O,1O:1O,,,1L,6,0.18001800180018
70,2,6,0,1,2,:2O,:1O:1O:1O:1O:1O,,,1L:1L,6,0.18001800180018
71,3,6,0,1,1,::,:::1O:1O:1O,,,1L,6,0.18001800180018
72,2,6,0,1,2,1O:1O,:1O:1O:1O:1O:1O,,,1L:1L,6,0.18001800180018
73,3,4,0,1,1,::1O,1N:1O:1O:1O,,,1L,6,0.18001800180018
74,2,6,0,1,1,:1O,:::1O:1O:1O,,,1L,6,0.18001800180018
75,2,6,0,1,1,:1O,:::1N1O:1O:1O,,,1L,6,0.18001800180018
76,4,5,0,1,1,::1O:1O,:::1O:1O,,,1L,6,0.18001800180018
77,2,6,0,1,1,:,:::1N1O:1O:1O,,,1L,6,0.18001800180018
78,1,6,0,1,1,1O,:::1N1O:1O:1O,,,1L,6,0.18001800180018
79,1,5,0,1,1,,:1N:1O:1O:1O,,,1L,6,0.18001800180018
80,5,3,0,1,1,::1O:1O:1O,:1O:1O,,,1L,6,0.18001800180018
81,2,5,0,1,1,1O:1O,::1N1O:1O:1O,,,1L,6,0.18001800180018
82,4,3,0,1,1,:::1O,:1N1O:1O,,,1L,6,0.18001800180018
83,6,3,0,1,1,:::::1O,:1O:1O,,,1L,6,0.18001800180018
84,3,5,0,1,1,:1O:1O,::1O:1O:1O,,,1L,6,0.18001800180018
85,6,2,0,1,1,:::1O:1O:1O,:1O,,,1L,6,0.18001800180018
86,5,2,0,1,1,:::1O:1O,:1O,,,1L,6,0.18001800180018
87,5,2,0,1,1,::::1O,1O:1O,,,1L,6,0.18001800180018
88,4,2,0,1,1,:::1O,1O:1O,,,1L,6,0.18001800180018
89,4,3,0,1,1,:1O:1O:1O,:1O:1O,,,1L,6,0.18001800180018
90,2,5,0,1,2,1O:1O,:1O:1O:1O:1O,,,1L:1L,6,0.18001800180018
91,3,6,0,1,1,:1O:1O,::::1O:1O,,,1L,6,0.18001800180018
92,3,5,0,1,2,:1O:1O,1O:1O:1O:1O:1O,,,1L:1L,6,0.18001800180018
93,4,3,0,1,1,::1O:1O,1O:1O:1O,,,1L,6,0.18001800180018
94,4,4,0,1,1,:::1O,:1N1O:1O:1O,,,1L,5,0.15001500150015
95,2,4,0,1,1,:1O,:1N:1N1O:1O,,,1L,5,0.15001500150015
96,1,6,0,1,2,1O,:1O:1O:1O:1O:1O,,,1L:1L,5,0.15001500150015
97,1,6,0,1,1,1O,:::1N:1O:1O,,,1L,5,0.15001500150015
98,1,6,0,1,1,,::1N:1N1O:1O:1O,,,1L,5,0.15001500150015
99,1,5,0,1,1,,::1O:1O:1O,,,1L,5,0.15001500150015
100,2,5,0,1,1,:1O,:::1N1O:1O,,,1L,5,0.15001500150015
101,4,5,0,1,1,:::1O,::1N:1O:1O,,,1L,5,0.15001500150015
102,2,4,0,1,1,1O:1O,::1O:1O,,,1L,5,0.15001500150015
103,2,4,0,1,1,1O:1O,:1N:1O:1O,,,1L,5,0.15001500150015
104,1,7,0,1,2,1O,::1O:1O:1O:1O:1O,,,1L:1L,5,0.15001500150015
105,2,5,0,1,1,:,::1N1O:1O:1O,,,1L,5,0.15001500150015
106,5,3,0,1,1,:::1O:1O,::1O,,,1L,5,0.15001500150015
107,2,4,0,1,1,:1O,::1N1O:1O,,,1L,5,0.15001500150015
108,4,3,0,1,1,::1O:1O,:1N:1O,,,1L,5,0.15001500150015
109,5,2,0,1,1,::1O:1O:1O,1O:1O,,,1L,5,0.15001500150015
110,1,5,1,1,2,1O,:1O:1O:1O:1O,1O,,1L:1L,5,0.15001500150015
111,4,4,0,1,1,::1O:1O,:1O:1O:1O,,,1L,5,0.15001500150015
112,2,5,0,1,1,:1O,:1N:1N1O:1O:1O,,,1L,5,0.15001500150015
113,4,3,0,1,1,:::1O,1N1O:1O:1O,,,1L,5,0.15001500150015
114,5,3,0,1,1,:::1O:1O,1N:1O:1O,,,1L,5,0.15001500150015
115,1,7,0,1,1,,::::1O:1O:1O,,,1L,5,0.15001500150015
116,2,4,0,1,1,:1O,1N:1N1O:1O:1O,,,1L,5,0.15001500150015
117,1,6,0,1,2,1O,:1N1O:1O:1O:1O:1O,,,1L:1L,5,0.15001500150015
118,2,5,1,1,1,:1O,:::1O:1O,,,1L,5,0.15001500150015
119,4,2,0,1,1,::1O:1O,1O:1O,,,1L,5,0.15001500150015
120,3,3,1,1,1,::1O,:1O:1O,,,1L,5,0.15001500150015
121,5,4,0,1,1,::::,:1O:1O:1O,,,1L,5,0.15001500150015
122,3,3,0,1,1,:1O:1O,:1N:1O,,,1L,5,0.15001500150015
123,6,3,0,1,1,:::1O:1O:1O,:1O:1O,,,1L,5,0.15001500150015
124,3,4,1,1,2,:1O:1O,1O:1O:1O:1O,,,1L:1L,5,0.15001500150015
125,3,4,0,1,1,:1O:1O,:1N:1N1O:1O,,,1L,5,0.15001500150015
126,3,4,0,1,1,:1O:1O,:1O:1O:1O,,,1L,5,0.15001500150015
127,3,4,0,1,1,:1O:1O,::1N1O:1O,,,1L,5,0.15001500150015
128,2,6,0,1,1,:1O,::::1O:1O,,,1L,5,0.15001500150015
129,2,6,0,1,2,1O:1O,::1O:1O:1O:1O,,,1L:1L,5,0.15001500150015
130,3,4,0,1,1,:1O:1O,:::1O,,,1L,5,0.15001500150015
131,6,2,0,1,1,::::1O:1O,:1O,,,1L,4,0.12001200120012
132,4,4,0,1,1,::1O:1O,:1N1O:1O:1O,,,1L,4,0.12001200120012
133,4,4,0,1,1,:1O:1O:1O,:::1O,,,1L,4,0.12001200120012
134,4,4,0,1,1,:1O:1O:1O,:1N:1O:1O,,,1L,4,0.12001200120012
135,2,4,0,1,1,1O:1O,:1O:1O:1O,,,1L,4,0.12001200120012
136,3,3,0,1,1,:1O:1O,::1O,,,1L,4,0.12001200120012
137,2,4,0,1,1,:,:1O:1O:1O,,,1L,4,0.12001200120012
138,3,5,0,1,1,:1O:1O,:::1N1O:1O,,,1L,4,0.12001200120012
139,3,3,0,1,1,::1O,1N:1O:1O,,,1L,4,0.12001200120012
140,4,3,1,1,1,:::1O,:1O:1O,,,1L,4,0.12001200120012
141,2,5,1,1,1,:1O,::1N:1O:1O,,,1L,4,0.12001200120012
142,4,3,1,1,1,::1O:1O,:1O:1O,,,1L,4,0.12001200120012
143,4,3,0,2,1,:::1O,::1O,,1S:1S:1S:1S:2S:2S:2S:3S,1L,4,0.12001200120012
144,3,5,0,1,1,::1O,::1N:1N1O:1O,,,1L,4,0.12001200120012
145,3,5,0,1,2,:1O:1O,1N1O:1O:1O:1O:1O,,,1L:1L,4,0.12001200120012
146,4,4,0,1,1,::1O:1O,:1N:1O:1O,,,1L,4,0.12001200120012
147,3,4,1,1,1,::1O,::1O:1O,1O,,1L,4,0.12001200120012
148,5,2,0,1,1,:1O:1O:1O:1O,:1O,,,1L,4,0.12001200120012
149,2,7,0,1,1,:1O,:::::1O:1O,,,1L,4,0.12001200120012
150,1,6,1,1,1,,:::1O:1O:1O,,,1L,4,0.12001200120012
151,4,5,0,1,2,:::1O,1O:1O:1O:1O:1O,,,1L:1L,4,0.12001200120012
152,3,4,0,1,1,::,1N:1O:1O:1O,,,1L,4,0.12001200120012
153,1,7,0,1,1,,:::1N:1O:1O:1O,,,1L,4,0.12001200120012
154,3,4,0,1,1,:1O:1O,:1N1O:1O:1O,,,1L,4,0.12001200120012
155,6,4,0,1,1,:::::1O,::1O:1O,,,1L,4,0.12001200120012
156,1,7,0,1,1,1O,::::1N:1O:1O,,,1L,4,0.12001200120012
157,1,6,0,1,1,,:::1N:1O:1O,,,1L,4,0.12001200120012
158,0,6,0,1,1,,::1N:1O:1O:1O,,,1L,4,0.12001200120012
159,1,7,1,1,2,,::1O:1O:1O:1O:1O,1O,,1L:1L,4,0.12001200120012
160,2,3,0,1,1,:1O,1N:1O:1O,,,1L,4,0.12001200120012
161,2,3,0,1,1,:1O,:1N1O:1O,,,1L,4,0.12001200120012
162,4,4,0,1,1,:::1O,:1N:1O:1O,,,1L,4,0.12001200120012
163,3,4,1,1,1,::,::1O:1O,1O,,1L,4,0.12001200120012
164,4,4,0,1,1,:::,:1N1O:1O:1O,,,1L,4,0.12001200120012
165,2,7,0,1,2,:,:1O:1O:1O:1O:1O:1O,,,1L:1L,4,0.12001200120012
166,3,3,0,1,1,::1O,:1N1O:1O,,,1L,4,0.12001200120012
167,5,4,0,1,1,::1O:1O:1O,::1O:1O,,,1L,4,0.12001200120012
168,2,6,0,1,2,:,1O:1O:1O:1O:1O:1O,,,1L:1L,4,0.12001200120012
169,3,6,0,1,2,::1O,:1O:1O:1O:1O:1O,,,1L:1L,4,0.12001200120012
170,2,5,0,1,1,:,:1N:1N1O:1O:1O,,,1L,4,0.12001200120012
171,2,5,0,1,1,:,:1O:1O:1O:1O,,,1L,4,0.12001200120012
172,2,5,0,1,1,1O:1O,::1N:1O:1O,,,1L,4,0.12001200120012
173,5,4,0,1,1,::::1O,:1N1O:1O:1O,,,1L,4,0.12001200120012
174,5,4,0,1,2,:::1O:1O,1O:1O:1O:1O,,,1L:1L,4,0.12001200120012
175,1,5,0,1,1,,:1N:1N1O:1O:1O,,,1L,4,0.12001200120012
176,4,3,0,1,1,:1O:1O:1O,:1N1O:1O,,,1L,4,0.12001200120012
177,5,3,0,1,1,:::1O:2O,:1O:1O,,,1L,4,0.12001200120012
178,2,5,1,1,2,:1O,1N1O:1O:1O:1O:1O,,,1L:1L,4,0.12001200120012
179,2,6,0,1,1,:1O,:::1N:1O:1O,,,1L,4,0.12001200120012
180,2,5,0,1,1,:1O,:1N:1N:1O:1O,,,1L,4,0.12001200120012
181,2,7,0,1,1,:,::::1O:1O:1O,,,1L,4,0.12001200120012
182,2,5,1,1,1,:,::1N:1O:1O,1O,,1L,4,0.12001200120012
183,4,2,0,2,1,:::1O,:1O,,1S:1S:1S:1S:2S:2S:2S:3S,1L,4,0.12001200120012
184,5,3,0,1,1,:::1O:1O,:1N1O:1O,,,1L,4,0.12001200120012
185,2,5,0,1,1,:2O,::1N1O:1O:1O,,,1L,4,0.12001200120012
186,4,2,0,1,1,::1O:1O,:1O,,,1L,4,0.12001200120012
187,4,3,0,1,1,:1O:1O:1O,:1N:1O,,,1L,4,0.12001200120012
188,4,4,0,1,1,:::1O,:1N:1N1O:1O,,,1L,3,0.09000900090009
189,2,6,0,1,1,1O:1O,:::1O:1O:1O,,,1L,3,0.09000900090009
190,3,4,0,2,1,::1O,:::1O,,1S:1S:1S:1S:2S:2S:2S:3S,1L,3,0.09000900090009
191,3,4,1,1,1,::,:1N:1O:1O,,,1L,3,0.09000900090009
192,4,4,0,1,1,::1O:2O,:::1O,,,1L,3,0.09000900090009
193,3,3,1,1,1,:1O:1O,::1O,,,1L,3,0.09000900090009
194,4,4,0,1,2,:1O:1O:1O,1O:1O:1O:1O,,,1L:1L,3,0.09000900090009
