,num_dol,num_dmi,num_tfsi,num_ps,num_li,atoms_dol,atoms_dmi,atoms_tfsi,atoms_ps,atoms_li,count,%
0,4,2,0,1,1,::1O:1O,:1O,,,1L,55,1.6501650165016502
1,3,4,0,1,1,::1O,::1O:1O,,,1L,52,1.56015601560156
2,4,3,0,1,1,:::1O,:1O:1O,,,1L,48,1.44014401440144
3,5,2,0,1,1,:::1O:1O,:1O,,,1L,46,1.38013801380138
4,4,3,0,1,1,::1O:1O,::1O,,,1L,45,1.35013501350135
5,2,4,0,1,1,:1O,::1O:1O,,,1L,37,1.11011101110111
6,3,3,0,1,1,::1O,:1O:1O,,,1L,37,1.11011101110111
7,4,3,0,1,1,::1O:1O,:1O:1O,,,1L,23,0.6900690069006901
8,5,2,0,1,1,::1O:1O:1O,:1O,,,1L,23,0.6900690069006901
9,3,3,0,1,1,:1O:1O,::1O,,,1L,23,0.6900690069006901
10,4,4,0,1,1,:::1O,::1O:1O,,,1L,19,0.57005700570057
11,5,1,0,1,1,:::1O:1O,1O,,,1L,19,0.57005700570057
12,2,5,0,1,2,:1O,1O:1O:1O:1O:1O,,,1L:1L,19,0.57005700570057
13,4,2,0,1,1,:1O:1O:1O,:1O,,,1L,18,0.54005400540054
14,1,5,0,1,2,1O,1O:1O:1O:1O:1O,,,1L:1L,18,0.54005400540054
15,2,5,0,1,1,:1O,:::1O:1O,,,1L,18,0.54005400540054
16,1,5,0,1,2,1O,1N1O:1O:1O:1O:1O,,,1L:1L,18,0.54005400540054
17,2,4,0,1,1,:1O,:1N:1O:1O,,,1L,18,0.54005400540054
18,3,3,0,2,1,::1O,::1O,,:::1S:1S:2S:2S:2S,1L,17,0.51005100510051
19,1,6,0,1,2,1O,:1O:1O:1O:1O:1O,,,1L:1L,17,0.51005100510051
20,4,2,0,2,1,:::1O,:1O,,:::1S:1S:2S:2S:2S,1L,16,0.48004800480048
21,4,2,0,1,1,:::1O,1O:1O,,,1L,16,0.48004800480048
22,3,3,0,1,1,::1O,:1N1O:1O,,,1L,16,0.48004800480048
23,3,4,0,1,1,:1O:1O,:::1O,,,1L,15,0.45004500450045
24,2,4,0,1,2,1O:1O,:1O:1O:1O,,,1L:1L,15,0.45004500450045
25,2,5,0,1,2,1O:1O,:1O:1O:1O:1O,,,1L:1L,14,0.42004200420042
