,num_dol,num_dms,num_tfsi,num_ps,num_li,atoms_dol,atoms_dms,atoms_tfsi,atoms_ps,atoms_li,count,%
0,3,4,0,1,1,:1O:1O,::1O:2O1S,,,1L,6,0.18001800180018
1,3,4,0,1,1,:1O:1O,:1O:2O1S:2O1S,,,1L,6,0.18001800180018
2,4,4,0,1,1,::1O:1O,::1O:2O1S,,,1L,5,0.15001500150015
3,3,5,0,1,1,::1O,::1O:1O:2O1S,,,1L,5,0.15001500150015
4,4,4,0,1,1,:1O:1O:1O,::1O:1O,,,1L,5,0.15001500150015
5,4,4,0,1,1,::1O:1O,:1O:2O1S:2O1S,,,1L,5,0.15001500150015
6,3,4,0,1,1,::1O,:1O:2O1S:2O1S,,,1L,5,0.15001500150015
7,4,3,0,1,1,:1O:1O:1O,:1O:2O1S,,,1L,5,0.15001500150015
8,4,3,0,1,1,::1O:1O,:1O:1O,,,1L,5,0.15001500150015
9,2,6,0,1,1,:1O,::1O:1O:2O1S:2O1S,,,1L,5,0.15001500150015
10,3,4,0,1,1,::1O,1O:1O:1O1S:2O1S,,,1L,4,0.12001200120012
11,3,4,0,1,1,::1O,1O:1O:2O1S:2O1S,,,1L,4,0.12001200120012
12,4,3,0,1,1,:::1O,:1O:2O1S,,,1L,4,0.12001200120012
13,6,2,0,1,1,::1O:1O:1O:1O,:1O,,,1L,4,0.12001200120012
14,2,5,0,1,1,:1O,::1O:2O1S:2O1S,,,1L,4,0.12001200120012
15,6,2,0,1,1,::::1O:1O,:1O,,,1L,4,0.12001200120012
16,3,4,0,1,1,:1O:1O,:1O:1O1S:2O1S,,,1L,4,0.12001200120012
17,5,3,0,1,1,::1O:1O:1O,:1O:1O1S,,,1L,4,0.12001200120012
18,5,3,0,1,1,:::1O:1O,::1O,,,1L,4,0.12001200120012
19,2,5,0,1,2,1O:1O,1O:1O:2O1S:2O1S:2O1S,,,1L:1L,4,0.12001200120012
20,5,2,0,1,1,::1O:1O:2O,:1O,,,1L,4,0.12001200120012
21,3,5,0,1,2,:1O:1O,1O:1O:1O:2O1S:2O1S,,,1L:1L,4,0.12001200120012
22,3,5,0,1,2,::1O,1O:1O:1O:2O1S:2O1S,,,1L:1L,4,0.12001200120012
23,2,5,0,1,2,1O:1O,1O:1O:1O:1O1S:2O1S,,,1L:1L,4,0.12001200120012
24,3,5,0,1,1,:1O:1O,:::1O:2O1S,,,1L,4,0.12001200120012
25,3,4,0,1,1,:1O:1O,1O:1O:1O1S:2O1S,,,1L,4,0.12001200120012
26,4,4,0,1,1,:::1O,:1O:1O:1O1S,,,1L,4,0.12001200120012
27,4,3,0,1,2,:1O:1O:1O,1O:1O:2O1S,,,1L:1L,4,0.12001200120012
28,5,4,0,1,1,::1O:1O:1O,::1O:1O,,,1L,4,0.12001200120012
29,2,5,0,1,1,:,:1O:1O:1O1S:2O1S,,,1L,4,0.12001200120012
30,4,3,1,1,1,::1O:1O,::1O,1O,,1L,4,0.12001200120012
31,5,3,0,1,1,:1O:1O:1O:1O,:1O:1O,,,1L,4,0.12001200120012
32,4,5,0,1,1,:::1O,::1O:1O:1O1S,,,1L,4,0.12001200120012
33,2,5,0,1,1,:,::1O:1O:1O1S,,,1L,3,0.09000900090009
34,4,3,0,1,1,::1O:1O,1O:2O1S:2O1S,,,1L,3,0.09000900090009
35,3,5,0,1,1,::1O,:1O:1O:2O1S:2O1S,,,1L,3,0.09000900090009
36,3,4,0,1,1,:1O:1O,::1O:1O,,,1L,3,0.09000900090009
37,3,4,0,1,1,:1O:1O,::1O:1O1S,,,1L,3,0.09000900090009
38,2,6,0,1,1,1O:1O,::1O:1O:2O1S:2O1S,,,1L,3,0.09000900090009
39,5,3,0,1,1,::1O:1O:1O,:1O:2O1S,,,1L,3,0.09000900090009
40,1,6,0,1,2,1O,:1O:1O:1O:2O1S:2O1S,,,1L:1L,3,0.09000900090009
41,1,4,1,1,1,1O,1O:1O1S:2O1S:2O1S,,,1L,3,0.09000900090009
42,5,3,0,1,1,:::1O:1O,1O:1O1S:2O1S,,,1L,3,0.09000900090009
43,2,5,0,1,1,:,:1O:1O:2O1S:2O1S,,,1L,3,0.09000900090009
44,3,5,0,1,1,::1O,:::1O:1O1S,,,1L,3,0.09000900090009
45,4,3,0,1,1,::1O:1O,:1O1S:2O1S,,,1L,3,0.09000900090009
46,5,5,0,1,1,::1O:1O:1O,:::1O:1O,,,1L,3,0.09000900090009
47,2,5,0,1,1,:1O,:1O:1O1S:2O1S:2O1S,,,1L,3,0.09000900090009
48,6,2,0,1,1,:::1O:1O:1O,:1O,,,1L,3,0.09000900090009
49,3,5,0,1,1,::1O,::1O:1O1S:2O1S,,,1L,3,0.09000900090009
50,4,3,0,1,1,::1O:1O,:1O:2O1S,,,1L,3,0.09000900090009
51,2,5,0,1,2,1O:1O,1O:1O:1O1S:1O1S:2O1S,,,1L:1L,3,0.09000900090009
52,2,6,0,1,1,:,:::1O:1O:2O1S,,,1L,3,0.09000900090009
53,3,4,0,1,1,:1O:1O,1O:1O:2O1S:2O1S,,,1L,3,0.09000900090009
54,3,5,0,1,2,:1O:1O,:1O:1O1S:2O1S:2O1S,,,1L:1L,3,0.09000900090009
55,3,5,0,1,2,:1O:1O,:1O:1O:1O:2O1S,,,1L:1L,3,0.09000900090009
56,5,3,0,1,1,:1O:1O:1O:2O,::1O,,,1L,3,0.09000900090009
57,5,2,1,1,1,::1O:1O:2O,:1O,,,1L,3,0.09000900090009
58,3,4,0,1,1,1O:1O:1O,::1O:1O1S,,,1L,3,0.09000900090009
59,1,6,0,1,1,1O,:::1O:1O:2O1S,,,1L,3,0.09000900090009
60,3,4,0,1,1,1O:1O:1O,:1O:1O1S:2O1S,,,1L,3,0.09000900090009
61,4,4,0,1,2,:1O:1O:1O,:1O:1O:2O1S,,,1L:1L,3,0.09000900090009
62,3,4,1,1,1,:1O:1O,::1O:1O1S,,,1L,3,0.09000900090009
63,3,4,0,1,1,:1O:1O,:1O:1O:2O1S,,,1L,3,0.09000900090009
64,3,5,0,1,1,::1O,:1O:1O:1O1S:2O1S,,,1L,3,0.09000900090009
65,7,1,0,1,1,:::1O:1O:1O:1O,1O,,,1L,3,0.09000900090009
66,4,4,0,1,1,:1O:1O:1O,:1O:1O:2O1S,,,1L,3,0.09000900090009
67,5,4,0,1,1,:::1O:1O,::1O:1O1S,,,1L,3,0.09000900090009
68,3,4,0,1,1,::1O,:1O:1O1S:2O1S,,,1L,3,0.09000900090009
69,3,4,0,1,1,::1O,:1O:1O:1O1S,,,1L,3,0.09000900090009
70,1,5,0,1,1,1O,::1O:2O1S:2O1S,,,1L,3,0.09000900090009
71,4,4,1,1,2,:1O:1O:1O,:1O:1O:1O,,,1L:1L,3,0.09000900090009
72,3,4,0,1,2,1O:1O:1O,1O:1O:1O:2O1S,,,1L:1L,3,0.09000900090009
73,4,5,0,1,1,::1O:1O,::1O:1O:1O1S,,,1L,3,0.09000900090009
74,3,5,0,1,1,:1O:1O,::1O:1O1S:2O1S,,,1L,3,0.09000900090009
75,4,4,0,1,1,::1O:1O,:1O:1O:1O,,,1L,3,0.09000900090009
76,4,4,0,1,1,::1O:1O,::1O:1O1S,,,1L,3,0.09000900090009
77,3,4,0,1,1,::1O,::1O1S:2O1S,,,1L,3,0.09000900090009
78,4,3,0,1,2,1O:1O:1O:2O,1O:1O:1O,,,1L:1L,3,0.09000900090009
79,5,4,0,1,1,::1O:1O:1O,::1O:2O1S,,,1L,3,0.09000900090009
80,2,6,0,1,2,:1O,1O:1O:1O:1O:1O1S:2O1S,,,1L:1L,3,0.09000900090009
81,4,4,0,1,1,::1O:2O,::1O:2O1S,,,1L,3,0.09000900090009
82,4,4,0,1,1,::1O:1O,:1O:1O1S:2O1S,,,1L,3,0.09000900090009
83,4,4,0,1,1,::1O:1O,:1O:1O:1O1S,,,1L,3,0.09000900090009
84,3,6,0,1,1,::1O,:::1O:1O:1O1S,,,1L,3,0.09000900090009
85,3,4,0,1,2,:1O:1O,1O:1O1S:2O1S:2O1S,,,1L:1L,3,0.09000900090009
86,5,2,0,1,1,::1O:1O:1O,1O:2O1S,,,1L,3,0.09000900090009
87,4,3,0,1,1,:::1O,1O:1O:1O1S,,,1L,3,0.09000900090009
88,3,6,0,1,2,:1O:1O,:1O:1O:1O:1O1S:2O1S,,,1L:1L,3,0.09000900090009
89,3,5,0,1,1,1O:1O:2O,:::1O:1O,,,1L,3,0.09000900090009
90,2,4,1,1,1,:1O,::1O:1O1S,,,1L,3,0.09000900090009
91,4,5,0,1,1,:::1O,:::1O:1O,,,1L,3,0.09000900090009
92,5,3,0,1,0,::::1O,::,,,,2,0.06000600060006
93,3,5,0,1,1,::1O,::1O:1O:1O,,,1L,2,0.06000600060006
94,4,4,0,1,1,::1O:1O,1O:1O:1O:1O1S,,,1L,2,0.06000600060006
95,4,4,0,1,2,1O:1O:1O:1O,1O:1O:1O:2O1S,,,1L:1L,2,0.06000600060006
96,3,5,0,1,1,:1O:1O,::1O:2O1S:2O1S,,,1L,2,0.06000600060006
97,3,5,0,1,1,:1O:1O,::1O:1O:2O1S,,,1L,2,0.06000600060006
98,3,5,0,1,1,:1O:1O,:1O:1O:1O:2O1S,,,1L,2,0.06000600060006
99,5,3,0,1,1,:1O:1O:1O:1O,::2O1S,,,1L,2,0.06000600060006
100,4,4,0,1,2,1O:1O:1O:1O,:1O:1O:2O1S,,,1L:1L,2,0.06000600060006
101,1,6,0,1,2,,1O:1O:1O:1O1S:2O1S:2O1S,,,1L:1L,2,0.06000600060006
102,1,6,0,1,2,,1O:1O:1O1S:2O1S:2O1S:2O1S,,,1L:1L,2,0.06000600060006
103,3,3,1,1,1,:1O:1O,1O:2O1S:2O1S,1O,,1L,2,0.06000600060006
104,1,6,0,1,2,,1O:1O:1O1S:1O1S:2O1S:2O1S,,,1L:1L,2,0.06000600060006
105,3,5,0,1,1,:1O:1O,::1O:1O:1S,,,1L,2,0.06000600060006
106,3,5,0,1,1,:1O:1O,:1O:1O:1O:1O1S,,,1L,2,0.06000600060006
107,1,6,0,1,1,1O,::1O:1O1S:2O1S:2O1S,,,1L,2,0.06000600060006
108,3,3,1,1,1,:1O:1O,:1O:1O,1O,,1L,2,0.06000600060006
109,3,3,0,1,2,1O:1O:1O,1O:1O1S:3O1S,,,1L:1L,2,0.06000600060006
110,5,3,0,1,1,:1O:1O:1O:1O,::,,,1L,2,0.06000600060006
111,5,3,0,1,1,:::1O:1O,:1O:2O1S,,,1L,2,0.06000600060006
112,3,3,1,1,1,:1O:1O,1O1S:2O1S:2O1S,2O,,1L,2,0.06000600060006
113,5,3,0,1,1,::::1O,:1O:1O,,,1L,2,0.06000600060006
114,5,3,0,1,1,:::1O:1O,:1O:1O,,,1L,2,0.06000600060006
115,3,5,0,1,1,::1O,:1O:1O1S:2O1S:2O1S,,,1L,2,0.06000600060006
116,3,3,0,1,1,::2O,:1O1S:2O1S,,,1L,2,0.06000600060006
117,1,5,1,1,2,1O,1O:1O:2O1S:2O1S:2O1S,1O,,1L:1L,2,0.06000600060006
118,5,3,0,1,1,::1O:1O:2O,::,,,1L,2,0.06000600060006
119,4,4,0,1,1,:::1O,1O:1O:1O1S:2O1S,,,1L,2,0.06000600060006
120,1,6,0,1,1,,:1O:1O:1O1S:1O1S:2O1S,,,1L,2,0.06000600060006
121,5,3,0,1,1,::1O:1O:2O,:1O:1O1S,,,1L,2,0.06000600060006
122,4,4,0,1,1,:::1O,::1O:1O1S,,,1L,2,0.06000600060006
123,4,4,0,1,1,:::1O,::1O:2O1S,,,1L,2,0.06000600060006
124,3,3,0,2,3,1O:1O:1O,1O1S:2O1S:3O1S,,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L:1L,2,0.06000600060006
125,1,5,1,1,2,1O,1O:1O:1O1S:2O1S:2O1S,,,1L:1L,2,0.06000600060006
