,num_dmt,num_tfsi,num_dol,num_ps,num_li,atoms_dmt,atoms_tfsi,atoms_dol,atoms_ps,atoms_li,count,%
0,4,0,3,1,1,:1O:1O:1O,,::1O,,1L,18,0.54005400540054
1,4,0,2,1,1,:1O:1O:1O1S,,:1O,,1L,18,0.54005400540054
2,4,0,2,1,1,:1O:1O:1O1S,,:,,1L,16,0.48004800480048
3,4,0,2,1,1,:1O:1O:1O,,:,,1L,16,0.48004800480048
4,4,0,2,1,1,:1O:1O:1O,,:1O,,1L,14,0.42004200420042
5,3,0,4,1,1,:1O:1O,,::1O:1O,,1L,14,0.42004200420042
6,4,0,3,1,1,:1O:1O:1O,,::,,1L,14,0.42004200420042
7,3,0,4,1,1,:1O:1O,,:::1O,,1L,13,0.39003900390039
8,3,0,4,1,1,1O:1O:1O,,:::1O,,1L,13,0.39003900390039
9,3,1,2,1,1,:1O:1O,1O,:,,1L,12,0.36003600360036
10,3,0,3,1,1,:1O:1O,,::1O,,1L,12,0.36003600360036
11,4,0,3,1,1,:1O:1O:1O1S,,::,,1L,12,0.36003600360036
12,4,1,2,1,1,::1O:1O,1O,:,,1L,11,0.33003300330033
13,5,0,2,1,1,::1O:1O:1O1S,,:,,1L,11,0.33003300330033
14,3,1,3,1,1,:1O:1O,1O,::,,1L,10,0.3000300030003
15,4,0,3,1,1,:1O:1O:1O1S,,::1O,,1L,10,0.3000300030003
16,4,0,1,1,2,1N2O1S:1N2O1S:2O1S:2O1S,,1O,,1L:1L,10,0.3000300030003
17,3,0,3,1,1,:1O:1O,,:1O:1O,,1L,10,0.3000300030003
18,3,0,3,1,1,1O:1O:1O,,::1O,,1L,10,0.3000300030003
19,3,1,2,1,1,:1O:1O,1O,:1O,,1L,10,0.3000300030003
20,4,0,3,1,1,::1O:1O,,:1O:1O,,1L,10,0.3000300030003
21,4,0,2,1,1,::1O:1O,,:1O,,1L,9,0.27002700270027
22,4,0,4,1,1,::1O:1O,,:::1O,,1L,9,0.27002700270027
23,5,0,0,1,2,:1O:1O:2O1S:2O1S,,,,1L:1L,9,0.27002700270027
24,4,0,1,1,1,:1O:1O:1O,,,,1L,9,0.27002700270027
25,5,0,1,1,1,::1O:1O:1O,,,,1L,9,0.27002700270027
26,4,0,3,1,1,:1O:1O:1O,,:1O:1O,,1L,8,0.24002400240024
27,5,0,1,1,1,::1O:1O:1O1S,,,,1L,8,0.24002400240024
28,3,0,5,1,1,1O:1O:1O,,::::1O,,1L,8,0.24002400240024
29,4,0,3,1,2,1O:1O:1O:2O1S,,:1O:1O,,1L:1L,8,0.24002400240024
30,3,0,3,1,1,:1N1O1S:1O,,::1O,,1L,8,0.24002400240024
31,4,1,3,1,1,::1O:1O,1O,::,,1L,8,0.24002400240024
32,3,0,3,1,1,:1O:1O1S,,:1O:1O,,1L,8,0.24002400240024
33,3,0,5,1,1,1O:1O:1O,,::::,,1L,8,0.24002400240024
34,3,1,2,1,1,:1O:1O1S,1O,:,,1L,8,0.24002400240024
35,3,0,3,1,1,1O:1O:1O1S,,::,,1L,8,0.24002400240024
36,2,0,4,1,1,1O:1O,,::1O:1O,,1L,8,0.24002400240024
37,5,0,2,1,1,::1O:1O:1O,,:1O,,1L,8,0.24002400240024
38,5,0,2,1,1,::1O:1O:1O,,:,,1L,8,0.24002400240024
39,3,0,4,1,1,1O:1O:1O1S,,:::1O,,1L,7,0.21002100210021
40,3,1,3,1,1,:1O:1O1S,1O,::1O,,1L,7,0.21002100210021
41,6,0,0,1,3,1O:1O:1O:2O1S:2O1S:2O1S,,,,1L:1L:1L,7,0.21002100210021
42,3,0,3,1,1,1O:1O:1O,,:1O:1O,,1L,7,0.21002100210021
43,2,0,4,1,1,1O:1O,,:::1O,,1L,7,0.21002100210021
44,4,0,1,1,1,:1O:1O:1O1S,,,,1L,7,0.21002100210021
45,3,1,3,1,2,1O:1O:1O,2O1S,1O:1O:1O,,1L:1L,7,0.21002100210021
46,3,0,3,1,1,:1O:1O1S,,::1O,,1L,7,0.21002100210021
47,3,0,5,1,1,:1O:1O,,::::1O,,1L,7,0.21002100210021
48,5,0,2,1,1,::1O:1O:1O1S,,:1O,,1L,7,0.21002100210021
49,4,1,1,1,1,:1O:1O:1O,,,,1L,6,0.18001800180018
50,3,0,4,1,1,:1O:1O1S,,::1O:1O,,1L,6,0.18001800180018
51,3,0,4,1,1,1O:1O:1O,,:::,,1L,6,0.18001800180018
52,3,0,3,1,1,1N1O1S:1O:1O,,::1O,,1L,6,0.18001800180018
53,3,0,3,1,1,1O:1O:1O,,::,,1L,6,0.18001800180018
54,6,0,1,1,1,:::1O:1O:1O,,,,1L,6,0.18001800180018
55,4,0,1,1,1,:1N1O1S:1O:1O,,,,1L,6,0.18001800180018
56,5,0,0,1,2,:1O:1O1S:2O1S:2O1S,,,,1L:1L,6,0.18001800180018
57,3,1,3,1,2,1O:1O:1O,1O,1O:1O:1O,,1L:1L,6,0.18001800180018
58,5,0,1,1,1,:1N:1O:1O:1O,,,,1L,6,0.18001800180018
59,4,1,1,1,1,::1O:1O,1O,,,1L,6,0.18001800180018
60,3,1,3,1,1,:1O:1O,1O,::1O,,1L,6,0.18001800180018
61,4,0,2,2,1,:::1O,,:1O,:::1S:1S:2S:2S:2S,1L,6,0.18001800180018
62,4,0,3,1,1,::1O:1O1S,,::1O,,1L,6,0.18001800180018
63,3,0,4,1,1,1N1O1S:1O:1O,,:::1O,,1L,6,0.18001800180018
64,3,0,2,1,1,1N1O1S:1O:1O,,:,,1L,6,0.18001800180018
65,5,0,1,1,1,:1O:1O:2O1S:2O1S,,,,1L,6,0.18001800180018
66,5,0,1,1,2,:1O:1O:2O1S:2O1S,,,,1L:1L,5,0.15001500150015
67,3,0,2,1,1,:1O:1O,,1O:1O,,1L,5,0.15001500150015
68,3,0,4,1,1,:1O:1O,,:1O:1O:1O,,1L,5,0.15001500150015
69,3,0,3,2,1,::1O,,::1O,1S:1S:1S:1S:2S:2S:2S:2S,1L,5,0.15001500150015
70,5,0,1,1,2,1O:1O:1O:1O:2O1S,,,,1L:1L,5,0.15001500150015
71,3,0,6,1,1,1O:1O:1O,,:::::1O,,1L,5,0.15001500150015
72,4,1,2,1,1,::1O:1O1S,1O,:,,1L,5,0.15001500150015
73,4,1,2,1,1,:1O:1O:1O1S,1O,:1O,,1L,5,0.15001500150015
74,5,0,1,1,1,::1O:1O:2O1S,,,,1L,5,0.15001500150015
75,3,0,5,1,1,:1O:1O,,:::1O:1O,,1L,5,0.15001500150015
76,3,0,2,1,1,1O:1O:1O,,:1O,,1L,5,0.15001500150015
77,3,1,3,1,1,:1O:1O,1O,:1O:1O,,1L,5,0.15001500150015
78,4,0,4,1,1,:1O:1O:1O,,:::1O,,1L,5,0.15001500150015
79,4,0,2,1,1,:1N1O1S:1O:1O,,:,,1L,5,0.15001500150015
80,2,0,5,1,1,1O:1O,,::::1O,,1L,5,0.15001500150015
81,4,0,2,1,1,:1N1O1S:1O:1O,,:1O,,1L,5,0.15001500150015
82,3,0,3,1,1,:1N1O1S:1O,,:1O:1O,,1L,5,0.15001500150015
83,2,1,3,3,2,:1O,1O,:1O:1O,:::1S:1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,4,0.12001200120012
84,4,0,2,2,1,:::1O1S,,:1O,:::1S:1S:2S:2S:2S,1L,4,0.12001200120012
85,3,0,4,1,1,:1O:2O1S,,:::1O,,1L,4,0.12001200120012
86,4,0,4,1,1,:1O:1O:1O,,::1O:1O,,1L,4,0.12001200120012
87,3,0,3,1,1,1O:1O:1O1S,,::1O,,1L,4,0.12001200120012
88,5,0,1,1,1,:1O:1O:1O1S:2O1S,,,,1L,4,0.12001200120012
89,3,1,2,1,1,:1O:1O,,:1O,,1L,4,0.12001200120012
90,3,1,2,1,1,:1O:1O1S,1O,:1O,,1L,4,0.12001200120012
91,4,0,2,2,1,:::1O,,1O:1O,:::1S:1S:2S:2S:2S,1L,4,0.12001200120012
92,5,0,1,1,2,:1O:1O:2O1S:2O1S,,1O,,1L:1L,4,0.12001200120012
93,3,1,3,1,2,1O:1O:1O,,1O:1O:1O,,1L:1L,4,0.12001200120012
94,4,1,2,1,1,::1O:1O,1O,:1O,,1L,4,0.12001200120012
95,2,0,5,1,1,1O:1O,,:::1O:1O,,1L,4,0.12001200120012
96,4,0,2,1,2,1O:1O:1O:1O1S,,1O:1O,,1L:1L,4,0.12001200120012
97,2,0,2,3,2,1O:1O,,1O:1O,:::1S:1S:1S:1S:1S:2S:2S:2S:2S:3S:3S:3S:3S,1L:1L,4,0.12001200120012
98,3,0,4,1,1,1N1O1S:1O:1O1S,,:::1O,,1L,4,0.12001200120012
99,4,0,3,1,2,1O:1O:1O:2O1S,,::1O,,1L:1L,4,0.12001200120012
100,3,0,2,1,1,1O:1O:1O1S,,:1O,,1L,4,0.12001200120012
101,3,0,3,1,2,1O:1O:1O,,1O:1O:1O,,1L:1L,4,0.12001200120012
102,4,1,2,1,1,:1O:1O:1O1S,,:,,1L,4,0.12001200120012
103,4,0,2,1,2,1O:1O:1O:2O1S,,:1O,,1L:1L,4,0.12001200120012
104,2,0,3,1,1,1O:1O,,::1O,,1L,4,0.12001200120012
