,num_dol,num_dps,num_tfsi,num_ps,num_li,atoms_dol,atoms_dps,atoms_tfsi,atoms_ps,atoms_li,count,%
0,3,3,0,1,1,:1O:1O,:1O:1O1S,,,1L,30,0.9000900090009001
1,2,4,0,1,1,:1O,:1O:1O:1O1S,,,1L,28,0.8400840084008401
2,1,5,0,1,1,,::1O:1O:1O1S,,,1L,26,0.7800780078007801
3,2,4,0,1,1,:,:1O:1O:1O1S,,,1L,25,0.7500750075007501
4,3,3,0,1,1,::1O,:1O:1O1S,,,1L,25,0.7500750075007501
5,1,4,0,1,1,,:1O:1O:1O1S,,,1L,24,0.7200720072007201
6,1,4,0,1,1,,:1O:1O1S:1O1S,,,1L,23,0.6900690069006901
7,4,3,0,1,1,::1O:1O,:1O:1O1S,,,1L,21,0.6300630063006301
8,0,5,0,1,1,,::1O:1O1S:1O1S,,,1L,20,0.6000600060006
9,2,4,0,1,1,:,:1O:1O1S:1O1S,,,1L,19,0.57005700570057
10,0,5,0,1,1,,::1O:1O:1O1S,,,1L,19,0.57005700570057
11,4,3,0,1,1,:::1O,:1O:1O1S,,,1L,17,0.51005100510051
12,4,2,0,1,1,:::1O,1O:1O1S,,,1L,17,0.51005100510051
13,2,4,0,1,1,:1O,::1O:1O1S,,,1L,16,0.48004800480048
14,2,4,0,1,2,:1O,1O:1O:1O1S:2O1S,,,1L:1L,16,0.48004800480048
15,2,5,0,1,1,:,::1O:1O:1O1S,,,1L,15,0.45004500450045
16,1,4,0,1,1,1O,:1O:1O:1O1S,,,1L,15,0.45004500450045
17,1,5,0,1,1,,::1O:1O1S:1O1S,,,1L,15,0.45004500450045
18,2,4,0,1,1,:1O,:1O:1O1S:1O1S,,,1L,15,0.45004500450045
19,4,3,0,1,1,::1O:1O,:1O:1O,,,1L,14,0.42004200420042
20,2,3,0,1,1,:1O,:1O:1O1S,,,1L,13,0.39003900390039
21,3,4,0,1,1,::1O,::1O:1O1S,,,1L,13,0.39003900390039
22,1,5,0,1,1,1O,::1O:1O:1O1S,,,1L,13,0.39003900390039
23,2,3,0,1,1,1O:1O,:1O:1O1S,,,1L,13,0.39003900390039
24,3,3,0,1,1,:1O:1O,:1O:1O,,,1L,13,0.39003900390039
25,2,4,0,1,1,1O:1O,::1O:1O1S,,,1L,13,0.39003900390039
26,3,4,0,1,1,:1O:1O,::1O:1O1S,,,1L,13,0.39003900390039
27,3,3,0,1,1,::1O,:1O:1O,,,1L,13,0.39003900390039
28,3,4,0,1,1,::1O,::1O:1O,,,1L,12,0.36003600360036
29,2,3,0,1,1,:1O,:1O1S:1O1S,,,1L,12,0.36003600360036
30,4,3,0,1,1,:::1O,:1O:1O,,,1L,12,0.36003600360036
31,1,4,1,1,2,1O,1O:1O:1O:1O1S,1O,,1L:1L,12,0.36003600360036
32,3,4,0,1,1,::1O,:1O:1O:1O1S,,,1L,12,0.36003600360036
33,2,4,0,1,1,:1O,::1O:1O,,,1L,12,0.36003600360036
34,1,4,0,1,2,,1O:1O:1O1S:2O1S,,,1L:1L,11,0.33003300330033
35,1,4,0,1,1,1O,:1O:1O1S:1O1S,,,1L,11,0.33003300330033
36,4,2,0,1,1,::1O:1O,1O:1O1S,,,1L,11,0.33003300330033
37,5,2,0,1,1,::::1O,1O:1O1S,,,1L,11,0.33003300330033
38,2,4,0,1,2,1O:1O,1O:1O:1O1S:2O1S,,,1L:1L,11,0.33003300330033
39,4,3,0,1,1,::1O:1O,::1O,,,1L,11,0.33003300330033
40,2,4,0,1,2,:,1O:1O:1O1S:2O1S,,,1L:1L,10,0.3000300030003
41,3,4,0,1,1,::,:1O:1O:1O1S,,,1L,10,0.3000300030003
42,0,4,0,1,1,,:1O:1O:1O1S,,,1L,10,0.3000300030003
43,3,3,0,1,1,:1O:1O,::1O,,,1L,10,0.3000300030003
44,3,3,0,1,1,1O:1O:1O,:1O:1O1S,,,1L,9,0.27002700270027
45,3,3,0,1,1,::1O,1O:1O:1O1S,,,1L,9,0.27002700270027
46,3,2,0,1,1,:1O:1O,1O:1O1S,,,1L,9,0.27002700270027
47,3,4,0,1,1,:1O:1O,::1O:1O,,,1L,9,0.27002700270027
48,2,4,0,1,1,:,:1O:1O1S:2O1S,,,1L,9,0.27002700270027
49,1,5,0,1,1,1O,::1O:1O:1O,,,1L,9,0.27002700270027
