,num_dol,num_dpt,num_tfsi,num_ps,num_li,atoms_dol,atoms_dpt,atoms_tfsi,atoms_ps,atoms_li,count,%
0,4,2,0,1,1,::1O:1O,:1O,,,1L,49,1.47014701470147
1,1,4,1,1,2,1O,1O:1O:1O:1O,1O,,1L:1L,46,1.38013801380138
2,5,1,0,1,1,:::1O:1O,1O,,,1L,44,1.32013201320132
3,3,3,0,1,1,::1O,:1O:1O,,,1L,34,1.02010201020102
4,4,1,0,1,1,::1O:1O,1O,,,1L,32,0.96009600960096
5,3,2,0,1,1,:1O:1O,:1O,,,1L,32,0.96009600960096
6,1,3,0,1,1,,:1O:1O,,,1L,30,0.9000900090009001
7,2,3,1,1,1,:,:1O:1O,1O,,1L,27,0.8100810081008101
8,2,3,0,1,1,:,:1O:1O,,,1L,27,0.8100810081008101
9,2,4,1,1,2,:1O,1O:1O:1O:1O,1O,,1L:1L,27,0.8100810081008101
10,5,1,0,1,1,::1O:1O:1O,1O,,,1L,26,0.7800780078007801
11,5,2,0,1,1,:::1O:1O,:1O,,,1L,22,0.6600660066006601
12,3,2,0,1,1,::1O,1O:1O,,,1L,22,0.6600660066006601
13,1,3,1,2,2,1O,1O:1O:1O,1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,21,0.6300630063006301
14,1,3,1,1,2,1O,1O:1O:1O,1O,,1L:1L,20,0.6000600060006
15,4,2,0,1,1,:1O:1O:1O,:1O,,,1L,20,0.6000600060006
16,4,2,0,1,1,:::1O,1O:1O,,,1L,18,0.54005400540054
17,1,4,0,1,1,,:1O:1O:1O,,,1L,18,0.54005400540054
18,0,3,0,2,2,,1O:1O:1O,,:1S:1S:1S:2S:2S:2S:2S,1L:1L,18,0.54005400540054
19,3,3,0,1,1,::,:1O:1O,,,1L,18,0.54005400540054
20,2,3,0,1,1,:1O,:1O:1O,,,1L,18,0.54005400540054
21,2,3,0,2,2,:1O,1O:1O:1O,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,17,0.51005100510051
22,6,1,0,1,1,::::1O:1O,1O,,,1L,17,0.51005100510051
23,3,3,1,1,2,:1O:1O,1O:1O:1O,1O,,1L:1L,17,0.51005100510051
24,0,4,0,1,1,,:1O:1O:1O,,,1L,17,0.51005100510051
25,2,3,1,1,2,1O:1O,1O:1O:1O,1O,,1L:1L,17,0.51005100510051
26,0,5,2,1,2,,1O:1O:1O:1O:1O,:1O,,1L:1L,17,0.51005100510051
27,1,4,1,1,2,1O,1O:1O:1O:1O1S,1O,,1L:1L,17,0.51005100510051
28,1,3,0,2,2,1O,1O:1O:1O,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,16,0.48004800480048
29,3,3,0,1,1,:1O:1O,::1O,,,1L,15,0.45004500450045
30,0,5,1,1,2,,1O:1O:1O:1O:1O,1O,,1L:1L,15,0.45004500450045
31,3,3,1,1,2,:1O:1O,1O:1O:2O1S,1O,,1L:1L,15,0.45004500450045
