,num_dol,num_dtfeg,num_tfsi,num_ps,num_li,atoms_dol,atoms_dtfeg,atoms_tfsi,atoms_ps,atoms_li,count,%
0,1,2,1,1,2,1O,2O:2O,1O,,1L:1L,131,3.9303930393039295
1,2,2,1,1,2,:1O,2O:2O,1O,,1L:1L,50,1.5001500150015
2,3,1,1,1,2,1O:1O:1O,2O,1O,,1L:1L,47,1.41014101410141
3,3,2,0,1,1,::1O,:2O,,,1L,47,1.41014101410141
4,2,2,0,1,2,1O:1O,2O:2O,,,1L:1L,46,1.38013801380138
5,4,2,0,1,1,:::1O,:2O,,,1L,30,0.9000900090009001
6,4,1,1,1,2,:1O:1O:1O,2O,1O,,1L:1L,29,0.8700870087008701
7,1,2,1,1,2,1O,2O:2O,2O,,1L:1L,26,0.7800780078007801
8,2,3,0,1,1,:1O,::2O,,,1L,26,0.7800780078007801
9,1,3,1,1,2,1O,:2O:2O,1O,,1L:1L,25,0.7500750075007501
10,0,2,1,2,2,,2O:2O,1O,:::1S:1S:2S:2S:2S,1L:1L,24,0.7200720072007201
11,4,1,0,1,2,1O:1O:1O:1O,2O,,,1L:1L,24,0.7200720072007201
12,3,3,0,1,1,::1O,::2O,,,1L,24,0.7200720072007201
13,2,2,0,1,1,:1O,:2O,,,1L,23,0.6900690069006901
14,3,1,1,1,2,1O:1O:1O,2O,2O1S,,1L:1L,22,0.6600660066006601
15,1,2,1,1,2,1O,2O:2O,2O1S,,1L:1L,22,0.6600660066006601
16,1,2,1,2,2,,2O:2O,1O,:::1S:1S:2S:2S:2S,1L:1L,22,0.6600660066006601
17,1,3,0,1,1,1O,::2O,,,1L,21,0.6300630063006301
18,3,2,0,1,1,:1O:1O,:2O,,,1L,18,0.54005400540054
19,4,2,0,1,1,::1O:1O,:2O,,,1L,17,0.51005100510051
20,2,2,1,1,2,1O:1O,2O:2O,1O,,1L:1L,16,0.48004800480048
21,3,1,0,1,2,1O:1O:1O,2O,,,1L:1L,16,0.48004800480048
22,3,1,1,1,2,1O:1O:1O,2O,2O,,1L:1L,16,0.48004800480048
23,3,1,1,1,2,1O:1O:2O,2O,1O,,1L:1L,16,0.48004800480048
24,4,1,0,1,1,:::1O,2O,,,1L,16,0.48004800480048
25,3,3,0,1,1,:1O:1O,::2O,,,1L,15,0.45004500450045
26,0,3,1,2,2,,:2O:2O,1O,:::1S:1S:2S:2S:2S,1L:1L,15,0.45004500450045
27,3,2,1,1,2,1O:1O:1O,:2O,1O,,1L:1L,14,0.42004200420042
28,1,4,0,1,1,1O,:::2O,,,1L,14,0.42004200420042
29,4,1,0,1,1,::1O:1O,2O,,,1L,14,0.42004200420042
30,4,1,1,1,1,::1O:1O,,1O,,1L,12,0.36003600360036
31,3,1,1,2,2,:1O:1O,2O,1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,12,0.36003600360036
32,5,0,2,1,2,:1O:1O:1O:1O,,1O:1O,,1L:1L,12,0.36003600360036
33,2,2,1,1,2,:1O,2O:2O,2O,,1L:1L,12,0.36003600360036
34,4,0,2,1,2,1O:1O:1O:1O,,1O:1O,,1L:1L,12,0.36003600360036
35,4,0,2,1,2,1O:1O:1O:1O,,1O:2O1S,,1L:1L,12,0.36003600360036
36,3,2,0,1,2,:1O:1O,2O:2O,,,1L:1L,11,0.33003300330033
37,2,3,0,1,1,:1O,:1O:2O,,,1L,11,0.33003300330033
38,5,1,0,1,1,:1O:1O:1O:1O,,,,1L,11,0.33003300330033
39,5,1,1,1,1,::1O:1O:1O,,1O,,1L,11,0.33003300330033
40,4,2,0,1,1,:1O:1O:1O,:,,,1L,11,0.33003300330033
41,2,1,1,2,2,1O:1O,2O,1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,11,0.33003300330033
42,3,1,0,2,2,1O:1O:1O,2O,,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,10,0.3000300030003
43,5,1,0,1,1,::1O:1O:1O,,,,1L,10,0.3000300030003
44,1,2,1,1,2,1O,2O:2O,1O1S,,1L:1L,10,0.3000300030003
45,4,1,0,1,1,:1O:1O:1O,,,,1L,10,0.3000300030003
46,2,2,0,1,1,:1O,1O:2O,,,1L,10,0.3000300030003
47,5,0,2,1,2,1O:1O:1O:1O:1O,,1O:1O,,1L:1L,9,0.27002700270027
48,5,1,1,1,1,:::1O:1O,,1O,,1L,9,0.27002700270027
49,2,3,0,1,2,1O:1O,:2O:2O,,,1L:1L,9,0.27002700270027
50,5,1,0,1,1,:::1O:1O,2O,,,1L,9,0.27002700270027
51,5,0,1,1,2,:1O:1O:1O:1O,,1O,,1L:1L,9,0.27002700270027
52,3,1,0,2,2,1O:1O:1O,2O,,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,9,0.27002700270027
53,3,2,0,1,1,1O:1O:1O,:,,,1L,8,0.24002400240024
54,3,0,4,1,2,:1O:1O,,1O:1O:1O:2O,,1L:1L,8,0.24002400240024
55,4,1,1,1,2,1O:1O:1O:1O,,1O,,1L:1L,8,0.24002400240024
56,2,3,0,1,1,1O:1O,::2O,,,1L,8,0.24002400240024
57,2,2,1,1,1,:1O,:2O,,,1L,8,0.24002400240024
58,3,2,1,1,1,::1O,:2O,,,1L,8,0.24002400240024
59,2,2,0,1,1,1O:1O,:2O,,,1L,8,0.24002400240024
60,4,1,1,1,2,:1O:1O:1O,2O,2O1S,,1L:1L,8,0.24002400240024
61,3,2,1,1,1,:1O:1O,:,1O,,1L,8,0.24002400240024
62,4,1,0,1,2,:1O:1O:1O,2O,,,1L:1L,8,0.24002400240024
63,4,0,2,1,2,1O:1O:1O:1O,,1O:2O,,1L:1L,8,0.24002400240024
64,5,0,2,1,2,:1O:1O:1O:1O,,1O:1O1S,,1L:1L,8,0.24002400240024
65,4,0,1,1,2,1O:1O:1O:1O,,1O,,1L:1L,8,0.24002400240024
66,5,2,0,1,1,::::1O,:2O,,,1L,8,0.24002400240024
67,4,2,1,1,1,:1O:1O:1O,:,1O,,1L,7,0.21002100210021
68,3,2,0,1,1,::1O,1O:2O,,,1L,7,0.21002100210021
69,3,2,0,1,1,:1O:1O,1O:2O,,,1L,7,0.21002100210021
70,4,1,1,1,1,:1O:1O:1O,,1O,,1L,7,0.21002100210021
71,2,1,1,2,2,1O:1O,2O,1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,7,0.21002100210021
72,2,4,0,1,1,:1O,:::2O,,,1L,7,0.21002100210021
73,5,2,0,1,1,::1O:1O:1O,:,,,1L,7,0.21002100210021
74,4,2,1,1,1,::1O:1O,:,1O,,1L,7,0.21002100210021
75,4,1,0,2,2,:1O:1O:1O,2O,,:::1S:1S:2S:2S:2S,1L:1L,7,0.21002100210021
76,3,1,1,1,2,:1O:1O,2O,2O,,1L:1L,7,0.21002100210021
77,4,1,1,1,2,1O:1O:1O:1O,2O,1O,,1L:1L,7,0.21002100210021
78,3,1,0,2,2,1O:1O:1O,2O,,:::1S:1S:2S:2S:2S,1L:1L,7,0.21002100210021
79,6,0,2,1,2,:1O:1O:1O:1O:1O,,1O:1O,,1L:1L,6,0.18001800180018
80,4,1,0,1,2,1O:1O:1O:2O,2O,,,1L:1L,6,0.18001800180018
81,5,0,1,1,2,1O:1O:1O:1O:2O,,1O,,1L:1L,6,0.18001800180018
82,3,1,0,1,2,1O:1O:2O,2O,,,1L:1L,6,0.18001800180018
83,1,3,1,1,1,1O,::2O,,,1L,6,0.18001800180018
84,1,3,0,1,1,1O,:1O:2O,,,1L,6,0.18001800180018
85,6,1,0,1,1,::1O:1O:1O:1O,,,,1L,6,0.18001800180018
86,3,2,0,2,2,1O:1O:1O,:2O,,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,6,0.18001800180018
87,5,2,0,1,1,:::1O:1O,:2O,,,1L,6,0.18001800180018
88,4,1,0,2,2,:1O:1O:1O,2O,,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,6,0.18001800180018
89,2,3,1,1,1,:,::2O,1O,,1L,6,0.18001800180018
90,6,0,1,1,2,1O:1O:1O:1O:1O:1O,,,,1L:1L,6,0.18001800180018
91,4,3,0,1,1,:1O:1O:1O,::,,,1L,6,0.18001800180018
92,5,0,1,1,2,1O:1O:1O:1O:1O,,1O,,1L:1L,6,0.18001800180018
93,3,1,1,2,2,:1O:1O,2O,2O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,6,0.18001800180018
94,3,2,1,1,1,::1O,:2O,1O,,1L,6,0.18001800180018
95,2,1,1,2,2,1O:1O,2O,1O,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,6,0.18001800180018
96,4,1,1,1,2,:1O:1O:2O,2O,1O,,1L:1L,6,0.18001800180018
97,4,1,0,1,1,1O:1O:1O:1O,,,,1L,5,0.15001500150015
98,4,1,1,1,1,:1O:1O:1O,,,,1L,5,0.15001500150015
99,3,1,1,1,2,1O:1O:1O,2O,3O1S,,1L:1L,5,0.15001500150015
100,3,1,1,1,2,1O:1O:1O,,1O,,1L:1L,5,0.15001500150015
101,4,1,1,1,2,:1O:1O:1O,2O,2O,,1L:1L,5,0.15001500150015
102,3,3,0,1,1,1O:1O:1O,::,,,1L,5,0.15001500150015
