,num_dol,num_eips,num_tfsi,num_ps,num_li,atoms_dol,atoms_eips,atoms_tfsi,atoms_ps,atoms_li,count,%
0,3,3,0,1,1,::1O,:1O:1O,,,1L,122,3.66036603660366
1,2,4,0,1,1,:1O,::1O:1O,,,1L,117,3.5103510351035103
2,3,4,0,1,1,::1O,::1O:1O,,,1L,78,2.34023402340234
3,2,3,0,1,1,:1O,:1O:1O,,,1L,68,2.04020402040204
4,2,4,0,1,1,:,:1O:1O:1O,,,1L,62,1.86018601860186
5,4,3,0,1,1,:::1O,:1O:1O,,,1L,59,1.7701770177017702
6,3,3,0,1,1,:1O:1O,:1O:1O,,,1L,48,1.44014401440144
7,3,4,0,1,1,::,:1O:1O:1O,,,1L,39,1.17011701170117
8,4,3,0,1,1,::1O:1O,:1O:1O,,,1L,39,1.17011701170117
9,2,5,0,1,1,:1O,:::1O:1O,,,1L,38,1.14011401140114
10,1,5,0,1,1,1O,:::1O:1O,,,1L,36,1.08010801080108
11,1,4,0,1,1,1O,::1O:1O,,,1L,34,1.02010201020102
12,0,6,0,1,1,,:::1O:1O:1O,,,1L,34,1.02010201020102
13,3,4,0,1,1,:1O:1O,::1O:1O,,,1L,31,0.93009300930093
14,1,4,0,1,1,,:1O:1O:1O1S,,,1L,30,0.9000900090009001
15,3,3,0,1,1,::1O,:1O:1O1S,,,1L,30,0.9000900090009001
16,2,4,0,1,1,1O:1O,::1O:1O,,,1L,29,0.8700870087008701
17,2,4,0,1,1,:1O,::1O:1O1S,,,1L,26,0.7800780078007801
18,4,2,0,1,1,:::1O,1O:1O,,,1L,25,0.7500750075007501
19,1,5,0,1,1,,::1O:1O:1O,,,1L,25,0.7500750075007501
20,2,3,0,1,1,:1O,:1O:1O1S,,,1L,23,0.6900690069006901
21,1,4,0,1,1,,:1O:1O:1O,,,1L,23,0.6900690069006901
22,5,2,0,1,1,::::1O,1O:1O,,,1L,23,0.6900690069006901
23,2,4,0,1,1,:1O,:1O:1O:1O,,,1L,23,0.6900690069006901
24,2,4,0,1,1,:,:1O:1O:1O1S,,,1L,22,0.6600660066006601
