,num_dol,num_epe,num_tfsi,num_ps,num_li,atoms_dol,atoms_epe,atoms_tfsi,atoms_ps,atoms_li,count,%
0,4,0,2,1,2,1O:1O:1O:1O,,1O:1O,,1L:1L,51,1.53015301530153
1,5,0,1,1,2,1O:1O:1O:1O:1O,,1O,,1L:1L,41,1.23012301230123
2,4,0,2,1,2,1O:1O:1O:1O,,1O:2O,,1L:1L,30,0.9000900090009001
3,5,0,2,1,2,:1O:1O:1O:1O,,1O:1O,,1L:1L,29,0.8700870087008701
4,4,1,2,1,2,1O:1O:1O:1O,,1O:1O,,1L:1L,28,0.8400840084008401
5,5,1,1,1,2,1O:1O:1O:1O:1O,,1O,,1L:1L,27,0.8100810081008101
6,4,0,3,1,2,1O:1O:1O:1O,,1O:1O:1O,,1L:1L,26,0.7800780078007801
7,6,0,1,1,2,:1O:1O:1O:1O:1O,,1O,,1L:1L,24,0.7200720072007201
8,6,0,1,1,2,1O:1O:1O:1O:1O:1O,,1O,,1L:1L,23,0.6900690069006901
9,5,0,2,1,2,1O:1O:1O:1O:1O,,1O:1O,,1L:1L,20,0.6000600060006
10,4,0,3,1,2,:1O:1O:1O,,1O:1O:1O,,1L:1L,20,0.6000600060006
11,5,0,1,1,2,1O:1O:1O:1O:1O,,2O,,1L:1L,19,0.57005700570057
12,4,0,1,1,2,1O:1O:1O:1O,,1O,,1L:1L,19,0.57005700570057
13,4,0,2,1,2,:1O:1O:1O,,1O:1O,,1L:1L,17,0.51005100510051
14,3,0,2,1,2,1O:1O:1O,,1O:1O,,1L:1L,17,0.51005100510051
15,5,0,2,1,2,:1O:1O:1O:1O,,1O:2O,,1L:1L,17,0.51005100510051
16,4,0,2,2,2,:1O:1O:1O,,1O:1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,17,0.51005100510051
17,4,1,2,1,2,1O:1O:1O:1O,,1O:2O,,1L:1L,16,0.48004800480048
18,6,0,0,1,2,1O:1O:1O:1O:1O:1O,,,,1L:1L,16,0.48004800480048
19,4,0,1,1,2,1O:1O:1O:1O,,2O,,1L:1L,16,0.48004800480048
20,5,1,0,1,1,::1O:1O:1O,,,,1L,14,0.42004200420042
21,5,0,1,1,2,:1O:1O:1O:1O,,1O,,1L:1L,14,0.42004200420042
22,4,0,1,2,2,1O:1O:1O:1O,,1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,14,0.42004200420042
23,3,1,1,1,2,1O:1O:1O,1O,1O,,1L:1L,12,0.36003600360036
24,6,0,0,1,2,1O:1O:1O:1O:1O:2O,,,,1L:1L,12,0.36003600360036
25,5,0,1,1,2,:1O:1O:1O:1O,,2O,,1L:1L,12,0.36003600360036
26,4,0,2,2,2,1O:1O:1O:1O,,:1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,11,0.33003300330033
27,5,0,1,2,2,:1O:1O:1O:1O,,1O,:::1S:1S:2S:2S:2S,1L:1L,11,0.33003300330033
28,4,0,1,2,2,1O:1O:1O:1O,,1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,11,0.33003300330033
29,3,3,0,1,1,::1O,::1O,,,1L,11,0.33003300330033
30,5,0,1,1,2,1O:1O:1O:1O:2O,,1O,,1L:1L,11,0.33003300330033
31,4,2,0,1,1,::1O:1O,:1O,,,1L,10,0.3000300030003
32,4,1,1,1,2,1O:1O:1O:1O,1O,1O,,1L:1L,10,0.3000300030003
33,4,0,2,1,2,1O:1O:1O:1O,,:1O,,1L:1L,10,0.3000300030003
34,3,1,3,1,2,1O:1O:1O,,1O:1O:1O,,1L:1L,10,0.3000300030003
35,3,1,2,1,2,1O:1O:1O,1O,1O:1O,,1L:1L,10,0.3000300030003
36,7,0,0,1,2,:1O:1O:1O:1O:1O:1O,,,,1L:1L,10,0.3000300030003
37,3,0,3,1,2,1O:1O:1O,,1O:1O:1O,,1L:1L,10,0.3000300030003
38,3,1,1,2,2,:1O:1O,1O,1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,10,0.3000300030003
39,4,0,2,1,2,:1O:1O:1O,,1O:2O,,1L:1L,9,0.27002700270027
40,4,0,2,1,2,1O:1O:1O:2O,,1O:1O,,1L:1L,9,0.27002700270027
41,4,2,0,1,1,:1O:1O:1O,:,,,1L,9,0.27002700270027
42,6,0,0,1,1,:::1O:1O:1O,,,,1L,9,0.27002700270027
43,5,1,1,1,2,1O:1O:1O:1O:1O,,2O,,1L:1L,9,0.27002700270027
44,4,1,2,1,2,1O:1O:1O:2O,,1O:1O,,1L:1L,8,0.24002400240024
