,num_dol,num_etfe,num_tfsi,num_ps,num_li,atoms_dol,atoms_etfe,atoms_tfsi,atoms_ps,atoms_li,count,%
0,5,0,2,1,2,1O:1O:1O:1O:1O,,1O:1O1S,,1L:1L,15,0.45004500450045
1,4,0,1,2,2,1O:1O:1O:1O,,1N2O2S,:1S:1S:1S:1S:2S:2S:2S,1L:1L,12,0.36003600360036
2,5,0,2,1,2,1O:1O:1O:1O:1O,,1O:2O1S,,1L:1L,11,0.33003300330033
3,5,0,2,1,2,:1O:1O:1O:2O,,1O:2O1S,,1L:1L,10,0.3000300030003
4,5,0,2,1,2,:1O:1O:1O:2O,,1O:1O1S,,1L:1L,10,0.3000300030003
5,5,0,2,1,2,1O:1O:1O:1O:1O,,1O:1O,,1L:1L,9,0.27002700270027
6,5,0,2,1,2,1O:1O:1O:1O:2O,,1N1O1S:1O,,1L:1L,8,0.24002400240024
7,6,0,2,1,2,:1O:1O:1O:1O:2O,,1O:1O,,1L:1L,8,0.24002400240024
8,5,1,1,1,2,1O:1O:1O:1O:2O,,1O1S,,1L:1L,8,0.24002400240024
9,5,0,3,1,2,:1O:1O:1O:1O,,1O:1O:1O1S,,1L:1L,8,0.24002400240024
10,6,0,1,1,2,:1O:1O:1O:1O:2O,,2O1S,,1L:1L,8,0.24002400240024
11,5,0,3,1,2,1O:1O:1O:1O:1O,,:1O:1O,,1L:1L,7,0.21002100210021
12,6,0,2,1,2,:1O:1O:1O:1O:1O,,1O:1O1S,,1L:1L,7,0.21002100210021
13,5,0,1,1,2,1O:1O:1O:1O:2O,,1N1O1S,,1L:1L,7,0.21002100210021
14,6,0,1,1,2,1O:1O:1O:1O:1O:1O,,2O1S,,1L:1L,7,0.21002100210021
15,5,0,2,1,2,1O:1O:1O:1O:2O,,1O:2O1S,,1L:1L,7,0.21002100210021
16,6,0,1,1,2,1O:1O:1O:1O:1O:1O,,1O,,1L:1L,7,0.21002100210021
17,5,0,2,1,2,:1O:1O:1O:1O,,1O:1O1S,,1L:1L,7,0.21002100210021
18,5,0,2,1,2,1O:1O:1O:1O:2O,,:1O1S,,1L:1L,6,0.18001800180018
19,6,0,1,1,2,:1O:1O:1O:1O:1O,,1O1S,,1L:1L,6,0.18001800180018
20,5,0,2,1,2,1O:1O:1O:1O:1O,,:1O,,1L:1L,6,0.18001800180018
21,5,0,2,1,2,:1O:1O:2O:2O,,1O:1O1S,,1L:1L,6,0.18001800180018
22,6,0,2,1,2,:1O:1O:1O:1O:2O,,1O:1O1S,,1L:1L,6,0.18001800180018
23,4,0,2,1,2,1O:1O:1O:2O,,1N1O1S:1O,,1L:1L,6,0.18001800180018
24,6,0,1,1,2,:1O:1O:1O:1O:2O,,1O1S,,1L:1L,6,0.18001800180018
25,5,0,1,1,2,1O:1O:1O:1O:1O,,2O1S,,1L:1L,6,0.18001800180018
26,4,0,2,1,2,1O:1O:1O:2O,,1O1S:2O1S,,1L:1L,6,0.18001800180018
27,5,0,2,1,2,1O:1O:1O:1O:1O,,:1O1S,,1L:1L,6,0.18001800180018
28,5,1,2,1,2,1O:1O:1O:1O:1O,,1O:2O1S,,1L:1L,6,0.18001800180018
29,4,0,2,1,2,1O:1O:1O:2O,,1O:1O1S,,1L:1L,6,0.18001800180018
30,5,1,1,1,2,1O:1O:1O:1O:1O,,2O,,1L:1L,6,0.18001800180018
31,6,0,1,1,2,:1O:1O:1O:1O:2O,,1N1O1S,,1L:1L,6,0.18001800180018
32,5,0,2,1,2,1O:1O:1O:1O:1O,,1O1S:1O1S,,1L:1L,6,0.18001800180018
33,5,0,2,1,2,1O:1O:1O:2O:2O,,1O:1O,,1L:1L,6,0.18001800180018
34,5,0,2,1,2,1O:1O:1O:2O:2O,,1O:1O1S,,1L:1L,5,0.15001500150015
35,6,0,2,1,2,1O:1O:1O:1O:1O:1O,,1O:2O1S,,1L:1L,5,0.15001500150015
36,4,0,3,1,2,1O:1O:1O:2O,,1O:1O:1O1S,,1L:1L,5,0.15001500150015
37,6,0,1,1,2,1O:1O:1O:1O:1O:2O,,1O,,1L:1L,5,0.15001500150015
38,7,0,0,1,1,:::1O:1O:1O:2O,,,,1L,5,0.15001500150015
39,5,0,3,1,2,1O:1O:1O:1O:1O,,:1O:2O1S,,1L:1L,5,0.15001500150015
40,5,0,2,1,2,:1O:1O:1O:1O,,1O1S:2O,,1L:1L,5,0.15001500150015
41,5,0,2,1,2,:1O:1O:1O:1O,,1O1S:2O1S,,1L:1L,5,0.15001500150015
42,5,1,2,1,2,:1O:1O:1O:1O,,1O:1O1S,,1L:1L,5,0.15001500150015
43,5,0,2,1,2,:1O:1O:1O:1O,,1O:1O,,1L:1L,5,0.15001500150015
44,5,0,1,1,2,1O:1O:1O:1O:2O,,2O1S,,1L:1L,5,0.15001500150015
45,5,1,1,1,2,1O:1O:1O:1O:1O,,1N3O2S,,1L:1L,5,0.15001500150015
46,5,1,1,1,2,1O:1O:1O:1O:1O,,1O1S,,1L:1L,5,0.15001500150015
47,5,1,1,1,2,1O:1O:1O:1O:2O,,1N1O1S,,1L:1L,5,0.15001500150015
48,7,0,1,1,2,:1O:1O:1O:1O:1O:1O,,1O,,1L:1L,5,0.15001500150015
49,5,0,3,1,2,1O:1O:1O:1O:1O,,:1O:1O1S,,1L:1L,5,0.15001500150015
50,6,0,2,1,2,1O:1O:1O:1O:1O:1O,,1O:1O,,1L:1L,5,0.15001500150015
51,4,0,2,1,2,1O:1O:1O:1O,,1O:1O1S,,1L:1L,5,0.15001500150015
52,6,0,1,1,2,1O:1O:1O:1O:1O:2O,,2O1S,,1L:1L,5,0.15001500150015
53,6,0,1,1,2,:1O:1O:1O:1O:1O,,2O1S,,1L:1L,5,0.15001500150015
54,6,0,1,1,2,:1O:1O:1O:1O:2O,,1O,,1L:1L,5,0.15001500150015
55,4,0,2,1,2,1O:1O:1O:1O,,1O1S:2O1S,,1L:1L,5,0.15001500150015
56,4,1,2,1,2,1O:1O:1O:1O,,1N1O1S:1O,,1L:1L,5,0.15001500150015
57,5,0,2,1,2,1O:1O:1O:1O:2O,,:2O1S,,1L:1L,5,0.15001500150015
58,4,1,2,1,2,1O:1O:1O:1O,,1N3O2S:1O,,1L:1L,4,0.12001200120012
59,5,0,1,2,2,:1O:1O:1O:1O,,1N2O2S,:1S:1S:1S:1S:2S:2S:2S,1L:1L,4,0.12001200120012
60,5,0,2,1,2,1O:1O:1O:1O:2O,,1O1S:2O1S,,1L:1L,4,0.12001200120012
61,4,1,2,1,2,1O:1O:1O:1O,,1O:1O1S,,1L:1L,4,0.12001200120012
62,5,1,2,1,2,:1O:1O:1O:2O,,1O:1O1S,,1L:1L,4,0.12001200120012
63,4,0,3,1,2,1O:1O:1O:2O,,1O:1O1S:2O,,1L:1L,4,0.12001200120012
64,4,0,3,1,2,1O:1O:1O:1O,,:1O:1O1S,,1L:1L,4,0.12001200120012
65,4,0,2,1,2,1O:1O:1O:2O,,1N3O2S:1O,,1L:1L,4,0.12001200120012
66,5,1,1,1,2,:1O:1O:1O:1O,,1N3O2S,,1L:1L,4,0.12001200120012
67,4,1,2,1,2,1O:1O:1O:1O,,1N2O2S:1O,,1L:1L,4,0.12001200120012
68,6,0,3,1,2,:1O:1O:1O:1O:1O,,:1O:1O,,1L:1L,4,0.12001200120012
69,4,0,3,1,2,:1O:1O:1O,,1O:2O:2O1S,,1L:1L,4,0.12001200120012
70,3,0,3,1,2,1O:1O:1O,,1N3O2S:1O1S:2O1S,,1L:1L,4,0.12001200120012
71,5,0,2,1,2,:1O:1O:1O:1O,,2O1S:2O1S,,1L:1L,4,0.12001200120012
72,3,0,5,1,2,:1O:1O,,1N1O1S:1O:1O:1O:1O1S,,1L:1L,4,0.12001200120012
73,5,0,2,1,2,1O:1O:1O:1O:1O,,1N1O1S:1O1S,,1L:1L,4,0.12001200120012
74,4,0,2,1,2,1O:1O:1O:2O,,1O:2O1S,,1L:1L,4,0.12001200120012
75,5,0,2,1,2,1O:1O:1O:1O:1O,,1O1S:2O,,1L:1L,4,0.12001200120012
76,5,1,1,1,2,1O:1O:1O:1O:2O,,1O,,1L:1L,4,0.12001200120012
77,5,0,1,1,2,1O:1O:1O:1O:1O,,1O,,1L:1L,4,0.12001200120012
78,5,0,2,1,2,:1O:1O:1O:2O,,1N1O1S:1O,,1L:1L,4,0.12001200120012
79,3,0,4,1,2,:1O:1O,,1O:1O:1O1S:2O1S,,1L:1L,4,0.12001200120012
80,5,0,1,1,2,1O:1O:1O:2O:2O,,2O1S,,1L:1L,4,0.12001200120012
81,6,0,1,1,2,1O:1O:1O:1O:1O:2O,,2O,,1L:1L,4,0.12001200120012
82,3,0,3,1,2,1O:1O:1O,,1O:1O1S:1O1S,,1L:1L,4,0.12001200120012
83,5,1,2,1,2,:1O:1O:1O:1O,,1O:2O1S,,1L:1L,4,0.12001200120012
84,4,1,2,1,2,:1O:1O:1O,,1N3O2S:1O,,1L:1L,4,0.12001200120012
85,4,1,2,1,2,1O:1O:1O:2O,,1O:2O1S,,1L:1L,4,0.12001200120012
86,4,0,3,1,2,1O:1O:1O:1O,,1O:1O1S:2O1S,,1L:1L,4,0.12001200120012
87,5,0,3,1,2,:1O:1O:1O:1O,,:1O:1O1S,,1L:1L,4,0.12001200120012
88,5,0,1,1,2,:1O:1O:1O:2O,,2O2S,,1L:1L,4,0.12001200120012
89,4,0,3,1,2,1O:1O:1O:1O,,1O:1O:1O,,1L:1L,4,0.12001200120012
90,5,0,2,1,2,:1O:1O:1O:2O,,1O:2O2S,,1L:1L,4,0.12001200120012
91,5,0,2,1,2,1O:1O:1O:1O:2O,,:2O,,1L:1L,4,0.12001200120012
