,num_dol,num_ettfpe,num_tfsi,num_ps,num_li,atoms_dol,atoms_ettfpe,atoms_tfsi,atoms_ps,atoms_li,count,%
0,4,0,2,1,2,1O:1O:1O:1O,,1O:1O,,1L:1L,98,2.9402940294029403
1,5,0,1,1,2,1O:1O:1O:1O:1O,,1O,,1L:1L,55,1.6501650165016502
2,5,0,2,1,2,:1O:1O:1O:1O,,1O:1O,,1L:1L,54,1.62016201620162
3,4,0,2,1,2,1O:1O:1O:1O,,1O:2O,,1L:1L,53,1.59015901590159
4,5,0,2,1,2,:1O:1O:1O:1O,,1O:2O,,1L:1L,35,1.05010501050105
5,5,0,2,1,2,1O:1O:1O:1O:1O,,1O:1O,,1L:1L,34,1.02010201020102
6,4,0,3,1,2,:1O:1O:1O,,1O:1O:1O,,1L:1L,25,0.7500750075007501
7,5,0,1,1,2,1O:1O:1O:1O:1O,,2O,,1L:1L,25,0.7500750075007501
8,4,1,2,1,2,1O:1O:1O:1O,,1O:1O,,1L:1L,25,0.7500750075007501
9,4,0,1,1,2,1O:1O:1O:1O,,1O,,1L:1L,24,0.7200720072007201
10,6,0,1,1,2,:1O:1O:1O:1O:1O,,1O,,1L:1L,24,0.7200720072007201
11,4,0,3,1,2,1O:1O:1O:1O,,:1O:1O,,1L:1L,23,0.6900690069006901
12,4,0,3,1,2,1O:1O:1O:1O,,1O:1O:1O,,1L:1L,23,0.6900690069006901
13,4,0,1,1,2,1O:1O:1O:1O,,2O,,1L:1L,19,0.57005700570057
14,4,1,2,1,2,1O:1O:1O:1O,,1O:2O,,1L:1L,18,0.54005400540054
15,4,0,3,1,2,:1O:1O:1O,,1O:1O:2O,,1L:1L,18,0.54005400540054
16,3,0,3,1,2,1O:1O:1O,,1O:1O:1O,,1L:1L,17,0.51005100510051
17,5,1,1,1,2,1O:1O:1O:1O:1O,,1O,,1L:1L,16,0.48004800480048
18,4,0,2,1,2,:1O:1O:1O,,1O:2O,,1L:1L,16,0.48004800480048
19,3,0,3,1,2,1O:1O:1O,,1O:1O:2O,,1L:1L,16,0.48004800480048
20,5,0,1,1,2,:1O:1O:1O:1O,,2O,,1L:1L,15,0.45004500450045
21,4,0,2,1,2,1O:1O:1O:1O,,1O:2O1S,,1L:1L,15,0.45004500450045
22,6,0,1,1,2,1O:1O:1O:1O:1O:1O,,1O,,1L:1L,15,0.45004500450045
23,4,0,2,1,2,:1O:1O:1O,,1O:1O,,1L:1L,15,0.45004500450045
24,5,0,1,1,2,1O:1O:1O:1O:2O,,1O,,1L:1L,14,0.42004200420042
25,3,0,2,1,2,1O:1O:1O,,1O:2O,,1L:1L,14,0.42004200420042
26,6,0,1,1,1,::::1O:1O,,1O,,1L,13,0.39003900390039
27,5,0,2,1,2,1O:1O:1O:1O:1O,,1O:2O,,1L:1L,12,0.36003600360036
28,3,1,2,1,2,1O:1O:1O,,1O:2O,,1L:1L,12,0.36003600360036
29,5,0,1,1,2,1O:1O:1O:1O:1O,,2O1S,,1L:1L,12,0.36003600360036
30,5,0,2,1,2,:1O:1O:1O:1O,,1O:2O1S,,1L:1L,12,0.36003600360036
31,4,0,3,1,2,1O:1O:1O:1O,,:1O:2O,,1L:1L,11,0.33003300330033
32,5,0,1,1,2,:1O:1O:1O:1O,,1O,,1L:1L,11,0.33003300330033
33,5,0,2,1,2,1O:1O:1O:1O:1O,,:1O,,1L:1L,11,0.33003300330033
34,4,0,2,1,2,1O:1O:1O:1O,,1N1O:1O,,1L:1L,11,0.33003300330033
35,5,0,1,2,2,:1O:1O:1O:1O,,1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,11,0.33003300330033
36,5,0,0,2,2,1O:1O:1O:1O:1O,,,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,11,0.33003300330033
37,3,0,3,1,2,:1O:1O,,1O:1O:2O,,1L:1L,10,0.3000300030003
38,3,1,3,1,2,:1O:1O,1O,1O:1O:1O,,1L:1L,10,0.3000300030003
39,5,1,1,1,2,1O:1O:1O:1O:1O,,2O,,1L:1L,10,0.3000300030003
40,3,0,2,1,2,1O:1O:1O,,1O:1O,,1L:1L,10,0.3000300030003
41,5,0,1,1,2,1O:1O:1O:1O:1O,,3O1S,,1L:1L,10,0.3000300030003
42,3,0,4,1,2,1O:1O:1O,,:1O:1O:1O,,1L:1L,10,0.3000300030003
43,5,2,0,1,1,::1O:1O:1O,:,,,1L,10,0.3000300030003
44,5,1,0,1,1,::1O:1O:1O,,,,1L,10,0.3000300030003
45,6,0,1,1,2,:1O:1O:1O:1O:1O,,2O,,1L:1L,9,0.27002700270027
46,5,0,0,2,2,:1O:1O:1O:1O,,,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,9,0.27002700270027
47,6,0,2,1,2,:1O:1O:1O:1O:1O,,1O:1O,,1L:1L,9,0.27002700270027
48,6,0,0,1,1,:::1O:1O:1O,,,,1L,9,0.27002700270027
49,4,1,1,1,2,1O:1O:1O:1O,,2O,,1L:1L,9,0.27002700270027
50,4,0,3,1,1,:::1O,,:1O:1O,,1L,9,0.27002700270027
51,4,0,1,1,2,1O:1O:1O:2O,,1O,,1L:1L,9,0.27002700270027
52,5,0,2,1,1,::::1O,,1O:1O,,1L,9,0.27002700270027
53,4,0,1,2,2,1O:1O:1O:1O,,1O,:::1S:1S:2S:2S:2S,1L:1L,8,0.24002400240024
54,3,1,3,1,2,1O:1O:1O,,1O:1O:1O,,1L:1L,8,0.24002400240024
55,6,0,1,1,2,:1O:1O:1O:1O:1O,,2O1S,,1L:1L,8,0.24002400240024
56,5,0,1,1,1,::1O:1O:1O,,1O,,1L,8,0.24002400240024
57,1,0,4,1,2,1O,,1O:1O:1O:1O,,1L:1L,8,0.24002400240024
