,num_dol,num_fde,num_tfsi,num_ps,num_li,atoms_dol,atoms_fde,atoms_tfsi,atoms_ps,atoms_li,count,%
0,5,0,2,1,2,:1O:1O:1O:1O,,1O:1O,,1L:1L,27,0.8100810081008101
1,4,0,2,1,2,:1O:1O:1O,,1O:1O,,1L:1L,26,0.7800780078007801
2,4,0,2,1,2,1O:1O:1O:1O,,1O:1O,,1L:1L,17,0.51005100510051
3,5,0,2,1,2,1O:1O:1O:1O:1O,,1O:2O,,1L:1L,16,0.48004800480048
4,5,0,2,2,2,:1O:1O:1O:1O,,1O:1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,15,0.45004500450045
5,5,0,2,1,2,:1O:1O:1O:1O,,1O:2O1S,,1L:1L,13,0.39003900390039
6,5,0,2,1,2,1O:1O:1O:1O:1O,,1O:1O1S,,1L:1L,12,0.36003600360036
7,4,0,2,1,2,:1O:1O:1O,,1O:1O1S,,1L:1L,11,0.33003300330033
8,5,0,2,1,2,:1O:1O:1O:1O,,1O:1O1S,,1L:1L,11,0.33003300330033
9,5,0,1,1,2,1O:1O:1O:1O:1O,,2O,,1L:1L,10,0.3000300030003
10,4,0,2,1,2,1O:1O:1O:2O,,1O:1O,,1L:1L,10,0.3000300030003
11,5,0,1,1,2,1O:1O:1O:1O:2O,,1O,,1L:1L,10,0.3000300030003
12,4,0,1,3,2,1O:1O:1O:1O,,1O,:::1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,9,0.27002700270027
13,6,0,1,2,2,:1O:1O:1O:1O:1O,,1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,9,0.27002700270027
14,5,0,2,1,2,1O:1O:1O:1O:1O,,1O:1O,,1L:1L,9,0.27002700270027
15,2,0,4,2,2,1O:1O,,:1O:1O:1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,9,0.27002700270027
16,6,0,0,3,2,::1O:1O:1O:1O,,,1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:3S:3S:3S:3S:3S,1L:1L,8,0.24002400240024
17,4,2,0,1,1,:1O:1O:1O,:,,,1L,8,0.24002400240024
18,5,0,0,3,2,:1O:1O:1O:1O,,,1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:3S:3S:3S:3S:3S,1L:1L,8,0.24002400240024
19,5,0,0,3,2,:1O:1O:1O:2O,,,1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:3S:3S:3S:3S:3S,1L:1L,8,0.24002400240024
20,5,0,0,3,2,:1O:1O:1O:1O,,,1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:3S:3S:3S:3S:3S:3S,1L:1L,7,0.21002100210021
21,4,0,2,2,2,:1O:1O:1O,,1N1O1S:1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,7,0.21002100210021
22,6,1,0,1,1,:::1O:1O:1O,,,,1L,7,0.21002100210021
23,3,0,4,2,2,:1O:1O,,:1O:1O:1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,7,0.21002100210021
24,5,0,2,1,2,:1O:1O:1O:1O,,1O:2O,,1L:1L,7,0.21002100210021
25,4,0,2,1,2,1O:1O:1O:1O,,1O:2O1S,,1L:1L,7,0.21002100210021
26,5,0,2,1,2,1O:1O:1O:1O:2O,,1O:1O,,1L:1L,7,0.21002100210021
27,5,0,2,1,2,:1O:1O:1O:2O,,1O:1O,,1L:1L,7,0.21002100210021
28,5,0,2,1,2,::1O:1O:1O,,1O:1O1S,,1L:1L,7,0.21002100210021
29,6,0,1,1,2,:1O:1O:1O:1O:2O,,1O,,1L:1L,7,0.21002100210021
30,4,0,2,2,2,:1O:1O:1O,,1O:1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,7,0.21002100210021
31,2,0,4,2,2,1O:1O,,:1O:1O1S:2O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,7,0.21002100210021
32,2,0,4,2,2,1O:1O,,:1O:1O1S:1O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,7,0.21002100210021
33,4,0,2,2,2,:1O:1O:2O,,1O:1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,7,0.21002100210021
34,5,0,1,1,2,1O:1O:1O:1O:1O,,1O,,1L:1L,7,0.21002100210021
35,3,0,2,2,2,1O:1O:1O,,1N1O1S:1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,6,0.18001800180018
36,6,0,2,1,2,:1O:1O:1O:1O:1O,,1O:1O,,1L:1L,6,0.18001800180018
37,5,0,1,2,2,::1O:1O:1O,,1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,6,0.18001800180018
38,6,0,0,3,2,::1O:1O:1O:2O,,,1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:3S:3S:3S:3S:3S,1L:1L,6,0.18001800180018
39,4,0,2,2,2,1O:1O:1O:1O,,1O:1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,6,0.18001800180018
40,6,0,0,2,2,1O:1O:1O:1O:1O:1O,,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,6,0.18001800180018
41,5,0,2,1,2,1O:1O:1O:1O:1O,,1O:2O1S,,1L:1L,6,0.18001800180018
42,5,1,0,2,2,1O:1O:1O:1O:2O,,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,6,0.18001800180018
43,3,1,2,1,2,1O:1O:1O,,1O:1O,,1L:1L,6,0.18001800180018
44,6,0,0,1,1,::1O:1O:1O:1O,,,,1L,6,0.18001800180018
45,2,0,4,2,2,1O:1O,,:1O:1O:1O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,6,0.18001800180018
46,5,0,1,2,2,:1O:1O:1O:1O,,1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,6,0.18001800180018
47,6,0,1,1,2,:1O:1O:1O:1O:1O,,2O1S,,1L:1L,5,0.15001500150015
48,6,0,1,1,2,:1O:1O:1O:1O:1O,,1O,,1L:1L,5,0.15001500150015
49,5,0,1,2,2,:1O:1O:1O:1O,,2O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,5,0.15001500150015
50,5,0,1,1,2,1O:1O:1O:1O:1O,,2O1S,,1L:1L,5,0.15001500150015
51,5,0,1,2,2,:1O:1O:1O:1O,,2O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,5,0.15001500150015
52,4,0,2,1,2,1O:1O:1O:2O,,1O:2O1S,,1L:1L,5,0.15001500150015
53,5,0,1,2,2,:1O:1O:1O:1O,,1O,:::1S:1S:2S:2S:2S,1L:1L,5,0.15001500150015
54,6,0,1,1,2,:1O:1O:1O:1O:2O,,2O1S,,1L:1L,5,0.15001500150015
55,5,0,2,1,2,::1O:1O:1O,,1O:1O,,1L:1L,5,0.15001500150015
56,6,0,2,1,2,::1O:1O:1O:1O,,1O:2O,,1L:1L,5,0.15001500150015
57,4,0,3,1,2,1O:1O:1O:1O,,:1O:2O,,1L:1L,5,0.15001500150015
58,4,0,2,1,2,1O:1O:1O:1O,,1O:1O1S,,1L:1L,5,0.15001500150015
59,4,0,2,1,2,:1O:1O:2O,,1O:1O,,1L:1L,5,0.15001500150015
60,4,0,2,2,2,:1O:1O:1O,,1O:1O,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,5,0.15001500150015
61,5,0,1,3,2,:1O:1O:1O:1O,,1O,:::1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,5,0.15001500150015
62,4,1,2,1,2,1O:1O:1O:1O,,1O:1O,,1L:1L,5,0.15001500150015
63,5,1,0,2,2,1O:1O:1O:1O:1O,,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,5,0.15001500150015
64,5,0,3,1,2,1O:1O:1O:1O:1O,,1O:1O:1O,,1L:1L,5,0.15001500150015
65,5,0,0,2,2,1O:1O:1O:1O:2O,,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,5,0.15001500150015
66,2,0,4,2,2,1O:1O,,:1O:1O:2O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,5,0.15001500150015
67,5,1,0,1,1,:1O:1O:1O:1O,,,,1L,5,0.15001500150015
68,4,0,0,3,2,1O:1O:1O:2O,,,1S:1S:1S:2S:2S:2S:3S:3S:3S:3S:3S:3S:3S:3S:3S:3S,1L:1L,5,0.15001500150015
69,4,0,2,2,2,1O:1O:1O:1O,,1O:1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,4,0.12001200120012
70,3,1,2,2,2,1O:1O:1O,,1O:1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,4,0.12001200120012
