,num_dol,num_g3,num_tfsi,num_ps,num_li,atoms_dol,atoms_g3,atoms_tfsi,atoms_ps,atoms_li,count,%
0,2,3,0,1,1,:,::4O,,,1L,101,3.0303030303030303
1,3,2,0,1,1,::1O,:3O,,,1L,94,2.8202820282028203
2,2,3,0,1,1,:1O,::3O,,,1L,92,2.7602760276027603
3,2,2,0,1,1,:,:4O,,,1L,91,2.7302730273027302
4,1,3,0,1,1,,::4O,,,1L,77,2.31023102310231
5,1,4,0,1,1,,:::4O,,,1L,65,1.9501950195019504
6,3,2,0,1,1,::,:4O,,,1L,53,1.59015901590159
7,2,2,0,1,1,:1O,:3O,,,1L,50,1.5001500150015
8,2,2,0,1,1,:1O,:4O,,,1L,47,1.41014101410141
9,2,3,0,1,1,:1O,::4O,,,1L,45,1.35013501350135
10,0,4,0,1,1,,:::4O,,,1L,44,1.32013201320132
11,3,2,0,1,1,:1O:1O,:3O,,,1L,37,1.11011101110111
12,3,2,0,1,1,::1O,:4O,,,1L,37,1.11011101110111
13,3,3,0,1,1,::1O,::3O,,,1L,37,1.11011101110111
14,1,2,0,1,2,1O,3O:4O,,,1L:1L,36,1.08010801080108
15,1,2,0,1,1,,:4O,,,1L,35,1.05010501050105
16,3,3,0,1,1,::,::4O,,,1L,35,1.05010501050105
17,4,2,0,1,1,:::1O,:3O,,,1L,34,1.02010201020102
18,1,3,0,1,1,1O,::3O,,,1L,30,0.9000900090009001
19,1,2,0,1,2,,4O:4O,,,1L:1L,30,0.9000900090009001
20,1,4,0,1,1,1O,:::3O,,,1L,30,0.9000900090009001
21,0,2,0,1,2,,4O:4O,,,1L:1L,28,0.8400840084008401
22,2,2,0,1,2,:1O,3O:4O,,,1L:1L,27,0.8100810081008101
23,2,4,0,1,1,:1O,:::3O,,,1L,25,0.7500750075007501
24,4,1,0,1,1,:::1O,3O,,,1L,25,0.7500750075007501
25,0,3,0,1,1,,::4O,,,1L,24,0.7200720072007201
26,4,1,0,1,1,:::,4O,,,1L,24,0.7200720072007201
27,3,2,0,1,1,::1O,:2O,,,1L,23,0.6900690069006901
28,1,3,0,1,1,,:1O:4O,,,1L,21,0.6300630063006301
29,0,5,0,1,1,,::::4O,,,1L,21,0.6300630063006301
30,3,3,0,1,1,::1O,::2O,,,1L,19,0.57005700570057
31,2,3,0,1,1,1O:1O,::3O,,,1L,19,0.57005700570057
32,3,1,0,1,1,::,4O,,,1L,19,0.57005700570057
33,2,2,0,1,2,:1O,2O:4O,,,1L:1L,18,0.54005400540054
34,2,3,0,1,1,:,::3O,,,1L,18,0.54005400540054
35,1,4,0,1,1,1O,:::2O,,,1L,18,0.54005400540054
36,1,4,0,1,1,1O,:::4O,,,1L,17,0.51005100510051
37,4,2,0,1,1,:::1O,:2O,,,1L,17,0.51005100510051
38,2,2,0,1,1,:,:3O,,,1L,16,0.48004800480048
39,3,1,0,1,1,::1O,3O,,,1L,16,0.48004800480048
40,1,3,0,1,1,1O,::4O,,,1L,16,0.48004800480048
41,3,3,0,1,1,:1O:1O,::3O,,,1L,15,0.45004500450045
42,2,4,0,1,1,:,:::4O,,,1L,15,0.45004500450045
43,2,3,0,1,1,:1O,::2O,,,1L,15,0.45004500450045
44,2,3,0,1,1,:,:1O:4O,,,1L,15,0.45004500450045
45,0,3,0,1,2,,:4O:4O,,,1L:1L,15,0.45004500450045
46,1,2,0,1,2,,3O:4O,,,1L:1L,15,0.45004500450045
47,3,3,0,1,1,::1O,::4O,,,1L,14,0.42004200420042
48,2,4,0,1,1,:1O,:::2O,,,1L,14,0.42004200420042
49,1,3,0,1,1,,::3O,,,1L,13,0.39003900390039
50,3,1,0,1,1,::1O,4O,,,1L,13,0.39003900390039
51,5,1,0,1,1,::::1O,3O,,,1L,13,0.39003900390039
52,1,4,0,1,1,,:::3O,,,1L,13,0.39003900390039
53,4,2,0,1,1,:::,:4O,,,1L,13,0.39003900390039
54,1,3,0,1,2,1O,:3O:4O,,,1L:1L,13,0.39003900390039
55,2,2,0,1,1,1O:1O,:3O,,,1L,12,0.36003600360036
56,2,2,0,1,1,:1O,1O:3O,,,1L,12,0.36003600360036
57,3,2,0,1,1,:1O:1O,:2O,,,1L,11,0.33003300330033
58,1,5,0,1,1,,::::4O,,,1L,11,0.33003300330033
59,3,2,0,1,1,::1O,1O:3O,,,1L,11,0.33003300330033
60,4,2,0,1,1,::1O:1O,:3O,,,1L,11,0.33003300330033
61,3,1,0,1,1,:1O:1O,3O,,,1L,11,0.33003300330033
62,2,3,1,1,1,:1O,::3O,,,1L,11,0.33003300330033
63,1,2,0,1,2,1O,2O:4O,,,1L:1L,11,0.33003300330033
64,2,3,0,1,1,:1O,:1O:3O,,,1L,10,0.3000300030003
65,3,2,0,1,1,:1O:1O,:4O,,,1L,10,0.3000300030003
66,4,1,0,1,1,::1O:1O,3O,,,1L,10,0.3000300030003
67,4,2,0,1,1,::1O:1O,:2O,,,1L,10,0.3000300030003
68,4,2,0,1,1,:::1O,:4O,,,1L,10,0.3000300030003
69,4,1,0,1,1,:::1O,4O,,,1L,10,0.3000300030003
70,5,1,0,1,1,:::1O:1O,3O,,,1L,9,0.27002700270027
71,0,2,0,1,2,,3O:4O,,,1L:1L,9,0.27002700270027
72,3,3,0,1,1,:1O:1O,::2O,,,1L,9,0.27002700270027
73,3,2,0,1,1,::,:3O,,,1L,9,0.27002700270027
74,4,3,0,1,1,:::1O,::2O,,,1L,9,0.27002700270027
75,2,3,0,1,2,:1O,:2O:4O,,,1L:1L,8,0.24002400240024
76,1,2,0,1,1,,1O:4O,,,1L,8,0.24002400240024
77,2,2,0,1,1,:1O,:2O,,,1L,8,0.24002400240024
78,3,4,0,1,1,::1O,:::2O,,,1L,8,0.24002400240024
79,0,4,0,1,1,,::1O:4O,,,1L,8,0.24002400240024
80,3,2,1,1,1,::1O,:3O,,,1L,8,0.24002400240024
81,2,2,1,1,1,:1O,:3O,,,1L,8,0.24002400240024
82,1,3,0,1,2,1O,:2O:4O,,,1L:1L,8,0.24002400240024
83,3,3,0,1,0,::,::,,,,8,0.24002400240024
84,2,2,0,1,1,:,1O:4O,,,1L,7,0.21002100210021
85,3,3,0,1,1,::1O,:1O:2O,,,1L,7,0.21002100210021
86,3,1,0,2,2,:1O:1O,4O,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,7,0.21002100210021
87,2,4,0,1,0,:,:::,,,,7,0.21002100210021
88,3,4,0,1,1,::1O,:::3O,,,1L,7,0.21002100210021
89,4,1,0,1,1,::1O:1O,4O,,,1L,7,0.21002100210021
90,1,4,0,1,1,1O,::1O:3O,,,1L,7,0.21002100210021
91,1,2,0,1,1,1O,:4O,,,1L,7,0.21002100210021
92,1,2,0,1,1,1O,:3O,,,1L,7,0.21002100210021
93,2,2,1,1,1,:,:4O,,,1L,7,0.21002100210021
94,4,2,0,1,1,:::,:3O,,,1L,7,0.21002100210021
95,4,3,0,1,1,:::1O,::3O,,,1L,6,0.18001800180018
