,num_dol,num_hfme,num_tfsi,num_ps,num_li,atoms_dol,atoms_hfme,atoms_tfsi,atoms_ps,atoms_li,count,%
0,5,0,1,1,2,1O:1O:1O:1O:1O,,1O,,1L:1L,27,0.8100810081008101
1,5,0,2,1,2,1O:1O:1O:1O:1O,,1O:1O,,1L:1L,23,0.6900690069006901
2,5,0,2,1,2,:1O:1O:1O:1O,,1O:1O,,1L:1L,22,0.6600660066006601
3,4,0,2,1,2,1O:1O:1O:1O,,1O:1O,,1L:1L,20,0.6000600060006
4,5,0,2,1,2,:1O:1O:1O:1O,,1O:2O1S,,1L:1L,18,0.54005400540054
5,5,0,2,1,2,1O:1O:1O:1O:1O,,1O:2O,,1L:1L,18,0.54005400540054
6,4,0,2,1,2,1O:1O:1O:1O,,1O:2O1S,,1L:1L,17,0.51005100510051
7,5,0,1,1,2,1O:1O:1O:1O:1O,,2O,,1L:1L,17,0.51005100510051
8,6,0,1,1,2,:1O:1O:1O:1O:1O,,1O,,1L:1L,14,0.42004200420042
9,5,0,2,1,2,:1O:1O:1O:1O,,1O:1O1S,,1L:1L,14,0.42004200420042
10,6,0,1,1,2,:1O:1O:1O:1O:2O,,1O,,1L:1L,13,0.39003900390039
11,4,0,3,1,2,1O:1O:1O:1O,,:1O:1O,,1L:1L,13,0.39003900390039
12,5,0,2,1,2,1O:1O:1O:1O:2O,,:1O,,1L:1L,12,0.36003600360036
13,5,0,2,1,2,:1O:1O:1O:1O,,1O:2O,,1L:1L,12,0.36003600360036
14,5,1,1,1,2,1O:1O:1O:1O:1O,,1O,,1L:1L,12,0.36003600360036
15,6,0,1,1,2,1O:1O:1O:1O:1O:1O,,1O,,1L:1L,12,0.36003600360036
16,6,0,1,1,2,:1O:1O:1O:1O:1O,,2O1S,,1L:1L,12,0.36003600360036
17,5,0,2,1,2,1O:1O:1O:1O:1O,,:1O,,1L:1L,12,0.36003600360036
18,4,0,2,1,2,1O:1O:1O:2O,,1O:1O,,1L:1L,11,0.33003300330033
19,4,1,2,1,2,1O:1O:1O:1O,,1O:1O,,1L:1L,11,0.33003300330033
20,4,0,3,1,2,1O:1O:1O:1O,,1O:1O:1O,,1L:1L,11,0.33003300330033
21,4,0,2,1,2,1O:1O:1O:1O,,1N1O1S:1O,,1L:1L,11,0.33003300330033
22,5,0,0,1,2,1O:1O:1O:1O:1O,,,,1L:1L,11,0.33003300330033
23,5,0,1,1,2,1O:1O:1O:1O:2O,,1O,,1L:1L,11,0.33003300330033
24,4,0,2,1,2,1O:1O:1O:1O,,1O:2O,,1L:1L,11,0.33003300330033
25,4,0,3,1,2,1O:1O:1O:1O,,:1O:2O1S,,1L:1L,10,0.3000300030003
26,5,0,2,1,2,:1O:1O:1O:2O,,1O:1O1S,,1L:1L,10,0.3000300030003
27,5,0,2,1,2,:1O:1O:1O:2O,,1O:1O,,1L:1L,10,0.3000300030003
28,5,0,2,1,2,1O:1O:1O:1O:2O,,1O:1O,,1L:1L,10,0.3000300030003
29,4,0,3,1,2,1O:1O:1O:1O,,1O:1O:1O1S,,1L:1L,10,0.3000300030003
30,4,0,2,1,2,1O:1O:1O:1O,,1O1S:2O1S,,1L:1L,9,0.27002700270027
31,5,1,1,1,2,1O:1O:1O:1O:2O,,1O,,1L:1L,9,0.27002700270027
32,5,1,0,1,1,::1O:1O:1O,,,,1L,9,0.27002700270027
33,5,0,2,1,2,1O:1O:1O:1O:1O,,1O:1O1S,,1L:1L,9,0.27002700270027
34,5,0,1,1,2,1O:1O:1O:1O:1O,,1O1S,,1L:1L,9,0.27002700270027
35,6,0,2,1,2,:1O:1O:1O:1O:1O,,1O:1O,,1L:1L,9,0.27002700270027
36,4,0,3,1,2,:1O:1O:1O,,1O:1O:2O,,1L:1L,8,0.24002400240024
37,5,1,0,1,1,:1O:1O:1O:1O,,,,1L,8,0.24002400240024
38,5,0,1,1,2,1O:1O:1O:1O:2O,,2O1S,,1L:1L,8,0.24002400240024
39,4,0,2,1,2,1O:1O:1O:2O,,1O:2O1S,,1L:1L,8,0.24002400240024
40,5,0,3,1,2,:1O:1O:1O:1O,,1O:1O:1O,,1L:1L,7,0.21002100210021
41,5,0,1,2,2,1O:1O:1O:1O:1O,,1O,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,7,0.21002100210021
42,4,0,3,1,2,:1O:1O:1O,,1O:1O:1O1S,,1L:1L,7,0.21002100210021
43,5,0,1,1,2,1O:1O:1O:1O:2O,,1O1S,,1L:1L,7,0.21002100210021
44,6,0,1,1,2,:1O:1O:1O:1O:1O,,2O,,1L:1L,7,0.21002100210021
45,5,0,0,2,2,1O:1O:1O:1O:1O,,,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,7,0.21002100210021
46,4,1,2,1,2,1O:1O:1O:1O,,1O:2O,,1L:1L,7,0.21002100210021
