,num_dol,num_hme,num_tfsi,num_ps,num_li,atoms_dol,atoms_hme,atoms_tfsi,atoms_ps,atoms_li,count,%
0,3,2,2,1,2,1O:1O:1O,:1O,1O:2O1S,,1L:1L,9,0.27002700270027
1,3,2,1,1,2,1O:1O:1O,1O:1O,2O1S,,1L:1L,8,0.24002400240024
2,3,3,1,1,2,1O:1O:1O,:1O:1O,1O,,1L:1L,7,0.21002100210021
3,5,1,1,1,2,1O:1O:1O:1O:2O,,2O1S,,1L:1L,7,0.21002100210021
4,4,2,1,1,2,1O:1O:1O:2O,:1O,1O1S,,1L:1L,7,0.21002100210021
5,4,1,2,1,2,1O:1O:1O:1O,1O,1O:1O1S,,1L:1L,6,0.18001800180018
6,5,1,1,1,2,1O:1O:1O:1O:1O,1O,1O,,1L:1L,6,0.18001800180018
7,3,2,1,1,2,1O:1O:1O,1O:1O,1O1S,,1L:1L,6,0.18001800180018
8,4,2,1,1,2,1O:1O:1O:2O,:1O,2O1S,,1L:1L,6,0.18001800180018
9,6,0,1,1,2,:1O:1O:1O:1O:2O,,1O,,1L:1L,6,0.18001800180018
10,4,1,2,1,2,1O:1O:1O:1O,1O,1O:2O1S,,1L:1L,6,0.18001800180018
11,3,3,1,1,2,:1O:1O,:1O:1O,1N3O2S,,1L:1L,5,0.15001500150015
12,5,0,1,1,2,1O:1O:1O:1O:2O,,2O1S,,1L:1L,5,0.15001500150015
13,4,1,1,1,2,1O:1O:1O:1O,1O,1N3O2S,,1L:1L,5,0.15001500150015
14,3,1,2,1,2,1O:1O:2O,1O,1O:1O1S,,1L:1L,5,0.15001500150015
15,3,1,2,1,2,1O:1O:1O,1O,1O1S:2O1S,,1L:1L,5,0.15001500150015
16,4,2,1,1,2,1O:1O:1O:1O,:1O,1N1O1S,,1L:1L,5,0.15001500150015
17,7,0,0,1,2,1O:1O:1O:1O:1O:1O:2O,,,,1L:1L,5,0.15001500150015
18,4,2,1,1,2,1O:1O:1O:1O,:1O,2O1S,,1L:1L,5,0.15001500150015
19,6,1,0,1,1,::1O:1O:1O:2O,,,,1L,5,0.15001500150015
20,6,0,1,1,2,:1O:1O:1O:2O:2O,,1O1S,,1L:1L,5,0.15001500150015
21,7,0,1,1,2,:1O:1O:1O:1O:1O:1O,,1O,,1L:1L,5,0.15001500150015
22,5,1,1,1,2,:1O:1O:1O:1O,1O,2O1S,,1L:1L,5,0.15001500150015
23,8,0,0,1,2,:1O:1O:1O:1O:1O:2O:2O,,,,1L:1L,5,0.15001500150015
24,4,2,1,1,2,1O:1O:1O:2O,:1O,1O,,1L:1L,4,0.12001200120012
25,5,0,2,1,2,1O:1O:1O:1O:2O,,1O:2O1S,,1L:1L,4,0.12001200120012
26,7,0,1,1,2,:1O:1O:1O:1O:1O:2O,,2O1S,,1L:1L,4,0.12001200120012
