,num_dol,num_ipms,num_tfsi,num_ps,num_li,atoms_dol,atoms_ipms,atoms_tfsi,atoms_ps,atoms_li,count,%
0,1,4,0,1,1,,:1O:1O:1O,,,1L,150,4.5004500450045
1,2,4,0,1,1,:,:1O:1O:1O,,,1L,132,3.96039603960396
2,1,5,0,1,1,,::1O:1O:1O,,,1L,94,2.8202820282028203
3,2,3,0,1,1,:,1O:1O:1O,,,1L,89,2.6702670267026702
4,2,3,0,1,1,:1O,:1O:1O,,,1L,88,2.64026402640264
5,2,3,0,1,1,:,:1O:1O,,,1L,84,2.52025202520252
6,1,4,0,1,1,,::1O:1O,,,1L,77,2.31023102310231
7,1,3,0,1,1,,:1O:1O,,,1L,71,2.13021302130213
8,3,3,0,1,1,::1O,:1O:1O,,,1L,68,2.04020402040204
9,0,5,0,1,1,,::1O:1O:1O,,,1L,59,1.7701770177017702
10,2,4,0,1,1,:1O,::1O:1O,,,1L,55,1.6501650165016502
11,0,4,0,1,1,,:1O:1O:1O,,,1L,50,1.5001500150015
12,3,3,0,1,1,::,1O:1O:1O,,,1L,46,1.38013801380138
13,2,4,0,1,1,:,::1O:1O,,,1L,43,1.29012901290129
14,3,2,0,1,1,::1O,:1O,,,1L,42,1.26012601260126
15,2,3,0,1,0,:,::,,,,41,1.23012301230123
16,3,4,0,1,1,::,:1O:1O:1O,,,1L,39,1.17011701170117
17,3,2,0,1,1,::1O,1O:1O,,,1L,39,1.17011701170117
18,1,4,0,1,1,1O,::1O:1O,,,1L,38,1.14011401140114
19,0,5,0,1,1,,:::1O:1O,,,1L,37,1.11011101110111
20,1,3,0,1,1,,1O:1O:1O,,,1L,37,1.11011101110111
21,2,2,0,1,1,:,1O:1O,,,1L,35,1.05010501050105
22,3,2,0,1,1,::,1O:1O,,,1L,35,1.05010501050105
23,0,4,0,1,1,,::1O:1O,,,1L,34,1.02010201020102
24,2,3,0,1,1,:1O,::1O,,,1L,32,0.96009600960096
