,num_dol,num_ma,num_tfsi,num_ps,num_li,atoms_dol,atoms_ma,atoms_tfsi,atoms_ps,atoms_li,count,%
0,6,6,1,1,2,:1O:1O:1O:1O:1O,:1O:1O:1O:1O:1O,1O,,1L:1L,95,2.8502850285028503
1,7,7,0,1,1,::::1O:1O:1O,::::1O:1O:1O,,,1L,82,2.46024602460246
2,5,5,1,1,2,1O:1O:1O:1O:1O,1O:1O:1O:1O:1O,1O,,1L:1L,77,2.31023102310231
3,6,6,1,1,2,1O:1O:1O:1O:1O:1O,1O:1O:1O:1O:1O:1O,1O,,1L:1L,72,2.16021602160216
4,6,6,0,1,1,:::1O:1O:1O,:::1O:1O:1O,,,1L,69,2.07020702070207
5,7,7,0,1,1,:::1O:1O:1O:1O,:::1O:1O:1O:1O,,,1L,62,1.86018601860186
6,7,7,0,1,2,:1O:1O:1O:1O:1O:1O,:1O:1O:1O:1O:1O:1O,,,1L:1L,62,1.86018601860186
7,6,6,0,1,2,1O:1O:1O:1O:1O:1O,1O:1O:1O:1O:1O:1O,,,1L:1L,54,1.62016201620162
8,6,6,0,1,1,::1O:1O:1O:1O,::1O:1O:1O:1O,,,1L,52,1.56015601560156
9,6,6,1,1,2,:1O:1O:1O:1O:1O,:1O:1O:1O:1O:1O,2O,,1L:1L,49,1.47014701470147
10,6,6,0,1,2,:1O:1O:1O:1O:1O,:1O:1O:1O:1O:1O,,,1L:1L,45,1.35013501350135
11,7,7,1,1,2,::1O:1O:1O:1O:1O,::1O:1O:1O:1O:1O,1O,,1L:1L,44,1.32013201320132
12,5,5,1,1,2,:1O:1O:1O:1O,:1O:1O:1O:1O,1O,,1L:1L,39,1.17011701170117
13,5,5,2,1,2,:1O:1O:1O:1O,:1O:1O:1O:1O,1O:1O,,1L:1L,39,1.17011701170117
14,8,8,0,1,1,:::::1O:1O:1O,:::::1O:1O:1O,,,1L,33,0.99009900990099
15,7,7,1,1,2,:1O:1O:1O:1O:1O:1O,:1O:1O:1O:1O:1O:1O,1O,,1L:1L,30,0.9000900090009001
16,5,5,1,1,2,1O:1O:1O:1O:2O,1O:1O:1O:1O:2O,1O,,1L:1L,30,0.9000900090009001
17,8,8,0,1,1,::::1O:1O:1O:1O,::::1O:1O:1O:1O,,,1L,29,0.8700870087008701
18,5,5,0,1,1,::1O:1O:1O,::1O:1O:1O,,,1L,29,0.8700870087008701
19,5,5,0,1,2,:1O:1O:1O:1O,:1O:1O:1O:1O,,,1L:1L,28,0.8400840084008401
20,7,7,0,1,2,1O:1O:1O:1O:1O:1O:1O,1O:1O:1O:1O:1O:1O:1O,,,1L:1L,28,0.8400840084008401
21,5,5,0,1,2,1O:1O:1O:1O:1O,1O:1O:1O:1O:1O,,,1L:1L,27,0.8100810081008101
22,7,7,0,1,2,::1O:1O:1O:1O:1O,::1O:1O:1O:1O:1O,,,1L:1L,25,0.7500750075007501
23,5,5,2,1,2,:1O:1O:1O:1O,:1O:1O:1O:1O,1O:2O,,1L:1L,25,0.7500750075007501
24,5,5,1,1,2,1O:1O:1O:1O:1O,1O:1O:1O:1O:1O,2O,,1L:1L,24,0.7200720072007201
25,6,6,1,1,2,:1O:1O:1O:1O:2O,:1O:1O:1O:1O:2O,1O,,1L:1L,24,0.7200720072007201
26,4,4,2,1,2,1O:1O:1O:1O,1O:1O:1O:1O,1O:1O,,1L:1L,23,0.6900690069006901
27,6,6,1,1,2,::1O:1O:1O:1O,::1O:1O:1O:1O,1O,,1L:1L,23,0.6900690069006901
28,6,6,1,1,2,:1O:1O:1O:1O:1O,:1O:1O:1O:1O:1O,2O1S,,1L:1L,23,0.6900690069006901
29,7,7,0,1,2,:1O:1O:1O:1O:1O:2O,:1O:1O:1O:1O:1O:2O,,,1L:1L,21,0.6300630063006301
30,5,5,2,1,2,1O:1O:1O:1O:1O,1O:1O:1O:1O:1O,1O:1O,,1L:1L,21,0.6300630063006301
31,6,6,0,2,2,:1O:1O:1O:1O:1O,:1O:1O:1O:1O:1O,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,21,0.6300630063006301
32,6,6,0,1,2,1O:1O:1O:1O:1O:2O,1O:1O:1O:1O:1O:2O,,,1L:1L,20,0.6000600060006
33,6,6,2,1,2,::1O:1O:1O:1O,::1O:1O:1O:1O,1O:1O,,1L:1L,18,0.54005400540054
34,7,7,0,1,1,::1O:1O:1O:1O:1O,::1O:1O:1O:1O:1O,,,1L,18,0.54005400540054
35,5,5,1,1,2,1O:1O:1O:1O:1O,1O:1O:1O:1O:1O,2O1S,,1L:1L,17,0.51005100510051
36,6,6,1,1,1,:::1O:1O:1O,:::1O:1O:1O,1O,,1L,16,0.48004800480048
37,8,8,0,1,2,::1O:1O:1O:1O:1O:1O,::1O:1O:1O:1O:1O:1O,,,1L:1L,16,0.48004800480048
38,7,7,1,1,1,:::::1O:1O,:::::1O:1O,1O,,1L,15,0.45004500450045
39,6,6,1,1,2,1O:1O:1O:1O:1O:1O,1O:1O:1O:1O:1O:1O,,,1L:1L,15,0.45004500450045
