,num_dol,num_meim,num_tfsi,num_ps,num_li,atoms_dol,atoms_meim,atoms_tfsi,atoms_ps,atoms_li,count,%
0,3,4,0,1,1,::1O,::1N:1N,,,1L,40,1.2001200120012
1,4,4,0,1,1,::1O:1O,::1N:1N,,,1L,37,1.11011101110111
2,3,4,0,1,1,::1O,:1N:1N:1N,,,1L,36,1.08010801080108
3,3,5,0,1,1,::1O,::1N:1N:1N,,,1L,36,1.08010801080108
4,3,4,0,1,1,:1O:1O,::1N:1N,,,1L,36,1.08010801080108
5,4,4,0,1,1,:::1O,::1N:1N,,,1L,33,0.99009900990099
6,2,5,0,1,1,:1O,::1N:1N:1N,,,1L,32,0.96009600960096
7,3,5,0,1,1,::1O,:::1N:1N,,,1L,30,0.9000900090009001
8,2,5,0,1,1,:1O,:::1N:1N,,,1L,28,0.8400840084008401
9,4,3,0,1,1,:::1O,:1N:1N,,,1L,27,0.8100810081008101
10,4,3,0,1,1,::1O:1O,:1N:1N,,,1L,27,0.8100810081008101
11,3,3,0,1,1,::1O,:1N:1N,,,1L,24,0.7200720072007201
12,2,5,0,1,1,:,::1N:1N:1N,,,1L,24,0.7200720072007201
13,3,5,0,1,1,:1O:1O,:::1N:1N,,,1L,23,0.6900690069006901
14,3,5,0,1,1,::,::1N:1N:1N,,,1L,23,0.6900690069006901
15,3,4,0,1,1,:1O:1O,:1N:1N:1N,,,1L,23,0.6900690069006901
16,2,4,0,1,1,:1O,::1N:1N,,,1L,20,0.6000600060006
17,5,3,0,1,1,:::1O:1O,:1N:1N,,,1L,19,0.57005700570057
18,2,6,0,1,1,:1O,::::1N:1N,,,1L,19,0.57005700570057
19,2,6,0,1,1,:,::1N:1N:1N:1N,,,1L,18,0.54005400540054
20,5,3,0,1,1,::::1O,:1N:1N,,,1L,17,0.51005100510051
21,2,4,0,1,1,:1O,:1N:1N:1N,,,1L,17,0.51005100510051
22,2,6,0,1,1,:,:::1N:1N:1N,,,1L,16,0.48004800480048
23,1,6,0,1,1,,:::1N:1N:1N,,,1L,16,0.48004800480048
24,2,6,0,1,1,:1O,:::1N:1N:1N,,,1L,16,0.48004800480048
25,3,3,0,1,1,:1O:1O,::1N,,,1L,15,0.45004500450045
26,4,3,0,1,1,::1O:1O,::1N,,,1L,15,0.45004500450045
27,4,4,0,1,1,:1O:1O:1O,::1N:1N,,,1L,14,0.42004200420042
28,1,6,0,1,1,,::1N:1N:1N:1N,,,1L,14,0.42004200420042
29,2,5,0,1,1,1O:1O,::1N:1N:1N,,,1L,14,0.42004200420042
30,4,4,0,1,1,:::1O,:1N:1N:1N,,,1L,14,0.42004200420042
31,3,4,0,1,1,::,:1N:1N:1N,,,1L,13,0.39003900390039
32,4,3,0,1,1,:1O:1O:1O,:1N:1N,,,1L,13,0.39003900390039
33,2,4,0,1,0,:,:::1N,,,,12,0.36003600360036
