,num_dol,num_methf,num_tfsi,num_ps,num_li,atoms_dol,atoms_methf,atoms_tfsi,atoms_ps,atoms_li,count,%
0,3,2,1,1,2,1O:1O:1O,1O:1O,1O,,1L:1L,58,1.7401740174017402
1,3,2,0,1,1,:1O:1O,:1O,,,1L,51,1.53015301530153
2,2,3,0,1,2,1O:1O,1O:1O:1O,,,1L:1L,44,1.32013201320132
3,2,3,1,1,2,1O:1O,1O:1O:1O,1O,,1L:1L,43,1.29012901290129
4,2,2,1,1,2,1O:1O,1O:1O,1O,,1L:1L,42,1.26012601260126
5,4,2,0,1,1,::1O:1O,:1O,,,1L,36,1.08010801080108
6,4,1,0,1,1,::1O:1O,1O,,,1L,34,1.02010201020102
7,3,2,0,1,2,1O:1O:1O,1O:1O,,,1L:1L,32,0.96009600960096
8,2,2,1,1,2,1O:1O,1O:1O,2O,,1L:1L,32,0.96009600960096
9,4,1,1,1,2,1O:1O:1O:1O,1O,1O,,1L:1L,30,0.9000900090009001
10,5,1,0,1,1,::1O:1O:1O,,,,1L,29,0.8700870087008701
11,3,3,0,1,1,:1O:1O,::1O,,,1L,29,0.8700870087008701
12,0,4,1,1,2,,1O:1O:1O:1O,1O,,1L:1L,26,0.7800780078007801
13,4,1,0,1,1,:1O:1O:1O,,,,1L,25,0.7500750075007501
14,2,3,1,1,2,1O:1O,:1O:1O,1O,,1L:1L,25,0.7500750075007501
15,3,2,1,1,2,:1O:1O,1O:1O,1O,,1L:1L,23,0.6900690069006901
16,1,3,1,1,2,1O,1O:1O:1O,1O,,1L:1L,23,0.6900690069006901
17,4,1,0,1,2,1O:1O:1O:1O,1O,,,1L:1L,20,0.6000600060006
18,3,1,1,1,2,1O:1O:1O,1O,1O,,1L:1L,20,0.6000600060006
19,4,1,0,1,1,::1O:1O,,,,1L,20,0.6000600060006
20,3,2,0,1,1,::1O,:1O,,,1L,20,0.6000600060006
21,3,2,1,1,2,:1O:1O,1O:1O,2O,,1L:1L,20,0.6000600060006
22,6,0,0,1,1,:::1O:1O:1O,,,,1L,19,0.57005700570057
23,2,3,0,1,1,:1O,:1O:1O,,,1L,19,0.57005700570057
24,5,0,0,1,1,::1O:1O:1O,,,,1L,19,0.57005700570057
25,5,2,0,1,1,::1O:1O:1O,:,,,1L,19,0.57005700570057
26,1,4,0,1,2,1O,1O:1O:1O:1O,,,1L:1L,18,0.54005400540054
27,3,2,1,1,1,:1O:1O,:,1O,,1L,18,0.54005400540054
28,2,3,0,1,1,1O:1O,::1O,,,1L,18,0.54005400540054
29,4,2,0,1,1,:::1O,:1O,,,1L,18,0.54005400540054
30,2,3,1,1,2,1O:1O,:1O:1O,2O,,1L:1L,18,0.54005400540054
31,2,2,2,1,2,1O:1O,1O:1O,1O:1O,,1L:1L,17,0.51005100510051
32,2,3,0,1,2,1O:1O,:1O:1O,,,1L:1L,17,0.51005100510051
33,0,4,1,1,2,,1O:1O:1O:1O,2O,,1L:1L,16,0.48004800480048
34,3,3,0,1,1,::1O,:1O:1O,,,1L,16,0.48004800480048
35,4,2,0,1,1,:1O:1O:1O,:,,,1L,16,0.48004800480048
36,3,2,1,1,2,1O:1O:1O,1O:1O,2O,,1L:1L,16,0.48004800480048
37,2,4,0,1,2,1O:1O,:1O:1O:1O,,,1L:1L,15,0.45004500450045
38,3,1,0,1,1,:1O:1O,1O,,,1L,15,0.45004500450045
39,3,2,0,1,1,::1O,1O:1O,,,1L,15,0.45004500450045
40,3,3,0,1,2,1O:1O:1O,1O:1O:1O,,,1L:1L,15,0.45004500450045
41,3,2,0,1,2,:1O:1O,1O:1O,,,1L:1L,15,0.45004500450045
42,3,1,1,1,2,1O:1O:1O,1O,2O,,1L:1L,14,0.42004200420042
43,3,3,1,1,2,1O:1O:1O,:1O:1O,1O,,1L:1L,14,0.42004200420042
44,4,1,1,1,2,:1O:1O:1O,1O,1O,,1L:1L,14,0.42004200420042
45,2,3,1,1,2,:1O,1O:1O:1O,1O,,1L:1L,14,0.42004200420042
46,5,0,1,1,2,1O:1O:1O:1O:1O,,1O,,1L:1L,14,0.42004200420042
47,3,2,1,1,1,::1O,:1O,1O,,1L,14,0.42004200420042
48,5,1,0,1,2,1O:1O:1O:1O:1O,1O,,,1L:1L,14,0.42004200420042
49,0,4,2,1,2,,1O:1O:1O:1O,1O:1O,,1L:1L,14,0.42004200420042
50,3,2,1,1,2,1O:1O:1O,:1O,1O,,1L:1L,13,0.39003900390039
51,2,3,0,1,1,:1O,::1O,,,1L,13,0.39003900390039
52,3,3,1,1,2,:1O:1O,1O:1O:1O,1O,,1L:1L,13,0.39003900390039
53,4,2,1,1,2,:1O:1O:1O,1O:1O,1O,,1L:1L,13,0.39003900390039
54,4,0,1,1,2,1O:1O:1O:1O,,1O,,1L:1L,13,0.39003900390039
55,1,3,0,1,2,1O,1O:1O:1O,,,1L:1L,12,0.36003600360036
56,4,1,1,1,1,::1O:1O,,1O,,1L,12,0.36003600360036
57,3,1,1,1,1,:1O:1O,,1O,,1L,12,0.36003600360036
58,1,3,1,1,2,1O,1O:1O:1O,2O,,1L:1L,12,0.36003600360036
59,5,1,0,1,1,:::1O:1O,1O,,,1L,12,0.36003600360036
60,3,3,0,1,2,1O:1O:1O,:1O:1O,,,1L:1L,12,0.36003600360036
61,2,2,0,1,2,1O:1O,1O:1O,,,1L:1L,12,0.36003600360036
62,4,1,1,1,2,:1O:1O:1O,1O,2O,,1L:1L,12,0.36003600360036
63,2,3,1,1,1,:1O,::1O,1O,,1L,12,0.36003600360036
64,4,2,0,1,1,::1O:1O,:,,,1L,12,0.36003600360036
65,2,4,0,1,1,1O:1O,:::1O,,,1L,12,0.36003600360036
66,2,3,0,1,1,:,:1O:1O,,,1L,12,0.36003600360036
67,3,2,0,1,1,:1O:1O,:,,,1L,12,0.36003600360036
