,num_dol,num_mtbe,num_tfsi,num_ps,num_li,atoms_dol,atoms_mtbe,atoms_tfsi,atoms_ps,atoms_li,count,%
0,4,2,1,1,2,1O:1O:1O:2O,:1O,2O1S,,1L:1L,5,0.15001500150015
1,5,1,2,1,2,:1O:1O:1O:1O,,1O1S:2O1S,,1L:1L,5,0.15001500150015
2,2,3,1,1,2,:1O,1O:1O:1O,2O1S,,1L:1L,4,0.12001200120012
3,5,0,2,1,2,1O:1O:1O:1O:2O,,1O1S:2O1S,,1L:1L,4,0.12001200120012
4,3,2,1,1,2,:1O:2O,1O:1O,1N3O2S,,1L:1L,4,0.12001200120012
5,7,0,1,1,2,:1O:1O:1O:1O:2O:2O,,1O1S,,1L:1L,4,0.12001200120012
6,3,2,1,1,2,:1O:1O,1O:1O,1N3O2S,,1L:1L,4,0.12001200120012
7,4,2,1,1,2,::1O:1O,1O:1O,1N3O2S,,1L:1L,4,0.12001200120012
8,5,0,1,1,2,1O:1O:1O:1O:2O,,1O1S,,1L:1L,3,0.09000900090009
9,4,1,1,1,2,1O:1O:2O:2O,1O,2O1S,,1L:1L,3,0.09000900090009
10,6,2,0,1,1,:1O:1O:1O:2O:2O,:1O,,,1L,3,0.09000900090009
11,3,2,1,1,2,1O:1O:2O,:1O,1N3O2S,,1L:1L,3,0.09000900090009
12,4,1,2,1,2,1O:1O:1O:2O,,1N3O2S:1O,,1L:1L,3,0.09000900090009
13,8,0,0,1,1,:::1O:1O:1O:1O:2O,,,,1L,3,0.09000900090009
14,2,3,1,1,2,1O:1O,::1O,1N3O2S,,1L:1L,3,0.09000900090009
15,5,1,2,1,2,:1O:1O:1O:1O,,1O:2O1S,,1L:1L,3,0.09000900090009
16,5,1,2,1,2,::1O:1O:1O,1O,1O:2O2S,,1L:1L,3,0.09000900090009
17,2,2,2,1,2,1O:1O,1O:1O,1O1S:2O1S,,1L:1L,3,0.09000900090009
18,3,1,1,3,3,:1O:2O,1O,2O1S,::1S:1S:1S:1S:2S:2S:2S:2S:3S:3S:3S:3S:3S:3S,1L:1L:1L,3,0.09000900090009
19,4,0,2,1,2,1O:1O:1O:2O,,1O1S:2O1S,,1L:1L,3,0.09000900090009
20,6,2,0,1,1,::1O:1O:1O:2O,:,,,1L,3,0.09000900090009
21,3,1,2,1,2,1O:1O:1O,1O,1N3O2S:1O1S,,1L:1L,3,0.09000900090009
22,4,2,1,1,2,1O:1O:1O:1O,1O:1O,1O1S,,1L:1L,3,0.09000900090009
23,6,0,1,1,2,1O:1O:1O:1O:2O:2O,,2O1S,,1L:1L,3,0.09000900090009
24,2,2,2,1,2,1O:1O,1O:1O,1N1O1S:2O1S,,1L:1L,3,0.09000900090009
25,6,0,1,1,2,:1O:1O:1O:2O:2O,,1O,,1L:1L,3,0.09000900090009
26,3,3,1,1,2,1O:1O:1O,::1O,1N3O2S,,1L:1L,3,0.09000900090009
27,5,0,2,1,2,1O:1O:1O:1O:2O,,:2O1S,,1L:1L,3,0.09000900090009
28,6,0,1,1,2,:1O:1O:1O:1O:2O,,2O1S,,1L:1L,3,0.09000900090009
29,6,0,1,1,2,:1O:1O:1O:1O:2O,,1O,,1L:1L,3,0.09000900090009
30,3,3,1,2,2,1O:1O:2O,::1O,,:1S:1S:2S:2S:3S:3S:3S,1L:1L,2,0.06000600060006
31,4,1,2,1,2,:1O:1O:2O,1O,1N3O2S:2O1S,,1L:1L,2,0.06000600060006
32,5,0,2,1,2,1O:1O:1O:1O:2O,,1N2O2S:2O1S,,1L:1L,2,0.06000600060006
33,4,1,1,2,2,:1O:1O:1O,1O,1O1S,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,2,0.06000600060006
34,2,3,1,1,2,1O:2O,:1O:1O,1N2O2S,,1L:1L,2,0.06000600060006
35,4,1,2,1,2,:1O:1O:2O,1O,1N2O2S:2O1S,,1L:1L,2,0.06000600060006
36,5,1,2,1,2,1O:1O:1O:1O:2O,,1N3O2S:1O1S,,1L:1L,2,0.06000600060006
37,5,1,2,1,2,1O:1O:1O:1O:2O,,1O1S:2O1S,,1L:1L,2,0.06000600060006
38,3,1,2,1,2,:1O:1O,1O,1N2O2S:1N3O2S,,1L:1L,2,0.06000600060006
39,5,0,2,1,2,:1O:1O:2O:2O,,1O:2O1S,,1L:1L,2,0.06000600060006
40,5,0,2,1,2,:1O:1O:2O:2O,,1O1S:2O1S,,1L:1L,2,0.06000600060006
41,5,1,1,1,2,:1O:1O:1O:2O,,1N1O1S,,1L:1L,2,0.06000600060006
42,6,1,1,1,1,:1O:1O:1O:1O:2O,,2O1S,,1L,2,0.06000600060006
43,3,3,1,1,2,1O:1O:2O,:1O:1O,1O1S,,1L:1L,2,0.06000600060006
44,4,0,3,1,2,:1O:1O:1O,,1N4O2S:1O:2O1S,,1L:1L,2,0.06000600060006
45,4,2,0,1,2,1O:1O:2O:2O,:1O,,,1L:1L,2,0.06000600060006
46,5,1,0,2,2,:1O:1O:1O:2O,1O,,3S:3S:3S:4S:4S:4S:5S:5S,1L:1L,2,0.06000600060006
47,4,2,0,1,2,1O:1O:1O:1O,:1O,,,1L:1L,2,0.06000600060006
48,3,1,3,1,2,1O:1O:1O,1O,1N1O1S:1O:2O1S,,1L:1L,2,0.06000600060006
49,2,2,2,1,2,:1O,1O:1O,1N3O2S:1O1S,,1L:1L,2,0.06000600060006
50,5,0,1,1,2,:1O:1O:2O:2O,,2O1S,,1L:1L,2,0.06000600060006
51,5,1,1,1,2,:1O:1O:1O:2O,,1O,,1L:1L,2,0.06000600060006
52,4,1,2,1,2,:1O:1O:1O,1O,2O1S:2O1S,,1L:1L,2,0.06000600060006
53,5,2,1,2,2,::1O:1O:2O,:1O,1O,1S:1S:2S:3S:4S:4S:4S:4S,1L:1L,2,0.06000600060006
54,5,0,2,1,2,::1O:1O:2O,,2O1S:2O1S,,1L:1L,2,0.06000600060006
55,2,3,1,1,2,1O:1O,::1O,2O1S,,1L:1L,2,0.06000600060006
56,6,3,0,1,1,:::1O:2O:2O,::1O,,,1L,2,0.06000600060006
57,2,3,1,1,2,1O:2O,:1O:1O,,,1L:1L,2,0.06000600060006
58,2,4,1,1,2,:1O,:1O:1O:1O,2O1S,,1L:1L,2,0.06000600060006
59,7,0,2,1,2,::1O:1O:1O:2O:2O,,1N1O1S:1O,,1L:1L,2,0.06000600060006
60,5,0,2,1,2,:1O:1O:1O:2O,,2O1S:2O1S,,1L:1L,2,0.06000600060006
61,5,0,2,1,2,:1O:1O:2O:2O,,2O1S:3O2S,,1L:1L,2,0.06000600060006
62,5,0,2,1,2,1O:1O:1O:1O:2O,,1N3O2S:2O1S,,1L:1L,2,0.06000600060006
63,5,0,2,1,2,:1O:1O:1O:2O,,1N3O2S:2O1S,,1L:1L,2,0.06000600060006
64,3,1,2,1,2,:1O:2O,1O,1O:2O1S,,1L:1L,2,0.06000600060006
65,3,2,1,1,2,1O:1O:1O,:1O,1O,,1L:1L,2,0.06000600060006
66,5,1,1,2,2,::1O:2O:2O,1O,1O,:::1S:1S:2S:2S:2S,1L:1L,2,0.06000600060006
67,6,1,1,1,2,::1O:1O:1O:2O,,1O1S,,1L:1L,2,0.06000600060006
68,7,0,1,1,2,::1O:1O:1O:1O:1O,,2O1S,,1L:1L,2,0.06000600060006
69,3,2,1,1,2,1O:1O:2O,1O:1O,2O1S,,1L:1L,2,0.06000600060006
70,5,3,0,1,1,:::1O:2O,::1O,,,1L,2,0.06000600060006
71,5,3,0,1,2,:1O:1O:1O:2O,:1O:1O,,,1L:1L,2,0.06000600060006
72,3,3,2,1,2,:1O:1O,:1O:1O,1N1O1S:1O1S,,1L:1L,2,0.06000600060006
73,5,0,2,1,2,:1O:1O:1O:1O,,1N1O1S:1O1S,,1L:1L,2,0.06000600060006
74,3,2,1,1,2,1O:1O:1O,1O:1O,2O2S,,1L:1L,2,0.06000600060006
75,3,2,1,1,2,1O:2O:2O,1O:1O,2O2S,,1L:1L,2,0.06000600060006
76,4,1,2,2,2,1O:1O:2O:2O,,1O:1O1S,:::1S:1S:2S:2S:2S,1L:1L,2,0.06000600060006
77,4,1,1,3,3,1O:1O:1O:1O,1O,1N1O1S,:::::1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:3S,1L:1L:1L,2,0.06000600060006
78,3,2,1,1,2,1O:1O:1O,1O:1O,1N3O2S,,1L:1L,2,0.06000600060006
79,7,0,1,1,2,1O:1O:1O:1O:1O:1O:2O,,1O,,1L:1L,2,0.06000600060006
80,5,1,1,1,2,1O:1O:1O:2O:2O,,1N3O2S,,1L:1L,2,0.06000600060006
81,3,2,1,1,1,:1O:1O,:1O,1O,,1L,2,0.06000600060006
