,num_dol,num_ofe,num_tfsi,num_ps,num_li,atoms_dol,atoms_ofe,atoms_tfsi,atoms_ps,atoms_li,count,%
0,4,0,2,1,2,1O:1O:1O:1O,,1O:1O,,1L:1L,83,2.4902490249024902
1,3,0,3,1,2,1O:1O:1O,,1O:1O:1O,,1L:1L,73,2.19021902190219
2,4,0,3,1,2,:1O:1O:1O,,1O:1O:1O,,1L:1L,62,1.86018601860186
3,4,0,2,1,2,1O:1O:1O:1O,,1O:2O,,1L:1L,51,1.53015301530153
4,5,0,1,1,2,1O:1O:1O:1O:1O,,1O,,1L:1L,50,1.5001500150015
5,5,0,2,1,2,:1O:1O:1O:1O,,1O:1O,,1L:1L,47,1.41014101410141
6,4,0,3,1,2,1O:1O:1O:1O,,1O:1O:1O,,1L:1L,43,1.29012901290129
7,3,0,3,1,2,1O:1O:1O,,1O:1O:2O,,1L:1L,41,1.23012301230123
8,5,0,2,1,2,1O:1O:1O:1O:1O,,1O:1O,,1L:1L,40,1.2001200120012
9,3,0,2,1,2,1O:1O:1O,,1O:1O,,1L:1L,40,1.2001200120012
10,4,0,3,1,2,:1O:1O:1O,,1O:1O:2O,,1L:1L,32,0.96009600960096
11,5,0,1,1,2,1O:1O:1O:1O:1O,,2O,,1L:1L,32,0.96009600960096
12,6,0,1,1,2,:1O:1O:1O:1O:1O,,1O,,1L:1L,30,0.9000900090009001
13,3,0,2,1,2,1O:1O:1O,,1O:2O,,1L:1L,30,0.9000900090009001
14,4,0,2,1,2,:1O:1O:1O,,1O:2O,,1L:1L,30,0.9000900090009001
15,4,0,1,1,2,1O:1O:1O:1O,,1O,,1L:1L,30,0.9000900090009001
16,5,0,1,1,2,:1O:1O:1O:1O,,2O,,1L:1L,22,0.6600660066006601
17,5,0,1,1,2,1O:1O:1O:1O:1O,,2O1S,,1L:1L,21,0.6300630063006301
18,5,0,2,1,2,:1O:1O:1O:1O,,1O:2O,,1L:1L,21,0.6300630063006301
19,3,0,4,1,2,1O:1O:1O,,:1O:1O:1O,,1L:1L,21,0.6300630063006301
20,3,1,3,1,2,1O:1O:1O,,1O:1O:1O,,1L:1L,20,0.6000600060006
21,4,0,2,1,2,1O:1O:1O:1O,,1O:2O1S,,1L:1L,20,0.6000600060006
22,4,0,1,2,2,1O:1O:1O:1O,,1O,:1S:1S:1S:2S:3S:3S:3S,1L:1L,19,0.57005700570057
23,5,0,1,1,2,:1O:1O:1O:1O,,1O,,1L:1L,18,0.54005400540054
24,4,0,2,1,2,:1O:1O:1O,,1O:1O,,1L:1L,18,0.54005400540054
25,4,0,3,1,2,1O:1O:1O:1O,,:1O:1O,,1L:1L,17,0.51005100510051
26,4,0,1,2,2,1O:1O:1O:1O,,1O,:::1S:1S:2S:2S:2S,1L:1L,17,0.51005100510051
27,3,0,3,2,2,1O:1O:1O,,:1O:1O,:::1S:1S:2S:2S:2S,1L:1L,17,0.51005100510051
28,4,0,4,1,2,:1O:1O:1O,,:1O:1O:1O,,1L:1L,16,0.48004800480048
29,6,0,1,1,2,:1O:1O:1O:1O:1O,,2O,,1L:1L,15,0.45004500450045
30,3,0,3,1,2,1O:1O:1O,,:1O:2O,,1L:1L,14,0.42004200420042
31,5,0,1,2,2,:1O:1O:1O:1O,,1O,:::1S:1S:2S:2S:2S,1L:1L,14,0.42004200420042
32,4,0,2,1,2,1O:1O:1O:2O,,1O:1O,,1L:1L,14,0.42004200420042
33,5,0,2,1,2,1O:1O:1O:1O:1O,,:1O,,1L:1L,13,0.39003900390039
34,3,0,3,1,2,1O:1O:1O,,1O:1O:1O1S,,1L:1L,13,0.39003900390039
35,3,0,3,1,2,1O:1O:1O,,:1O:1O,,1L:1L,13,0.39003900390039
36,4,0,2,2,2,:1O:1O:1O,,1O:1O,:::1S:1S:2S:2S:2S,1L:1L,13,0.39003900390039
