,num_dol,num_pegdme,num_tfsi,num_ps,num_li,atoms_dol,atoms_pegdme,atoms_tfsi,atoms_ps,atoms_li,count,%
0,3,3,0,1,1,::1O,:1O:2O,,,1L,37,1.11011101110111
1,3,3,0,1,0,::,:1O:1O,,,,35,1.05010501050105
2,2,3,0,1,1,:1O,:1O:2O,,,1L,33,0.99009900990099
3,2,3,0,1,0,:,:1O:1O,,,,26,0.7800780078007801
4,3,3,0,1,0,::,::1O,,,,25,0.7500750075007501
5,4,2,0,1,1,:::1O,1O:2O,,,1L,21,0.6300630063006301
6,2,4,0,1,0,:,::1O:1O,,,,20,0.6000600060006
7,3,3,0,1,1,::1O,:1O:1O,,,1L,18,0.54005400540054
8,1,4,0,1,0,,::1O:1O,,,,17,0.51005100510051
9,2,4,0,1,1,:,:1O:1O:2O,,,1L,17,0.51005100510051
10,3,3,0,1,1,:1O:1O,:1O:2O,,,1L,16,0.48004800480048
11,2,4,0,1,1,:1O,:1O:1O:1O,,,1L,16,0.48004800480048
12,3,3,0,1,1,::,:1O:2O,,,1L,15,0.45004500450045
13,4,3,0,1,0,:::,::1O,,,,15,0.45004500450045
14,3,2,0,1,1,::1O,1O:2O,,,1L,14,0.42004200420042
15,5,2,0,1,0,::::,:1O,,,,14,0.42004200420042
16,4,2,0,1,1,:::1O,:2O,,,1L,14,0.42004200420042
17,4,3,0,1,0,:::,:1O:1O,,,,14,0.42004200420042
18,4,2,0,1,0,:::,:1O,,,,14,0.42004200420042
19,3,3,0,1,1,::1O,1O:1O:2O,,,1L,13,0.39003900390039
20,3,3,0,1,0,::1O,::1O,,,,13,0.39003900390039
21,4,2,0,1,1,::1O:1O,1O:2O,,,1L,12,0.36003600360036
22,2,4,0,1,1,:1O,::1O:2O,,,1L,12,0.36003600360036
23,2,3,0,1,0,:,::1O,,,,12,0.36003600360036
24,3,4,0,1,0,::,::1O:1O,,,,12,0.36003600360036
25,3,2,0,1,0,::,:1O,,,,12,0.36003600360036
26,3,3,0,1,1,::1O,:2O:2O,,,1L,12,0.36003600360036
27,4,2,0,1,1,::1O:1O,:2O,,,1L,11,0.33003300330033
28,4,3,0,1,1,:::1O,:1O:1O,,,1L,11,0.33003300330033
29,3,3,0,1,1,::1O,::2O,,,1L,11,0.33003300330033
30,2,3,0,1,1,:,:1O:2O,,,1L,10,0.3000300030003
31,2,4,0,1,1,:,1O:1O:1O:1O,,,1L,10,0.3000300030003
32,2,4,0,1,1,:1O,:1O:1O:2O,,,1L,10,0.3000300030003
33,2,4,0,1,0,:,:1O:1O:1O,,,,10,0.3000300030003
34,4,3,0,1,1,::1O:1O,:1O:2O,,,1L,10,0.3000300030003
35,2,3,0,1,1,:1O,1O:1O:1O,,,1L,10,0.3000300030003
36,2,4,0,1,0,:,:::1O,,,,10,0.3000300030003
37,3,3,0,1,1,:1O:1O,:1O:1O,,,1L,9,0.27002700270027
38,4,2,0,1,1,::1O:1O,1O:1O,,,1L,9,0.27002700270027
39,2,3,0,1,1,:,:2O:2O,,,1L,9,0.27002700270027
40,1,3,0,1,1,1O,:1O:2O,,,1L,9,0.27002700270027
41,4,3,0,1,0,:::1O,::1O,,,,9,0.27002700270027
42,3,3,0,1,1,::1O,1O:1O:1O,,,1L,9,0.27002700270027
43,1,5,0,1,0,,:::1O:1O,,,,9,0.27002700270027
44,4,3,0,1,1,:::1O,:1O:2O,,,1L,9,0.27002700270027
45,1,4,0,1,1,,:1O:1O:1O,,,1L,9,0.27002700270027
46,2,3,0,1,2,:1O,1O:2O:2O,,,1L:1L,9,0.27002700270027
47,3,3,0,1,1,::,1O:1O:2O,,,1L,9,0.27002700270027
48,3,3,0,1,0,::1O,:1O:1O,,,,9,0.27002700270027
49,2,3,0,1,1,:1O,::2O,,,1L,8,0.24002400240024
50,3,3,0,1,2,::1O,1O:2O:2O,,,1L:1L,8,0.24002400240024
51,3,4,0,1,1,:1O:1O,::1O:2O,,,1L,8,0.24002400240024
52,3,4,0,1,1,::,:1O:1O:2O,,,1L,8,0.24002400240024
53,1,4,0,1,0,,:::1O,,,,8,0.24002400240024
54,1,3,1,1,1,1O,:1O:2O,,,1L,8,0.24002400240024
55,1,4,0,1,1,,1O:1O:1O:1O,,,1L,8,0.24002400240024
56,4,4,0,1,0,:::,::1O:1O,,,,8,0.24002400240024
57,3,2,0,1,1,::1O,:2O,,,1L,8,0.24002400240024
58,4,3,0,1,1,::1O:1O,::2O,,,1L,8,0.24002400240024
59,2,4,0,1,1,:,:1O:1O:1O,,,1L,8,0.24002400240024
60,1,3,0,1,1,,:1O:2O,,,1L,7,0.21002100210021
61,4,3,0,1,0,:::1O,:1O:1O,,,,7,0.21002100210021
62,3,3,0,1,0,::,:1O:2O,,,,7,0.21002100210021
63,1,5,0,1,1,,:1O:1O:1O:2O,,,1L,7,0.21002100210021
64,1,3,0,1,2,1O,1O:2O:2O,,,1L:1L,7,0.21002100210021
65,5,2,0,1,1,::::1O,:2O,,,1L,7,0.21002100210021
66,3,3,0,1,0,:1O:1O,:1O:1O,,,,7,0.21002100210021
67,4,2,0,1,1,:::1O,1O:1O,,,1L,7,0.21002100210021
68,3,4,0,1,1,::1O,:1O:1O:2O,,,1L,7,0.21002100210021
69,2,4,0,1,1,:,:1O:2O:2O,,,1L,7,0.21002100210021
70,3,2,0,1,0,::,1O:1O,,,,7,0.21002100210021
