,num_dol,num_prn,num_tfsi,num_ps,num_li,atoms_dol,atoms_prn,atoms_tfsi,atoms_ps,atoms_li,count,%
0,3,5,0,1,1,::1O,::1N:1N:1N,,,1L,36,1.08010801080108
1,3,4,0,1,1,:1O:1O,::1N:1N,,,1L,29,0.8700870087008701
2,4,4,0,1,1,::1O:1O,::1N:1N,,,1L,29,0.8700870087008701
3,2,5,0,1,1,:1O,::1N:1N:1N,,,1L,27,0.8100810081008101
4,3,5,0,1,1,:1O:1O,:::1N:1N,,,1L,26,0.7800780078007801
5,3,4,0,1,1,::1O,:1N:1N:1N,,,1L,24,0.7200720072007201
6,3,4,0,1,1,::1O,::1N:1N,,,1L,24,0.7200720072007201
7,2,5,0,1,1,:1O,:::1N:1N,,,1L,23,0.6900690069006901
8,4,3,0,1,1,::1O:1O,:1N:1N,,,1L,22,0.6600660066006601
9,4,5,0,1,1,::1O:1O,:::1N:1N,,,1L,22,0.6600660066006601
10,3,5,0,1,1,::1O,:::1N:1N,,,1L,21,0.6300630063006301
11,4,4,0,1,1,:::1O,::1N:1N,,,1L,21,0.6300630063006301
12,4,4,0,1,1,:::1O,:1N:1N:1N,,,1L,20,0.6000600060006
13,3,5,0,1,1,:1O:1O,::1N:1N:1N,,,1L,18,0.54005400540054
14,2,6,0,1,1,:,:::1N:1N:1N,,,1L,18,0.54005400540054
15,5,3,0,1,1,:::1O:1O,:1N:1N,,,1L,17,0.51005100510051
16,4,4,0,1,1,:1O:1O:1O,::1N:1N,,,1L,17,0.51005100510051
17,4,3,0,1,1,:::1O,:1N:1N,,,1L,17,0.51005100510051
18,2,6,0,1,1,:1O,:::1N:1N:1N,,,1L,17,0.51005100510051
19,5,3,0,1,1,::1O:1O:1O,:1N:1N,,,1L,16,0.48004800480048
20,5,4,0,1,1,:::1O:1O,::1N:1N,,,1L,16,0.48004800480048
21,2,5,0,1,1,:,::1N:1N:1N,,,1L,16,0.48004800480048
22,3,5,0,1,1,::,::1N:1N:1N,,,1L,15,0.45004500450045
23,3,6,0,1,1,::1O,:::1N:1N:1N,,,1L,15,0.45004500450045
