,num_dol,num_sl,num_tfsi,num_ps,num_li,atoms_dol,atoms_sl,atoms_tfsi,atoms_ps,atoms_li,count,%
0,1,4,0,1,1,,:1O:1O:1O,,,1L,168,5.0405040504050405
1,2,4,0,1,1,:,:1O:1O:1O,,,1L,166,4.9804980498049805
2,1,5,0,1,1,,::1O:1O:1O,,,1L,128,3.84038403840384
3,2,3,0,1,1,:,:1O:1O,,,1L,96,2.8802880288028803
4,2,3,0,1,1,:,1O:1O:1O,,,1L,92,2.7602760276027603
5,1,4,0,1,1,,::1O:1O,,,1L,83,2.4902490249024902
6,2,4,0,1,1,:,::1O:1O,,,1L,76,2.28022802280228
7,2,5,0,1,1,:,::1O:1O:1O,,,1L,72,2.16021602160216
8,3,3,0,1,1,::,1O:1O:1O,,,1L,70,2.1002100210021
9,0,5,0,1,1,,::1O:1O:1O,,,1L,63,1.8901890189018904
10,1,3,0,1,1,,:1O:1O,,,1L,59,1.7701770177017702
11,3,4,0,1,1,::,:1O:1O:1O,,,1L,59,1.7701770177017702
12,3,3,0,1,1,::1O,:1O:1O,,,1L,59,1.7701770177017702
13,3,3,0,1,0,::,::,,,,58,1.7401740174017402
14,1,3,0,1,1,,1O:1O:1O,,,1L,53,1.59015901590159
15,2,3,0,1,1,:1O,:1O:1O,,,1L,52,1.56015601560156
16,2,4,0,1,1,:1O,::1O:1O,,,1L,51,1.53015301530153
17,0,4,0,1,1,,:1O:1O:1O,,,1L,51,1.53015301530153
18,2,3,0,1,0,:,::,,,,44,1.32013201320132
19,3,3,0,1,1,::,:1O:1O,,,1L,43,1.29012901290129
20,1,4,0,1,0,,:::,,,,41,1.23012301230123
21,0,4,0,1,1,,::1O:1O,,,1L,38,1.14011401140114
22,3,2,0,1,0,::,:,,,,34,1.02010201020102
23,3,2,0,1,1,::,1O:1O,,,1L,33,0.99009900990099
24,2,4,0,1,0,:,:::,,,,33,0.99009900990099
25,2,2,0,1,1,:,1O:1O,,,1L,28,0.8400840084008401
26,0,5,0,1,1,,:::1O:1O,,,1L,28,0.8400840084008401
27,0,6,0,1,1,,:::1O:1O:1O,,,1L,28,0.8400840084008401
28,4,3,0,1,1,:::,1O:1O:1O,,,1L,28,0.8400840084008401
29,1,4,0,1,1,1O,::1O:1O,,,1L,26,0.7800780078007801
30,3,4,0,1,1,::1O,::1O:1O,,,1L,23,0.6900690069006901
31,2,2,0,1,0,:,:,,,,22,0.6600660066006601
32,4,2,0,1,0,:::,:,,,,22,0.6600660066006601
