,num_dol,num_tegdme,num_tfsi,num_ps,num_li,atoms_dol,atoms_tegdme,atoms_tfsi,atoms_ps,atoms_li,count,%
0,3,2,0,1,1,::1O,:3O,,,1L,59,1.7701770177017702
1,2,3,0,1,1,:1O,::3O,,,1L,41,1.23012301230123
2,3,2,0,1,1,:1O:1O,:3O,,,1L,36,1.08010801080108
3,1,3,0,1,1,,::4O,,,1L,36,1.08010801080108
4,3,1,0,1,2,:1O:1O,5O,,,1L:1L,32,0.96009600960096
5,3,3,0,1,1,::1O,::3O,,,1L,31,0.93009300930093
6,4,2,0,1,1,:::1O,:3O,,,1L,30,0.9000900090009001
7,2,2,0,1,1,:1O,:3O,,,1L,29,0.8700870087008701
8,2,2,0,1,1,:,:4O,,,1L,27,0.8100810081008101
9,3,1,0,1,2,1O:1O:1O,5O,,,1L:1L,26,0.7800780078007801
10,3,3,0,1,1,::1O,::2O,,,1L,26,0.7800780078007801
11,1,2,0,1,2,1O,:5O,,,1L:1L,26,0.7800780078007801
12,2,3,0,1,1,:1O,::4O,,,1L,23,0.6900690069006901
13,2,3,0,1,1,:,::4O,,,1L,22,0.6600660066006601
14,3,2,0,1,1,::1O,:4O,,,1L,22,0.6600660066006601
15,4,2,0,1,1,::1O:1O,:3O,,,1L,19,0.57005700570057
16,3,2,0,1,1,::,:4O,,,1L,19,0.57005700570057
17,1,4,0,1,1,,:::4O,,,1L,18,0.54005400540054
18,4,1,0,1,1,:::1O,3O,,,1L,18,0.54005400540054
19,1,4,0,1,1,1O,:::3O,,,1L,17,0.51005100510051
20,2,3,0,1,1,:1O,:1O:3O,,,1L,17,0.51005100510051
21,1,3,0,1,1,1O,::3O,,,1L,16,0.48004800480048
22,2,2,0,1,2,1O:1O,:5O,,,1L:1L,16,0.48004800480048
23,2,3,0,1,1,:1O,::2O,,,1L,16,0.48004800480048
24,2,1,0,1,2,:1O,5O,,,1L:1L,16,0.48004800480048
25,2,3,0,1,1,1O:1O,::3O,,,1L,15,0.45004500450045
26,2,2,0,1,1,:1O,:4O,,,1L,15,0.45004500450045
27,4,2,0,1,1,:::1O,:2O,,,1L,15,0.45004500450045
28,2,4,0,1,1,:1O,:::3O,,,1L,15,0.45004500450045
29,2,3,0,1,1,:,:1O:4O,,,1L,14,0.42004200420042
30,3,3,0,1,1,::1O,::4O,,,1L,14,0.42004200420042
31,5,1,0,1,1,:::1O:1O,3O,,,1L,13,0.39003900390039
32,3,2,0,1,1,:1O:1O,:2O,,,1L,13,0.39003900390039
33,2,1,0,1,2,1O:1O,5O,,,1L:1L,13,0.39003900390039
34,1,3,0,1,1,,:1O:4O,,,1L,13,0.39003900390039
