,num_dol,num_tep,num_tfsi,num_ps,num_li,atoms_dol,atoms_tep,atoms_tfsi,atoms_ps,atoms_li,count,%
0,2,2,1,1,2,1O:1O,1O:1O,1O,,1L:1L,73,2.19021902190219
1,2,2,0,1,2,1O:1O,1O:1O,,,1L:1L,72,2.16021602160216
2,3,2,0,1,1,::1O,:1O,,,1L,61,1.8301830183018304
3,3,2,0,1,1,:1O:1O,:1O,,,1L,55,1.6501650165016502
4,2,2,0,1,1,:1O,:1O,,,1L,53,1.59015901590159
5,3,2,0,1,2,1O:1O:1O,1O:1O,,,1L:1L,52,1.56015601560156
6,1,3,0,1,2,1O,1O:1O:1O,,,1L:1L,39,1.17011701170117
7,2,3,0,1,1,:1O,::1O,,,1L,37,1.11011101110111
8,3,1,0,1,1,::1O,1O,,,1L,37,1.11011101110111
9,2,3,0,1,1,:1O,:1O:1O,,,1L,36,1.08010801080108
10,3,2,1,1,2,:1O:1O,1O:1O,1O,,1L:1L,35,1.05010501050105
11,1,3,1,1,2,1O,1O:1O:1O,1O,,1L:1L,35,1.05010501050105
12,4,1,0,1,1,::1O:1O,1O,,,1L,33,0.99009900990099
13,2,3,0,1,2,1O:1O,1O:1O:1O,,,1L:1L,32,0.96009600960096
14,4,1,0,1,1,:1O:1O:1O,,,,1L,32,0.96009600960096
15,4,2,0,1,1,::1O:1O,:1O,,,1L,29,0.8700870087008701
16,1,2,1,1,2,1O,1O:1O,1O,,1L:1L,29,0.8700870087008701
17,3,2,0,1,2,:1O:1O,1O:1O,,,1L:1L,29,0.8700870087008701
18,3,1,0,1,1,:1O:1O,1O,,,1L,28,0.8400840084008401
19,2,2,1,1,2,:1O,1O:1O,1O,,1L:1L,28,0.8400840084008401
20,1,3,0,1,1,1O,:1O:1O,,,1L,27,0.8100810081008101
21,3,1,1,1,2,1O:1O:1O,1O,1O,,1L:1L,26,0.7800780078007801
22,2,2,1,1,2,1O:1O,1O:1O,2O,,1L:1L,26,0.7800780078007801
23,2,3,0,1,1,:,:1O:1O,,,1L,26,0.7800780078007801
24,2,2,0,1,1,:1O,1O:1O,,,1L,25,0.7500750075007501
25,1,3,0,1,1,,:1O:1O,,,1L,25,0.7500750075007501
26,4,1,0,1,1,:::1O,1O,,,1L,24,0.7200720072007201
27,4,2,0,1,1,:::1O,:1O,,,1L,24,0.7200720072007201
28,2,1,1,1,2,1O:1O,1O,1O,,1L:1L,24,0.7200720072007201
29,4,1,0,1,1,::1O:1O,,,,1L,24,0.7200720072007201
30,3,2,0,1,1,::1O,1O:1O,,,1L,21,0.6300630063006301
31,3,2,0,1,1,:1O:1O,:,,,1L,21,0.6300630063006301
32,3,2,1,1,2,1O:1O:1O,1O:1O,1O,,1L:1L,20,0.6000600060006
33,1,4,0,1,1,1O,::1O:1O,,,1L,20,0.6000600060006
34,2,3,0,1,1,1O:1O,::1O,,,1L,20,0.6000600060006
35,1,3,1,1,2,1O,:1O:1O,1O,,1L:1L,19,0.57005700570057
36,2,2,0,1,2,:1O,1O:1O,,,1L:1L,19,0.57005700570057
37,3,3,0,1,1,::1O,::1O,,,1L,19,0.57005700570057
38,2,2,1,1,2,1O:1O,:1O,1O,,1L:1L,18,0.54005400540054
39,3,1,0,1,2,1O:1O:1O,1O,,,1L:1L,17,0.51005100510051
40,2,2,1,1,1,:1O,:,1O,,1L,17,0.51005100510051
41,3,1,0,1,1,:1O:1O,,,,1L,17,0.51005100510051
42,4,2,0,1,1,::1O:1O,:,,,1L,16,0.48004800480048
43,2,3,0,1,2,1O:1O,:1O:1O,,,1L:1L,16,0.48004800480048
44,1,2,0,1,2,1O,1O:1O,,,1L:1L,16,0.48004800480048
45,2,2,0,1,1,1O:1O,:1O,,,1L,16,0.48004800480048
46,4,2,0,1,2,:1O:1O:1O,1O:1O,,,1L:1L,16,0.48004800480048
47,1,2,1,1,2,1O,1O:1O,2O,,1L:1L,16,0.48004800480048
48,3,3,0,1,1,:1O:1O,::1O,,,1L,16,0.48004800480048
49,5,1,0,1,1,::1O:1O:1O,,,,1L,15,0.45004500450045
50,5,0,0,1,1,::1O:1O:1O,,,,1L,15,0.45004500450045
51,2,2,0,1,1,:,:1O,,,1L,14,0.42004200420042
52,2,2,0,1,1,:,1O:1O,,,1L,14,0.42004200420042
53,3,1,1,1,2,:1O:1O,1O,1O,,1L:1L,14,0.42004200420042
54,4,1,1,1,2,:1O:1O:1O,1O,1O,,1L:1L,14,0.42004200420042
55,2,3,0,1,2,:1O,1O:1O:1O,,,1L:1L,13,0.39003900390039
56,2,2,1,1,1,:1O,:1O,1O,,1L,13,0.39003900390039
57,3,2,0,1,1,::,1O:1O,,,1L,13,0.39003900390039
58,2,3,0,1,1,:,::1O,,,1L,13,0.39003900390039
59,1,2,2,1,2,1O,1O:1O,1O:1O,,1L:1L,12,0.36003600360036
60,4,2,0,1,1,:1O:1O:1O,:,,,1L,12,0.36003600360036
61,1,3,0,1,1,1O,::1O,,,1L,12,0.36003600360036
62,2,4,0,1,1,:1O,::1O:1O,,,1L,11,0.33003300330033
63,3,2,0,1,2,::1O,1O:1O,,,1L:1L,11,0.33003300330033
64,1,4,0,1,2,1O,1O:1O:1O:1O,,,1L:1L,11,0.33003300330033
65,3,1,1,1,1,::1O,,1O,,1L,11,0.33003300330033
66,0,4,0,1,1,,::1O:1O,,,1L,11,0.33003300330033
67,3,1,1,1,2,:1O:1O,1O,2O,,1L:1L,11,0.33003300330033
68,0,3,1,1,2,,1O:1O:1O,2O,,1L:1L,11,0.33003300330033
69,2,3,1,1,2,1O:1O,:1O:1O,1O,,1L:1L,11,0.33003300330033
70,3,2,1,1,2,1O:1O:1O,:1O,1O,,1L:1L,11,0.33003300330033
71,1,4,0,1,1,,::1O:1O,,,1L,11,0.33003300330033
72,3,2,0,1,1,1O:1O:1O,:,,,1L,11,0.33003300330033
73,3,1,1,1,2,1O:1O:1O,1O,2O,,1L:1L,11,0.33003300330033
74,1,3,1,1,2,1O,1O:1O:1O,2O,,1L:1L,11,0.33003300330033
75,1,4,0,1,2,1O,:1O:1O:1O,,,1L:1L,11,0.33003300330033
76,4,0,1,1,2,1O:1O:1O:1O,,1O,,1L:1L,10,0.3000300030003
77,2,1,1,1,2,1O:1O,1O,2O,,1L:1L,10,0.3000300030003
78,2,2,0,2,2,1O:1O,1O:1O,,1S:1S:1S:2S:2S:3S:3S:3S,1L:1L,10,0.3000300030003
79,1,3,0,1,1,,::1O,,,1L,10,0.3000300030003
80,5,1,0,1,1,:::1O:1O,1O,,,1L,10,0.3000300030003
81,3,2,0,1,1,::,:1O,,,1L,10,0.3000300030003
