,num_dol,num_tfee,num_tfsi,num_ps,num_li,atoms_dol,atoms_tfee,atoms_tfsi,atoms_ps,atoms_li,count,%
0,5,0,1,1,2,1O:1O:1O:1O:1O,,1O,,1L:1L,41,1.23012301230123
1,4,0,2,1,2,1O:1O:1O:1O,,1O:1O,,1L:1L,30,0.9000900090009001
2,5,0,2,1,2,:1O:1O:1O:1O,,1O:2O,,1L:1L,29,0.8700870087008701
3,5,0,2,1,2,:1O:1O:1O:1O,,1O:1O,,1L:1L,29,0.8700870087008701
4,5,0,2,1,2,1O:1O:1O:1O:1O,,1O:1O,,1L:1L,26,0.7800780078007801
5,5,0,1,1,2,1O:1O:1O:1O:2O,,1O,,1L:1L,25,0.7500750075007501
6,6,0,1,1,2,:1O:1O:1O:1O:1O,,1O,,1L:1L,22,0.6600660066006601
7,5,0,2,1,2,:1O:1O:1O:1O,,1O:2O1S,,1L:1L,21,0.6300630063006301
8,4,0,2,1,2,1O:1O:1O:1O,,1O:2O,,1L:1L,21,0.6300630063006301
9,5,0,2,1,2,1O:1O:1O:1O:1O,,1O:2O,,1L:1L,18,0.54005400540054
10,4,0,1,2,2,1O:1O:1O:1O,,1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,17,0.51005100510051
11,4,0,2,1,2,1O:1O:1O:1O,,1O:1O1S,,1L:1L,16,0.48004800480048
12,4,0,2,2,2,1O:1O:1O:1O,,:1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,15,0.45004500450045
13,4,0,3,1,2,:1O:1O:1O,,1O:1O:2O,,1L:1L,14,0.42004200420042
14,5,1,1,1,2,1O:1O:1O:1O:1O,,1O,,1L:1L,14,0.42004200420042
15,4,0,3,1,2,1O:1O:1O:1O,,1O:1O:1O,,1L:1L,14,0.42004200420042
16,5,0,1,1,2,1O:1O:1O:1O:1O,,2O,,1L:1L,13,0.39003900390039
17,6,0,1,1,2,1O:1O:1O:1O:1O:1O,,1O,,1L:1L,13,0.39003900390039
18,5,0,3,1,2,:1O:1O:1O:1O,,1O:1O:1O,,1L:1L,12,0.36003600360036
19,4,0,2,1,2,1O:1O:1O:1O,,1O:2O1S,,1L:1L,12,0.36003600360036
20,4,0,3,1,2,1O:1O:1O:1O,,:1O:2O,,1L:1L,12,0.36003600360036
21,5,1,1,1,2,1O:1O:1O:1O:2O,,1O,,1L:1L,12,0.36003600360036
22,5,0,2,1,2,1O:1O:1O:1O:1O,,:1O,,1L:1L,12,0.36003600360036
23,4,0,3,1,2,:1O:1O:1O,,1O:1O:1O,,1L:1L,11,0.33003300330033
24,5,0,1,1,2,1O:1O:1O:1O:2O,,2O,,1L:1L,11,0.33003300330033
25,5,0,2,1,2,:1O:1O:1O:1O,,1O:1O1S,,1L:1L,11,0.33003300330033
26,6,0,2,1,2,:1O:1O:1O:1O:1O,,1O:1O,,1L:1L,11,0.33003300330033
27,4,0,2,2,2,:1O:1O:1O,,1O:1O,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,10,0.3000300030003
28,5,0,1,2,2,:1O:1O:1O:1O,,1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,10,0.3000300030003
29,4,0,3,1,2,:1O:1O:1O,,1O:1O:2O1S,,1L:1L,10,0.3000300030003
30,6,0,1,1,2,:1O:1O:1O:1O:1O,,2O1S,,1L:1L,10,0.3000300030003
31,4,1,2,1,2,1O:1O:1O:1O,,1O:1O,,1L:1L,10,0.3000300030003
32,3,0,3,1,2,1O:1O:1O,,1O:1O:2O,,1L:1L,10,0.3000300030003
33,5,0,2,2,2,::1O:1O:1O,,1O:1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,9,0.27002700270027
34,4,0,0,3,2,1O:1O:1O:1O,,,::1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,9,0.27002700270027
35,4,0,2,2,2,:1O:1O:1O,,1O:1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,9,0.27002700270027
36,5,0,1,1,2,1O:1O:1O:1O:1O,,2O1S,,1L:1L,9,0.27002700270027
37,6,0,1,1,2,:1O:1O:1O:1O:1O,,2O,,1L:1L,9,0.27002700270027
38,4,0,3,1,2,1O:1O:1O:1O,,1O:1O:2O,,1L:1L,9,0.27002700270027
39,4,0,2,2,2,1O:1O:1O:1O,,1O:1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,9,0.27002700270027
40,6,0,1,1,2,1O:1O:1O:1O:1O:1O,,2O1S,,1L:1L,9,0.27002700270027
41,4,0,3,1,2,1O:1O:1O:1O,,:1O:1O,,1L:1L,9,0.27002700270027
42,3,0,2,2,2,1O:1O:1O,,1O:1O,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,9,0.27002700270027
43,6,0,1,1,2,:1O:1O:1O:1O:2O,,1O,,1L:1L,9,0.27002700270027
44,4,0,0,3,2,1O:1O:1O:1O,,,::1S:1S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,9,0.27002700270027
45,4,0,1,1,2,1O:1O:1O:1O,,2O,,1L:1L,8,0.24002400240024
46,6,0,2,1,2,::1O:1O:1O:1O,,1O:1O,,1L:1L,8,0.24002400240024
47,4,0,3,1,2,:1O:1O:1O,,1O:1O:1O1S,,1L:1L,8,0.24002400240024
48,4,0,1,2,2,:1O:1O:1O,,1O,3S:3S:3S:3S:4S:4S:5S:5S,1L:1L,8,0.24002400240024
49,4,1,3,1,2,1O:1O:1O:1O,,:1O:1O,,1L:1L,8,0.24002400240024
