,num_dol,num_tfeg,num_tfsi,num_ps,num_li,atoms_dol,atoms_tfeg,atoms_tfsi,atoms_ps,atoms_li,count,%
0,3,2,0,1,1,::1O,:2O,,,1L,104,3.1203120312031203
1,2,3,0,1,1,:1O,::2O,,,1L,75,2.25022502250225
2,4,2,0,1,1,:::1O,:2O,,,1L,67,2.01020102010201
3,2,2,0,1,2,1O:1O,2O:2O,,,1L:1L,65,1.9501950195019504
4,3,3,0,1,1,::1O,::2O,,,1L,50,1.5001500150015
5,1,2,1,1,2,1O,2O:2O,1O,,1L:1L,47,1.41014101410141
6,2,2,0,1,1,:1O,:2O,,,1L,45,1.35013501350135
7,4,2,0,1,1,::1O:1O,:2O,,,1L,41,1.23012301230123
8,2,2,1,1,2,:1O,2O:2O,1O,,1L:1L,34,1.02010201020102
9,3,2,0,1,2,:1O:1O,2O:2O,,,1L:1L,32,0.96009600960096
10,4,1,0,1,1,:::1O,2O,,,1L,30,0.9000900090009001
11,3,2,0,1,1,:1O:1O,:2O,,,1L,30,0.9000900090009001
12,3,2,1,1,1,:1O:1O,:,1O,,1L,30,0.9000900090009001
13,3,3,0,1,1,:1O:1O,::2O,,,1L,27,0.8100810081008101
14,4,1,0,1,1,::1O:1O,2O,,,1L,24,0.7200720072007201
15,4,1,1,1,2,:1O:1O:1O,2O,1O,,1L:1L,24,0.7200720072007201
16,3,1,1,1,2,1O:1O:1O,2O,1O,,1L:1L,23,0.6900690069006901
17,5,1,0,1,1,::1O:1O:1O,,,,1L,22,0.6600660066006601
18,2,4,0,1,1,:1O,:::2O,,,1L,22,0.6600660066006601
19,4,2,1,1,1,::1O:1O,:,1O,,1L,20,0.6000600060006
20,1,3,1,1,2,1O,:2O:2O,1O,,1L:1L,19,0.57005700570057
21,4,1,1,1,1,::1O:1O,,1O,,1L,19,0.57005700570057
22,5,1,0,1,1,::::1O,2O,,,1L,18,0.54005400540054
23,5,1,0,1,1,:1O:1O:1O:1O,,,,1L,18,0.54005400540054
24,2,3,0,1,1,1O:1O,::2O,,,1L,16,0.48004800480048
25,5,1,0,1,1,:::1O:1O,2O,,,1L,16,0.48004800480048
26,2,3,0,1,1,:1O,:1O:2O,,,1L,16,0.48004800480048
27,5,1,0,1,2,:1O:1O:1O:1O,2O,,,1L:1L,15,0.45004500450045
28,4,1,0,1,1,:1O:1O:1O,,,,1L,15,0.45004500450045
29,4,2,0,1,1,:1O:1O:1O,:,,,1L,15,0.45004500450045
30,2,2,1,1,2,1O:1O,2O:2O,1O,,1L:1L,15,0.45004500450045
31,2,2,1,1,1,:,:2O,1O,,1L,14,0.42004200420042
32,1,4,0,1,1,1O,:::2O,,,1L,14,0.42004200420042
33,1,3,0,1,2,1O,:2O:2O,,,1L:1L,14,0.42004200420042
34,1,3,0,1,2,1O,1O:2O:2O,,,1L:1L,14,0.42004200420042
35,2,2,0,2,2,:1O,2O:2O,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,14,0.42004200420042
36,4,1,1,1,2,1O:1O:1O:1O,2O,1O,,1L:1L,13,0.39003900390039
37,4,1,1,1,1,:1O:1O:1O,,1O,,1L,13,0.39003900390039
38,1,3,1,1,1,,::2O,1O,,1L,13,0.39003900390039
39,5,2,0,1,1,::1O:1O:1O,:,,,1L,13,0.39003900390039
40,5,1,1,1,1,:::1O:1O,,1O,,1L,12,0.36003600360036
41,2,3,1,1,1,1O:1O,::,1O,,1L,12,0.36003600360036
42,3,1,0,1,2,1O:1O:1O,2O,,,1L:1L,12,0.36003600360036
43,2,3,0,1,2,1O:1O,:2O:2O,,,1L:1L,12,0.36003600360036
44,4,1,0,1,2,1O:1O:1O:1O,2O,,,1L:1L,12,0.36003600360036
45,2,2,1,1,2,:1O,2O:2O,2O,,1L:1L,12,0.36003600360036
46,3,4,0,1,1,::1O,:::2O,,,1L,12,0.36003600360036
47,3,2,1,1,2,1O:1O:1O,:2O,1O,,1L:1L,12,0.36003600360036
48,1,3,0,1,1,1O,::2O,,,1L,12,0.36003600360036
49,2,2,0,1,2,:1O,2O:2O,,,1L:1L,11,0.33003300330033
50,3,1,1,1,1,:1O:1O,,1O,,1L,11,0.33003300330033
51,3,3,1,1,1,:1O:1O,::,1O,,1L,11,0.33003300330033
52,3,2,0,1,2,1O:1O:1O,2O:2O,,,1L:1L,11,0.33003300330033
53,3,2,1,1,1,1O:1O:1O,:,1O,,1L,11,0.33003300330033
54,4,0,2,1,2,1O:1O:1O:1O,,1O:1O,,1L:1L,10,0.3000300030003
55,4,3,0,1,1,:::1O,::2O,,,1L,10,0.3000300030003
56,1,2,0,1,2,1O,2O:2O,,,1L:1L,10,0.3000300030003
57,5,2,0,1,1,::::1O,:2O,,,1L,10,0.3000300030003
58,5,0,2,1,2,:1O:1O:1O:1O,,1O:1O,,1L:1L,9,0.27002700270027
59,2,2,1,1,1,1O:1O,:,1O,,1L,9,0.27002700270027
60,4,1,0,1,2,1O:1O:1O:2O,2O,,,1L:1L,9,0.27002700270027
61,3,2,0,1,2,1O:1O:1O,:2O,,,1L:1L,9,0.27002700270027
62,3,3,0,1,1,::1O,:1O:2O,,,1L,9,0.27002700270027
63,3,1,1,1,2,1O:1O:1O,2O,2O,,1L:1L,9,0.27002700270027
64,3,1,2,1,2,1O:1O:1O,2O,:1O,,1L:1L,9,0.27002700270027
65,3,2,0,1,1,::1O,1O:2O,,,1L,9,0.27002700270027
66,3,2,1,1,1,::1O,:2O,,,1L,9,0.27002700270027
67,5,1,1,1,1,::1O:1O:1O,,1O,,1L,9,0.27002700270027
68,2,2,1,1,2,1O:1O,2O:2O,,,1L:1L,9,0.27002700270027
69,2,3,1,1,2,1O:1O,:1O:2O,1O,,1L:1L,8,0.24002400240024
70,3,1,0,1,1,::1O,2O,,,1L,8,0.24002400240024
71,2,2,1,1,2,1O:1O,1O:2O,1O,,1L:1L,8,0.24002400240024
72,3,2,0,1,2,:1O:1O,1O:2O,,,1L:1L,8,0.24002400240024
73,3,2,1,1,1,::1O,:2O,1O,,1L,8,0.24002400240024
74,4,2,1,1,1,:1O:1O:1O,:,1O,,1L,8,0.24002400240024
75,3,2,1,1,2,:1O:1O,1O:2O,1O,,1L:1L,8,0.24002400240024
76,1,3,0,1,1,1O,:1O:2O,,,1L,8,0.24002400240024
77,2,2,0,1,1,1O:1O,:2O,,,1L,8,0.24002400240024
78,3,2,1,1,1,:1O:1O,:2O,,,1L,8,0.24002400240024
79,2,3,1,1,1,:,::2O,1O,,1L,8,0.24002400240024
80,5,2,0,1,1,:1O:1O:1O:1O,:,,,1L,8,0.24002400240024
81,5,2,0,1,1,:::1O:1O,:2O,,,1L,8,0.24002400240024
82,4,1,0,1,2,:1O:1O:1O,2O,,,1L:1L,7,0.21002100210021
83,5,0,2,1,2,1O:1O:1O:1O:1O,,1O:1O,,1L:1L,7,0.21002100210021
84,3,1,1,1,2,1O:1O:2O,2O,1O,,1L:1L,7,0.21002100210021
85,3,2,0,1,1,1O:1O:1O,:,,,1L,7,0.21002100210021
86,4,3,0,1,1,::1O:1O,::2O,,,1L,7,0.21002100210021
87,4,2,0,1,1,1O:1O:1O:1O,:,,,1L,7,0.21002100210021
88,2,2,1,1,2,1O:1O,:2O,1O,,1L:1L,7,0.21002100210021
89,1,2,1,1,2,1O,2O:2O,2O1S,,1L:1L,7,0.21002100210021
90,6,1,0,1,1,::1O:1O:1O:1O,,,,1L,7,0.21002100210021
91,2,2,0,1,2,1O:1O,1O:2O,,,1L:1L,7,0.21002100210021
92,1,2,1,1,2,,2O:2O,1O,,1L:1L,7,0.21002100210021
93,3,2,2,1,1,:1O:1O,:,:1O,,1L,6,0.18001800180018
94,4,1,0,1,1,1O:1O:1O:1O,,,,1L,6,0.18001800180018
95,3,1,1,1,1,:1O:1O,,2O,,1L,6,0.18001800180018
96,3,1,1,2,2,:1O:1O,2O,1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,6,0.18001800180018
97,5,0,2,1,2,:1O:1O:1O:1O,,1O:2O,,1L:1L,6,0.18001800180018
98,4,0,2,1,2,1O:1O:1O:1O,,1O:2O,,1L:1L,6,0.18001800180018
