,num_dol,num_tfeibe,num_tfsi,num_ps,num_li,atoms_dol,atoms_tfeibe,atoms_tfsi,atoms_ps,atoms_li,count,%
0,4,0,3,1,2,1O:1O:1O:1O,,:1N1O1S:1O1S,,1L:1L,16,0.48004800480048
1,5,0,2,1,2,1O:1O:1O:1O:1O,,1O:2O1S,,1L:1L,13,0.39003900390039
2,5,0,2,1,2,:1O:1O:1O:1O,,1O:1O1S,,1L:1L,10,0.3000300030003
3,5,0,2,1,2,1O:1O:1O:1O:2O,,1O:1O1S,,1L:1L,9,0.27002700270027
4,4,0,3,1,2,1O:1O:1O:1O,,:1O1S:1O1S,,1L:1L,8,0.24002400240024
5,6,0,2,1,2,:1O:1O:1O:1O:1O,,1O:1O1S,,1L:1L,8,0.24002400240024
6,4,1,2,1,2,1O:1O:1O:1O,,1O:2O1S,,1L:1L,7,0.21002100210021
7,5,0,1,1,2,1O:1O:1O:1O:1O,,1N3O2S,,1L:1L,7,0.21002100210021
8,5,0,3,1,2,:1O:1O:1O:1O,,1O:1O:1O1S,,1L:1L,7,0.21002100210021
9,4,0,2,1,2,1O:1O:1O:1O,,1O:1O1S,,1L:1L,6,0.18001800180018
10,5,0,2,1,2,:1O:1O:1O:2O,,1O1S:2O1S,,1L:1L,6,0.18001800180018
11,5,0,2,1,2,1O:1O:1O:1O:1O,,1N1O1S:1O,,1L:1L,6,0.18001800180018
12,6,0,2,1,2,:1O:1O:1O:1O:1O,,1O:2O1S,,1L:1L,6,0.18001800180018
13,6,0,2,1,2,:1O:1O:1O:1O:2O,,1O:2O1S,,1L:1L,6,0.18001800180018
14,3,0,4,1,2,:1O:1O,,1O:1O:1O1S:2O1S,,1L:1L,6,0.18001800180018
15,5,0,2,1,2,1O:1O:1O:1O:2O,,1O:1O,,1L:1L,5,0.15001500150015
16,4,0,3,1,2,1O:1O:1O:2O,,:1O:2O1S,,1L:1L,5,0.15001500150015
17,5,0,2,1,2,1O:1O:1O:1O:2O,,1O:2O1S,,1L:1L,5,0.15001500150015
18,6,0,1,1,2,1O:1O:1O:1O:1O:1O,,1O,,1L:1L,5,0.15001500150015
19,5,0,2,1,2,:1O:1O:1O:2O,,1O:2O1S,,1L:1L,5,0.15001500150015
20,5,0,3,1,2,1O:1O:1O:1O:2O,,:1O:1O1S,,1L:1L,5,0.15001500150015
21,4,0,2,1,2,1O:1O:1O:1O,,1O:2O1S,,1L:1L,5,0.15001500150015
22,5,1,2,1,2,1O:1O:1O:1O:1O,,1O:1O1S,,1L:1L,5,0.15001500150015
23,4,0,2,1,2,1O:1O:1O:2O,,1O:1O1S,,1L:1L,5,0.15001500150015
24,4,0,3,1,2,1O:1O:1O:1O,,:1O:1O1S,,1L:1L,5,0.15001500150015
25,4,1,2,1,2,1O:1O:1O:1O,,1O:1O1S,,1L:1L,5,0.15001500150015
26,4,0,2,1,2,1O:1O:1O:2O,,1N1O1S:1O1S,,1L:1L,5,0.15001500150015
27,6,0,1,1,2,1O:1O:1O:1O:2O:2O,,1O,,1L:1L,5,0.15001500150015
28,5,0,3,1,2,:1O:1O:1O:1O,,:1N1O1S:1O1S,,1L:1L,5,0.15001500150015
29,4,0,2,1,2,1O:1O:1O:1O,,1N3O2S:1O1S,,1L:1L,5,0.15001500150015
30,4,0,2,1,2,1O:1O:1O:1O,,1N1O1S:2O1S,,1L:1L,5,0.15001500150015
31,5,1,1,1,2,1O:1O:1O:1O:2O,,1O,,1L:1L,5,0.15001500150015
32,5,0,2,1,2,:1O:1O:1O:1O,,1N1O1S:1O1S,,1L:1L,5,0.15001500150015
33,4,0,3,1,2,1O:1O:1O:1O,,:1N1O1S:1O,,1L:1L,4,0.12001200120012
34,5,0,2,1,2,:1O:1O:1O:1O,,2O1S:2O1S,,1L:1L,4,0.12001200120012
35,4,1,2,1,2,1O:1O:1O:2O,,1O:2O1S,,1L:1L,4,0.12001200120012
36,4,0,2,1,2,1O:1O:1O:1O,,1N1O1S:1O1S,,1L:1L,4,0.12001200120012
37,5,0,2,1,2,1O:1O:1O:1O:1O,,1O1S:2O1S,,1L:1L,4,0.12001200120012
38,6,0,1,1,2,1O:1O:1O:1O:1O:2O,,1O,,1L:1L,4,0.12001200120012
39,4,0,3,1,2,:1O:1O:1O,,1O:1O:2O1S,,1L:1L,4,0.12001200120012
40,6,0,2,1,2,:1O:1O:1O:1O:1O,,1O:1O,,1L:1L,4,0.12001200120012
41,5,0,3,1,2,:1O:1O:1O:2O,,:1O:1O1S,,1L:1L,4,0.12001200120012
42,5,1,1,1,2,:1O:1O:1O:2O,,1N3O2S,,1L:1L,4,0.12001200120012
43,5,1,1,1,2,1O:1O:1O:1O:2O,,1N3O2S,,1L:1L,4,0.12001200120012
