,num_dol,num_tfep,num_tfsi,num_ps,num_li,atoms_dol,atoms_tfep,atoms_tfsi,atoms_ps,atoms_li,count,%
0,5,0,2,1,2,:1O:1O:1O:1O,,1O:2O1S,,1L:1L,11,0.33003300330033
1,5,0,2,1,2,1O:1O:1O:1O:1O,,1N1O1S:1O,,1L:1L,9,0.27002700270027
2,4,0,2,1,2,1O:1O:1O:1O,,1N1O1S:2O1S,,1L:1L,9,0.27002700270027
3,6,1,1,1,2,1O:1O:1O:1O:1O:1O,,1O,,1L:1L,8,0.24002400240024
4,5,1,1,1,2,1O:1O:1O:1O:2O,,1O,,1L:1L,8,0.24002400240024
5,4,0,3,1,2,1O:1O:1O:1O,,1O:1O1S:2O,,1L:1L,7,0.21002100210021
6,5,0,2,1,2,1O:1O:1O:1O:1O,,1O:2O1S,,1L:1L,7,0.21002100210021
7,4,0,3,1,2,:1O:1O:1O,,1O:1O1S:2O,,1L:1L,7,0.21002100210021
8,5,0,1,1,2,1O:1O:1O:1O:1O,,1N3O2S,,1L:1L,6,0.18001800180018
9,5,0,2,1,2,1O:1O:1O:1O:2O,,1O:1O1S,,1L:1L,6,0.18001800180018
10,4,0,1,2,2,1O:1O:1O:1O,,1O,3S:3S:3S:3S:4S:4S:5S:5S,1L:1L,6,0.18001800180018
11,5,0,2,1,2,1O:1O:1O:1O:2O,,1N1O1S:1O,,1L:1L,6,0.18001800180018
12,4,0,2,1,2,1O:1O:1O:1O,,1N1O1S:1O,,1L:1L,6,0.18001800180018
13,5,0,2,1,2,:1O:1O:1O:1O,,1O:1O1S,,1L:1L,6,0.18001800180018
14,5,0,2,1,2,:1O:1O:1O:2O,,1O:2O1S,,1L:1L,6,0.18001800180018
15,6,0,1,1,2,1O:1O:1O:1O:1O:1O,,1O,,1L:1L,6,0.18001800180018
16,5,0,2,1,2,:1O:1O:1O:1O,,1O:2O,,1L:1L,6,0.18001800180018
17,4,0,2,1,2,1O:1O:1O:1O,,1O:2O1S,,1L:1L,6,0.18001800180018
18,4,0,3,1,2,1O:1O:1O:1O,,1O:1O:1O1S,,1L:1L,5,0.15001500150015
19,7,0,0,1,2,:1O:1O:1O:1O:1O:2O,,,,1L:1L,5,0.15001500150015
20,4,1,2,1,2,1O:1O:1O:1O,,1O:1O,,1L:1L,5,0.15001500150015
21,3,1,1,2,2,1O:1O:1O,,1N1O1S,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,5,0.15001500150015
22,5,0,2,1,2,:1O:1O:1O:2O,,1O:1O1S,,1L:1L,5,0.15001500150015
23,5,0,1,1,2,1O:1O:1O:1O:2O,,2O,,1L:1L,5,0.15001500150015
24,5,0,2,1,2,:1O:1O:1O:2O,,1O1S:2O1S,,1L:1L,5,0.15001500150015
25,5,1,1,1,2,1O:1O:1O:1O:1O,,1O1S,,1L:1L,5,0.15001500150015
26,4,0,3,1,2,1O:1O:1O:1O,,1O:1O:1O,,1L:1L,5,0.15001500150015
27,6,0,1,1,2,:1O:1O:1O:1O:1O,,1O,,1L:1L,5,0.15001500150015
28,4,0,2,1,2,1O:1O:1O:2O,,1O:2O1S,,1L:1L,5,0.15001500150015
29,4,1,2,1,2,1O:1O:1O:2O,,1O:2O1S,,1L:1L,5,0.15001500150015
30,5,0,2,1,2,1O:1O:1O:1O:1O,,1O1S:2O1S,,1L:1L,5,0.15001500150015
31,4,0,3,1,2,1O:1O:1O:1O,,:1O:2O1S,,1L:1L,5,0.15001500150015
32,4,0,2,1,2,1O:1O:1O:2O,,1O:1O1S,,1L:1L,5,0.15001500150015
33,4,0,3,1,2,1O:1O:1O:1O,,:1O:1O1S,,1L:1L,5,0.15001500150015
34,4,0,1,2,2,1O:1O:1O:1O,,2O1S,:::1S:1S:2S:2S:2S,1L:1L,5,0.15001500150015
35,5,1,1,1,2,1O:1O:1O:1O:1O,,1O,,1L:1L,4,0.12001200120012
36,5,1,1,1,2,1O:1O:1O:1O:1O,,2O1S,,1L:1L,4,0.12001200120012
37,5,1,1,1,2,1O:1O:1O:1O:1O,,2O2S,,1L:1L,4,0.12001200120012
