,num_dol,num_tfepe,num_tfsi,num_ps,num_li,atoms_dol,atoms_tfepe,atoms_tfsi,atoms_ps,atoms_li,count,%
0,5,0,2,1,2,1O:1O:1O:1O:1O,,1O:1O,,1L:1L,16,0.48004800480048
1,5,0,2,1,2,:1O:1O:1O:1O,,1O:2O1S,,1L:1L,15,0.45004500450045
2,5,0,2,1,2,:1O:1O:1O:1O,,1O:1O,,1L:1L,13,0.39003900390039
3,5,0,2,1,2,:1O:1O:1O:1O,,1O:1O1S,,1L:1L,11,0.33003300330033
4,5,0,3,1,2,:1O:1O:1O:1O,,1O:1O:1O,,1L:1L,11,0.33003300330033
5,6,0,2,1,2,:1O:1O:1O:1O:1O,,1O:1O,,1L:1L,10,0.3000300030003
6,4,0,3,1,2,1O:1O:1O:1O,,1O:1O:1O1S,,1L:1L,10,0.3000300030003
7,4,0,2,1,2,1O:1O:1O:1O,,1O:1O1S,,1L:1L,9,0.27002700270027
8,4,0,2,1,2,1O:1O:1O:1O,,1O:2O1S,,1L:1L,9,0.27002700270027
9,5,0,2,1,2,:1O:1O:1O:1O,,1O:2O,,1L:1L,9,0.27002700270027
10,5,0,2,2,2,:1O:1O:1O:1O,,1O:1O,:::1S:1S:2S:2S:2S,1L:1L,9,0.27002700270027
11,4,0,2,1,2,1O:1O:1O:2O,,1O:2O1S,,1L:1L,8,0.24002400240024
12,5,0,1,1,2,1O:1O:1O:1O:1O,,1O,,1L:1L,8,0.24002400240024
13,5,0,2,1,2,:1O:1O:1O:1O,,1N1O1S:1O,,1L:1L,7,0.21002100210021
14,6,0,2,1,2,::1O:1O:1O:1O,,1O:1O,,1L:1L,7,0.21002100210021
15,4,0,2,1,2,1O:1O:1O:1O,,1O:1O,,1L:1L,7,0.21002100210021
16,4,0,2,1,2,1O:1O:1O:1O,,1O:2O,,1L:1L,7,0.21002100210021
17,5,0,1,1,2,1O:1O:1O:1O:2O,,1O,,1L:1L,7,0.21002100210021
18,5,0,2,1,2,1O:1O:1O:1O:1O,,1O:2O1S,,1L:1L,7,0.21002100210021
19,4,0,2,2,2,:1O:1O:1O,,1O:1O1S,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,7,0.21002100210021
20,6,0,1,1,2,:1O:1O:1O:1O:1O,,2O,,1L:1L,7,0.21002100210021
21,6,0,2,1,2,::1O:1O:1O:1O,,1O:2O1S,,1L:1L,6,0.18001800180018
22,7,0,0,1,1,::1O:1O:1O:1O:1O,,,,1L,6,0.18001800180018
23,4,0,2,1,2,:1O:1O:1O,,1O:2O1S,,1L:1L,6,0.18001800180018
24,4,1,2,1,2,1O:1O:1O:1O,,1O:1O1S,,1L:1L,6,0.18001800180018
25,7,0,0,1,1,:::1O:1O:1O:1O,,,,1L,6,0.18001800180018
26,4,1,2,1,2,1O:1O:1O:1O,,1O:2O1S,,1L:1L,6,0.18001800180018
27,4,0,3,1,2,1O:1O:1O:1O,,1O:1O:1O,,1L:1L,6,0.18001800180018
28,4,0,1,1,2,1O:1O:1O:1O,,1N3O2S,,1L:1L,6,0.18001800180018
29,4,0,2,1,2,:1O:1O:1O,,1O:1O,,1L:1L,6,0.18001800180018
30,4,0,2,1,2,:1O:1O:1O,,1O:1O1S,,1L:1L,6,0.18001800180018
31,4,1,2,1,2,1O:1O:1O:1O,,1O:1O,,1L:1L,6,0.18001800180018
32,4,0,3,1,2,1O:1O:1O:1O,,1N1O1S:1O:1O,,1L:1L,6,0.18001800180018
33,5,0,1,1,2,1O:1O:1O:1O:2O,,2O1S,,1L:1L,6,0.18001800180018
34,6,1,0,1,1,::1O:1O:1O:1O,,,,1L,6,0.18001800180018
35,6,0,1,1,2,:1O:1O:1O:1O:2O,,2O,,1L:1L,6,0.18001800180018
36,5,0,2,1,2,1O:1O:1O:1O:1O,,1O:1O1S,,1L:1L,6,0.18001800180018
37,5,0,2,1,2,1O:1O:1O:1O:1O,,1O:2O,,1L:1L,5,0.15001500150015
38,4,0,2,2,2,1O:1O:1O:1O,,1O:1O,:::1S:1S:2S:2S:2S,1L:1L,5,0.15001500150015
