,num_dol,num_tfetfe,num_tfsi,num_ps,num_li,atoms_dol,atoms_tfetfe,atoms_tfsi,atoms_ps,atoms_li,count,%
0,3,1,3,1,2,1O:1O:1O,,1O:1O:1O1S,,1L:1L,11,0.33003300330033
1,5,0,1,1,2,1O:1O:1O:1O:2O,,2O1S,,1L:1L,10,0.3000300030003
2,3,0,3,1,2,1O:1O:1O,,1N1O1S:1O:1O1S,,1L:1L,9,0.27002700270027
3,4,0,1,4,2,::1O:1O,,1O1S,:::1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:3S:3S:3S:3S:4S:4S:4S,1L:1L,9,0.27002700270027
4,5,0,2,1,2,1O:1O:1O:1O:1O,,1O:1O,,1L:1L,8,0.24002400240024
5,4,0,3,1,2,1O:1O:1O:1O,,1O:1O:1O1S,,1L:1L,8,0.24002400240024
6,5,0,1,1,2,:1O:1O:1O:1O,,1N3O2S,,1L:1L,8,0.24002400240024
7,5,0,2,1,2,1O:1O:1O:1O:2O,,1O:1O,,1L:1L,7,0.21002100210021
8,4,0,1,3,2,:1O:1O:1O,,1O1S,1S:1S:1S:1S:2S:2S:2S:2S:3S:3S:4S:4S:4S:4S:4S:4S,1L:1L,7,0.21002100210021
9,5,0,1,1,2,1O:1O:1O:1O:2O,,1O1S,,1L:1L,7,0.21002100210021
10,5,0,0,2,2,1O:1O:1O:1O:2O,,,2S:2S:2S:3S:3S:3S:3S:3S,1L:1L,7,0.21002100210021
11,5,0,2,1,2,1O:1O:1O:1O:2O,,:1O,,1L:1L,7,0.21002100210021
12,5,0,0,2,2,1O:1O:1O:1O:1O,,,2S:2S:2S:3S:3S:3S:3S:3S,1L:1L,7,0.21002100210021
13,6,0,1,1,2,1O:1O:1O:1O:1O:2O,,1O,,1L:1L,7,0.21002100210021
14,5,1,1,1,2,1O:1O:1O:1O:2O,,2O1S,,1L:1L,6,0.18001800180018
15,3,1,3,1,2,1O:1O:1O,,1N1O1S:1O:1O,,1L:1L,6,0.18001800180018
16,3,1,3,1,2,1O:1O:1O,,1N1O1S:1O:1O1S,,1L:1L,6,0.18001800180018
17,3,0,3,1,2,1O:1O:1O,,1O:1O:1O1S,,1L:1L,6,0.18001800180018
18,4,1,1,1,2,1O:1O:1O:1O,,1N3O2S,,1L:1L,6,0.18001800180018
19,5,0,2,1,2,1O:1O:1O:1O:2O,,1O:2O1S,,1L:1L,6,0.18001800180018
20,4,0,1,1,2,1O:1O:1O:1O,,1N3O2S,,1L:1L,6,0.18001800180018
21,3,1,3,1,2,1O:1O:2O,,1N1O1S:1O:1O1S,,1L:1L,6,0.18001800180018
22,4,1,1,1,2,1O:1O:1O:2O,,1N3O2S,,1L:1L,6,0.18001800180018
23,5,0,0,2,2,1O:1O:1O:1O:1O,,,3S:3S:3S:3S:3S:4S:4S:4S,1L:1L,6,0.18001800180018
24,5,0,2,1,2,1O:1O:1O:1O:1O,,1O:1O1S,,1L:1L,6,0.18001800180018
25,4,0,2,1,2,1O:1O:1O:1O,,1N1O1S:2O1S,,1L:1L,6,0.18001800180018
26,5,1,1,1,2,1O:1O:1O:1O:1O,,2O1S,,1L:1L,5,0.15001500150015
27,5,1,0,2,2,1O:1O:1O:1O:1O,,,2S:2S:2S:3S:3S:3S:3S:3S,1L:1L,5,0.15001500150015
28,6,0,1,1,2,1O:1O:1O:1O:1O:2O,,2O1S,,1L:1L,5,0.15001500150015
29,5,0,2,1,2,:1O:1O:1O:1O,,1O:2O1S,,1L:1L,5,0.15001500150015
30,6,0,1,1,2,:1O:1O:1O:1O:2O,,1O1S,,1L:1L,5,0.15001500150015
31,6,0,1,1,2,:1O:1O:1O:1O:1O,,1O1S,,1L:1L,5,0.15001500150015
32,3,0,3,1,2,1O:1O:1O,,1O:1O1S:2O1S,,1L:1L,5,0.15001500150015
33,4,0,2,1,2,1O:1O:1O:1O,,1O1S:2O1S,,1L:1L,5,0.15001500150015
34,6,0,1,1,2,:1O:1O:1O:1O:2O,,2O1S,,1L:1L,5,0.15001500150015
35,3,0,3,2,2,:1O:1O,,1O:1O:2O1S,2S:2S:3S:3S:3S:3S:3S:3S,1L:1L,5,0.15001500150015
36,6,0,0,1,2,1O:1O:1O:1O:2O:2O,,,,1L:1L,5,0.15001500150015
37,4,0,3,1,2,:1O:1O:1O,,1O:1O:1O1S,,1L:1L,5,0.15001500150015
38,4,0,3,1,2,:1O:1O:1O,,1O:1O1S:2O1S,,1L:1L,5,0.15001500150015
39,6,1,0,1,2,1O:1O:1O:1O:1O:2O,,,,1L:1L,5,0.15001500150015
40,5,0,1,1,2,1O:1O:1O:1O:1O,,1N2O2S,,1L:1L,5,0.15001500150015
41,5,0,2,1,2,:1O:1O:1O:1O,,1O1S:2O1S,,1L:1L,5,0.15001500150015
42,4,0,1,4,2,::1O:1O,,1O1S,::1S:1S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:3S:3S:3S:3S:3S:4S:4S:4S,1L:1L,5,0.15001500150015
43,5,0,3,1,2,::1O:1O:1O,,1O:1O:1O1S,,1L:1L,5,0.15001500150015
