,num_tfmtms,num_tfsi,num_dol,num_ps,num_li,atoms_tfmtms,atoms_tfsi,atoms_dol,atoms_ps,atoms_li,count,%
0,0,2,5,1,2,,1O:1O,1O:1O:1O:1O:1O,,1L:1L,19,0.57005700570057
1,0,2,5,1,2,,1O:2O1S,:1O:1O:1O:1O,,1L:1L,17,0.51005100510051
2,0,1,5,1,2,,2O1S,1O:1O:1O:1O:1O,,1L:1L,16,0.48004800480048
3,0,2,5,1,2,,1O:1O,1O:1O:1O:1O:2O,,1L:1L,15,0.45004500450045
4,0,1,6,1,2,,2O1S,1O:1O:1O:1O:1O:1O,,1L:1L,14,0.42004200420042
5,0,1,6,1,2,,1O,1O:1O:1O:1O:1O:1O,,1L:1L,12,0.36003600360036
6,0,2,6,1,2,,1O:1O,:1O:1O:1O:1O:1O,,1L:1L,12,0.36003600360036
7,0,2,5,1,2,,1O:2O1S,1O:1O:1O:1O:1O,,1L:1L,12,0.36003600360036
8,0,2,5,1,2,,1O:2O1S,1O:1O:1O:1O:2O,,1L:1L,11,0.33003300330033
9,0,2,5,1,2,,1O:1O,:1O:1O:1O:1O,,1L:1L,11,0.33003300330033
10,0,1,5,1,2,,1O,1O:1O:1O:1O:2O,,1L:1L,11,0.33003300330033
11,0,2,5,1,2,,1O:1O1S,:1O:1O:1O:1O,,1L:1L,11,0.33003300330033
12,0,1,6,1,2,,1O,1O:1O:1O:1O:1O:2O,,1L:1L,11,0.33003300330033
13,0,2,4,1,2,,1O:1O1S,1O:1O:1O:1O,,1L:1L,11,0.33003300330033
14,0,1,5,1,2,,2O1S,1O:1O:1O:1O:2O,,1L:1L,11,0.33003300330033
15,0,1,6,1,2,,2O1S,:1O:1O:1O:1O:1O,,1L:1L,10,0.3000300030003
16,0,2,6,1,2,,1O:1O1S,:1O:1O:1O:1O:1O,,1L:1L,10,0.3000300030003
17,0,0,6,1,2,,,1O:1O:1O:1O:1O:2O,,1L:1L,10,0.3000300030003
18,0,1,6,1,2,,2O,1O:1O:1O:1O:1O:1O,,1L:1L,10,0.3000300030003
19,0,1,6,1,2,,2O,:1O:1O:1O:1O:1O,,1L:1L,10,0.3000300030003
20,0,2,5,1,2,,1O:1O,:1O:1O:1O:2O,,1L:1L,9,0.27002700270027
21,0,1,6,1,2,,2O1S,:1O:1O:1O:1O:2O,,1L:1L,9,0.27002700270027
22,0,1,7,1,2,,1O,:1O:1O:1O:1O:1O:1O,,1L:1L,9,0.27002700270027
23,0,0,7,1,1,,,::1O:1O:1O:1O:1O,,1L,9,0.27002700270027
24,0,1,5,1,2,,1O1S,1O:1O:1O:1O:2O,,1L:1L,9,0.27002700270027
25,0,1,6,1,2,,1O,:1O:1O:1O:1O:1O,,1L:1L,9,0.27002700270027
26,0,2,4,1,2,,1O:1O1S,1O:1O:1O:2O,,1L:1L,8,0.24002400240024
27,0,1,5,1,2,,1O1S,1O:1O:1O:1O:1O,,1L:1L,8,0.24002400240024
28,0,3,4,1,2,,:1O:1O1S,1O:1O:1O:1O,,1L:1L,8,0.24002400240024
29,0,2,5,1,2,,1O:2O,1O:1O:1O:1O:1O,,1L:1L,8,0.24002400240024
30,0,2,5,1,2,,1O:2O,:1O:1O:1O:1O,,1L:1L,8,0.24002400240024
31,0,2,5,1,2,,1N3O2S:1O,:1O:1O:1O:1O,,1L:1L,7,0.21002100210021
32,0,2,5,1,2,,1O:1O1S,1O:1O:1O:1O:1O,,1L:1L,7,0.21002100210021
33,0,1,7,1,2,,1O,:1O:1O:1O:1O:1O:2O,,1L:1L,7,0.21002100210021
34,0,2,6,1,2,,1O:1O1S,:1O:1O:1O:1O:2O,,1L:1L,7,0.21002100210021
35,0,2,4,1,2,,1O:2O1S,1O:1O:1O:1O,,1L:1L,7,0.21002100210021
36,0,1,5,1,2,,1N3O2S,1O:1O:1O:1O:2O,,1L:1L,7,0.21002100210021
37,0,2,5,1,2,,1N1O1S:1O,:1O:1O:1O:1O,,1L:1L,7,0.21002100210021
38,0,3,5,1,2,,1O:1O:1O1S,:1O:1O:1O:1O,,1L:1L,7,0.21002100210021
39,0,2,5,1,2,,1O:2O1S,:1O:1O:1O:2O,,1L:1L,7,0.21002100210021
40,0,1,6,1,2,,1O,:1O:1O:1O:1O:2O,,1L:1L,7,0.21002100210021
41,0,1,6,1,2,,2O1S,1O:1O:1O:1O:1O:2O,,1L:1L,7,0.21002100210021
42,0,2,4,1,2,,1O1S:2O1S,1O:1O:1O:1O,,1L:1L,6,0.18001800180018
43,0,1,5,1,2,,1N2O2S,1O:1O:1O:1O:2O,,1L:1L,6,0.18001800180018
44,0,1,5,1,2,,1N3O2S,1O:1O:1O:1O:1O,,1L:1L,6,0.18001800180018
45,0,2,5,1,2,,1N1O1S:1O,1O:1O:1O:1O:1O,,1L:1L,6,0.18001800180018
46,0,1,5,1,2,,1O,1O:1O:1O:1O:1O,,1L:1L,6,0.18001800180018
47,0,1,5,1,2,,2O,1O:1O:1O:1O:2O,,1L:1L,6,0.18001800180018
48,0,2,4,1,2,,1N3O2S:1O,1O:1O:1O:1O,,1L:1L,6,0.18001800180018
49,0,1,4,1,2,,1N3O2S,:1O:1O:1O,,1L:1L,6,0.18001800180018
50,0,3,4,1,2,,1O:1O:1O1S,1O:1O:1O:1O,,1L:1L,6,0.18001800180018
51,0,2,5,1,2,,1O:1O1S,:1O:1O:1O:2O,,1L:1L,6,0.18001800180018
52,0,1,4,1,2,,1N3O2S,1O:1O:1O:2O,,1L:1L,6,0.18001800180018
53,0,2,4,1,2,,1O:2O,1O:1O:1O:1O,,1L:1L,6,0.18001800180018
54,0,2,4,1,2,,1O:2O1S,1O:1O:1O:2O,,1L:1L,6,0.18001800180018
55,0,2,6,1,2,,1O:1O1S,::1O:1O:1O:1O,,1L:1L,6,0.18001800180018
56,0,3,4,1,2,,1O:1O1S:2O1S,1O:1O:1O:1O,,1L:1L,6,0.18001800180018
57,0,1,6,1,2,,1O1S,1O:1O:1O:1O:1O:1O,,1L:1L,5,0.15001500150015
58,0,2,4,1,2,,1N1O1S:1O,1O:1O:1O:2O,,1L:1L,5,0.15001500150015
59,0,1,6,1,2,,1O1S,:1O:1O:1O:1O:1O,,1L:1L,5,0.15001500150015
60,0,1,6,1,2,,1O1S,:1O:1O:1O:1O:2O,,1L:1L,5,0.15001500150015
61,0,1,6,1,2,,2O,1O:1O:1O:1O:1O:2O,,1L:1L,5,0.15001500150015
62,0,2,5,1,2,,1O:1O1S,1O:1O:1O:1O:2O,,1L:1L,5,0.15001500150015
63,0,1,6,1,1,,,::1O:1O:1O:1O,,1L,5,0.15001500150015
64,0,2,6,1,2,,1O:2O1S,::1O:1O:1O:2O,,1L:1L,5,0.15001500150015
65,0,2,6,1,2,,1O:2O1S,::1O:1O:1O:1O,,1L:1L,5,0.15001500150015
66,0,0,7,1,1,,,::::1O:1O:1O,,1L,5,0.15001500150015
67,0,0,7,1,1,,,:::1O:1O:1O:1O,,1L,5,0.15001500150015
68,0,3,5,1,2,,1O:1O:2O1S,::1O:1O:1O,,1L:1L,5,0.15001500150015
69,0,2,6,1,2,,1O:2O,:1O:1O:1O:1O:1O,,1L:1L,5,0.15001500150015
70,0,1,4,2,2,,1O1S,1O:1O:1O:1O,2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,5,0.15001500150015
71,0,3,4,1,2,,1O:2O:2O1S,:1O:1O:1O,,1L:1L,5,0.15001500150015
72,0,3,4,1,2,,:1O:2O1S,1O:1O:1O:1O,,1L:1L,5,0.15001500150015
73,0,3,4,1,2,,1O:2O1S:2O1S,:1O:1O:1O,,1L:1L,4,0.12001200120012
74,0,2,4,1,2,,1N3O2S:1O,:1O:1O:1O,,1L:1L,4,0.12001200120012
75,1,0,6,1,1,,,:::1O:1O:1O,,1L,4,0.12001200120012
76,0,3,5,1,2,,1O:1O:1O,:1O:1O:1O:1O,,1L:1L,4,0.12001200120012
77,1,1,5,1,2,,2O,1O:1O:1O:1O:1O,,1L:1L,4,0.12001200120012
78,0,2,6,1,2,,1O:2O,::1O:1O:1O:1O,,1L:1L,4,0.12001200120012
79,0,2,5,1,2,,1O1S:2O1S,:1O:1O:1O:1O,,1L:1L,4,0.12001200120012
80,0,2,5,1,2,,1N1O1S:1O1S,:1O:1O:1O:1O,,1L:1L,4,0.12001200120012
81,0,2,4,1,2,,1N1O1S:2O1S,1O:1O:1O:1O,,1L:1L,4,0.12001200120012
82,0,3,5,1,2,,:1O:1O,1O:1O:1O:1O:1O,,1L:1L,4,0.12001200120012
83,0,0,6,1,2,,,1O:1O:1O:1O:1O:1O,,1L:1L,4,0.12001200120012
84,0,2,6,1,2,,1O:1O,::1O:1O:1O:1O,,1L:1L,4,0.12001200120012
85,0,1,6,1,1,,,:::1O:1O:1O,,1L,4,0.12001200120012
86,0,0,7,1,1,,,:::1O:1O:1O:2O,,1L,4,0.12001200120012
87,0,2,5,1,2,,1O:1O1S,::1O:1O:1O,,1L:1L,4,0.12001200120012
88,0,1,4,2,2,,1N1O1S,1O:1O:1O:1O,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,4,0.12001200120012
89,0,2,5,1,2,,1O:3O1S,1O:1O:1O:1O:1O,,1L:1L,4,0.12001200120012
90,0,2,6,1,2,,1O:2O1S,:1O:1O:1O:1O:1O,,1L:1L,4,0.12001200120012
91,0,2,6,1,2,,1O:2O1S,:1O:1O:1O:1O:2O,,1L:1L,4,0.12001200120012
92,0,1,6,1,2,,3O1S,:1O:1O:1O:1O:1O,,1L:1L,4,0.12001200120012
93,0,1,4,1,2,,2O1S,1O:1O:1O:2O,,1L:1L,4,0.12001200120012
94,0,2,6,1,2,,:1O,:1O:1O:1O:1O:2O,,1L:1L,4,0.12001200120012
95,0,2,5,1,2,,1N3O2S:1O,::1O:1O:1O,,1L:1L,4,0.12001200120012
96,0,3,4,1,2,,1O:1O:2O,:1O:1O:1O,,1L:1L,4,0.12001200120012
97,0,1,5,1,2,,1N3O2S,:1O:1O:1O:1O,,1L:1L,4,0.12001200120012
98,0,2,4,1,2,,1O:2O1S,:1O:1O:1O,,1L:1L,4,0.12001200120012
99,1,2,5,1,2,,1O:2O1S,:1O:1O:1O:1O,,1L:1L,4,0.12001200120012
100,1,2,4,1,2,,1O:1O,1O:1O:1O:1O,,1L:1L,4,0.12001200120012
101,0,2,4,1,2,,1O:1O,1O:1O:1O:1O,,1L:1L,4,0.12001200120012
102,0,2,4,2,2,,:1O,1O:1O:1O:1O,3S:3S:3S:4S:4S:4S:5S:5S,1L:1L,4,0.12001200120012
103,0,1,5,1,2,,2O,1O:1O:1O:1O:1O,,1L:1L,4,0.12001200120012
104,0,1,7,1,2,,1O,::1O:1O:1O:1O:2O,,1L:1L,4,0.12001200120012
105,0,1,5,1,2,,1N3O2S,:1O:1O:1O:2O,,1L:1L,4,0.12001200120012
106,0,1,7,1,2,,1O1S,::1O:1O:1O:1O:1O,,1L:1L,4,0.12001200120012
107,0,1,3,1,2,,1N3O2S,1O:1O:1O,,1L:1L,4,0.12001200120012
108,0,2,5,2,2,,:1O,:1O:1O:1O:1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,4,0.12001200120012
109,0,1,5,1,2,,1O,:1O:1O:1O:1O,,1L:1L,4,0.12001200120012
110,0,1,7,1,2,,1O1S,:1O:1O:1O:1O:1O:1O,,1L:1L,4,0.12001200120012
111,0,1,7,1,2,,2O1S,::1O:1O:1O:1O:2O,,1L:1L,4,0.12001200120012
112,0,2,6,1,2,,1O:1O,1O:1O:1O:1O:1O:1O,,1L:1L,4,0.12001200120012
113,0,2,4,1,2,,1O1S:1O1S,1O:1O:1O:1O,,1L:1L,4,0.12001200120012
114,0,1,5,2,2,,1O,:1O:1O:1O:1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,3,0.09000900090009
115,0,1,6,1,2,,1N3O2S,:1O:1O:1O:1O:2O,,1L:1L,3,0.09000900090009
116,0,1,6,1,2,,1N2O2S,:1O:1O:1O:1O:1O,,1L:1L,3,0.09000900090009
117,0,1,6,1,2,,1N2O2S,1O:1O:1O:1O:1O:1O,,1L:1L,3,0.09000900090009
118,1,1,4,1,2,,1O,1O:1O:1O:2O,,1L:1L,3,0.09000900090009
119,1,1,4,1,2,,1O,1O:1O:1O:1O,,1L:1L,3,0.09000900090009
120,0,2,5,1,2,,1N3O2S:2O,1O:1O:1O:1O:2O,,1L:1L,3,0.09000900090009
121,0,2,4,1,2,,1N3O2S:1O1S,:1O:1O:1O,,1L:1L,3,0.09000900090009
122,0,2,5,1,2,,1O:2O,1O:1O:1O:1O:2O,,1L:1L,3,0.09000900090009
123,0,1,6,1,2,,3O1S,1O:1O:1O:1O:1O:1O,,1L:1L,3,0.09000900090009
124,0,1,3,2,2,,1O,1O:1O:1O,2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,3,0.09000900090009
125,0,1,6,1,2,,2O2S,:1O:1O:1O:1O:1O,,1L:1L,3,0.09000900090009
126,1,0,6,1,1,,,::::1O:1O,,1L,3,0.09000900090009
127,0,3,4,1,2,,1O:1O:1O,1O:1O:1O:1O,,1L:1L,3,0.09000900090009
128,0,2,4,1,2,,1O1S:1O1S,1O:1O:1O:2O,,1L:1L,3,0.09000900090009
129,0,1,5,2,2,,1O,:1O:1O:1O:1O,2S:2S:2S:2S:2S:3S:3S:3S,1L:1L,3,0.09000900090009
130,0,1,5,2,2,,1O,:1O:1O:1O:1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,3,0.09000900090009
131,0,2,5,1,2,,1O1S:1O1S,1O:1O:1O:1O:1O,,1L:1L,3,0.09000900090009
132,0,1,6,1,2,,1O1S,1O:1O:1O:1O:1O:2O,,1L:1L,3,0.09000900090009
133,0,1,5,2,2,,1O,:1O:1O:1O:1O,1S:2S:2S:2S:3S:3S:3S:3S,1L:1L,3,0.09000900090009
134,0,2,6,1,2,,:1O,:1O:1O:1O:1O:1O,,1L:1L,3,0.09000900090009
135,0,2,5,1,2,,1O1S:1O1S,1O:1O:1O:1O:2O,,1L:1L,3,0.09000900090009
136,0,1,3,2,2,,1O1S,1O:1O:1O,2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,3,0.09000900090009
137,0,1,3,1,2,,1O1S,1O:1O:1O,,1L:1L,3,0.09000900090009
138,0,2,5,1,2,,1O1S:2O1S,1O:1O:1O:1O:2O,,1L:1L,3,0.09000900090009
139,0,1,6,1,2,,1N1O1S,:1O:1O:1O:1O:1O,,1L:1L,3,0.09000900090009
140,0,1,7,1,1,,1O,::::1O:1O:1O,,1L,3,0.09000900090009
141,0,2,5,1,2,,1O:2O,:1O:1O:1O:2O,,1L:1L,3,0.09000900090009
142,0,1,5,2,2,,2O,:1O:1O:1O:1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,3,0.09000900090009
143,0,1,5,1,2,,1N1O1S,1O:1O:1O:1O:1O,,1L:1L,3,0.09000900090009
144,0,1,5,1,2,,1N1O1S,1O:1O:1O:1O:2O,,1L:1L,3,0.09000900090009
145,0,1,5,1,2,,1N2O1S,1O:1O:1O:1O:1O,,1L:1L,3,0.09000900090009
146,0,1,5,1,2,,1N2O2S,1O:1O:1O:1O:1O,,1L:1L,3,0.09000900090009
147,0,2,6,1,2,,1O:1O1S,1O:1O:1O:1O:1O:1O,,1L:1L,3,0.09000900090009
148,0,2,6,1,2,,1O:1O,::1O:1O:1O:2O,,1L:1L,3,0.09000900090009
149,0,1,7,1,2,,2O,::1O:1O:1O:1O:2O,,1L:1L,3,0.09000900090009
150,0,1,7,1,2,,2O,:1O:1O:1O:1O:1O:1O,,1L:1L,3,0.09000900090009
151,0,1,6,2,2,,1O,:1O:1O:1O:1O:2O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,3,0.09000900090009
152,0,2,5,2,2,,1O:1O,::1O:1O:1O,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,3,0.09000900090009
153,0,1,6,2,2,,1O,:1O:1O:1O:1O:2O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,3,0.09000900090009
154,0,1,7,1,2,,1O,::1O:1O:1O:1O:1O,,1L:1L,3,0.09000900090009
155,0,1,5,2,2,,1O1S,:1O:1O:1O:1O,:::1S:1S:2S:2S:2S,1L:1L,3,0.09000900090009
156,0,1,5,2,2,,1O1S,1O:1O:1O:1O:1O,::1S:1S:2S:2S:2S:2S,1L:1L,3,0.09000900090009
157,0,3,4,1,2,,1O1S:2O:2O1S,:1O:1O:1O,,1L:1L,3,0.09000900090009
158,0,1,5,1,2,,2O1S,:1O:1O:1O:1O,,1L:1L,3,0.09000900090009
159,0,1,5,1,2,,3O1S,1O:1O:1O:1O:2O,,1L:1L,3,0.09000900090009
160,0,1,7,1,2,,,1O:1O:1O:1O:1O:1O:2O,,1L:1L,3,0.09000900090009
161,0,3,4,2,2,,::1O,1O:1O:1O:1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,3,0.09000900090009
162,0,2,5,2,2,,1O:1O,::1O:1O:1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,3,0.09000900090009
163,0,1,4,1,2,,2O1S,1O:1O:1O:1O,,1L:1L,3,0.09000900090009
164,0,1,4,2,2,,1O,1O:1O:1O:2O,:::1S:1S:2S:2S:2S,1L:1L,3,0.09000900090009
165,0,1,5,2,2,,1O,1O:1O:1O:1O:1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,3,0.09000900090009
166,0,2,5,1,2,,1O:3O2S,:1O:1O:1O:1O,,1L:1L,3,0.09000900090009
167,0,4,2,2,2,,:1O:1O:1O1S,1O:1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,3,0.09000900090009
168,0,2,5,1,2,,2O1S:2O1S,:1O:1O:1O:1O,,1L:1L,3,0.09000900090009
169,0,1,4,2,2,,1O,1O:1O:1O:1O,2S:2S:2S:2S:2S:3S:3S:3S,1L:1L,3,0.09000900090009
170,0,1,7,1,2,,,1O:1O:1O:1O:1O:1O:1O,,1L:1L,3,0.09000900090009
171,0,2,5,1,2,,:1O,1O:1O:1O:1O:1O,,1L:1L,3,0.09000900090009
172,0,3,4,1,2,,:1O1S:1O1S,1O:1O:1O:1O,,1L:1L,3,0.09000900090009
173,0,1,6,2,2,,,:1O:1O:1O:1O:1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,3,0.09000900090009
