,num_dol,num_tfpg,num_tfsi,num_ps,num_li,atoms_dol,atoms_tfpg,atoms_tfsi,atoms_ps,atoms_li,count,%
0,2,3,0,1,1,:1O,::2O,,,1L,67,2.01020102010201
1,2,2,0,1,2,1O:1O,2O:2O,,,1L:1L,63,1.8901890189018904
2,3,2,0,1,2,:1O:1O,2O:2O,,,1L:1L,61,1.8301830183018304
3,3,2,0,1,1,::1O,:2O,,,1L,59,1.7701770177017702
4,4,2,0,1,1,:::1O,:2O,,,1L,58,1.7401740174017402
5,1,2,1,1,2,1O,2O:2O,1O,,1L:1L,55,1.6501650165016502
6,1,3,1,1,2,1O,:2O:2O,1O,,1L:1L,48,1.44014401440144
7,2,2,1,1,2,:1O,2O:2O,1O,,1L:1L,45,1.35013501350135
8,4,2,0,1,1,::1O:1O,:2O,,,1L,45,1.35013501350135
9,3,3,0,1,1,::1O,::2O,,,1L,45,1.35013501350135
10,2,2,0,1,2,:1O,2O:2O,,,1L:1L,37,1.11011101110111
11,3,2,0,1,1,:1O:1O,:2O,,,1L,36,1.08010801080108
12,1,3,0,1,2,1O,:2O:2O,,,1L:1L,34,1.02010201020102
13,2,3,0,1,2,1O:1O,:2O:2O,,,1L:1L,34,1.02010201020102
14,2,4,0,1,1,:1O,:::2O,,,1L,33,0.99009900990099
15,3,3,0,1,1,:1O:1O,::2O,,,1L,29,0.8700870087008701
16,1,2,0,1,2,1O,2O:2O,,,1L:1L,28,0.8400840084008401
17,3,1,1,1,2,1O:1O:1O,2O,1O,,1L:1L,26,0.7800780078007801
18,1,4,0,1,1,1O,:::2O,,,1L,25,0.7500750075007501
19,1,3,0,1,1,1O,::2O,,,1L,23,0.6900690069006901
20,4,1,1,1,2,1O:1O:1O:1O,2O,1O,,1L:1L,23,0.6900690069006901
21,2,2,1,1,2,1O:1O,2O:2O,1O,,1L:1L,23,0.6900690069006901
22,4,1,1,1,2,:1O:1O:1O,2O,1O,,1L:1L,23,0.6900690069006901
