,num_dol,num_thf,num_tfsi,num_ps,num_li,atoms_dol,atoms_thf,atoms_tfsi,atoms_ps,atoms_li,count,%
0,2,4,0,1,2,1O:1O,1O:1O:1O:1O,,,1L:1L,29,0.8700870087008701
1,3,4,0,1,1,::1O,::1O:1O,,,1L,24,0.7200720072007201
2,4,3,0,1,1,:::1O,:1O:1O,,,1L,22,0.6600660066006601
3,4,3,0,1,1,::1O:1O,:1O:1O,,,1L,22,0.6600660066006601
4,3,4,0,1,1,:1O:1O,::1O:1O,,,1L,21,0.6300630063006301
5,3,3,0,1,1,::1O,:1O:1O,,,1L,18,0.54005400540054
6,4,4,0,1,1,::1O:1O,::1O:1O,,,1L,17,0.51005100510051
7,5,2,0,1,1,::1O:1O:1O,:1O,,,1L,17,0.51005100510051
8,3,3,1,1,2,:1O:1O,1O:1O:1O,1O,,1L:1L,16,0.48004800480048
9,2,4,1,1,2,1O:1O,:1O:1O:1O,1O,,1L:1L,14,0.42004200420042
10,4,3,0,1,1,:1O:1O:1O,::1O,,,1L,14,0.42004200420042
11,2,5,0,1,1,:1O,:::1O:1O,,,1L,13,0.39003900390039
12,5,2,0,1,1,:::1O:1O,:1O,,,1L,12,0.36003600360036
13,4,2,0,1,1,:1O:1O:1O,:1O,,,1L,12,0.36003600360036
14,3,4,0,1,2,1O:1O:1O,1O:1O:1O:1O,,,1L:1L,12,0.36003600360036
15,4,4,0,1,1,:::1O,::1O:1O,,,1L,11,0.33003300330033
16,4,3,0,1,2,:1O:1O:1O,1O:1O:1O,,,1L:1L,11,0.33003300330033
17,3,3,1,1,2,1O:1O:1O,1O:1O:1O,1O,,1L:1L,10,0.3000300030003
18,4,2,1,1,2,1O:1O:1O:1O,1O:1O,1O,,1L:1L,9,0.27002700270027
19,3,3,0,1,2,1O:1O:1O,1O:1O:1O,,,1L:1L,9,0.27002700270027
20,3,5,0,1,1,::1O,:::1O:1O,,,1L,9,0.27002700270027
21,5,3,0,1,1,::1O:1O:1O,::1O,,,1L,9,0.27002700270027
22,2,3,1,1,2,1O:1O,1O:1O:1O,2O,,1L:1L,9,0.27002700270027
23,3,3,0,1,1,:1O:1O,:1O:1O,,,1L,9,0.27002700270027
24,3,3,1,1,2,1O:1O:1O,:1O:1O,1O,,1L:1L,9,0.27002700270027
25,2,4,1,1,2,1O:1O,:1O:1O:1O,2O,,1L:1L,9,0.27002700270027
26,3,2,1,1,2,1O:1O:1O,1O:1O,1O,,1L:1L,9,0.27002700270027
27,4,3,0,1,1,::1O:1O,::1O,,,1L,9,0.27002700270027
28,3,3,1,1,2,:1O:1O,1O:1O:1O,2O1S,,1L:1L,9,0.27002700270027
29,3,4,0,1,2,:1O:1O,1O:1O:1O:1O,,,1L:1L,9,0.27002700270027
30,5,2,0,1,1,::1O:1O:1O,:,,,1L,8,0.24002400240024
31,2,3,1,1,2,1O:1O,1O:1O:1O,1O,,1L:1L,8,0.24002400240024
32,5,2,0,1,1,:1O:1O:1O:1O,:1O,,,1L,8,0.24002400240024
33,1,5,1,1,2,1O,:1O:1O:1O:1O,1O,,1L:1L,8,0.24002400240024
34,4,2,1,1,2,:1O:1O:1O,1O:1O,1O,,1L:1L,8,0.24002400240024
35,5,3,0,1,1,:::1O:1O,:1O:1O,,,1L,8,0.24002400240024
36,2,6,0,1,1,:1O,::::1O:1O,,,1L,8,0.24002400240024
37,3,3,0,1,1,:1O:1O,::1O,,,1L,8,0.24002400240024
38,3,5,0,1,1,:1O:1O,::::1O,,,1L,8,0.24002400240024
39,4,2,0,1,1,::1O:1O,:1O,,,1L,7,0.21002100210021
40,4,4,0,1,1,:1O:1O:1O,:::1O,,,1L,7,0.21002100210021
