,num_dol,num_tmp,num_tfsi,num_ps,num_li,atoms_dol,atoms_tmp,atoms_tfsi,atoms_ps,atoms_li,count,%
0,7,4,0,1,1,::::1O:1O:1O,::1O:1O,,,1L,23,0.6900690069006901
1,7,4,0,1,1,:::1O:1O:1O:1O,::1O:1O,,,1L,13,0.39003900390039
2,7,3,0,1,1,:::1O:1O:1O:1O,:1O:1O,,,1L,12,0.36003600360036
3,7,4,0,1,1,:::1O:1O:1O:1O,::1O:2O,,,1L,11,0.33003300330033
4,8,4,0,1,1,::::1O:1O:1O:1O,::1O:1O,,,1L,11,0.33003300330033
5,5,4,1,1,2,1O:1O:1O:1O:1O,1O:1O:1O:2O,1O,,1L:1L,10,0.3000300030003
6,7,4,0,1,1,:::1O:1O:1O:1O,:1O:1O:1O,,,1L,10,0.3000300030003
7,6,4,0,1,1,:::1O:1O:1O,::1O:2O,,,1L,10,0.3000300030003
8,6,3,0,1,1,:::1O:1O:1O,:1O:2O,,,1L,10,0.3000300030003
9,7,5,0,1,1,::::1O:1O:1O,::1O:1O:2O,,,1L,10,0.3000300030003
10,7,4,0,1,1,::::1O:1O:1O,::1O:2O,,,1L,10,0.3000300030003
11,8,5,0,1,1,:::::1O:1O:1O,::1O:1O:1O,,,1L,9,0.27002700270027
12,7,3,0,1,1,::::1O:1O:1O,:1O:1O,,,1L,9,0.27002700270027
13,7,3,0,1,1,::::1O:1O:1O,::1O,,,1L,9,0.27002700270027
14,7,4,0,1,1,::::1O:1O:1O,:1O:1O:2O,,,1L,9,0.27002700270027
15,8,4,0,1,1,::::1O:1O:1O:1O,::1O:2O,,,1L,9,0.27002700270027
16,7,4,0,1,1,:::1O:1O:1O:2O,::1O:2O,,,1L,9,0.27002700270027
17,6,3,0,1,1,::1O:1O:1O:1O,:1O:2O,,,1L,8,0.24002400240024
18,6,4,0,1,2,1O:1O:1O:1O:1O:1O,1O:1O:1O:2O,,,1L:1L,8,0.24002400240024
19,7,4,0,1,2,:1O:1O:1O:1O:1O:1O,1O:1O:1O:1O,,,1L:1L,8,0.24002400240024
20,6,4,0,1,1,:::1O:1O:1O,::1O:1O,,,1L,8,0.24002400240024
21,8,5,0,1,1,::::1O:1O:1O:1O,:::1O:1O,,,1L,8,0.24002400240024
22,7,4,0,1,2,:1O:1O:1O:1O:1O:1O,1O:1O:1O:2O,,,1L:1L,7,0.21002100210021
23,8,4,0,1,1,:::::1O:1O:1O,::1O:2O,,,1L,7,0.21002100210021
24,7,3,0,1,1,:::1O:1O:1O:1O,1O:1O:2O,,,1L,7,0.21002100210021
25,6,3,0,1,1,:::1O:1O:1O,:1O:1O,,,1L,7,0.21002100210021
26,5,2,0,1,1,::1O:1O:1O,1O:2O,,,1L,6,0.18001800180018
27,7,4,1,1,1,::::1O:1O:1O,::1O:1O,,,1L,6,0.18001800180018
28,6,4,1,1,2,1O:1O:1O:1O:1O:1O,1O:1O:1O:2O,1O,,1L:1L,6,0.18001800180018
29,5,3,1,1,1,::1O:1O:1O,:1O:2O,,,1L,6,0.18001800180018
30,8,5,0,1,1,:::::1O:1O:1O,:::1O:1O,,,1L,6,0.18001800180018
31,7,4,0,1,1,::::1O:1O:2O,::1O:2O,,,1L,6,0.18001800180018
32,6,3,0,1,1,::1O:1O:1O:1O,:1O:1O,,,1L,6,0.18001800180018
33,7,4,0,1,1,::1O:1O:1O:1O:1O,:1O:1O:2O,,,1L,6,0.18001800180018
34,8,2,0,1,1,:::1O:1O:1O:1O:1O,1O:1O,,,1L,5,0.15001500150015
35,6,5,1,1,2,:1O:1O:1O:1O:1O,:1O:1O:1O:2O,1O,,1L:1L,5,0.15001500150015
36,8,3,0,1,1,:::1O:1O:1O:1O:1O,:1O:1O,,,1L,5,0.15001500150015
37,6,4,0,1,1,::1O:1O:1O:1O,::1O:1O,,,1L,5,0.15001500150015
38,6,4,0,1,1,:::1O:1O:1O,:1O:1O:2O,,,1L,5,0.15001500150015
39,7,3,0,1,1,:::1O:1O:1O:1O,1O:1O:1O,,,1L,5,0.15001500150015
40,7,5,0,1,1,::::1O:1O:1O,:::1O:1O,,,1L,5,0.15001500150015
41,7,5,0,1,1,::::1O:1O:2O,::1O:1O:2O,,,1L,5,0.15001500150015
42,8,5,0,1,1,:::::1O:1O:1O,:::1O:2O,,,1L,5,0.15001500150015
43,7,5,0,1,1,::::1O:1O:1O,::1O:1O:1O,,,1L,5,0.15001500150015
44,6,4,0,1,2,1O:1O:1O:1O:1O:2O,1O:1O:2O:2O,,,1L:1L,5,0.15001500150015
45,7,4,0,1,2,1O:1O:1O:1O:1O:1O:1O,1O:1O:1O:2O,,,1L:1L,5,0.15001500150015
46,6,4,1,1,2,:1O:1O:1O:1O:1O,1O:1O:1O:2O,1O,,1L:1L,5,0.15001500150015
47,8,4,0,1,1,::::1O:1O:1O:2O,::1O:1O,,,1L,5,0.15001500150015
48,7,4,0,1,1,::::1O:1O:1O,:1O:1O:1O,,,1L,5,0.15001500150015
49,6,4,1,1,2,1O:1O:1O:1O:1O:2O,1O:1O:1O:2O,1O,,1L:1L,5,0.15001500150015
50,6,3,1,1,1,::1O:1O:1O:1O,:1O:1O,,,1L,5,0.15001500150015
51,6,3,0,1,2,1O:1O:1O:1O:2O:2O,1O:1O:2O,,,1L:1L,4,0.12001200120012
52,6,4,0,1,1,::1O:1O:1O:1O,::1O:2O,,,1L,4,0.12001200120012
53,7,5,0,1,1,::::1O:1O:1O,:1O:1O:1O:1O,,,1L,4,0.12001200120012
54,6,3,0,1,1,:::1O:1O:2O,:1O:3O,,,1L,4,0.12001200120012
55,7,3,0,1,1,:::1O:1O:1O:1O,:1O:2O,,,1L,4,0.12001200120012
56,6,3,0,1,1,:::1O:1O:2O,:1O:2O,,,1L,4,0.12001200120012
57,5,3,0,2,2,1O:1O:1O:1O:1O,1O:1O:2O,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,4,0.12001200120012
58,7,3,1,1,1,::::1O:1O:1O,::1O,1O,,1L,4,0.12001200120012
59,6,3,0,1,1,::1O:1O:1O:1O,1O:1O:2O,,,1L,4,0.12001200120012
60,7,2,0,1,1,:::1O:1O:1O:1O,1O:1O,,,1L,4,0.12001200120012
61,7,4,0,1,2,:1O:1O:1O:1O:1O:2O,1O:1O:1O:2O,,,1L:1L,4,0.12001200120012
62,6,4,0,1,1,:1O:1O:1O:1O:1O,:1O:1O:2O,,,1L,4,0.12001200120012
63,6,3,1,1,1,:::1O:1O:1O,:1O:1O,1O1S,,1L,4,0.12001200120012
64,5,3,0,1,1,::1O:1O:1O,:1O:1O,,,1L,4,0.12001200120012
65,7,2,1,1,1,::::1O:1O:1O,:1O,,,1L,4,0.12001200120012
66,5,4,1,1,2,::1O:1O:1O,:1O:1O:1O,2O1S,,1L:1L,4,0.12001200120012
