,num_dol,num_toluene,num_tfsi,num_ps,num_li,atoms_dol,atoms_toluene,atoms_tfsi,atoms_ps,atoms_li,count,%
0,5,1,1,1,2,1O:1O:1O:1O:1O,,2O1S,,1L:1L,16,0.48004800480048
1,4,1,1,1,2,1O:1O:1O:1O,,1N3O2S,,1L:1L,15,0.45004500450045
2,4,1,2,1,2,1O:1O:1O:1O,,1O:1O1S,,1L:1L,12,0.36003600360036
3,4,1,2,1,2,1O:1O:1O:2O,,1O:2O1S,,1L:1L,11,0.33003300330033
4,4,1,2,1,2,1O:1O:1O:1O,,1O:2O1S,,1L:1L,11,0.33003300330033
5,5,0,1,1,2,1O:1O:1O:1O:1O,,2O1S,,1L:1L,11,0.33003300330033
6,4,1,2,1,2,1O:1O:1O:1O,,1O:1O,,1L:1L,11,0.33003300330033
7,5,1,1,1,2,1O:1O:1O:1O:1O,,1O,,1L:1L,11,0.33003300330033
8,5,1,1,1,2,1O:1O:1O:1O:1O,,1O1S,,1L:1L,11,0.33003300330033
9,6,0,1,1,2,1O:1O:1O:1O:1O:1O,,1O,,1L:1L,10,0.3000300030003
10,5,0,2,1,2,1O:1O:1O:1O:1O,,1O:1O1S,,1L:1L,10,0.3000300030003
11,4,0,2,1,2,1O:1O:1O:1O,,1O:2O1S,,1L:1L,10,0.3000300030003
12,4,1,2,1,2,1O:1O:1O:2O,,1O:1O,,1L:1L,10,0.3000300030003
13,5,0,2,1,2,1O:1O:1O:1O:1O,,1O:2O1S,,1L:1L,9,0.27002700270027
14,5,1,1,1,2,1O:1O:1O:1O:2O,,2O1S,,1L:1L,9,0.27002700270027
15,5,1,1,1,2,1O:1O:1O:1O:1O,,2O,,1L:1L,9,0.27002700270027
16,5,1,1,1,2,1O:1O:1O:1O:2O,,1O,,1L:1L,9,0.27002700270027
17,5,0,2,1,2,:1O:1O:1O:2O,,1O:2O1S,,1L:1L,9,0.27002700270027
18,4,3,0,1,1,:1O:1O:1O,::,,,1L,9,0.27002700270027
19,5,0,1,1,2,1O:1O:1O:1O:2O,,1O1S,,1L:1L,9,0.27002700270027
20,4,0,2,1,2,1O:1O:1O:2O,,1O:2O1S,,1L:1L,8,0.24002400240024
21,5,0,1,1,2,1O:1O:1O:1O:2O,,2O1S,,1L:1L,8,0.24002400240024
22,6,1,0,1,2,1O:1O:1O:1O:1O:2O,,,,1L:1L,8,0.24002400240024
23,5,2,0,1,1,::1O:1O:1O,:,,,1L,8,0.24002400240024
