,num_dol,num_tpe,num_tfsi,num_ps,num_li,atoms_dol,atoms_tpe,atoms_tfsi,atoms_ps,atoms_li,count,%
0,4,0,2,1,2,1O:1O:1O:1O,,1O:2O,,1L:1L,41,1.23012301230123
1,4,0,2,1,2,1O:1O:1O:1O,,1O:1O,,1L:1L,33,0.99009900990099
2,5,0,2,1,2,:1O:1O:1O:1O,,1O:2O,,1L:1L,24,0.7200720072007201
3,5,0,1,1,2,:1O:1O:1O:1O,,1O,,1L:1L,23,0.6900690069006901
4,4,0,3,1,2,1O:1O:1O:1O,,:1O:1O,,1L:1L,20,0.6000600060006
5,3,0,3,1,2,1O:1O:1O,,:1N2O2S:1O,,1L:1L,20,0.6000600060006
6,5,0,2,1,2,1O:1O:1O:1O:1O,,1O:1O,,1L:1L,19,0.57005700570057
7,4,0,3,1,2,1O:1O:1O:1O,,:1O:2O,,1L:1L,18,0.54005400540054
8,4,0,2,1,2,:1O:1O:1O,,1O:2O,,1L:1L,17,0.51005100510051
9,4,0,3,1,2,1O:1O:1O:1O,,1O:1O:1O,,1L:1L,17,0.51005100510051
10,4,0,2,1,2,1O:1O:1O:1O,,1O:1O1S,,1L:1L,16,0.48004800480048
11,5,0,1,1,2,1O:1O:1O:1O:1O,,1O,,1L:1L,16,0.48004800480048
12,5,0,2,1,2,:1O:1O:1O:1O,,1O:1O,,1L:1L,15,0.45004500450045
13,5,0,2,1,2,1O:1O:1O:1O:1O,,1O:2O,,1L:1L,14,0.42004200420042
14,5,0,2,1,2,:1O:1O:1O:1O,,1O:2O1S,,1L:1L,14,0.42004200420042
15,4,0,1,1,2,1O:1O:1O:1O,,1O,,1L:1L,14,0.42004200420042
16,4,1,2,1,2,1O:1O:1O:1O,,1O:1O,,1L:1L,14,0.42004200420042
17,5,0,2,1,2,:1O:1O:1O:2O,,1O:1O,,1L:1L,14,0.42004200420042
18,5,0,2,1,2,::1O:1O:1O,,1O:2O,,1L:1L,13,0.39003900390039
19,4,0,2,1,2,1O:1O:1O:2O,,1O:1O,,1L:1L,13,0.39003900390039
20,4,0,3,1,2,:1O:1O:1O,,1O:1O:1O,,1L:1L,11,0.33003300330033
21,5,0,2,1,2,1O:1O:1O:1O:2O,,1O:1O,,1L:1L,11,0.33003300330033
22,5,0,1,1,2,1O:1O:1O:1O:1O,,2O,,1L:1L,11,0.33003300330033
23,4,0,3,1,2,:1O:1O:1O,,1O:1O:2O,,1L:1L,11,0.33003300330033
24,5,0,1,1,2,:1O:1O:1O:2O,,1O,,1L:1L,11,0.33003300330033
25,5,0,1,1,2,1O:1O:1O:1O:1O,,3O1S,,1L:1L,10,0.3000300030003
26,5,0,1,1,2,1O:1O:1O:1O:1O,,2O1S,,1L:1L,10,0.3000300030003
27,4,0,2,1,2,1O:1O:1O:1O,,1O:2O1S,,1L:1L,10,0.3000300030003
28,6,0,1,1,2,1O:1O:1O:1O:1O:1O,,1O,,1L:1L,9,0.27002700270027
29,5,0,2,1,2,1O:1O:1O:1O:1O,,1O:2O1S,,1L:1L,9,0.27002700270027
30,4,0,1,1,2,1O:1O:1O:1O,,2O,,1L:1L,9,0.27002700270027
31,5,0,3,1,2,:1O:1O:1O:1O,,1O:1O:1O,,1L:1L,9,0.27002700270027
32,4,0,3,1,2,:1O:1O:1O,,1O:1O:1O1S,,1L:1L,8,0.24002400240024
33,7,0,0,2,2,:1O:1O:1O:1O:1O:1O,,,:::1S:1S:2S:2S:2S,1L:1L,8,0.24002400240024
34,5,0,1,1,2,1O:1O:1O:1O:2O,,1O,,1L:1L,8,0.24002400240024
35,4,0,3,1,2,:1O:1O:1O,,1O:1O:2O1S,,1L:1L,8,0.24002400240024
36,5,0,1,1,2,:1O:1O:1O:1O,,2O,,1L:1L,8,0.24002400240024
37,5,0,1,1,2,1O:1O:1O:1O:2O,,2O,,1L:1L,8,0.24002400240024
38,6,0,1,1,2,:1O:1O:1O:1O:1O,,1O,,1L:1L,8,0.24002400240024
39,6,0,2,1,2,:1O:1O:1O:1O:1O,,1O:1O,,1L:1L,8,0.24002400240024
40,5,0,1,1,2,:1O:1O:1O:1O,,2O1S,,1L:1L,8,0.24002400240024
41,4,0,4,1,2,:1O:1O:1O,,:1O:1O:1O,,1L:1L,8,0.24002400240024
42,4,1,2,1,2,1O:1O:1O:1O,,1O:2O,,1L:1L,8,0.24002400240024
43,4,0,3,1,2,1O:1O:1O:2O,,:1O:2O,,1L:1L,8,0.24002400240024
44,5,0,1,2,2,1O:1O:1O:1O:1O,,1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,8,0.24002400240024
45,3,0,2,1,2,1O:1O:1O,,1O:2O1S,,1L:1L,8,0.24002400240024
46,4,0,2,2,2,:1O:1O:1O,,1O:2O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,7,0.21002100210021
47,4,0,2,1,2,1O:1O:1O:1O,,2O:2O1S,,1L:1L,7,0.21002100210021
48,5,0,3,1,2,::1O:1O:1O,,1O:1O:2O,,1L:1L,7,0.21002100210021
49,5,0,3,1,2,::1O:1O:1O,,1O:1O:1O,,1L:1L,7,0.21002100210021
50,4,0,2,2,2,:1O:1O:1O,,1O:1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,7,0.21002100210021
51,4,0,2,2,2,1O:1O:1O:1O,,1O:2O,1S:1S:1S:1S:2S:3S:3S:3S,1L:1L,7,0.21002100210021
52,5,0,2,1,2,:1O:1O:1O:1O,,1O:1O1S,,1L:1L,7,0.21002100210021
53,4,0,3,1,2,1O:1O:1O:2O,,:1O:1O,,1L:1L,7,0.21002100210021
54,4,0,2,1,2,1O:1O:1O:1O,,1N1O1S:1O,,1L:1L,7,0.21002100210021
55,4,0,3,1,2,1O:1O:1O:2O,,1O:1O:1O,,1L:1L,7,0.21002100210021
56,4,0,3,1,2,1O:1O:1O:1O,,1O:1O:2O,,1L:1L,7,0.21002100210021
57,4,0,2,1,2,1O:1O:1O:1O,,1O1S:2O,,1L:1L,6,0.18001800180018
58,6,0,1,1,1,:::1O:1O:1O,,1O,,1L,6,0.18001800180018
59,4,0,1,2,2,1O:1O:1O:1O,,1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,6,0.18001800180018
60,5,0,1,2,2,:1O:1O:1O:1O,,1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,6,0.18001800180018
61,3,0,3,1,2,1O:1O:1O,,1O:1O:2O,,1L:1L,6,0.18001800180018
62,4,0,3,1,2,:1O:1O:2O,,1O:1O:2O,,1L:1L,6,0.18001800180018
63,5,0,1,2,2,:1O:1O:1O:1O,,1O,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,6,0.18001800180018
64,4,0,1,1,2,1O:1O:1O:1O,,2O1S,,1L:1L,6,0.18001800180018
65,6,0,1,1,2,::1O:1O:1O:1O,,1O,,1L:1L,6,0.18001800180018
66,4,0,1,1,2,1O:1O:1O:2O,,1O,,1L:1L,6,0.18001800180018
67,5,0,1,2,2,:1O:1O:1O:1O,,1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,6,0.18001800180018
68,4,0,3,1,2,1O:1O:1O:1O,,:1N1O1S:1O,,1L:1L,6,0.18001800180018
69,6,0,1,1,2,:1O:1O:1O:1O:1O,,3O1S,,1L:1L,6,0.18001800180018
70,4,0,2,1,2,:1O:1O:2O,,1O:2O,,1L:1L,6,0.18001800180018
71,4,0,2,2,2,1O:1O:1O:1O,,1O:1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,6,0.18001800180018
72,6,0,1,1,2,::1O:1O:1O:1O,,2O,,1L:1L,5,0.15001500150015
73,5,0,3,1,2,:1O:1O:1O:1O,,1O:1O:2O,,1L:1L,5,0.15001500150015
74,6,0,0,1,1,::1O:1O:1O:1O,,,,1L,5,0.15001500150015
75,5,0,1,2,2,1O:1O:1O:1O:1O,,1O,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,5,0.15001500150015
76,4,1,1,2,2,1O:1O:1O:1O,,2O1S,:::1S:1S:2S:2S:2S,1L:1L,5,0.15001500150015
77,3,0,2,2,2,1O:1O:1O,,1O:1O,3S:3S:3S:4S:4S:4S:5S:5S,1L:1L,5,0.15001500150015
78,4,0,2,1,2,:1O:1O:1O,,1O1S:2O,,1L:1L,5,0.15001500150015
79,4,0,2,1,2,:1O:1O:1O,,1O:1O,,1L:1L,5,0.15001500150015
80,4,0,1,2,2,1O:1O:1O:1O,,2O1S,:::1S:1S:2S:2S:2S,1L:1L,5,0.15001500150015
81,5,0,3,1,2,:1O:1O:1O:1O,,:1O:1O,,1L:1L,5,0.15001500150015
82,4,0,3,1,2,:1O:1O:1O,,:1O:2O,,1L:1L,5,0.15001500150015
83,4,0,3,1,2,1O:1O:1O:2O,,:1O:2O1S,,1L:1L,5,0.15001500150015
84,5,0,0,2,2,1O:1O:1O:1O:2O,,,2S:3S:3S:3S:3S:3S:3S:4S,1L:1L,5,0.15001500150015
85,6,0,0,2,2,:1O:1O:1O:1O:1O,,,:::1S:1S:2S:2S:2S,1L:1L,5,0.15001500150015
86,5,0,2,1,2,:1O:1O:1O:1O,,1N1O1S:1O,,1L:1L,5,0.15001500150015
87,4,0,1,2,2,1O:1O:1O:1O,,1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,5,0.15001500150015
88,5,0,1,2,2,:1O:1O:1O:1O,,1N1O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,5,0.15001500150015
89,3,0,3,1,2,1O:1O:1O,,1O:1O:1O,,1L:1L,5,0.15001500150015
90,4,0,3,1,2,1O:1O:1O:1O,,:1O:2O1S,,1L:1L,5,0.15001500150015
91,4,0,2,1,2,1O:1O:1O:1O,,1N2O2S:1O,,1L:1L,5,0.15001500150015
92,5,0,0,2,2,1O:1O:1O:1O:1O,,,2S:3S:4S:4S:4S:4S:4S:4S,1L:1L,5,0.15001500150015
93,5,0,1,1,1,:::1O:1O,,2O1S,,1L,5,0.15001500150015
94,4,0,2,1,2,1O:1O:1O:1O,,2O:2O,,1L:1L,5,0.15001500150015
95,4,1,1,2,2,1O:1O:1O:1O,,1O,:::1S:1S:2S:2S:2S,1L:1L,5,0.15001500150015
96,6,0,1,1,2,1O:1O:1O:1O:1O:1O,,2O,,1L:1L,5,0.15001500150015
97,4,0,2,1,2,1O:1O:1O:1O,,1N2O1S:1O,,1L:1L,5,0.15001500150015
98,4,0,2,1,2,1O:1O:1O:2O,,1O:2O,,1L:1L,5,0.15001500150015
99,3,0,3,1,2,1O:1O:1O,,1O:1O:2O1S,,1L:1L,5,0.15001500150015
100,4,0,2,1,2,1O:1O:1O:1O,,:1O,,1L:1L,5,0.15001500150015
101,4,0,2,1,2,1O:1O:1O:1O,,1O:3O1S,,1L:1L,5,0.15001500150015
102,4,0,1,2,2,1O:1O:1O:2O,,1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,4,0.12001200120012
103,6,0,1,1,2,:1O:1O:1O:1O:2O,,1O,,1L:1L,4,0.12001200120012
104,4,0,2,2,2,:1O:1O:1O,,1O:1O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,4,0.12001200120012
105,5,0,2,1,2,:1O:1O:1O:1O,,1O1S:2O,,1L:1L,4,0.12001200120012
106,5,0,2,2,2,:1O:1O:1O:1O,,1O:2O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,4,0.12001200120012
107,5,0,1,1,2,:1O:1O:1O:1O,,1N3O2S,,1L:1L,4,0.12001200120012
108,4,0,2,2,2,1O:1O:1O:1O,,:2O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,4,0.12001200120012
109,5,0,1,2,2,:1O:1O:1O:1O,,1O,1S:1S:2S:2S:3S:3S:3S:3S,1L:1L,4,0.12001200120012
110,4,0,3,1,2,:1O:1O:2O,,1O:1O:2O1S,,1L:1L,4,0.12001200120012
111,5,0,2,1,2,:1O:1O:1O:2O,,1O:2O,,1L:1L,4,0.12001200120012
112,6,0,1,2,2,:1O:1O:1O:1O:1O,,1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,4,0.12001200120012
113,4,0,3,1,2,:1O:1O:1O,,1O:2O:2O1S,,1L:1L,4,0.12001200120012
114,5,0,2,1,2,:1O:1O:1O:2O,,1O:2O1S,,1L:1L,4,0.12001200120012
115,6,0,1,1,2,1O:1O:1O:1O:1O:2O,,1O,,1L:1L,4,0.12001200120012
116,4,0,1,2,2,1O:1O:1O:1O,,1O,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,4,0.12001200120012
117,3,0,2,2,2,1O:1O:1O,,1O:1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,4,0.12001200120012
118,3,0,2,2,2,1O:1O:1O,,1O:1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,4,0.12001200120012
119,3,0,3,1,2,1O:1O:2O,,:1N2O2S:1O,,1L:1L,4,0.12001200120012
120,5,0,2,1,2,:1O:1O:1O:1O,,1O:3O1S,,1L:1L,4,0.12001200120012
121,5,0,1,1,2,1O:1O:1O:1O:2O,,2O1S,,1L:1L,4,0.12001200120012
122,4,0,3,1,2,:1O:1O:1O,,1O:1O1S:2O,,1L:1L,4,0.12001200120012
123,3,0,2,2,2,1O:1O:1O,,1O:2O1S,3S:3S:3S:4S:4S:4S:5S:5S,1L:1L,4,0.12001200120012
124,4,0,2,2,2,:1O:1O:1O,,1O:2O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,4,0.12001200120012
125,5,0,1,2,2,:1O:1O:1O:1O,,1O,3S:3S:3S:3S:4S:4S:5S:5S,1L:1L,4,0.12001200120012
126,4,0,3,1,2,1O:1O:1O:1O,,:1N2O1S:1O,,1L:1L,4,0.12001200120012
127,5,0,2,1,2,1O:1O:1O:1O:1O,,1O:1O1S,,1L:1L,4,0.12001200120012
128,5,0,0,2,2,1O:1O:1O:1O:1O,,,:::1S:1S:2S:2S:2S,1L:1L,4,0.12001200120012
129,4,0,1,1,2,:1O:1O:1O,,2O1S,,1L:1L,4,0.12001200120012
130,4,0,2,1,2,:1O:1O:1O,,1N2O2S:1O,,1L:1L,4,0.12001200120012
131,4,0,2,1,2,1O:1O:1O:1O,,1N1O:1O,,1L:1L,4,0.12001200120012
132,4,0,2,2,2,1O:1O:1O:1O,,:1O,::1S:1S:2S:2S:2S:2S,1L:1L,4,0.12001200120012
133,5,0,0,2,2,1O:1O:1O:1O:1O,,,2S:3S:3S:3S:3S:3S:4S:4S,1L:1L,4,0.12001200120012
134,4,0,1,1,2,1O:1O:1O:2O,,2O1S,,1L:1L,4,0.12001200120012
135,3,1,3,1,2,:1O:1O,,1O:1O:2O,,1L:1L,4,0.12001200120012
136,3,0,4,1,2,1O:1O:1O,,:1O:2O:2O1S,,1L:1L,4,0.12001200120012
137,4,0,1,1,2,1O:1O:1O:1O,,,,1L:1L,4,0.12001200120012
138,4,0,3,1,2,1O:1O:1O:1O,,1O:1O:2O1S,,1L:1L,4,0.12001200120012
139,4,0,2,1,2,1O:1O:1O:1O,,1O1S:3O1S,,1L:1L,4,0.12001200120012
140,3,0,4,1,2,1O:1O:1O,,:1O:1O:1O,,1L:1L,4,0.12001200120012
141,5,1,2,1,2,:1O:1O:1O:1O,,1O:1O,,1L:1L,4,0.12001200120012
142,6,0,2,1,2,::1O:1O:1O:2O,,1O:1O,,1L:1L,4,0.12001200120012
143,4,0,2,1,2,1O:1O:1O:2O,,1N3O2S:1O,,1L:1L,4,0.12001200120012
144,6,0,2,1,2,::1O:1O:1O:1O,,1O:1O,,1L:1L,4,0.12001200120012
145,5,0,2,1,1,:::1O:1O,,:1O,,1L,4,0.12001200120012
146,6,0,2,1,2,:1O:1O:1O:1O:1O,,1O:2O,,1L:1L,4,0.12001200120012
147,7,0,0,2,2,::1O:1O:1O:1O:2O,,,:::1S:1S:2S:2S:2S,1L:1L,4,0.12001200120012
148,4,0,2,2,2,1O:1O:1O:1O,,:1O,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,4,0.12001200120012
149,4,0,2,2,2,1O:1O:1O:1O,,:1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,4,0.12001200120012
150,3,1,2,1,2,1O:1O:1O,,:2O,,1L:1L,4,0.12001200120012
151,5,0,2,2,2,::1O:1O:1O,,1O:2O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,4,0.12001200120012
152,5,0,2,1,2,1O:1O:1O:1O:1O,,1N2O2S:1O,,1L:1L,4,0.12001200120012
153,5,0,1,2,2,::1O:1O:1O,,2O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,4,0.12001200120012
154,5,0,2,1,2,::1O:1O:2O,,1O:2O,,1L:1L,4,0.12001200120012
155,5,0,2,2,2,:1O:1O:1O:1O,,:2O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,4,0.12001200120012
156,5,0,2,1,2,1O:1O:1O:1O:1O,,:1O,,1L:1L,4,0.12001200120012
157,5,0,1,2,2,1O:1O:1O:1O:1O,,1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,4,0.12001200120012
158,5,1,1,2,2,:1O:1O:1O:1O,,2O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,3,0.09000900090009
159,4,0,2,2,2,:1O:1O:1O,,:2O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,3,0.09000900090009
160,4,0,1,1,2,:1O:1O:1O,,1O,,1L:1L,3,0.09000900090009
161,4,0,3,1,2,1O:1O:1O:1O,,1O:1O:1O1S,,1L:1L,3,0.09000900090009
162,6,0,0,2,2,::1O:1O:1O:1O,,,:::1S:1S:2S:2S:2S,1L:1L,3,0.09000900090009
163,4,0,1,1,2,1O:1O:1O:1O,,1O1S,,1L:1L,3,0.09000900090009
164,4,0,3,1,2,:1O:1O:1O,,1O:2O:2O,,1L:1L,3,0.09000900090009
165,4,0,1,1,2,1O:1O:1O:1O,,1N2O1S,,1L:1L,3,0.09000900090009
166,5,0,2,2,2,::1O:1O:2O,,1O:1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,3,0.09000900090009
167,6,0,1,1,2,:1O:1O:1O:1O:2O,,2O,,1L:1L,3,0.09000900090009
168,5,0,3,1,2,1O:1O:1O:1O:1O,,:1O:1O,,1L:1L,3,0.09000900090009
