,num_dol,num_tte,num_tfsi,num_ps,num_li,atoms_dol,atoms_tte,atoms_tfsi,atoms_ps,atoms_li,count,%
0,5,0,2,1,2,:1O:1O:1O:1O,,1O:2O1S,,1L:1L,21,0.6300630063006301
1,5,0,2,1,2,1O:1O:1O:1O:1O,,1O:2O1S,,1L:1L,18,0.54005400540054
2,5,0,2,1,2,1O:1O:1O:1O:1O,,1O:2O,,1L:1L,18,0.54005400540054
3,5,0,2,1,2,1O:1O:1O:1O:1O,,1O:1O,,1L:1L,17,0.51005100510051
4,4,0,2,1,2,1O:1O:1O:1O,,1O:2O1S,,1L:1L,16,0.48004800480048
5,5,0,2,1,2,:1O:1O:1O:1O,,1O:1O1S,,1L:1L,15,0.45004500450045
6,5,0,2,1,2,:1O:1O:1O:1O,,1O:1O,,1L:1L,15,0.45004500450045
7,6,0,2,1,2,:1O:1O:1O:1O:1O,,1O:2O1S,,1L:1L,15,0.45004500450045
8,6,0,2,1,2,:1O:1O:1O:1O:1O,,1O:1O,,1L:1L,15,0.45004500450045
9,5,0,2,1,2,1O:1O:1O:1O:2O,,1O:1O,,1L:1L,15,0.45004500450045
10,4,0,2,1,2,1O:1O:1O:1O,,1O:2O,,1L:1L,14,0.42004200420042
11,6,0,1,1,2,:1O:1O:1O:1O:1O,,1O,,1L:1L,11,0.33003300330033
12,6,0,1,1,2,1O:1O:1O:1O:1O:1O,,1O,,1L:1L,10,0.3000300030003
13,5,0,2,1,2,1O:1O:1O:1O:1O,,1O:1O1S,,1L:1L,10,0.3000300030003
14,3,0,2,1,2,1O:1O:1O,,2O1S:2O1S,,1L:1L,10,0.3000300030003
15,5,0,1,1,2,1O:1O:1O:1O:1O,,2O1S,,1L:1L,10,0.3000300030003
16,6,0,1,1,2,:1O:1O:1O:1O:1O,,2O1S,,1L:1L,10,0.3000300030003
17,4,0,2,1,2,:1O:1O:1O,,2O1S:2O1S,,1L:1L,10,0.3000300030003
18,4,0,3,1,2,1O:1O:1O:1O,,1O:1O:1O1S,,1L:1L,10,0.3000300030003
