,num_dol,num_ttfp,num_tfsi,num_ps,num_li,atoms_dol,atoms_ttfp,atoms_tfsi,atoms_ps,atoms_li,count,%
0,2,2,1,1,2,1O:1O,2O:3O,1O,,1L:1L,18,0.54005400540054
1,3,2,0,1,1,:1O:1O,:2O,,,1L,18,0.54005400540054
2,4,2,0,1,1,::1O:1O,:2O,,,1L,18,0.54005400540054
3,1,2,2,1,2,1O,2O:3O,1O:1O,,1L:1L,17,0.51005100510051
4,2,2,1,1,2,1O:1O,2O:2O,1O,,1L:1L,17,0.51005100510051
5,2,2,0,1,1,:1O,:2O,,,1L,15,0.45004500450045
6,3,3,0,1,1,:1O:1O,::2O,,,1L,14,0.42004200420042
7,2,3,0,1,1,:1O,::2O,,,1L,13,0.39003900390039
8,4,1,0,2,1,::1O:1O,,,1S:1S:1S:2S:3S:3S:3S:3S,1L,11,0.33003300330033
9,3,2,0,1,1,::1O,:2O,,,1L,10,0.3000300030003
10,2,2,0,2,2,1O:1O,2O:3O,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,10,0.3000300030003
11,4,1,1,1,2,1O:1O:1O:1O,2O,1O,,1L:1L,9,0.27002700270027
12,5,2,0,1,1,:::1O:1O,:2O,,,1L,9,0.27002700270027
13,2,2,1,1,2,1O:1O,2O:3O,2O1S,,1L:1L,9,0.27002700270027
14,1,2,2,1,2,1O,2O:3O,1O:2O1S,,1L:1L,9,0.27002700270027
15,2,2,1,1,2,1O:1O,3O:3O,1O,,1L:1L,9,0.27002700270027
16,3,2,0,2,2,:1O:1O,2O:3O,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,9,0.27002700270027
17,3,1,1,2,2,:1O:1O,2O,1O,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,8,0.24002400240024
18,4,1,1,1,2,:1O:1O:1O,3O,1O,,1L:1L,8,0.24002400240024
19,3,2,1,1,2,:1O:1O,2O:2O,1O,,1L:1L,8,0.24002400240024
20,3,1,1,1,2,1O:1O:1O,3O,1O,,1L:1L,8,0.24002400240024
21,2,4,0,1,1,:1O,:::2O,,,1L,8,0.24002400240024
22,2,2,0,1,2,1O:1O,2O:2O,,,1L:1L,8,0.24002400240024
23,4,1,1,1,2,1O:1O:1O:1O,3O,1O,,1L:1L,8,0.24002400240024
24,3,1,1,1,2,1O:1O:1O,2O,1O,,1L:1L,8,0.24002400240024
25,2,3,1,1,1,:1O,::2O,,,1L,8,0.24002400240024
26,2,2,1,2,2,1O:1O,:2O,1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,8,0.24002400240024
27,5,0,2,1,2,:1O:1O:1O:1O,,1O:2O1S,,1L:1L,8,0.24002400240024
28,2,2,0,1,1,:1O,:3O,,,1L,7,0.21002100210021
29,2,2,1,1,2,:1O,2O:3O,2O,,1L:1L,7,0.21002100210021
