,r ($\AA$),g_full(r),O (DOL),O (DOL),O (DMI),N (DMI),N (DMI),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.5750000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.7250000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.8250000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.925,4.514404621945158e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.975,0.0205606006542442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,1.025,1.33682248384305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,1.075,7.707729384436056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1.125,4.759327775091197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1.175,0.3405871043914567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,1.225,0.3918710633826446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,1.275,0.3648556277285338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1.3250000000000002,1.3879284936272056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,1.375,1.7505328534268996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1.425,2.1489895962214534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1.475,1.3353271199089236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,1.525,0.688840926726423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1.5750000000000002,0.3511092979885824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,1.625,0.1724309111449991,0.0,0.008768278319412,0.0136351653865912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,1.675,0.4517184728266396,0.1237897564339919,0.1072844555761263,0.693000092648002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1.725,0.9019480001082044,1.0738059398493174,1.2060863817148135,11.942904284983587,0.0,0.0,0.0,0.0,0.124259817788583,0.0,0.041419939262861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1.775,1.1112573943926882,4.3947186058031225,4.916499577395132,55.79223341326279,0.0,0.0,0.0,0.430313841360604,0.3520749611132214,0.6259110419790603,0.6259110419790603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1.825,0.8480403786559045,8.849746308390763,8.759371837056058,103.61929143617289,0.0,0.0,0.0,1.6652432173743936,1.9612864560187304,1.9242810511881885,2.0723026705103567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1.875,0.4158213549698515,9.865948718496478,10.485040293622424,109.79129539235738,0.0,0.0,0.0,3.050064581741617,3.3655885039907485,3.47076314474046,4.1368692028219645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,1.925,0.3220592398297134,10.334868177745552,9.9224731960459,79.32654070045426,0.0,0.0,0.0,5.720850851027745,6.020197697883849,5.421504004171643,5.787372372551325,0.9171906755523695,0.0,0.0,0.0,0.0,1.048217914916994,0.0,0.0,0.0
39,1.975,0.6143608935351804,7.954313854358139,7.966185964588524,46.80065889516054,0.0,0.0,0.0,5.118888635642733,5.7824482735964144,5.750850195598623,4.581721309680223,9.211318495114687,0.0,0.0,0.0,0.0,9.584750325997714,0.0,0.0,0.0
40,2.025,1.1187024908344478,5.341636577632396,5.488446885262883,22.583967931558075,0.0,0.0,0.0300570215622183,5.470377924323739,5.259978773388212,3.6970136521528594,4.38832514808388,31.969741116177744,0.1184064485784361,0.0,0.0,0.1184064485784361,32.324960461913065,0.0,0.0,0.0
41,2.075,1.561076915774687,3.468628745165432,3.662226628616524,10.787825131031353,0.0,0.0,0.0,4.122145703020213,4.007641655714099,4.7232919513773295,4.723291951377328,59.88041201167623,0.2255382749968972,0.1127691374984486,0.0,0.0,57.399490986710326,0.0,0.0,0.0
42,2.125,1.6918963639070734,2.476649481307749,2.31769268230042,4.712495832085939,0.0,0.0,0.0,2.756776326605527,3.2480829986738367,2.838660771950245,2.9751348475247745,80.106146784202,1.0752502924053955,0.0,0.1075250292405395,0.9677252631648562,77.52554608242905,0.0,0.0,0.0
43,2.1750000000000003,1.5251584571900791,1.6641657843990982,1.360700259008675,2.359529703035656,0.0,0.0,0.0,1.9019682978440025,2.657544744932716,1.7195877761329337,2.3448924219994547,76.67087646477006,1.0263838884172698,0.4105535553669079,0.1026383888417269,0.9237454995755428,67.22814469133117,0.0,0.0,0.0
44,2.225,1.2462506888399596,0.9634833938408768,0.921389459158508,1.0982470468988843,0.0,0.0,0.0,1.3942086810351608,1.7925540184737776,1.3693120974452473,1.892140352833432,59.6310899074779,3.0404009656773283,0.784619604045762,0.6865421535400417,1.6673166585972443,53.55028797612327,0.0,0.0,0.0
45,2.275,1.123269197347876,0.7158054804499555,0.5950133056240255,0.5913437971919443,0.0,0.0,0.0,1.095457694888605,1.2859720766083622,1.0240148017436963,0.9763862063137566,46.71932224445869,3.7525560035709806,1.4072085013391176,1.0319529009820196,4.221625504017354,41.74718553972716,0.0,0.0,0.0
46,2.325,0.9519839406176732,0.449761179188031,0.4069267811701232,0.2331346337064551,0.0,0.0,0.0,0.6384302276884459,1.026048580213573,0.7980377846105572,0.8664410232914618,34.31217002922967,5.928280685678427,1.6168038233668431,1.0778692155778953,4.940233904732024,25.06045926218607,0.0,0.0,0.0
47,2.375,0.5927079039942654,0.2627193286497077,0.2832442762004661,0.1276697861134814,0.0,0.0,0.0,0.5681305482049928,0.6992375977907603,0.5681305482049928,0.8084934724455667,20.745373048091384,6.025627026416592,1.807688107924976,1.0329646330999869,5.939546640324925,18.16296146534142,0.0,0.0,0.0
48,2.4250000000000003,0.5035276268989873,0.2401852222824456,0.2362477596220777,0.0551067807837565,0.0,0.0,0.0,0.4611071657033989,0.523985415572044,0.4401477490805171,0.3143912493432266,12.55024462024678,7.018228899480116,2.229319768070153,2.311887166887567,7.348498494749767,9.082413869915442,0.082567398817413,0.082567398817413,0.0
49,2.475,0.6793895017110724,0.1133995673821931,0.181439307811509,0.0235123597388697,0.0,0.0,0.0,0.3219384641168313,0.3420596181241332,0.3621807721314352,0.402423080146039,8.560636432197569,8.16431067144768,1.9816288037494345,1.2682424343996388,6.6582727805981055,7.450924302097882,0.0,0.0792651521499774,0.0533826534887603
50,2.5250000000000004,0.7946416863827545,0.0907942556339587,0.0907942556339587,0.0451808538597389,0.0,0.0,0.0193321922765229,0.4446404223600265,0.2513184995947977,0.5219691914661181,0.2126541150417518,4.493270144270625,8.910383167451915,2.513184995947978,2.1323993905013148,6.701826655861269,4.569427265359958,0.1523142421786653,0.2284713632679979,0.0
51,2.575,0.7840766564748969,0.108255233608234,0.104763129298291,0.0217216735503872,0.0,0.0,0.0,0.334597317574234,0.2230648783828227,0.3160085777089989,0.2788310979785284,2.4897645516466573,7.542522024106057,2.4897645516466573,2.1968510749823444,7.688978762438211,3.3685049816395947,0.2929134766643126,0.0732283691660781,0.0246585324742916
52,2.625,0.7729893916649697,0.0672068545028823,0.0772878826783147,0.0052255217208982,0.0,0.0,0.0,0.0357747256276881,0.3040851678353492,0.250423079393817,0.2683104422076611,2.2548917971391327,7.751190552665763,2.748149377763317,2.4662879031209264,7.398863709362779,1.6911688478543494,0.2818614746423916,0.0,0.0
53,2.6750000000000003,0.7658226117028905,0.0614821015360565,0.0711898017785917,0.0050320064178534,0.0,0.0,0.0,0.2583741756859382,0.2239242855944797,0.1550245054115629,0.0688997801829168,1.5606844147494037,8.414124670822861,2.374954544183875,1.8999636353471,7.328431164910233,1.424972726510325,0.3392792205976964,0.2035675323586178,0.0
54,2.725,0.7703812286818026,0.0841925931818933,0.0654831280303614,0.0048490449006966,0.0,0.0,0.0165986536985385,0.1659865369853851,0.1659865369853851,0.1161905758897696,0.2323811517795392,0.6538863578212143,9.154409009497,2.550156795502737,2.3539908881563725,6.931195392904873,1.1116068082960644,0.1961659073463643,0.2615545431284857,0.06605586675949
55,2.7750000000000004,0.8073427151831045,0.0451033556880479,0.0360826845504383,0.0093517669321735,0.0,0.0,0.0,0.1280472703020683,0.3201181757551707,0.208076814240861,0.1440531790898268,1.3241251815327524,7.125054548247663,2.7113039431384927,1.8916074021896463,5.990090106933874,0.4413750605109174,0.3783214804379292,0.5044286405839057,0.0424646559675226
56,2.825,0.8634824420563986,0.0551265329320369,0.0377181541113937,0.0,0.0,0.0,0.0,0.2625540621103167,0.1389992093525206,0.2316653489208677,0.2162209923261432,0.4867312381367726,7.605175595887074,1.9469249525470904,1.825242143012897,6.084140476709663,0.7300968572051588,0.5475726429038692,0.5475726429038692,0.0204874118093284
57,2.875,0.9175621764685076,0.0476230928421901,0.0476230928421901,0.013068809086634,0.0,0.0,0.0149118462655183,0.1789421551862204,0.2236776939827754,0.1789421551862204,0.2087658477172571,0.4699490944284576,7.636672784462442,2.056027288124503,1.4685909200889309,7.989134605283787,0.3524618208213432,0.7636672784462437,0.5286927312320148,0.0
58,2.9250000000000003,0.9659403987615368,0.0703665650968768,0.0514217206477177,0.0,0.0,0.0,0.0432192275565433,0.201689728597202,0.2160961377827164,0.1152512734841154,0.1872833194116876,0.3405151262030685,6.469787397858304,1.6458231099814984,1.4188130258461191,6.753550003027528,0.1702575631015342,0.3972676472369132,0.454020168270758,0.0191105427971109
59,2.975,1.001146500251269,0.0915670454568859,0.0601726298716678,0.0,0.0,0.0,0.0557049630383868,0.2088936113939507,0.2228198521535475,0.2088936113939507,0.2228198521535475,0.1097218968937923,6.747896658968221,2.084716040982052,1.3166627627255068,6.309009071393052,0.4388875875751692,0.768053278256546,0.8777751751503382,0.0
60,3.0250000000000004,1.0248822221311331,0.0683216644972089,0.0733825285340392,0.0118048918432131,0.0078699278954754,0.0039349639477377,0.0808181056958437,0.1885755799569687,0.1885755799569687,0.2424543170875312,0.2424543170875312,0.3714367484000899,6.898111041715951,1.3265598157146072,1.8571837420004496,6.685861471201613,0.0530623926285842,0.5836863189144272,0.5306239262858429,0.0178679485381967
61,3.075,1.039468290318086,0.0661179340657312,0.0759131835569506,0.0038080408134403,0.0076160816268807,0.011424122440321,0.0651760831531139,0.117316949675605,0.2346338993512099,0.1824930328287189,0.117316949675605,0.1540525601800874,6.8296635013172144,2.0540341357345,1.2837713348340622,7.137768621677387,0.1027017067867249,1.129718774653975,0.7189119475070747,0.0
62,3.125,1.0321578674597889,0.0901009993839266,0.0995853151085504,0.007374321889258,0.0184358047231452,0.0110614828338871,0.0378643066236905,0.2019429686596831,0.2398072752833737,0.2650501463658341,0.265050146365834,0.0497208066775735,7.607283421668754,1.839669847070221,1.6905074270375,5.56873034788824,0.099441613355147,0.596649680130882,0.596649680130882,0.0502281618477528
63,3.1750000000000003,0.9744954771110652,0.0964735312686701,0.133225352704354,0.0071438933801947,0.0214316801405841,0.0285755735207789,0.1100434345679995,0.3912655451306649,0.2323139174213322,0.2567680139919989,0.1344975311386661,0.0963343198238379,7.417742626435526,1.445014797357569,1.7821849167410018,5.876393509254117,0.0481671599119189,0.9151760383264608,0.867008878414542,0.016219553847891
64,3.225,0.8831097238471927,0.1269001215984578,0.0890527169111984,0.0069240988879268,0.0588548405473786,0.0865512360990862,0.1422103386981908,0.438481877652755,0.355525846745477,0.3199732620709293,0.2962715389545641,0.093370424397802,6.48924449564725,1.8674084879560435,1.540612002563735,7.0494670420340615,0.0,0.5135373341879115,0.7469633951824167,0.0157205306384054
65,3.2750000000000004,0.8124121961390534,0.1403258340163223,0.1446435519860553,0.00671429401136,0.1007144101704012,0.1141429981931214,0.1838683590803222,0.2758025386204834,0.2758025386204834,0.2643107661779632,0.4251955803732452,0.0905412374259162,7.560193325063999,1.765554129805367,1.6297422736664922,7.062216519221461,0.0452706187129581,0.9054123742591624,0.8601417555462045,0.0457325638018658
66,3.325,0.7840934452516762,0.1864034058555279,0.1717424638219471,0.0097708236474201,0.201930355380017,0.2247289438906641,0.25642148725986,0.3902066110476131,0.3121652888380904,0.4236528919945514,0.4570991729414896,0.0439193588192118,6.148710234689661,2.020290505683747,1.493258199853204,4.611532676017251,0.0,0.8344678175650259,0.5270323058305427,0.0443675155418568
67,3.375,0.7795529567492779,0.2195450136348969,0.1992167716316656,0.0063223116702184,0.3919833235535419,0.3761775443779959,0.1623131938411844,0.4869395815235535,0.324626387682369,0.4652978223447287,0.400372544808255,0.0,5.328463434180302,1.7477360064111378,1.7903637138845805,5.200580311759975,0.0426277074734423,0.6394156121016354,0.8525541494688473,0.0861253681606284
