,r ($\AA$),g_full(r),O (DOL),O (DOL),S (DPS),O (DPS),O (DPS),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.5750000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.7250000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.8250000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.975,0.0224926822285562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,1.025,1.4580212672330743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,1.075,8.251251737048658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1.125,5.089129093612268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1.175,0.3212455342099511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,1.225,0.0041157878454067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,1.275,0.1672550799625026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1.3250000000000002,0.7811843785511147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,1.375,1.3965674863967728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1.425,1.5836258322806498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1.475,1.1242027953380014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,1.525,1.063893187752564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1.5750000000000002,0.6366714594443869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,1.625,0.2342018886589513,0.0,0.0,0.0,0.0349373121460917,0.0174686560730458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,1.675,0.5250775043493812,0.0340232299763991,0.1275871124114967,0.0,0.838511056094329,0.7069799100403165,0.0,0.0452770675839773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1.725,0.9775256328450136,0.8180295410049471,0.9463479003782724,0.0,9.378799639531469,10.820499418831345,0.0,0.0426905310992023,0.0426905310992023,0.0426905310992023,0.1707621243968094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1.775,1.179518122098346,3.188849950684716,3.340339259505841,0.0,41.84439380875133,42.064010991092594,0.0,0.7257503194907511,0.8063892438786123,1.0483060170421965,0.4435140841332367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1.825,0.9964219479519302,5.488495180334658,6.484449266583375,0.0,73.14148149993564,74.15252640610784,0.0,2.212153470153765,2.707980972084781,2.4791375096550814,2.860543280371248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1.875,0.4878991895654533,6.665928149714756,7.100367458861137,0.0,79.22555986596895,81.81042824847901,0.0,5.420048111706033,4.480573105676988,5.781384652486436,5.311647149471914,0.2846893957663774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,1.925,0.3009524012502207,6.124519944869558,6.388563391493794,0.0,59.74001868388136,59.76491554517903,0.0,5.862061749707233,5.553532183933166,8.05604977298947,7.576114892896479,2.160745780505233,0.0,0.0,0.0,0.0,2.2957923917868093,0.0,0.0,0.0
39,1.975,0.52655075287542,4.698738163525504,5.047472636599668,0.0,36.24712548764229,36.50730061349163,0.0,7.001985817000449,5.53645390181431,8.337248228614493,6.936851065214404,10.391953580410812,0.0,0.0,0.0,0.0,11.03343219648556,0.0,0.0,0.0
40,2.025,0.9064885740676036,3.0088174825181406,3.660630941013367,0.0,19.22518073606575,20.080133185416823,0.0,5.266437861083675,5.328395953567013,6.815390173167103,5.514270231017024,33.92674942951231,0.1220386670126342,0.0,0.0,0.0,31.363937422247,0.0,0.0,0.0
41,2.075,1.2992796819936083,1.906683669136073,2.178275238286267,0.0,8.999586553165326,9.42813829379225,0.0,4.484629138068174,4.071571191140844,5.340249170989076,4.6616539724656025,60.78746712465206,0.2324568532491477,0.0,0.1162284266245738,0.5811421331228692,68.57477170849852,0.0,0.0,0.0
42,2.125,1.59764774451856,1.257814137694571,1.4005073381893345,0.0,4.637868550904052,5.066922469710154,0.0281321067642095,3.235192277884097,2.841342783185164,3.966627053753545,3.2914564914125157,71.48112582360528,0.8865876071144831,0.0,0.1108234508893104,0.9974110580037936,78.68465013141045,0.0,0.0,0.0
43,2.1750000000000003,1.6513699908799078,0.7567127135626383,0.8828314991564111,0.0,2.593847720873407,2.691360793086691,0.0,1.9334591918228157,1.9066055919363871,2.175141590800668,2.336263190119236,74.36819677638333,1.6925905382960664,0.1057869086435041,0.4231476345740166,1.586803629652562,70.66565497386068,0.0,0.0,0.0
44,2.225,1.4147485134470357,0.4675960649327547,0.5832899366686942,0.0,1.3976983107763603,1.2765644571757429,0.0256603074491249,1.8732024437861248,1.38565660225275,2.437729207666875,1.59093906184575,52.96909525558767,3.5380120876823877,0.2021721192961363,0.5054302982403409,2.628237550849772,54.88973038890096,0.0,0.0,0.0
45,2.275,1.0040614045646026,0.3227714970672002,0.4103809034140114,0.0,0.6417305295241892,0.6862951496300354,0.0,1.2763307198314418,1.1781514336905616,1.423599649042762,1.1290617906201217,37.70977126774718,4.544510896369529,0.2900751635980549,0.7735337695948133,3.480901963176661,37.22631266175039,0.0,0.0966917211993516,0.0
46,2.325,0.7284841754580196,0.1942528701458141,0.1854231942300952,0.0,0.3754832015109028,0.3840169106361505,0.0,0.8695193159464023,0.7520167056833749,1.198526624682879,1.0340229703146406,22.403831023483857,4.721468521478008,1.203511583906158,1.5738228404926689,4.906624149771265,21.385475067870956,0.0,0.0,0.0
47,2.375,0.6551691216713009,0.1650056285230794,0.1353892336599625,0.0,0.2617020941136709,0.2044547610263053,0.0,0.6981658270369036,0.5630369572878254,0.6306013921623643,0.6306013921623643,16.235938441063478,5.5007004554422725,1.064651701053343,1.7744195017555715,5.855584355793386,15.96977551580015,0.0887209750877785,0.0,0.0
48,2.4250000000000003,0.6958604457729649,0.0852232011457153,0.1339221732289812,0.0,0.2431774555703493,0.0784443405065643,0.0,0.3888425617110003,0.3888425617110003,0.6264685716455006,0.4968543844085005,8.424922170404999,5.9570156760439374,1.616904254926214,1.3616035830957591,5.78681522815697,8.254721722518031,0.1702004478869698,0.2553006718304548,0.0
49,2.475,0.8017087097878105,0.0857106766858859,0.0818147368365274,0.0,0.0602455949889619,0.0677762943625822,0.0,0.2073838750581575,0.414767750116315,0.5806748501628408,0.4355061376221308,4.983497361246029,7.434397702842437,1.7156302391174854,1.4705402049578449,6.944217634523156,5.310284073458884,0.0,0.2450900341596407,0.0
50,2.5250000000000004,0.9104553361316045,0.0486613122237931,0.0673772015406367,0.0,0.0361770821431724,0.0217062492859034,0.0,0.5977567111041107,0.2988783555520553,0.2391026844416442,0.3785792503659366,2.354799164955588,5.965491217887488,2.354799164955588,2.1193192484600294,6.828917578371201,2.747265692448185,0.2354799164955587,0.2354799164955587,0.0
51,2.575,0.9660128899938792,0.0575876412369163,0.0575876412369163,0.013914332310037,0.0278286646200741,0.0834859938602223,0.0191589652576664,0.3257024093803289,0.2490665483496633,0.421497235668661,0.2873844788649961,1.962342502148864,7.170097604005463,1.811393078906644,1.283070097558872,6.943673469142129,2.566140195117746,0.2264241348633303,0.3773735581055506,0.0
52,2.625,0.9855482267751808,0.0380976650331326,0.048487937314896,0.0066946633323838,0.0267786533295355,0.0535573066590711,0.0,0.4055936031219659,0.3871575302527856,0.3687214573836054,0.3134132387760646,1.5977929819956238,6.826933650344939,1.6704199357226976,1.452539074541476,7.117441465253234,1.0894043059061067,0.1452539074541475,0.2905078149082951,0.0
53,2.6750000000000003,0.9836340795025388,0.0400219687890541,0.0633681172493357,0.0773609005643169,0.0193402251410792,0.0257869668547723,0.0,0.3373133625887714,0.3373133625887714,0.3550666974618647,0.2663000230963985,1.1189980768495136,5.4551156246413735,1.6085597354711751,1.3987475960618916,7.133612739915647,0.6294364182278512,0.2098121394092837,0.489561658621662,0.0
54,2.725,0.9509824450916357,0.0449945857543346,0.0321389898245247,0.1304591620474842,0.0496987283990415,0.0372740462992811,0.0171078315065931,0.3763722931450496,0.4790192821846086,0.2052939780791179,0.2908331356120838,0.6739448775324579,6.604659799818089,1.684862193831145,1.819651169337637,5.189375556999929,0.4717614142727205,0.2695779510129831,0.3369724387662289,0.0
55,2.7750000000000004,0.9341044158303732,0.0588834566410611,0.0371895515627754,0.2815532995874552,0.0239619829436132,0.0658954530949363,0.0,0.3299380728389819,0.2309566509872873,0.2474535546292364,0.4454163983326256,0.3249390111293004,7.603572860425629,1.9496340667758028,0.9748170333879014,7.083670442618751,0.2599512089034403,0.3249390111293004,0.3899268133551605,0.0
56,2.825,0.941779479805948,0.0269135934524074,0.0538271869048148,0.4682063129094784,0.0404622739551401,0.0520229236566087,0.031836250716352,0.3024443818053441,0.2706081310889921,0.222853755014464,0.31836250716352,0.564369899062604,6.960562088438782,1.5676941640627886,1.5049863975002773,6.39619218937618,0.3762465993750693,0.3762465993750693,0.5016621325000924,0.0
57,2.875,0.9441349057479536,0.0288729245212561,0.0346475094255073,1.2278251477977764,0.0502292105917271,0.0558102339908079,0.030738559644168,0.2766470367975129,0.3381241560858489,0.3073855964416809,0.4610783946625211,0.1816369433519024,6.357293017316586,1.6347324901671207,1.695278137951088,7.14438643850816,0.1816369433519024,0.5449108300557072,0.6054564778396746,0.0
58,2.9250000000000003,0.9597680139437648,0.0362625596400352,0.0502096979631257,2.372416020455074,0.0862696734710937,0.075485964287207,0.0890900281807256,0.3563601127229024,0.222725070451814,0.4899951549939908,0.222725070451814,0.3509607170755858,7.955109587046616,1.1698690569186192,1.22836250976455,7.370175058587305,0.2924672642296548,0.4679476227674478,0.8189083398430335,0.0
59,2.975,0.9990909819862588,0.067411387422639,0.0323574659628667,4.11759299175512,0.0573335733029194,0.130303575688453,0.0430603200890457,0.3875428808014117,0.344482560712366,0.4449566409201393,0.2727153605639564,0.2827192733119166,6.445999431511701,2.092122622508182,1.5832279305467327,6.728718704823618,0.2827192733119166,0.7916139652733667,0.8481578199357499,0.0
60,3.0250000000000004,1.044963332224424,0.0625933241037442,0.0860658206426483,7.713141041443232,0.166361865599756,0.1008253730907612,0.0416486348844144,0.2637746876012915,0.1943602961272673,0.4720178620233634,0.3331890790753155,0.1093802532317955,6.890955953603121,1.6953939250928296,1.7500840517087275,6.781575700371327,0.1093802532317955,0.6015913927748754,0.9297321524702618,0.0184160630441288
61,3.075,1.0615074218575251,0.0555264990145366,0.0731940214282528,13.29435236055254,0.175631811001795,0.1707531495850784,0.0537403319133697,0.362747240415246,0.4433577382853007,0.4164875723286158,0.4433577382853007,0.1587782533804106,6.298204050756286,1.587782533804107,1.481930364883833,6.9333170642779285,0.0529260844601368,1.1114477736628745,0.8997434358223271,0.0
62,3.125,1.0254784756233568,0.0659829723936442,0.0830896689401446,21.1106465249348,0.2314660281319772,0.1464376912671691,0.0520344352095747,0.468309916886173,0.4162754816765983,0.3642410464670234,0.3122066112574486,0.1024920693521926,7.276936924005684,1.4861350056067937,1.2811508669024083,6.5082464038642405,0.1024920693521926,1.0249206935219266,0.922428624169734,0.0
63,3.1750000000000003,0.9507673088535904,0.0946980369765527,0.0733909786568283,29.942011529944768,0.297452353575792,0.3111809237408285,0.189031850733965,0.4662785651437802,0.3402573313211369,0.4788806885260444,0.3528594547034012,0.1489341854267603,6.354525244875104,1.8368549535967111,1.9857891390234716,6.205591059448345,0.0992894569511735,0.7943156556093884,0.893605112560562,0.0334342048917217
64,3.225,0.8600871478544969,0.1101413816173728,0.0894898725641154,38.18875515840907,0.4257979669230283,0.4346687579005909,0.2442879361513527,0.5496478563405436,0.3297887138043262,0.3664319042270291,0.3664319042270291,0.0962346415141692,5.437257245550561,2.5502180001254837,1.8765755095262997,6.688307585234755,0.0,0.769877132113354,0.9623464151416926,0.0486083138260344
65,3.2750000000000004,0.7866365251321589,0.1290548614942717,0.0845531851169366,38.33481306612033,0.4688090008086078,0.5419260009347208,0.2487301388905512,0.3790173544998876,0.532993154765467,0.532993154765467,0.4737716931248594,0.2332966670690595,5.552460676243619,1.3064613355867336,1.5397580026557929,5.645779343071243,0.2332966670690595,0.8398680014486145,0.9798460016900504,0.031423632707261
66,3.325,0.7491288785832879,0.1187267627040679,0.1122507574656643,31.736960077805065,0.7260361627055064,0.6509289734601095,0.2527966762806613,0.5400656265995947,0.4366488044847787,0.448139562497536,0.4826118365358079,0.0905332449489972,5.65832780931233,1.5843317866074522,2.082264633826937,6.201527279006314,0.0905332449489972,0.8600658270154741,0.8600658270154741,0.1676712648800306
