,r ($\AA$),g_full(r),O (DOL),O (DOL),S (EMS),O (EMS),O (EMS),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.5750000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.7250000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.8250000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.925,2.469126722256586e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.975,0.0251801370015535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,1.025,1.4790048702385223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,1.075,8.204506611288869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1.125,4.9428601457670736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1.175,0.303943196307592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,1.225,0.0042521350883662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,1.275,0.1845501119846897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1.3250000000000002,0.8491717733139188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,1.375,1.5273878940687338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1.425,1.7708098021786678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1.475,1.3558286711647798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,1.525,0.7381965501152067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1.5750000000000002,0.4272091680618554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,1.625,0.1941174057255082,0.0,0.0,0.0,0.011751540151773,0.023503080303546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,1.675,0.5018565842810386,0.0748020792886644,0.0831134214318493,0.0,0.6304472682611284,0.5751448763083978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1.725,1.0294496439195482,0.3526443586739473,0.4231732304087369,0.0,8.280330666012091,7.696327495613262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1.775,1.4146184618707784,1.2730224034196862,1.3026275755922372,0.0,32.168183020366016,32.650804259802,0.0,0.1181929565965683,0.2757835653919929,0.1969882609942806,0.2757835653919929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1.825,1.2666784775990427,2.702510771202406,2.569485629614724,0.0,60.34715169108196,60.49622601979235,0.0,0.8944459722624469,0.6335658970192332,0.7826402257296409,0.6708344791968351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1.875,0.5997490373307501,3.210333224487839,3.1307381858641734,0.0,65.50431873162576,66.43114172944559,0.0,1.5182243392857613,1.094533825996712,0.9179961121262744,1.2710715398671488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,1.925,0.3413085194954036,2.58006712129582,2.479381575098909,0.0,51.30949956148313,50.70654804060394,0.0,1.741859949206544,1.909346482784096,1.6748653357755223,1.306394961904908,1.0556726964888143,0.0,0.0,0.0,0.0,1.0556726964888143,0.0,0.0,0.0
39,1.975,0.5572135927513304,1.763590099092199,1.8173945427933171,0.0,31.73528648274392,33.03206554934892,0.0,1.6866083565659844,1.8138995532879456,1.591139959024514,1.6866083565659844,6.393489653534861,0.0,0.0,0.0,0.0,7.145664906891902,0.0,0.0,0.0
40,2.025,0.8955199091262817,1.1885219264754463,1.3648098677230005,0.0,17.829491165560324,17.99598047186013,0.0,1.3319144503983942,1.604351497070793,1.3621852333619942,1.7859761948523922,26.950169802138326,0.0,0.0,0.0,0.0,21.583985549500163,0.0,0.0,0.0
41,2.075,1.157542701875793,0.9477938018808096,0.8394745102372885,0.0,9.189433751642166,9.46331491443621,0.0,1.3838206120119994,1.239672631594083,1.1820134394269164,1.2108430355104998,44.40631420995578,0.1135711360868433,0.0,0.0,0.0,43.157031713000485,0.0,0.0,0.0
42,2.125,1.2775409152433703,0.5628875254798489,0.4854259394046403,0.0,4.810563114721928,4.982368940247709,0.0,1.2095130117015127,1.0720683512808864,0.714712234187258,0.7971790304396337,55.44434301573878,0.1082897324526148,0.0,0.0,0.2165794649052296,59.01790418667508,0.0,0.0,0.0
43,2.1750000000000003,1.276110987223781,0.3844943705647503,0.4042120305937117,0.0,2.236930611708712,2.545246561123109,0.0,0.7609500028100007,0.8659086238872427,0.6822310370020694,0.6822310370020698,50.13364438575812,0.6202100336382453,0.1033683389397075,0.0,0.8269467115176605,53.54479957076847,0.0,0.0,0.0
44,2.225,1.168027041534306,0.2072561379950447,0.2166768715402741,0.0,1.1784612993270704,1.1596560658271695,0.0,0.5766938273302686,0.3259573806649343,0.6519147613298687,0.5766938273302686,37.139386403034926,0.2963248915135766,0.0987749638378588,0.0,0.6914247468650123,40.20141028200857,0.0,0.0,0.0
45,2.275,0.9123792713279332,0.1847296488230964,0.1171456309609879,0.0,0.6895302745469978,0.7434935134245886,0.0,0.335771264127234,0.4796732344674773,0.5516242196375988,0.3597549258506078,26.07678129195922,1.889621832750668,0.0,0.0944810916375333,1.0392920080128671,29.383619499272868,0.0,0.0,0.0
46,2.325,0.7240008012048972,0.1423588001959953,0.1035336728698148,0.0,0.3559301843594977,0.3903750409104167,0.0,0.2296323770061276,0.2755588524073532,0.3674118032098042,0.2755588524073532,13.659647153425125,2.080608506813096,0.3618449577066254,0.0,1.4473798308265016,20.444240110424367,0.0,0.0,0.0
47,2.375,0.6915833539209261,0.0826836726136909,0.1074887743977981,0.0055016443700648,0.3135937290936947,0.2530756410229817,0.0,0.1320394648815556,0.2860855072433705,0.242072352282852,0.3300986622038891,8.842642951158714,1.5604664031456572,0.346770311810146,0.0,2.687469916528632,10.403109354304371,0.0,0.0,0.0
48,2.4250000000000003,0.720658253846439,0.1031020991779362,0.0634474456479607,0.0,0.1899762939882208,0.2058076518205726,0.0,0.2110847710980231,0.3588441108666394,0.2110847710980231,0.3377356337568371,6.236595509714325,2.577792810681921,0.0831546067961909,0.0,2.2451743834971567,8.648079106803864,0.0,0.0,0.0
49,2.475,0.769351567776911,0.0609098930672913,0.0647167613839971,0.0050660632214622,0.1266515805365553,0.1317176437580175,0.0,0.1215855173150931,0.1621140230867909,0.2229067817443374,0.1823782759726397,3.0334972501846478,2.5545240001554923,0.3991443750242959,0.1596577500097183,3.033497250184647,5.348534625325561,0.0,0.0,0.0
50,2.5250000000000004,0.8352175451747238,0.05486398313182,0.0804671752600027,0.024337100209756,0.1070832409229267,0.1265529210907315,0.0,0.1168180810068291,0.2336361620136582,0.1752271215102437,0.4283329636917068,2.6077571618696207,4.371828183134361,0.3834937002749443,0.0766987400549888,3.298045822364519,2.761154641979598,0.0,0.0,0.0
51,2.575,0.8815171618720903,0.0386863364279427,0.0597879744795478,0.0374418808505404,0.0608430563821281,0.0889244670200334,0.0187209404252702,0.187209404252702,0.093604702126351,0.2059303446779722,0.1497675234021616,1.253735707268096,3.1712138477957725,0.2949966370042577,0.2212474777531933,3.61370880330216,1.3274848665191603,0.0,0.0,0.0
52,2.625,0.9426563381858865,0.0135369640808338,0.0473793742829183,0.1080874516608114,0.0765619449264081,0.0675546572880071,0.0,0.1621311774912172,0.1080874516608114,0.1981603280448209,0.1261020269376133,0.851598103994272,3.974124485306605,0.6386985779957042,0.1419330173323786,4.470890045969932,1.1354641386590292,0.0,0.0,0.0
53,2.6750000000000003,0.975652834967525,0.0456247869972576,0.0456247869972576,0.1821481880890518,0.0563792010751826,0.0997478172868616,0.0,0.1214321253927011,0.2081693578160591,0.2081693578160591,0.1561270183620443,0.2733537021827039,3.8952902561035296,0.2050152766370279,0.1366768510913519,4.510336086014614,0.8883995320937876,0.0,0.0,0.0
54,2.725,0.9284827511679614,0.0376850485863813,0.056527572879572,0.3301548455320988,0.0543292783786997,0.0752251546781996,0.0,0.1337336083167994,0.2006004124751991,0.2006004124751991,0.2841839176731988,0.2634146830482414,4.543903282582163,0.0,0.0658536707620603,4.280488599533922,0.5268293660964827,0.0,0.0,0.0
55,2.7750000000000004,0.9000762228088027,0.0363392996378361,0.0635937743662133,0.6568794297995783,0.0604490272821698,0.1007483788036163,0.0161197406085786,0.1128381842600503,0.1128381842600503,0.1289579248686289,0.1773171466943647,0.3175100422901848,6.096192811971545,0.3175100422901848,0.3175100422901848,5.143662685100993,0.4445140592062587,0.0,0.0,0.0
56,2.825,0.9141008695964816,0.0525965544460547,0.0321423388281445,1.2015615431721132,0.0972137170851225,0.0855480710349078,0.0311083894672392,0.2333129210042941,0.1244335578689568,0.1866503368034353,0.1244335578689568,0.1225482009315484,5.33084674052236,0.2450964018630968,0.3676446027946453,4.289187032604198,0.3063705023288711,0.0612741004657742,0.0,0.0
57,2.875,0.9404471668800868,0.0620681881151609,0.0564256255592372,1.892255055292696,0.1238976524298788,0.112634229481708,0.0150178972642277,0.1802147671707329,0.1802147671707329,0.1802147671707329,0.1952326644349606,0.295807067325698,4.25962176949005,0.295807067325698,0.4732913077211168,4.31878318295519,0.4141298942559772,0.1183228269302792,0.1183228269302792,0.0
58,2.9250000000000003,0.96058570997944,0.0517874248491253,0.04633611697027,3.830340514508916,0.1305797902673492,0.1124437082857729,0.029017731170522,0.2031241181936544,0.1595975214378713,0.1305797902673492,0.2176329837789154,0.1714684114621758,4.172398012246278,0.5144052343865274,0.1714684114621758,5.71561371540586,0.0571561371540586,0.0,0.0,0.0
59,2.975,0.988804136766547,0.0474265325232903,0.0421569177984802,6.518249933853773,0.1963539517459985,0.122721219841249,0.0280505645351426,0.2524550808162837,0.3786826212244255,0.0981769758729992,0.1963539517459984,0.3315066717789585,5.635613420242296,0.442008895705278,0.221004447852639,5.027851188647533,0.2762555598157987,0.0552511119631597,0.0,0.0
60,3.0250000000000004,1.0289810280729543,0.0662591306710405,0.0764528430819698,10.00114926282824,0.193308073238796,0.2068735520625711,0.0678273941188758,0.2034821823566273,0.257744097651728,0.339136970594379,0.1356547882377516,0.1068795301267133,4.756139090638749,0.16031929519007,0.4275181205068534,6.466211572666165,0.2137590602534267,0.0534397650633566,0.0,0.0179950229294976
61,3.075,1.0481650789142607,0.0443921038098057,0.0863179796301778,14.933010476020783,0.2395845636812124,0.2724043669252142,0.0131279212976006,0.2625584259520137,0.210046740761611,0.2625584259520137,0.210046740761611,0.0517160535966087,5.171605359660879,0.465444482369479,0.5171605359660878,5.533617734837141,0.1034321071932175,0.0517160535966087,0.2068642143864351,0.017414589476409
62,3.125,1.0396665336179636,0.0668623681108373,0.0883538435750351,20.65569586281225,0.3495579299860537,0.3622691274400919,0.0508447898161532,0.2796463439888427,0.1779567643565363,0.2669351465348045,0.2160903567186512,0.1001488284257564,4.807143764436309,0.7010417989802946,0.801190627406051,5.608334391842356,0.1001488284257564,0.250372071064391,0.0,0.0
63,3.1750000000000003,0.9854418747178032,0.0740263906650671,0.0740263906650671,26.37659950306856,0.4556181986991298,0.4494611960140062,0.0246280107404935,0.1231400537024675,0.3324781449966623,0.1600820698132078,0.2216520966644416,0.0485097181252145,4.268855195018873,0.8246652081286467,0.9216846443790756,4.5599135037701615,0.485097181252145,0.097019436250429,0.097019436250429,0.0
64,3.225,0.8945472023595837,0.1008968035273348,0.0964125011483421,29.9273717115549,0.5669193046057259,0.5967571627428694,0.0358054297645721,0.155156862313146,0.2506380083520051,0.4416003004297233,0.2028974353325755,0.2821033860239017,4.090499097346578,1.081396313091623,0.5171895410438199,5.030843717426254,0.0,0.0,0.2821033860239017,0.0
65,3.2750000000000004,0.8121827652621284,0.0847942872230629,0.0934911371946591,28.797762237966108,0.717557021502622,0.6567961446818351,0.1041615031213483,0.1851760055490637,0.2198965065895132,0.2430435072831462,0.2777640083235957,0.1367777313714675,3.875369055524916,0.9118515424764504,1.0486292738479182,4.513665135258433,0.091185154247645,0.0,0.2735554627429351,0.0
66,3.325,0.7642032276449545,0.1033564604514269,0.1096844070096775,22.439255456644634,0.853331706132094,0.9094719499565732,0.0336841462946879,0.2582451215926076,0.2694731703575037,0.2470170728277116,0.3031573166521916,0.0,3.936621945752925,1.1057926813912708,1.1942560959025723,4.113548774775528,0.1326951217669525,0.2211585362782542,0.265390243533905,0.0
67,3.375,0.7554211071114455,0.1187423192460321,0.1514988211070064,14.815608308536696,1.0298455205271917,1.1742418501249192,0.1198761981566043,0.2615480687053186,0.2724459049013735,0.1525697067447692,0.381424266861923,0.0,3.8637782876922064,1.202064356170909,1.330856965760649,4.207225246598179,0.1287926095897402,0.1287926095897402,0.1287926095897402,0.0144563133212973
