,r ($\AA$),g_full(r),O (DOL),O (DOL),O (NMA),N (NMA),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.5750000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.7250000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.8250000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.925,0.0107159463816333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.975,0.3926980749001816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,1.025,2.0581617801303635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,1.075,7.529328150105496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1.125,4.5742320331575606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1.175,0.3673398320103194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,1.225,0.6031792125156233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,1.275,0.3940332429747952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1.3250000000000002,1.288149345128872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,1.375,1.6665592398760138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1.425,1.7775870272091114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1.475,0.9242364954578794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,1.525,0.7650984429774931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1.5750000000000002,0.377053894314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,1.625,0.1917581640643206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,1.675,0.5004391637138831,0.073319523352073,0.073319523352073,0.3182435225066682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1.725,0.995163363731434,0.9294280173713568,0.975515357075722,6.472793414500652,0.0,0.0,0.0,0.0,0.0,0.0817754848087703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1.775,1.2013165656049634,3.1049694505895618,3.35162590227191,35.1250956204665,0.0,0.0,0.308934415500787,0.3475512174383853,0.1544672077503935,0.3475512174383853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1.825,0.9217365941357024,6.457668024739959,6.375317316666763,76.80947946050507,0.0,0.0,0.9132482369655957,0.9497781664442192,1.0958978843587146,0.9497781664442192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1.875,0.4739552821974206,7.99029102131581,7.788745845025498,95.83613647971644,0.0,0.0,2.2495042256918403,1.1420559915050872,1.8688188951901443,2.284111983010176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,1.925,0.3887849260461281,7.235209694508224,7.296890936575639,77.00915010422145,0.0,0.0,2.4625049717684875,2.495338371392068,2.002837377038369,3.283339962357982,1.034749563894637,0.0,0.0,0.0,0.0,0.9054058684078072,0.0,0.0,0.0
39,1.975,0.7069422103910774,5.584374038678528,5.4320196577702,48.960497994541655,0.0,0.0,2.9320555530548136,2.7449030709449325,2.4017901870768155,2.77609515129658,7.987062999133851,0.0,0.0,0.0,0.0,8.109940891428217,0.0,0.0,0.0
40,2.025,1.175890081347038,3.712283234983913,3.9631131832936335,26.81381137751672,0.0,0.0,2.670374218928136,2.2253118491067787,2.43300762169008,2.700045043582892,24.779634166215263,0.1168850668217702,0.0,0.0,0.1168850668217702,25.130289366680568,0.0,0.0,0.0
41,2.075,1.52018399334468,2.5322125530676987,2.6171505003404087,13.509243517035529,0.0,0.0,2.006332319905212,1.723750303017153,1.75200850470596,2.3454307401708814,48.20164160796597,0.0,0.0,0.0,0.0,40.63186879193436,0.0,0.0,0.0
42,2.125,1.5768501361275638,1.710873065402253,1.6096379727749013,6.242776284550898,0.0,0.0,1.2663731356200023,1.0777643707404274,1.212484917082981,1.7244229931846835,59.97105532642754,0.5307173037736956,0.2122869215094782,0.0,0.5307173037736956,50.73657424076528,0.0,0.0,0.0
43,2.1750000000000003,1.406875042253794,1.014660234798315,1.0049968039907118,3.0954774388922344,0.0,0.0,1.1831012671831496,0.7973073757103836,0.9001857467697877,0.8487465612400857,55.5231451081209,0.8105568628922759,0.3039588235846034,0.0,0.9118764707538104,47.51889608705969,0.0,0.0,0.0
