,r ($\AA$),g_full(r),O (DOL),O (DOL),P (TTFP),O (TTFP),O (TTFP),O (TTFP),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.5750000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.7250000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.8250000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.975,0.0173073995705685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,1.025,1.0764514586089833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,1.075,6.274438689688792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1.125,3.870417376859861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1.175,0.2461216098274476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,1.225,0.0112282971460906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,1.275,0.6152295663734997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1.3250000000000002,2.688822363069505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,1.375,2.582404387426783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1.425,2.36319492035765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1.475,0.823875916879752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,1.525,0.8465537264469415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1.5750000000000002,0.5884635794392277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,1.625,0.3347346254139531,0.0,0.0082836950149393,0.0,0.0,0.0261749632435526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,1.675,0.6436094735227403,0.1481347076164278,0.2027106525277434,0.0,0.6651643540267577,1.083971539895456,0.6651643540267577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1.725,0.6596015791566145,1.3893712058086776,1.617257488242904,0.0,5.92323072593073,6.225199351174255,5.714175523839058,0.0,0.4304393007169574,0.1173925365591702,0.1173925365591702,0.1565233820788936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1.775,0.7084464518758138,5.005816522398606,5.248817324456793,0.0,20.907135934523616,20.731630071484588,20.60000067420533,0.0,1.8109167464151488,2.291364046484474,1.7739592617944318,1.8478742310358665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1.825,0.5811633226848731,8.820398454252272,9.470599084908248,0.0,37.20955369633251,39.05654213970877,34.59471612481111,0.0,6.18797001128722,7.901023856219842,6.467652271684382,5.069240969698566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1.875,0.3423775910080996,10.198017860711026,11.100222003360868,0.0,45.416197956499225,45.33755518947498,44.354520601671936,0.0,12.38714322286055,14.871196008193538,13.71197137503814,11.45976351633622,0.0,0.0,0.0,0.0,0.0,0.2609509996713453,0.0,0.0,0.0
38,1.925,0.3834661429468892,8.624410637041326,9.43313360574404,0.0,41.11050204080851,42.86385376124225,39.89807797880643,0.0,15.774139234128166,18.979243221939083,18.067988166581067,13.480290301675266,2.2281471573016978,0.0,0.0,0.0,0.0,2.10436120411827,0.0,0.0,0.0
39,1.975,0.7798960640274168,6.99877906834518,7.021211052538592,0.0,32.552086797493935,34.200069417073124,34.20006941707313,0.0,17.164781751075857,19.970850419947386,17.314040722824345,16.74685663018008,18.46288250537328,0.1175979777412311,0.0,0.0,0.0,18.933274416338207,0.0,0.0,0.0
40,2.025,1.2852356452520113,5.078435294905573,5.201128584593417,0.0,24.66035253262165,27.256179115002883,23.4972873755807,0.0,14.907850215248825,17.122730818657228,16.12887413764064,13.658430387685108,44.2976120681679,0.2237253134755956,0.0,0.0,0.1118626567377978,53.91780054761852,0.0,0.0,0.0
41,2.075,1.6554151824543777,3.2159670359943826,3.546200617889539,0.0,18.782600438749245,18.140460252809103,18.36520931788816,0.0,12.38614325580163,13.981738129365594,12.791802969419576,11.953439561275806,82.88570390973769,0.3196106834565723,0.0,0.0,0.7457582613986685,87.99947484504284,0.0,0.0,0.0
42,2.125,1.7886076788855878,2.0491207749568177,2.373686004087093,0.0,12.674169340022422,13.577280440338026,13.653815279347825,0.0,9.051010061298625,11.294422811535032,9.308873595808556,8.43213757847479,92.03383968054494,1.2189912540469523,0.1015826045039127,0.0,1.828486881070429,100.36361324986578,0.0,0.0,0.0
43,2.1750000000000003,1.688294072782898,1.5028332901640655,1.5213296998891612,0.1753358291748844,9.745749838303992,9.54119137093329,9.599636647324925,0.0,6.301299953115849,8.221227282580827,7.138191353139047,6.473601123708859,77.96068549948727,3.5877429894042665,0.0969660267406558,0.0969660267406558,3.1998788824416438,86.10583174570239,0.0,0.0,0.0
44,2.225,1.4057025694117222,1.007445670179121,0.9102360002495564,0.6701777493525125,7.46968949799155,7.078752477535911,7.399879315767331,0.0,4.5630083107357065,6.350578576797118,4.657090956317886,4.77469426329561,58.096033646995885,4.725514698559477,0.2779714528564398,0.3706286038085864,3.0576859814208377,61.80231968508178,0.0,0.0,0.0
