num_dol,num_acn,num_tfsi,num_ps,num_li,atoms_dol,atoms_acn,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
0,4,0,0,1,,1N:1N:1N:1N,,,,7196,36.35077793493635,Cluster_034_148.xyz
1,3,0,0,1,1O,1N:1N:1N,,,,4326,21.852899575671852,Cluster_054_076.xyz
0,3,0,1,1,,1N:1N:1N,,1S,,2045,10.330369771671045,Cluster_094_032.xyz
1,2,0,1,1,1O,1N:1N,,1S,,1877,9.481713477470196,Cluster_072_122.xyz
0,3,1,0,1,,1N:1N:1N,1O,,,1131,5.71327540917357,Cluster_003_145.xyz
0,3,0,0,1,,1N:1N:1N,,,,485,2.4499898969488787,Cluster_025_050.xyz
2,2,0,0,1,1O:1O,1N:1N,,,,372,1.8791675085875934,Cluster_058_116.xyz
0,2,0,1,1,,1N:1N,,1S,,362,1.8286522529804001,Cluster_086_034.xyz
1,2,1,0,1,1O,1N:1N,1O,,,289,1.4598908870478884,Cluster_063_078.xyz
0,2,1,1,1,,1N:1N,1O,1S,,241,1.2174176601333602,Cluster_052_058.xyz
2,1,0,1,1,1O:1O,1N,,1S,,207,1.045665791068903,Cluster_006_150.xyz
0,2,0,1,1,,1N:1N,,2S,,135,0.6819559506971106,Cluster_008_107.xyz
1,2,0,0,1,1O,1N:1N,,,,90,0.4546373004647404,Cluster_082_004.xyz
1,1,0,9,1,1O,1N,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,80,0.404122044857547,Cluster_079_132.xyz
1,1,0,9,1,1O,1N,,:::::1S:1S:1S:1S,,75,0.3788644170539503,Cluster_033_020.xyz
1,1,0,1,1,1O,1N,,1S,,73,0.36876136593251163,Cluster_087_121.xyz
0,2,0,9,1,,1N:1N,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,67,0.3384522125681956,Cluster_055_013.xyz
1,1,1,1,1,1O,1N,1O,1S,,57,0.28793695696100224,Cluster_065_023.xyz
1,2,0,1,1,1O,1N:1N,,2S,,46,0.23237017579308952,Cluster_039_176.xyz
0,1,0,1,1,,1N,,2S,,42,0.21216407355021216,Cluster_002_049.xyz
0,2,0,1,1,,1N:1N,,3S,,40,0.2020610224287735,Cluster_006_137.xyz
1,1,0,1,1,1O,1N,,2S,,34,0.17175186906445747,Cluster_030_125.xyz
0,1,0,9,1,,1N,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,31,0.15659729238229944,Cluster_055_034.xyz
0,3,0,1,1,,1N:1N:1N,,2S,,23,0.11618508789654476,Cluster_007_008.xyz
1,1,0,9,1,1O,1N,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,22,0.11113356233582541,Cluster_029_151.xyz
0,2,2,0,1,,1N:1N,1O:1O,,,17,0.08587593453222873,Cluster_032_101.xyz
0,2,0,9,1,,1N:1N,,:::::1S:1S:1S:1S,,16,0.0808244089715094,Cluster_017_152.xyz
2,0,1,1,1,1O:1O,,1O,1S,,15,0.07577288341079005,Cluster_025_150.xyz
2,3,0,0,1,:1O,1N:1N:1N,,,,15,0.07577288341079005,Cluster_086_059.xyz
0,1,0,9,1,,1N,,:::::1S:1S:1S:1S,,15,0.07577288341079005,Cluster_042_020.xyz
0,2,1,0,1,,1N:1N,1O,,,14,0.07072135785007072,Cluster_005_080.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,14,0.07072135785007072,Cluster_067_132.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,14,0.07072135785007072,Cluster_029_121.xyz
0,5,0,0,1,,:1N:1N:1N:1N,,,,13,0.06566983228935139,Cluster_053_134.xyz
0,2,1,1,1,,1N:1N,1O,2S,,11,0.05556678116791271,Cluster_022_149.xyz
1,1,0,1,1,1O,1N,,3S,,11,0.05556678116791271,Cluster_085_022.xyz
1,4,0,0,1,1O,:1N:1N:1N,,,,10,0.050515255607193374,Cluster_031_195.xyz
0,2,0,9,1,,1N:1N,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,10,0.050515255607193374,Cluster_087_032.xyz
2,1,0,1,1,1O:1O,1N,,2S,,9,0.045463730046474034,Cluster_093_139.xyz
1,3,1,0,1,1O,1N:1N:1N,1O,,,9,0.045463730046474034,Cluster_055_037.xyz
0,1,0,9,1,,1N,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,8,0.0404122044857547,Cluster_032_151.xyz
0,4,0,1,1,,:1N:1N:1N,,1S,,7,0.03536067892503536,Cluster_090_131.xyz
2,1,1,0,1,1O:1O,1N,1O,,,7,0.03536067892503536,Cluster_007_030.xyz
3,0,0,1,1,1O:1O:1O,,,1S,,7,0.03536067892503536,Cluster_024_119.xyz
