num_dol,num_cyclohexane,num_tfsi,num_ps,num_li,atoms_dol,atoms_cyclohexane,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
2,0,1,1,1,1O:1O,,1O,1S,,4085,20.63548191553849,Cluster_042_107.xyz
3,0,1,0,1,1O:1O:1O,,1O,,,3006,15.184885835522328,Cluster_003_145.xyz
2,0,2,0,1,1O:1O,,1O:1O,,,2553,12.896544756516468,Cluster_098_073.xyz
3,0,0,1,1,1O:1O:1O,,,1S,,2243,11.330571832693474,Cluster_065_078.xyz
1,0,2,1,1,1O,,1O:1O,1S,,1066,5.384926247726813,Cluster_034_148.xyz
2,0,2,0,1,1O:1O,,1O:2O,,,490,2.4752475247524752,Cluster_064_126.xyz
2,0,0,1,1,1O:1O,,,1S,,427,2.157001414427157,Cluster_068_153.xyz
1,0,3,0,1,1O,,1O:1O:1O,,,402,2.0307132754091737,Cluster_058_116.xyz
3,0,2,0,1,1O:1O:1O,,1O:1O,,,386,1.9498888664376641,Cluster_092_169.xyz
4,0,0,0,1,1O:1O:1O:1O,,,,,369,1.8640129319054355,Cluster_029_015.xyz
1,0,1,1,1,1O,,1O,1S,,317,1.6013336027480298,Cluster_053_163.xyz
2,0,3,0,1,1O:1O,,1O:1O:1O,,,310,1.5659729238229945,Cluster_002_024.xyz
2,0,1,1,1,1O:1O,,1O,2S,,286,1.4447363103657305,Cluster_033_051.xyz
2,0,0,1,1,1O:1O,,,2S,,246,1.242675287936957,Cluster_048_151.xyz
2,0,1,0,1,1O:1O,,1O,,,239,1.2073146090119216,Cluster_023_014.xyz
1,0,1,1,1,1O,,2O,1S,,206,1.0406142655081834,Cluster_035_012.xyz
1,0,1,1,1,1O,,1O,2S,,197,0.9951505354617094,Cluster_081_091.xyz
1,0,1,9,1,1O,,1O,1S:1S:1S:1S:1S:1S:1S:1S:1S,,180,0.9092746009294808,Cluster_014_106.xyz
2,0,1,0,1,1O:1O,,2O,,,178,0.899171549808042,Cluster_038_169.xyz
1,0,3,0,1,1O,,1O:1O:2O,,,171,0.8638108708830067,Cluster_063_116.xyz
2,0,0,9,1,1O:1O,,,:::::1S:1S:1S:1S,,162,0.8183471408365326,Cluster_005_163.xyz
3,0,1,0,1,1O:1O:1O,,2O,,,154,0.7779349363507779,Cluster_066_138.xyz
1,0,2,0,1,1O,,1O:2O,,,125,0.6314406950899172,Cluster_060_119.xyz
1,0,2,1,1,1O,,1O:1O,2S,,119,0.6011315417256011,Cluster_031_141.xyz
3,0,0,0,1,1O:1O:1O,,,,,114,0.5758739139220045,Cluster_077_079.xyz
1,0,1,9,1,1O,,1O,:::::1S:1S:1S:1S,,107,0.5405132349969691,Cluster_100_110.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,98,0.49504950495049505,Cluster_088_061.xyz
3,0,0,1,1,1O:1O:1O,,,2S,,87,0.43948272378258235,Cluster_094_179.xyz
2,0,0,1,1,1O:1O,,,3S,,81,0.4091735704182663,Cluster_020_034.xyz
1,0,0,1,1,1O,,,2S,,70,0.3536067892503536,Cluster_043_180.xyz
4,0,1,0,1,1O:1O:1O:1O,,1O,,,66,0.33340068700747627,Cluster_013_066.xyz
1,0,1,1,1,1O,,1O,3S,,60,0.3030915336431602,Cluster_079_031.xyz
1,0,4,0,1,1O,,1O:1O:1O:1O,,,59,0.2980400080824409,Cluster_072_122.xyz
1,0,0,9,1,1O,,,:::::1S:1S:1S:1S,,58,0.29298848252172155,Cluster_061_080.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,53,0.26773085471812486,Cluster_099_115.xyz
1,0,1,1,1,1O,,2O,2S,,48,0.2424732269145282,Cluster_040_059.xyz
1,0,2,0,1,1O,,1O:1O,,,42,0.21216407355021216,Cluster_083_160.xyz
2,0,2,1,1,1O:1O,,1O:1O,1S,,42,0.21216407355021216,Cluster_065_093.xyz
0,0,1,9,1,,,1O,1S:1S:1S:1S:2S:2S:2S:2S:2S,,41,0.20711254798949283,Cluster_060_044.xyz
0,0,2,1,1,,,1O:2O,1S,,35,0.1768033946251768,Cluster_041_041.xyz
3,0,1,1,1,1O:1O:1O,,1O,1S,,34,0.17175186906445747,Cluster_095_183.xyz
2,0,3,0,1,1O:1O,,1O:1O:2O,,,32,0.1616488179430188,Cluster_097_108.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,30,0.1515457668215801,Cluster_010_044.xyz
1,0,0,1,1,1O,,,3S,,30,0.1515457668215801,Cluster_006_047.xyz
0,0,2,1,1,,,1O:1O,1S,,30,0.1515457668215801,Cluster_005_182.xyz
1,0,2,0,1,1O,,2O:2O,,,29,0.14649424126086077,Cluster_010_075.xyz
2,0,1,1,1,1O:1O,,2O,1S,,28,0.14144271570014144,Cluster_100_056.xyz
1,0,2,1,1,1O,,1O:2O,1S,,28,0.14144271570014144,Cluster_030_129.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,28,0.14144271570014144,Cluster_065_106.xyz
1,0,4,0,1,1O,,1O:1O:1O:2O,,,23,0.11618508789654476,Cluster_069_174.xyz
0,0,2,1,1,,,1O:1O,2S,,21,0.10608203677510608,Cluster_078_159.xyz
1,0,0,9,1,1O,,,::::1S:1S:2S:2S:2S,,20,0.10103051121438675,Cluster_036_080.xyz
2,0,2,0,1,1O:1O,,2O:2O,,,20,0.10103051121438675,Cluster_065_023.xyz
1,0,0,9,1,1O,,,1S:2S:2S:2S:2S:3S:3S:3S:3S,,18,0.09092746009294807,Cluster_022_044.xyz
3,0,1,0,1,1O:1O:2O,,1O,,,17,0.08587593453222873,Cluster_009_162.xyz
3,0,2,0,1,1O:1O:1O,,1O:2O,,,17,0.08587593453222873,Cluster_098_033.xyz
1,0,0,1,1,1O,,,1S,,14,0.07072135785007072,Cluster_023_044.xyz
1,0,0,9,1,1O,,,::::1S:1S:1S:1S:2S,,14,0.07072135785007072,Cluster_032_080.xyz
0,0,1,9,1,,,1O,:::::1S:1S:1S:1S,,14,0.07072135785007072,Cluster_005_110.xyz
0,0,4,0,1,,,1O:1O:1O:1O,,,14,0.07072135785007072,Cluster_019_089.xyz
1,0,1,9,1,1O,,1O,1S:1S:1S:1S:2S:2S:2S:2S:2S,,14,0.07072135785007072,Cluster_037_044.xyz
2,0,2,0,1,1O:2O,,1O:1O,,,13,0.06566983228935139,Cluster_001_192.xyz
0,0,2,1,1,,,1O:2O,2S,,12,0.06061830672863205,Cluster_023_041.xyz
1,0,1,9,1,1O,,1O,1S:1S:1S:1S:1S:2S:2S:2S:2S,,10,0.050515255607193374,Cluster_086_031.xyz
1,0,3,0,1,1O,,1O:2O:2O,,,10,0.050515255607193374,Cluster_084_116.xyz
2,0,1,0,1,1O:2O,,2O,,,9,0.045463730046474034,Cluster_017_068.xyz
0,0,2,1,1,,,1O:1O,3S,,9,0.045463730046474034,Cluster_003_070.xyz
