num_dol,num_dbe,num_tfsi,num_ps,num_li,atoms_dol,atoms_dbe,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
2,0,1,1,1,1O:1O,,1O,1S,,3755,18.968478480501112,Cluster_065_078.xyz
2,0,2,0,1,1O:1O,,1O:1O,,,2535,12.80561729642352,Cluster_054_076.xyz
3,0,1,0,1,1O:1O:1O,,1O,,,2341,11.825621337643968,Cluster_034_148.xyz
3,0,0,1,1,1O:1O:1O,,,1S,,1981,10.007072135785007,Cluster_092_169.xyz
1,0,2,1,1,1O,,1O:1O,1S,,895,4.521115376843807,Cluster_076_121.xyz
2,0,2,0,1,1O:1O,,1O:2O,,,468,2.3641139624166496,Cluster_003_014.xyz
1,0,3,0,1,1O,,1O:1O:1O,,,439,2.217619721155789,Cluster_065_106.xyz
1,1,2,0,1,1O,1O,1O:1O,,,433,2.187310567791473,Cluster_090_020.xyz
2,0,0,1,1,1O:1O,,,1S,,414,2.091331582137806,Cluster_004_017.xyz
2,1,1,0,1,1O:1O,1O,1O,,,364,1.8387553041018387,Cluster_054_145.xyz
2,0,3,0,1,1O:1O,,1O:1O:1O,,,332,1.6771064861588199,Cluster_014_106.xyz
3,0,2,0,1,1O:1O:1O,,1O:1O,,,331,1.6720549605981005,Cluster_031_027.xyz
2,0,1,1,1,1O:1O,,1O,2S,,305,1.540715296019398,Cluster_037_017.xyz
4,0,0,0,1,1O:1O:1O:1O,,,,,302,1.5255607193372398,Cluster_011_066.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,272,1.3740149525156597,Cluster_079_035.xyz
1,1,1,1,1,1O,1O,1O,1S,,259,1.3083451202263083,Cluster_020_034.xyz
2,0,0,1,1,1O:1O,,,2S,,238,1.2022630834512023,Cluster_011_164.xyz
1,0,1,1,1,1O,,1O,1S,,229,1.1567993534047283,Cluster_083_189.xyz
2,0,0,9,1,1O:1O,,,:::::1S:1S:1S:1S,,223,1.1264902000404122,Cluster_003_070.xyz
1,0,3,0,1,1O,,1O:1O:2O,,,214,1.0810264699939383,Cluster_064_126.xyz
1,0,1,1,1,1O,,1O,2S,,180,0.9092746009294808,Cluster_090_161.xyz
1,0,1,9,1,1O,,1O,1S:1S:1S:1S:1S:1S:1S:1S:1S,,175,0.884016973125884,Cluster_020_085.xyz
2,0,1,0,1,1O:1O,,1O,,,174,0.8789654475651647,Cluster_096_030.xyz
1,0,1,1,1,1O,,2O,1S,,162,0.8183471408365326,Cluster_068_052.xyz
2,0,1,0,1,1O:1O,,2O,,,156,0.7880379874722166,Cluster_081_187.xyz
1,1,0,1,1,1O,1O,,1S,,121,0.6112345928470398,Cluster_071_139.xyz
2,1,0,1,1,1O:1O,1O,,1S,,114,0.5758739139220045,Cluster_085_178.xyz
1,0,2,0,1,1O,,1O:2O,,,107,0.5405132349969691,Cluster_003_145.xyz
3,0,1,0,1,1O:1O:1O,,2O,,,106,0.5354617094362497,Cluster_087_182.xyz
1,0,2,1,1,1O,,1O:1O,2S,,97,0.48999797938977574,Cluster_066_150.xyz
3,0,0,0,1,1O:1O:1O,,,,,93,0.46979187714689835,Cluster_090_070.xyz
1,0,0,1,1,1O,,,2S,,92,0.46474035158617905,Cluster_081_151.xyz
3,0,0,1,1,1O:1O:1O,,,2S,,81,0.4091735704182663,Cluster_090_156.xyz
1,0,1,9,1,1O,,1O,:::::1S:1S:1S:1S,,76,0.3839159426146696,Cluster_010_075.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,69,0.34855526368963424,Cluster_042_107.xyz
1,0,0,9,1,1O,,,:::::1S:1S:1S:1S,,63,0.31824611032531824,Cluster_060_192.xyz
0,1,2,1,1,,1O,1O:1O,1S,,58,0.29298848252172155,Cluster_058_099.xyz
2,0,0,1,1,1O:1O,,,3S,,54,0.2727823802788442,Cluster_022_080.xyz
1,0,1,1,1,1O,,1O,3S,,47,0.23742170135380886,Cluster_069_164.xyz
1,0,2,0,1,1O,,1O:1O,,,45,0.2273186502323702,Cluster_082_091.xyz
1,1,1,0,1,1O,1O,2O,,,45,0.2273186502323702,Cluster_047_113.xyz
4,0,1,0,1,1O:1O:1O:1O,,1O,,,43,0.2172155991109315,Cluster_036_045.xyz
1,1,0,1,1,1O,1O,,2S,,42,0.21216407355021216,Cluster_060_083.xyz
0,1,1,1,1,,1O,1O,1S,,42,0.21216407355021216,Cluster_004_046.xyz
1,1,1,0,1,1O,1O,1O,,,42,0.21216407355021216,Cluster_021_086.xyz
