num_dol,num_degdbe,num_tfsi,num_ps,num_li,atoms_dol,atoms_degdbe,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
1,1,1,0,1,1O,2O,1O,,,3183,16.07900585976965,Cluster_054_076.xyz
1,1,0,1,1,1O,2O,,1S,,2596,13.113760355627399,Cluster_099_115.xyz
2,1,0,0,1,1O:1O,2O,,,,2200,11.113356233582541,Cluster_092_169.xyz
0,2,0,0,1,,2O:2O,,,,1640,8.284501919579712,Cluster_052_058.xyz
2,0,1,1,1,1O:1O,,1O,1S,,1421,7.178217821782178,Cluster_081_091.xyz
3,0,0,1,1,1O:1O:1O,,,1S,,977,4.9353404728227925,Cluster_001_011.xyz
1,1,1,0,1,1O,3O,1O,,,836,4.223075368761366,Cluster_074_152.xyz
0,1,0,1,1,,3O,,1S,,711,3.591634673671449,Cluster_025_050.xyz
1,1,0,0,1,1O,3O,,,,663,3.3491614467569204,Cluster_037_017.xyz
0,1,1,0,1,,3O,1O,,,637,3.217821782178218,Cluster_050_077.xyz
3,0,1,0,1,1O:1O:1O,,1O,,,314,1.586179026065872,Cluster_048_174.xyz
2,0,0,1,1,1O:1O,,,1S,,312,1.5760759749444333,Cluster_030_160.xyz
0,1,2,0,1,,3O,1O:1O,,,300,1.5154576682158012,Cluster_058_116.xyz
0,1,1,1,1,,2O,1O,1S,,287,1.4497878359264498,Cluster_007_018.xyz
2,1,0,0,1,1O:1O,3O,,,,279,1.409375631440695,Cluster_004_046.xyz
2,0,2,0,1,1O:1O,,1O:1O,,,260,1.3133966457870276,Cluster_038_027.xyz
1,1,0,0,1,1O,2O,,,,239,1.2073146090119216,Cluster_011_164.xyz
0,1,2,0,1,,2O,1O:1O,,,226,1.1416447767225701,Cluster_005_136.xyz
0,1,0,1,1,,2O,,1S,,182,0.9193776520509194,Cluster_096_081.xyz
1,0,1,1,1,1O,,1O,1S,,131,0.6617498484542331,Cluster_026_091.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,126,0.6364922206506365,Cluster_077_043.xyz
2,0,0,1,1,1O:1O,,,2S,,114,0.5758739139220045,Cluster_011_066.xyz
1,0,1,1,1,1O,,2O,1S,,94,0.4748434027076177,Cluster_034_148.xyz
2,0,1,0,1,1O:1O,,1O,,,91,0.4596888260254597,Cluster_011_032.xyz
1,1,0,1,1,1O,1O,,1S,,78,0.3940189937361083,Cluster_009_081.xyz
1,1,0,1,1,1O,3O,,1S,,76,0.3839159426146696,Cluster_083_140.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,74,0.37381289149323094,Cluster_040_059.xyz
1,0,0,1,1,1O,,,2S,,73,0.36876136593251163,Cluster_045_066.xyz
4,0,0,0,1,1O:1O:1O:1O,,,,,73,0.36876136593251163,Cluster_057_153.xyz
3,0,0,0,1,1O:1O:1O,,,,,71,0.35865831481107296,Cluster_048_098.xyz
1,0,1,1,1,1O,,1O,2S,,71,0.35865831481107296,Cluster_022_067.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,68,0.34350373812891494,Cluster_005_163.xyz
1,0,2,1,1,1O,,1O:1O,1S,,66,0.33340068700747627,Cluster_041_126.xyz
0,2,0,0,1,,2O:3O,,,,59,0.2980400080824409,Cluster_024_089.xyz
0,1,0,1,1,,2O,,2S,,56,0.2828854314002829,Cluster_064_094.xyz
0,1,1,0,1,,2O,1O,,,55,0.2778339058395635,Cluster_049_138.xyz
0,1,0,0,1,,3O,,,,53,0.26773085471812486,Cluster_035_147.xyz
1,1,1,0,1,1O,2O,2O,,,50,0.2525762780359669,Cluster_049_156.xyz
2,0,1,1,1,1O:1O,,1O,2S,,47,0.23742170135380886,Cluster_062_087.xyz
1,0,3,0,1,1O,,1O:1O:1O,,,42,0.21216407355021216,Cluster_031_027.xyz
1,1,1,0,1,1O,1O,1O,,,42,0.21216407355021216,Cluster_023_156.xyz
2,0,0,9,1,1O:1O,,,:::::1S:1S:1S:1S,,41,0.20711254798949283,Cluster_065_160.xyz
1,1,0,1,1,1O,2O,,2S,,37,0.18690644574661547,Cluster_096_044.xyz
0,2,0,0,1,,1O:2O,,,,36,0.18185492018589614,Cluster_021_181.xyz
1,0,0,9,1,1O,,,:::::1S:1S:1S:1S,,34,0.17175186906445747,Cluster_083_160.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,34,0.17175186906445747,Cluster_054_145.xyz
2,0,2,0,1,1O:1O,,1O:2O,,,33,0.16670034350373814,Cluster_046_125.xyz
2,1,0,0,1,1O:1O,1O,,,,32,0.1616488179430188,Cluster_080_020.xyz
0,1,1,0,1,,3O,2O,,,30,0.1515457668215801,Cluster_047_152.xyz
