num_dol,num_des,num_tfsi,num_ps,num_li,atoms_dol,atoms_des,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
2,2,0,0,1,1O:1O,1O:1O,,,,2763,13.957365124267529,Cluster_003_145.xyz
1,3,0,0,1,1O,1O:1O:1O,,,,2625,13.26025459688826,Cluster_058_116.xyz
2,1,0,1,1,1O:1O,1O,,1S,,1776,8.971509395837543,Cluster_042_107.xyz
1,2,0,1,1,1O,1O:1O,,1S,,1653,8.350171751869064,Cluster_099_115.xyz
1,2,1,0,1,1O,1O:1O,1O,,,1173,5.925439482723783,Cluster_086_102.xyz
2,1,1,0,1,1O:1O,1O,1O,,,963,4.864619114972721,Cluster_014_106.xyz
3,1,0,0,1,1O:1O:1O,1O,,,,792,4.000808244089715,Cluster_032_109.xyz
0,4,0,0,1,,1O:1O:1O:1O,,,,668,3.3744190745605174,Cluster_020_085.xyz
1,2,0,0,1,1O,1O:1O,,,,585,2.9551424530208124,Cluster_074_152.xyz
1,1,1,1,1,1O,1O,1O,1S,,469,2.3691654879773694,Cluster_092_169.xyz
0,3,0,1,1,,1O:1O:1O,,1S,,469,2.3691654879773694,Cluster_054_081.xyz
2,1,0,0,1,1O:1O,1O,,,,460,2.323701757930895,Cluster_076_121.xyz
1,1,0,1,1,1O,1O,,1S,,446,2.2529804000808245,Cluster_084_051.xyz
0,3,1,0,1,,1O:1O:1O,1O,,,432,2.1822590422307537,Cluster_065_078.xyz
3,0,0,1,1,1O:1O:1O,,,1S,,387,1.9549403919983834,Cluster_053_029.xyz
2,0,1,1,1,1O:1O,,1O,1S,,338,1.707415639523136,Cluster_008_156.xyz
2,0,0,1,1,1O:1O,,,1S,,244,1.2325722368155183,Cluster_090_170.xyz
0,2,0,1,1,,1O:1O,,1S,,229,1.1567993534047283,Cluster_083_189.xyz
0,3,0,0,1,,1O:1O:1O,,,,199,1.005253586583148,Cluster_054_076.xyz
2,3,0,0,1,1O:1O,1O:1O:1O,,,,177,0.8941200242473227,Cluster_096_030.xyz
2,2,1,0,1,1O:1O,1O:1O,1O,,,173,0.8739139220044453,Cluster_013_195.xyz
0,2,1,1,1,,1O:1O,1O,1S,,166,0.8385532430794099,Cluster_013_187.xyz
