num_dol,num_dfep,num_tfsi,num_ps,num_li,atoms_dol,atoms_dfep,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
2,0,1,1,1,1O:1O,,1O,1S,,4461,22.534855526368965,Cluster_054_076.xyz
2,0,2,0,1,1O:1O,,1O:1O,,,2575,13.007678318852294,Cluster_034_148.xyz
3,0,1,0,1,1O:1O:1O,,1O,,,1911,9.653465346534654,Cluster_013_187.xyz
3,0,0,1,1,1O:1O:1O,,,1S,,1819,9.188724994948474,Cluster_099_115.xyz
1,0,2,1,1,1O,,1O:1O,1S,,1133,5.7233784602950095,Cluster_001_011.xyz
1,0,3,0,1,1O,,1O:1O:1O,,,550,2.7783390583956353,Cluster_003_145.xyz
2,0,0,1,1,1O:1O,,,1S,,456,2.303495655688018,Cluster_087_107.xyz
2,0,2,0,1,1O:1O,,1O:2O,,,441,2.227722772277228,Cluster_084_051.xyz
1,1,2,0,1,1O,1O,1O:1O,,,380,1.919579713073348,Cluster_092_169.xyz
2,0,3,0,1,1O:1O,,1O:1O:1O,,,330,1.6670034350373812,Cluster_054_081.xyz
1,0,1,1,1,1O,,1O,1S,,302,1.5255607193372398,Cluster_014_106.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,298,1.5053546170943626,Cluster_065_106.xyz
3,0,2,0,1,1O:1O:1O,,1O:1O,,,268,1.3538088502727823,Cluster_068_052.xyz
2,0,1,0,1,1O:1O,,1O,,,267,1.348757324712063,Cluster_029_072.xyz
1,0,1,1,1,1O,,1O,2S,,229,1.1567993534047283,Cluster_051_147.xyz
4,0,0,0,1,1O:1O:1O:1O,,,,,217,1.0961810466760962,Cluster_058_035.xyz
1,0,1,1,1,1O,,2O,1S,,208,1.0507173166296222,Cluster_071_139.xyz
1,0,3,0,1,1O,,1O:1O:2O,,,205,1.035562739947464,Cluster_025_050.xyz
2,0,1,1,1,1O:1O,,1O,2S,,202,1.0204081632653061,Cluster_011_164.xyz
1,1,0,1,1,1O,1O,,1S,,200,1.0103051121438675,Cluster_031_027.xyz
2,0,1,0,1,1O:1O,,2O,,,183,0.9244291776116387,Cluster_094_032.xyz
2,1,1,0,1,1O:1O,1O,1O,,,179,0.9042230753687613,Cluster_100_052.xyz
2,0,0,1,1,1O:1O,,,2S,,170,0.8587593453222874,Cluster_076_121.xyz
1,0,2,0,1,1O,,1O:2O,,,162,0.8183471408365326,Cluster_090_025.xyz
1,1,1,1,1,1O,1O,1O,1S,,144,0.7274196807435845,Cluster_069_174.xyz
3,0,0,0,1,1O:1O:1O,,,,,116,0.5859769650434431,Cluster_011_143.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,115,0.5809254394827238,Cluster_058_099.xyz
1,0,1,9,1,1O,,1O,1S:1S:1S:1S:1S:1S:1S:1S:1S,,115,0.5809254394827238,Cluster_021_008.xyz
1,0,2,1,1,1O,,1O:1O,2S,,98,0.49504950495049505,Cluster_003_070.xyz
3,0,1,0,1,1O:1O:1O,,2O,,,92,0.46474035158617905,Cluster_025_056.xyz
0,1,1,1,1,,1O,1O,1S,,91,0.4596888260254597,Cluster_030_160.xyz
1,0,2,0,1,1O,,1O:1O,,,90,0.4546373004647404,Cluster_045_066.xyz
0,1,3,0,1,,1O,1O:1O:1O,,,87,0.43948272378258235,Cluster_019_066.xyz
