num_dol,num_dipe,num_tfsi,num_ps,num_li,atoms_dol,atoms_dipe,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
2,0,1,1,1,1O:1O,,1O,1S,,2996,15.134370579915135,Cluster_065_078.xyz
2,0,2,0,1,1O:1O,,1O:1O,,,2486,12.558092543948272,Cluster_034_148.xyz
3,0,1,0,1,1O:1O:1O,,1O,,,2314,11.689230147504546,Cluster_008_156.xyz
3,0,0,1,1,1O:1O:1O,,,1S,,1576,7.961204283693675,Cluster_003_145.xyz
2,0,1,0,1,1O:1O,,1O,,,933,4.713073348151141,Cluster_092_169.xyz
2,0,0,1,1,1O:1O,,,1S,,802,4.051323499696909,Cluster_054_076.xyz
1,0,2,1,1,1O,,1O:1O,1S,,766,3.8694685795110124,Cluster_003_070.xyz
1,1,2,0,1,1O,1O,1O:1O,,,622,3.1420488987674275,Cluster_041_180.xyz
1,0,1,1,1,1O,,1O,1S,,608,3.071327540917357,Cluster_032_109.xyz
3,0,0,0,1,1O:1O:1O,,,,,440,2.222671246716508,Cluster_099_115.xyz
1,1,0,1,1,1O,1O,,1S,,418,2.111537684380683,Cluster_086_183.xyz
1,1,1,0,1,1O,1O,1O,,,314,1.586179026065872,Cluster_062_127.xyz
0,1,1,1,1,,1O,1O,1S,,286,1.4447363103657305,Cluster_048_098.xyz
1,0,2,0,1,1O,,1O:1O,,,279,1.409375631440695,Cluster_054_180.xyz
1,0,3,0,1,1O,,1O:1O:1O,,,263,1.3285512224691858,Cluster_052_024.xyz
4,0,0,0,1,1O:1O:1O:1O,,,,,235,1.1871085067690443,Cluster_081_034.xyz
2,0,2,0,1,1O:1O,,1O:2O,,,225,1.1365932511618508,Cluster_087_107.xyz
2,1,1,0,1,1O:1O,1O,1O,,,219,1.1062840977975348,Cluster_006_150.xyz
1,1,1,0,1,1O,1O,2O,,,211,1.0658718933117801,Cluster_094_032.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,198,1.0002020610224287,Cluster_080_177.xyz
2,0,1,0,1,1O:1O,,2O,,,193,0.9749444332188321,Cluster_069_174.xyz
0,1,2,0,1,,1O,1O:2O,,,180,0.9092746009294808,Cluster_098_073.xyz
3,0,2,0,1,1O:1O:1O,,1O:1O,,,179,0.9042230753687613,Cluster_068_153.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,175,0.884016973125884,Cluster_058_100.xyz
1,0,2,0,1,1O,,1O:2O,,,174,0.8789654475651647,Cluster_072_144.xyz
1,0,1,1,1,1O,,2O,1S,,166,0.8385532430794099,Cluster_077_043.xyz
1,1,1,1,1,1O,1O,1O,1S,,161,0.8132956152758133,Cluster_099_008.xyz
2,0,3,0,1,1O:1O,,1O:1O:1O,,,160,0.808244089715094,Cluster_004_017.xyz
0,1,2,0,1,,1O,1O:1O,,,140,0.7072135785007072,Cluster_095_158.xyz
1,0,0,1,1,1O,,,1S,,109,0.5506162861184077,Cluster_076_121.xyz
2,0,0,0,1,1O:1O,,,,,104,0.5253586583148111,Cluster_060_083.xyz
1,0,1,9,1,1O,,1O,1S:1S:1S:1S:1S:1S:1S:1S:1S,,90,0.4546373004647404,Cluster_055_082.xyz
2,0,0,1,1,1O:1O,,,2S,,82,0.41422509597898566,Cluster_020_034.xyz
1,0,1,1,1,1O,,1O,2S,,82,0.41422509597898566,Cluster_048_151.xyz
1,0,1,0,1,1O,,1O,,,80,0.404122044857547,Cluster_086_102.xyz
