num_dol,num_dmds,num_tfsi,num_ps,num_li,atoms_dol,atoms_dmds,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
3,0,1,0,1,1O:1O:1O,,1O,,,3680,18.58961406344716,Cluster_054_076.xyz
2,0,1,1,1,1O:1O,,1O,1S,,2904,14.669630228328955,Cluster_037_017.xyz
3,0,0,1,1,1O:1O:1O,,,1S,,2585,13.058193574459487,Cluster_092_169.xyz
2,0,2,0,1,1O:1O,,1O:1O,,,1591,8.036977167104466,Cluster_086_102.xyz
4,0,0,0,1,1O:1O:1O:1O,,,,,1104,5.576884219034148,Cluster_011_066.xyz
2,0,0,1,1,1O:1O,,,1S,,976,4.930288947262073,Cluster_034_148.xyz
2,0,1,0,1,1O:1O,,1O,,,610,3.081430592038796,Cluster_009_096.xyz
3,0,0,0,1,1O:1O:1O,,,,,588,2.9702970297029703,Cluster_050_077.xyz
1,0,2,1,1,1O,,1O:1O,1S,,493,2.490402101434633,Cluster_076_121.xyz
2,1,1,0,1,1O:1O,1S,1O,,,447,2.2580319256415438,Cluster_014_106.xyz
1,0,1,1,1,1O,,1O,1S,,385,1.9448373408769448,Cluster_011_041.xyz
2,0,0,1,1,1O:1O,,,2S,,305,1.540715296019398,Cluster_009_035.xyz
2,0,1,0,1,1O:1O,,2O,,,273,1.379066478076379,Cluster_045_066.xyz
3,1,0,0,1,1O:1O:1O,1S,,,,247,1.2477268134976762,Cluster_050_073.xyz
2,0,2,0,1,1O:1O,,1O:2O,,,229,1.1567993534047283,Cluster_014_172.xyz
3,0,2,0,1,1O:1O:1O,,1O:1O,,,170,0.8587593453222874,Cluster_049_138.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,161,0.8132956152758133,Cluster_093_181.xyz
2,0,1,1,1,1O:1O,,1O,2S,,153,0.7728834107900586,Cluster_010_144.xyz
1,0,1,1,1,1O,,1O,2S,,145,0.7324712063043038,Cluster_043_180.xyz
1,0,1,1,1,1O,,2O,1S,,135,0.6819559506971106,Cluster_068_114.xyz
2,1,0,1,1,1O:1O,1S,,1S,,129,0.6516467973327945,Cluster_077_129.xyz
3,0,1,0,1,1O:1O:1O,,2O,,,119,0.6011315417256011,Cluster_031_027.xyz
1,0,3,0,1,1O,,1O:1O:1O,,,112,0.5657708628005658,Cluster_077_176.xyz
1,0,2,0,1,1O,,1O:1O,,,111,0.5607193372398465,Cluster_002_002.xyz
1,0,2,0,1,1O,,1O:2O,,,105,0.5304101838755304,Cluster_060_083.xyz
2,0,0,9,1,1O:1O,,,:::::1S:1S:1S:1S,,97,0.48999797938977574,Cluster_003_033.xyz
1,1,2,0,1,1O,1S,1O:1O,,,94,0.4748434027076177,Cluster_035_073.xyz
1,1,1,1,1,1O,1S,1O,1S,,90,0.4546373004647404,Cluster_041_180.xyz
