num_dol,num_dme,num_tfsi,num_ps,num_li,atoms_dol,atoms_dme,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
1,1,0,1,1,1O,2O,,1S,,3643,18.402707617700546,Cluster_034_148.xyz
1,2,0,0,1,1O,2O:2O,,,,2959,14.947464134168518,Cluster_051_037.xyz
0,2,0,0,1,,2O:2O,,,,2662,13.447161042634876,Cluster_003_145.xyz
0,2,1,0,1,,2O:2O,1O,,,2086,10.537482319660537,Cluster_065_106.xyz
1,1,0,1,1,1O,2O,,2S,,1022,5.162659123055163,Cluster_054_076.xyz
0,3,0,0,1,,1O:2O:2O,,,,959,4.844413012729844,Cluster_099_115.xyz
1,2,0,0,1,1O,1O:2O,,,,818,4.132147908668418,Cluster_013_187.xyz
0,2,0,1,1,,1O:2O,,1S,,589,2.9753485552636896,Cluster_042_107.xyz
0,1,1,1,1,,2O,1O,1S,,562,2.8389573651242674,Cluster_013_061.xyz
2,1,0,0,1,1O:1O,2O,,,,393,1.9852495453626995,Cluster_098_073.xyz
0,2,1,0,1,,1O:2O,1O,,,356,1.798343099616084,Cluster_039_080.xyz
1,1,1,0,1,1O,2O,1O,,,343,1.7326732673267327,Cluster_081_034.xyz
0,2,0,1,1,,2O:2O,,1S,,280,1.4144271570014144,Cluster_052_024.xyz
0,3,0,0,1,,1O:1O:2O,,,,277,1.3992725803192565,Cluster_062_127.xyz
0,1,1,1,1,,2O,1O,2S,,244,1.2325722368155183,Cluster_009_035.xyz
0,3,0,0,1,,2O:2O:2O,,,,235,1.1871085067690443,Cluster_068_052.xyz
2,1,1,0,1,1O:1O,2O,1O,,,159,0.8031925641543746,Cluster_015_175.xyz
2,0,1,1,1,1O:1O,,1O,1S,,124,0.6263891695291978,Cluster_076_121.xyz
0,1,0,1,1,,2O,,2S,,122,0.6162861184077592,Cluster_011_048.xyz
0,1,0,9,1,,2O,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,122,0.6162861184077592,Cluster_065_078.xyz
0,2,1,0,1,,2O:2O,2O,,,120,0.6061830672863204,Cluster_008_156.xyz
0,2,0,1,1,,1O:2O,,2S,,117,0.5910284906041624,Cluster_092_169.xyz
0,1,0,9,1,,2O,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,114,0.5758739139220045,Cluster_014_149.xyz
3,0,0,1,1,1O:1O:1O,,,1S,,97,0.48999797938977574,Cluster_072_122.xyz
0,1,0,1,1,,2O,,3S,,84,0.4243281471004243,Cluster_068_006.xyz
1,1,1,0,1,1O,2O,2O,,,84,0.4243281471004243,Cluster_034_089.xyz
1,1,2,0,1,1O,2O,1O:1O,,,71,0.35865831481107296,Cluster_086_034.xyz
1,2,1,0,1,1O,1O:2O,1O,,,62,0.3131945847645989,Cluster_090_189.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,56,0.2828854314002829,Cluster_087_063.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,44,0.22226712467165083,Cluster_029_121.xyz
0,1,0,9,1,,2O,,:::::1S:1S:1S:1S,,43,0.2172155991109315,Cluster_002_002.xyz
0,1,2,0,1,,2O,1O:1O,,,42,0.21216407355021216,Cluster_098_000.xyz
0,2,1,0,1,,1O:2O,2O,,,41,0.20711254798949283,Cluster_036_045.xyz
1,1,1,1,1,1O,2O,1O,1S,,37,0.18690644574661547,Cluster_065_093.xyz
1,2,1,0,1,1O,2O:2O,1O,,,37,0.18690644574661547,Cluster_023_178.xyz
0,1,2,0,1,,2O,1O:2O,,,33,0.16670034350373814,Cluster_062_064.xyz
2,1,0,1,1,1O:1O,2O,,1S,,30,0.1515457668215801,Cluster_054_081.xyz
2,1,0,1,1,1O:1O,1O,,1S,,27,0.1363911901394221,Cluster_047_128.xyz
0,2,0,1,1,,2O:2O,,2S,,23,0.11618508789654476,Cluster_072_194.xyz
0,1,1,1,1,,2O,2O,1S,,22,0.11113356233582541,Cluster_093_174.xyz
2,0,1,1,1,1O:1O,,1O,2S,,19,0.0959789856536674,Cluster_039_112.xyz
