num_dol,num_dmf,num_tfsi,num_ps,num_li,atoms_dol,atoms_dmf,atoms_tfsi,atoms_ps,atoms_li,count,%,cluster
1,3,0,0,1,1O,1O:1O:1O,,,,5117,25.84865629420085,Cluster_099_115.xyz
0,4,0,0,1,,1O:1O:1O:1O,,,,4405,22.25197009496868,Cluster_003_145.xyz
1,2,0,1,1,1O,1O:1O,,1S,,2558,12.921802384320065,Cluster_051_037.xyz
0,3,0,1,1,,1O:1O:1O,,1S,,1740,8.789654475651647,Cluster_034_148.xyz
0,3,1,0,1,,1O:1O:1O,1O,,,977,4.9353404728227925,Cluster_068_153.xyz
2,2,0,0,1,1O:1O,1O:1O,,,,897,4.531218427965245,Cluster_083_189.xyz
1,2,1,0,1,1O,1O:1O,1O,,,642,3.2430794099818145,Cluster_037_017.xyz
2,1,0,1,1,1O:1O,1O,,1S,,558,2.81875126288139,Cluster_074_152.xyz
0,2,0,1,1,,1O:1O,,1S,,472,2.3843200646595273,Cluster_075_037.xyz
0,3,0,0,1,,1O:1O:1O,,,,390,1.9700949686805416,Cluster_013_187.xyz
1,2,0,0,1,1O,1O:1O,,,,264,1.333602748029905,Cluster_092_169.xyz
0,2,1,1,1,,1O:1O,1O,1S,,257,1.2982420691048697,Cluster_023_156.xyz
1,1,0,1,1,1O,1O,,1S,,192,0.9698929076581128,Cluster_008_156.xyz
1,1,1,1,1,1O,1O,1O,1S,,131,0.6617498484542331,Cluster_053_154.xyz
1,1,0,9,1,1O,1O,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,117,0.5910284906041624,Cluster_081_023.xyz
0,2,0,1,1,,1O:1O,,2S,,106,0.5354617094362497,Cluster_098_073.xyz
0,1,0,9,1,,1O,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,66,0.33340068700747627,Cluster_094_032.xyz
2,1,1,0,1,1O:1O,1O,1O,,,56,0.2828854314002829,Cluster_049_046.xyz
1,1,0,1,1,1O,1O,,2S,,43,0.2172155991109315,Cluster_010_150.xyz
0,2,1,0,1,,1O:1O,1O,,,37,0.18690644574661547,Cluster_028_156.xyz
3,0,0,1,1,1O:1O:1O,,,1S,,37,0.18690644574661547,Cluster_015_125.xyz
0,2,2,0,1,,1O:1O,1O:1O,,,36,0.18185492018589614,Cluster_086_034.xyz
1,2,0,1,1,1O,1O:1O,,2S,,36,0.18185492018589614,Cluster_008_146.xyz
0,2,0,9,1,,1O:1O,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,36,0.18185492018589614,Cluster_057_088.xyz
1,0,0,9,1,1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,28,0.14144271570014144,Cluster_003_033.xyz
2,0,1,1,1,1O:1O,,1O,1S,,28,0.14144271570014144,Cluster_090_136.xyz
3,1,0,0,1,1O:1O:1O,1O,,,,25,0.12628813901798344,Cluster_030_046.xyz
1,3,1,0,1,1O,1O:1O:1O,1O,,,23,0.11618508789654476,Cluster_081_185.xyz
2,1,0,0,1,1O:1O,1O,,,,22,0.11113356233582541,Cluster_022_041.xyz
0,1,0,1,1,,1O,,2S,,21,0.10608203677510608,Cluster_090_006.xyz
0,3,0,1,1,,1O:1O:1O,,2S,,20,0.10103051121438675,Cluster_039_063.xyz
2,0,0,1,1,1O:1O,,,1S,,18,0.09092746009294807,Cluster_014_125.xyz
1,4,0,0,1,1O,1O:1O:1O:1O,,,,18,0.09092746009294807,Cluster_012_167.xyz
2,3,0,0,1,1O:1O,1O:1O:1O,,,,15,0.07577288341079005,Cluster_079_103.xyz
0,1,0,1,1,,1O,,1S,,14,0.07072135785007072,Cluster_022_026.xyz
1,0,0,1,1,1O,,,2S,,14,0.07072135785007072,Cluster_019_043.xyz
0,1,0,9,1,,1O,,:::::1S:1S:1S:1S,,13,0.06566983228935139,Cluster_015_026.xyz
2,1,0,1,1,1O:1O,1O,,2S,,13,0.06566983228935139,Cluster_084_160.xyz
1,1,1,0,1,1O,1O,1O,,,12,0.06061830672863205,Cluster_045_051.xyz
0,5,0,0,1,,:1O:1O:1O:1O,,,,12,0.06061830672863205,Cluster_020_052.xyz
2,0,0,9,1,1O:1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S,,12,0.06061830672863205,Cluster_008_004.xyz
1,1,2,0,1,1O,1O,1O:1O,,,12,0.06061830672863205,Cluster_001_085.xyz
2,2,1,0,1,1O:1O,1O:1O,1O,,,11,0.05556678116791271,Cluster_022_157.xyz
0,2,0,9,1,,1O:1O,,1S:1S:1S:1S:2S:2S:2S:2S:2S,,11,0.05556678116791271,Cluster_034_144.xyz
0,2,0,0,1,,1O:1O,,,,11,0.05556678116791271,Cluster_092_088.xyz
2,3,0,0,1,:1O,1O:1O:1O,,,,10,0.050515255607193374,Cluster_022_095.xyz
2,0,0,9,1,1O:1O,,,:::::1S:1S:1S:1S,,10,0.050515255607193374,Cluster_043_096.xyz
1,1,0,0,1,1O,1O,,,,9,0.045463730046474034,Cluster_065_140.xyz
0,1,0,9,1,,1O,,1S:1S:2S:2S:2S:2S:2S:2S:2S,,9,0.045463730046474034,Cluster_086_032.xyz
0,1,1,1,1,,1O,1O,1S,,9,0.045463730046474034,Cluster_055_006.xyz
0,2,1,1,1,,1O:1O,1O,2S,,9,0.045463730046474034,Cluster_036_016.xyz
